VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8323801916,       1.431288568,       1.661996238,       4.627248011
          0,           0,           1,     -0.8199871632,       1.530541992,       1.722809697,        4.65189258
          0,           0,           2,      -1.033680232,       1.320376316,       1.462173002,       4.432993288
          0,           0,           3,      -1.228012633,       1.124099885,       1.183499612,       4.238196906
          0,           0,           4,      -1.464950945,      0.9700209102,      0.9775649123,       4.000862083
          0,           0,           5,      -1.642307322,      0.9164504356,      0.8290029548,       3.830246708
          0,           0,           6,      -1.800390427,      0.8283628979,      0.6830268045,       3.677026995
          0,           0,           7,       -1.98324892,      0.7172043362,      0.5249294662,       3.500005703
          0,           0,           8,      -2.155247345,      0.6353434184,      0.3665255551,       3.347474164
          0,           0,           9,      -2.292743578,      0.5804292678,      0.2429897926,        3.23901688
          0,           0,          10,       -2.42486221,      0.5290966094,      0.1529369055,       3.137572943
          0,           0,          11,      -2.559054603,      0.4720603304,     0.06799466471,       3.031966988
          0,           0,          12,      -2.673482796,      0.4081888692,    -0.01660470933,       2.933739546
          0,           0,          13,      -2.762321739,      0.3387545064,    -0.09731134658,       2.846364815
          0,           0,          14,      -2.839576376,      0.2659450323,     -0.1763043672,       2.764369586
          0,           0,          15,      -2.913508037,       0.192100109,     -0.2592135721,       2.683709346
          0,           0,          16,      -2.984942501,       0.119224213,      -0.348386507,        2.60288223
          0,           0,          17,      -3.052107865,     0.04905992919,     -0.4408091636,       2.522468454
          0,           0,          18,      -3.113127877,    -0.01700290357,     -0.5317040269,       2.444826204
          0,           0,          19,      -3.167590871,    -0.07811643047,     -0.6177985269,       2.372691224
          0,           0,          20,      -3.216189465,     -0.1341229522,      -0.697221814,       2.308029576
          0,           0,          21,      -3.259894003,     -0.1854685423,     -0.7682190174,       2.251600524
          0,           0,          22,      -3.299857437,     -0.2329305092,     -0.8293189117,        2.20284656
          0,           0,          23,      -3.337557445,     -0.2774320557,     -0.8805230186,       2.160002904
          0,           0,          24,      -3.374546567,     -0.3199216432,     -0.9236768879,       2.120729188
          0,           0,          25,       -3.41195564,     -0.3612681512,     -0.9615132827,       2.082961411
          0,           0,          26,      -3.450272047,     -0.4021019002,     -0.9967359276,       2.045381073
          0,           0,          27,      -3.489262864,      -0.442784302,      -1.031214622,       2.007584129
          0,           0,          28,      -3.528574306,     -0.4834788102,      -1.066010303,       1.969535592
          0,           0,          29,      -3.567986733,     -0.5242331045,      -1.101573482,       1.931286306
          0,           0,          30,      -3.607436596,      -0.565044727,      -1.137981613,       1.892850068
          0,           0,          31,        -3.6469197,     -0.6058938151,      -1.175137224,       1.854218095
          0,           0,          32,      -3.686448356,     -0.6467611161,       -1.21286759,       1.815389976
          0,           0,          33,      -3.726009103,      -0.687620588,      -1.250992627,       1.776398816
          0,           0,          34,      -3.765581513,     -0.7284531029,      -1.289370446,       1.737283011
          0,           0,          35,      -3.805187567,     -0.7692480176,      -1.327935708,       1.698036298
          0,           0,          36,      -3.844833674,     -0.8099894702,      -1.366660775,       1.658677029
          0,           0,          37,      -3.884505678,     -0.8506509319,      -1.405517425,       1.619246129
          0,           0,          38,       -3.92419854,     -0.8912133474,      -1.444451037,       1.579769638
          0,           0,          39,      -3.963939126,     -0.9316615693,      -1.483417469,       1.540238538
          0,           0,          40,      -4.003725355,      -0.971983121,      -1.522379191,       1.500661769
          0,           0,          41,      -4.043527396,      -1.012166713,      -1.561300871,       1.461071925
          0,           0,          42,      -4.083308248,      -1.052203278,      -1.600152192,       1.421507181
          0,           0,          43,      -4.123032677,       -1.09209094,      -1.638911134,       1.382001679
          0,           0,          44,      -4.162672713,      -1.131830325,      -1.677565614,       1.342581327
          0,           0,          45,      -4.202209539,      -1.171426706,       -1.71611019,       1.303262549
          0,           0,          46,      -4.241633183,      -1.210887528,      -1.754544767,       1.264052935
          0,           0,          47,      -4.280941083,      -1.250221278,      -1.792873679,       1.224952879
          0,           0,          48,      -4.320137419,       -1.28943806,      -1.831105364,       1.185956819
          0,           0,          49,       -4.35923307,      -1.328549615,      -1.869248493,       1.147053625
          0,           0,          50,      -4.398241214,      -1.367568273,      -1.907309867,       1.108230818
          0,           0,          51,      -4.437174681,      -1.406506706,      -1.945302026,       1.069476869
          0,           0,          52,       -4.47604554,      -1.445377968,      -1.983238451,       1.030781245
          0,           0,          53,       -4.51486247,      -1.484195435,      -2.021129877,      0.9921366504
          0,           0,          54,      -4.553633217,       -1.52296855,      -2.058985853,      0.9535365624
          0,           0,          55,      -4.592370171,      -1.561709274,      -2.096817454,      0.9149699364
          0,           0,          56,      -4.631085801,      -1.600428606,      -2.134638026,      0.8764255031
          0,           0,          57,      -4.669790486,      -1.639136055,      -2.172459833,      0.8378937365
          0,           0,          58,      -4.708492839,      -1.677839807,      -2.210291791,      0.7993666696
          0,           0,          59,      -4.747200739,      -1.716546921,      -2.248140031,      0.7608370318
          0,           0,          60,      -4.785921564,      -1.755263783,       -2.28600906,      0.7222980271
          0,           0,          61,      -4.824661852,      -1.793996295,      -2.323902451,      0.6837436263
          0,           0,          62,      -4.863427248,      -1.832749949,      -2.361823219,      0.6451685876
          0,           0,          63,      -4.902222757,      -1.871529565,      -2.399774277,      0.6065682161
          0,           0,          64,      -4.941053142,      -1.910339754,      -2.437758351,      0.5679379426
          0,           0,          65,      -4.979922591,      -1.949184475,      -2.475778034,      0.5292736425
          0,           0,          66,      -5.018834345,      -1.988067103,      -2.513835429,      0.4905719438
          0,           0,          67,      -5.057791359,      -2.026990429,      -2.551932246,      0.4518296553
          0,           0,          68,      -5.096796753,      -2.065956947,      -2.590069812,      0.4130433812
          0,           0,          69,      -5.135852609,      -2.104968608,      -2.628249347,      0.3742106638
          0,           0,          70,      -5.174958628,      -2.144026423,      -2.666471222,      0.3353311629
          0,           0,          71,      -5.214115367,      -2.183131413,      -2.704735238,      0.2964037794
          0,           0,          72,      -5.253323826,      -2.222284587,      -2.743041272,      0.2574270394
          0,           0,          73,      -5.292584612,      -2.261486868,      -2.781389282,      0.2183998717
          0,           0,          74,      -5.331897722,      -2.300738793,      -2.819779298,      0.1793218156
          0,           0,          75,       -5.37126306,      -2.340040685,       -2.85821137,      0.1401925519
          0,           0,          76,      -5.410680753,      -2.379392967,      -2.896685522,      0.1010115975
          0,           0,          77,      -5.450150889,      -2.418795931,      -2.935201756,     0.06177856289
          0,           0,          78,      -5.489673509,      -2.458249746,      -2.973759995,     0.02249316943
          0,           0,          79,      -5.529248631,       -2.49775451,       -3.01236007,    -0.01684478856
          0,           0,          80,      -5.568876255,      -2.537310275,      -3.051001764,     -0.0562354498
          0,           0,          81,      -5.608556355,      -2.576917049,      -3.089684856,    -0.09567888092
          0,           0,          82,       -5.64828889,      -2.616574814,      -3.128409147,     -0.1351750915
          0,           0,          83,      -5.688073852,      -2.656283556,       -3.16717446,     -0.1747240849
          0,           0,          84,      -5.727911321,      -2.696043322,       -3.20598066,      -0.214325915
          0,           0,          85,      -5.767801384,      -2.735854048,      -3.244827775,     -0.2539806175
          0,           0,          86,       -5.80774409,      -2.775715684,      -3.283715815,     -0.2936881903
          0,           0,          87,      -5.847739439,      -2.815628161,      -3.322644713,      -0.333448576
          0,           0,          88,      -5.887787431,      -2.855591407,      -3.361614357,     -0.3732617157
          0,           0,          89,       -5.92788808,      -2.895605365,      -3.400624674,     -0.4131275657
          0,           0,          90,      -5.968041374,      -2.935669978,      -3.439675654,     -0.4530460586
          0,           0,          91,      -6.008247266,      -2.975785192,      -3.478767334,     -0.4930171089
          0,           0,          92,      -6.048505712,      -3.015950958,      -3.517899777,     -0.5330406371
          0,           0,          93,       -6.08881667,      -3.056167232,      -3.557073067,     -0.5731165783
          0,           0,          94,      -6.129180109,      -3.096433977,      -3.596287309,     -0.6132448843
          0,           0,          95,      -6.169595995,      -3.136751155,      -3.635542614,     -0.6534255169
          0,           0,          96,      -6.210064297,      -3.177118732,      -3.674839105,     -0.6936584423
          0,           0,          97,      -6.250584977,      -3.217536673,      -3.714176909,     -0.7339436312
          0,           0,          98,      -6.291157958,      -3.258004941,       -3.75355614,     -0.7742810339
          0,           0,          99,      -6.331783295,      -3.298523499,      -3.792976943,     -0.8146706748
          0,           0,         100,      -6.372460855,      -3.339092301,      -3.832439436,     -0.8551124566
          0,           0,         101,      -6.413190546,      -3.379711302,      -3.871943743,     -0.8956063109
