VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.064205656,       1.115305835,       1.460833347,       4.395422547
          0,           0,           1,      -1.038361575,       1.263880715,        1.51427256,       4.430194825
          0,           0,           2,      -1.317528043,       1.014991518,       1.222911772,       4.147819068
          0,           0,           3,      -1.516549616,      0.8824989937,      0.9674001437,       3.945827801
          0,           0,           4,      -1.723898151,      0.7104864715,      0.7517953278,       3.734488315
          0,           0,           5,        -1.9485694,      0.5599375604,       0.544854832,       3.514999442
          0,           0,           6,      -2.129136907,      0.4472858533,      0.3591450667,       3.343831737
          0,           0,           7,       -2.28234939,      0.3495075943,      0.1849416352,       3.193743037
          0,           0,           8,      -2.440465806,       0.274470132,     0.01786143719,       3.042005672
          0,           0,           9,        -2.5987299,      0.2123112655,     -0.1344985663,       2.898253027
          0,           0,          10,      -2.737378322,      0.1539974255,     -0.2582258058,       2.779295401
          0,           0,          11,      -2.866149084,     0.09686016666,     -0.3574522032,       2.672091153
          0,           0,          12,      -2.985080267,     0.03932490707,     -0.4466621203,       2.571287283
          0,           0,          13,      -3.080274749,    -0.01870650487,     -0.5317557166,       2.482186218
          0,           0,          14,      -3.156273924,    -0.07745985582,     -0.6142473543,       2.401505913
          0,           0,          15,      -3.226392751,     -0.1367101116,     -0.6954207004,       2.323536874
          0,           0,          16,       -3.29551402,     -0.1953187323,     -0.7767084502,       2.248840735
          0,           0,          17,      -3.362269049,     -0.2519290364,     -0.8579239846,       2.181331847
          0,           0,          18,      -3.424533874,     -0.3056121816,     -0.9362391046,       2.122716913
          0,           0,          19,      -3.480343522,     -0.3560645695,      -1.007774085,       2.071879087
          0,           0,          20,      -3.527951951,     -0.4034940457,      -1.069660639,       2.027025862
          0,           0,          21,       -3.56758109,     -0.4484379498,      -1.121217338,        1.98636745
          0,           0,          22,      -3.601947193,     -0.4915368156,        -1.1638448,       1.948057462
          0,           0,          23,      -3.634248639,      -0.533343059,       -1.20003744,       1.910638581
          0,           0,          24,      -3.666312935,     -0.5742347701,       -1.23243728,       1.873474346
          0,           0,          25,      -3.698503263,     -0.6144345233,      -1.263202627,       1.836606026
          0,           0,          26,      -3.730547278,     -0.6540811479,      -1.293663291,       1.800283734
          0,           0,          27,      -3.762237706,     -0.6932785152,      -1.324337683,       1.764622782
          0,           0,          28,      -3.793629554,     -0.7321151146,       -1.35532289,       1.729535844
          0,           0,          29,      -3.824920987,     -0.7706607816,      -1.386658079,       1.694848408
          0,           0,          30,      -3.856280318,      -0.808956567,      -1.418417056,       1.660429818
