VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4575299144,       1.939268437,       1.947892799,       5.002098289
          0,           0,           1,     -0.5010215802,       1.874799566,       2.065592412,       4.969747313
          0,           0,           2,     -0.7047750858,        1.68491459,       1.845290498,       4.770200395
          0,           0,           3,     -0.9016233963,       1.564947304,       1.568513371,       4.583483929
          0,           0,           4,      -1.084722562,       1.468787203,       1.400920832,       4.404286872
          0,           0,           5,      -1.231224895,        1.36950496,       1.250518639,       4.256983473
          0,           0,           6,      -1.366905728,       1.306550577,       1.130888044,       4.128469294
          0,           0,           7,      -1.497019394,       1.258764027,       1.038381889,       4.004550201
          0,           0,           8,      -1.659431027,       1.198984493,       0.922085121,       3.856901366
          0,           0,           9,      -1.829197079,       1.140994097,      0.7776051947,       3.720767706
          0,           0,          10,      -1.954791383,       1.091418451,      0.6459286198,       3.631731904
          0,           0,          11,      -2.043291759,       1.042171755,      0.5540887613,       3.566949007
          0,           0,          12,      -2.125247193,      0.9877530855,      0.4872254116,         3.4997497
          0,           0,          13,      -2.209527792,      0.9274600282,      0.4257460524,       3.424066911
          0,           0,          14,      -2.292389936,      0.8623554912,      0.3614217736,       3.343168195
          0,           0,          15,      -2.368948727,      0.7940752844,      0.2921986462,       3.261803236
          0,           0,          16,      -2.436488076,       0.724222879,      0.2190395483,       3.183618342
          0,           0,          17,      -2.496186796,      0.6541506138,      0.1439204358,       3.110068103
          0,           0,          18,      -2.551800535,      0.5848395073,      0.0688894236,       3.040559173
          0,           0,          19,      -2.607073986,       0.516858477,   -0.004759558756,       2.973483842
          0,           0,          20,      -2.664160995,      0.4504030925,    -0.07655881704,       2.907387973
          0,           0,          21,      -2.723434583,      0.3854122798,     -0.1464947065,       2.841597313
          0,           0,          22,      -2.784080183,      0.3217147467,     -0.2146296246,       2.776214573
          0,           0,          23,      -2.844940008,      0.2591468266,     -0.2809489333,       2.711720085
          0,           0,          24,      -2.905089909,      0.1975771431,     -0.3453465282,       2.648543932
          0,           0,          25,       -2.96380368,      0.1368938389,     -0.4076740018,       2.587006485
          0,           0,          26,      -3.020728869,     0.07701080377,     -0.4678119484,        2.52717418
          0,           0,          27,      -3.075787279,     0.01784731506,     -0.5257689461,       2.468937889
          0,           0,          28,      -3.129172595,    -0.04066733831,     -0.5816257872,       2.412056443
          0,           0,          29,      -3.181244174,    -0.09860048209,     -0.6355437784,       2.356234836
          0,           0,          30,      -3.232353868,     -0.1559888674,     -0.6877005147,       2.301243751
          0,           0,          31,       -3.28274182,     -0.2128542697,     -0.7384061274,       2.246953428
          0,           0,          32,      -3.332510223,     -0.2691874976,     -0.7878545632,       2.193332628
          0,           0,          33,      -3.382082741,     -0.3249763291,     -0.8360319147,       2.140127506
