VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6988182981,       1.496730381,       1.817748498,       4.760809905
          0,           0,           1,     -0.7116406431,       1.575226472,       1.792097819,       4.757922852
          0,           0,           2,     -0.9005669137,       1.411875486,         1.5691523,        4.56579486
          0,           0,           3,      -1.142141133,       1.234649728,        1.31033969,       4.326429065
          0,           0,           4,      -1.350911261,       1.106003068,       1.117353662,       4.120391837
          0,           0,           5,      -1.510175203,       1.014902434,      0.9204243902,       3.968755246
          0,           0,           6,      -1.686511465,      0.9304142513,      0.7745048257,       3.804733487
          0,           0,           7,      -1.850670437,       0.857029934,      0.6330378698,       3.649688595
          0,           0,           8,      -2.008679961,      0.8014614591,      0.4922439084,       3.510871365
          0,           0,           9,      -2.157238628,      0.7532802844,      0.3680346944,       3.393095175
          0,           0,          10,      -2.293125126,      0.7026538922,      0.2753432636,         3.2907891
          0,           0,          11,       -2.41695082,      0.6454589696,      0.1990026535,       3.196655419
          0,           0,          12,      -2.524458788,      0.5811397427,      0.1250030436,       3.106767125
          0,           0,          13,      -2.611468334,      0.5109144628,     0.04936660602,       3.019603244
          0,           0,          14,      -2.685268106,      0.4367147426,     -0.0300982449,       2.933126988
          0,           0,          15,      -2.755107046,       0.360917321,     -0.1151514134,       2.846978278
          0,           0,          16,      -2.824706166,      0.2860770796,      -0.205289906,        2.76297426
          0,           0,          17,      -2.895283814,      0.2142499538,     -0.2976912461,       2.682328996
          0,           0,          18,      -2.966578938,      0.1466390195,      -0.388854287,       2.605416501
          0,           0,          19,      -3.036701772,     0.08370039762,     -0.4759781693,        2.53296204
          0,           0,          20,      -3.102949092,     0.02529160638,     -0.5570976238,       2.466080105
          0,           0,          21,      -3.162913661,     -0.0291764301,     -0.6307093374,       2.405507889
          0,           0,          22,       -3.21561223,    -0.08048215662,      -0.695577017,       2.351082647
          0,           0,          23,      -3.261811702,     -0.1294440065,     -0.7513670235,       2.301736255
          0,           0,          24,      -3.303210418,     -0.1767885746,     -0.7991456744,       2.256062747
          0,           0,          25,      -3.341497049,     -0.2230361853,     -0.8408881938,       2.212860849
          0,           0,          26,      -3.377802305,     -0.2685236242,     -0.8788182002,       2.171353493
          0,           0,          27,      -3.412827171,     -0.3134580343,     -0.9147436782,       2.131038165
          0,           0,          28,      -3.447118397,     -0.3579709691,     -0.9498264617,       2.091506884
          0,           0,          29,      -3.481370468,     -0.4021820662,     -0.9845053521,       2.052236825
          0,           0,          30,      -3.516134308,     -0.4461840548,      -1.019077876,       2.012804903
          0,           0,          31,      -3.551438402,     -0.4899857947,      -1.054159697,        1.97317048
          0,           0,          32,       -3.58718936,     -0.5335707412,      -1.089879805,       1.933386981
          0,           0,          33,      -3.623386635,     -0.5769511109,      -1.126163784,       1.893465622
          0,           0,          34,      -3.660033159,      -0.620157071,      -1.162905756,       1.853440397
          0,           0,          35,      -3.697087392,     -0.6632195614,      -1.200054606,       1.813362363
          0,           0,          36,      -3.734504732,     -0.7061703048,      -1.237588571,       1.773257775
          0,           0,          37,      -3.772218826,     -0.7490198075,      -1.275495192,       1.733159085
