VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.617660086,       1.707689453,       1.850155367,       4.841968117
          0,           0,           1,     -0.6155317123,       1.714910373,       1.885624429,       4.852613123
          0,           0,           2,     -0.8378967118,       1.506249757,       1.666348492,       4.632154587
          0,           0,           3,      -1.059631273,       1.379475884,       1.410266929,       4.416554362
          0,           0,           4,      -1.242348417,       1.280934145,       1.253488373,       4.239972057
          0,           0,           5,      -1.422625771,       1.194871611,       1.111035075,       4.064075513
          0,           0,           6,      -1.586946286,        1.11620255,      0.9507462028,       3.906726406
          0,           0,           7,      -1.735970182,       1.045734787,      0.7916818068,       3.768604834
          0,           0,           8,      -1.883341003,      0.9743481165,      0.6608637839,       3.637965766
          0,           0,           9,      -2.023483641,      0.9114636998,      0.5426031415,       3.519742976
          0,           0,          10,      -2.140868562,      0.8592318604,      0.4317870161,        3.42010667
          0,           0,          11,       -2.24117037,      0.8106197697,      0.3329538715,        3.33052096
          0,           0,          12,      -2.333904281,       0.761104414,       0.243285691,       3.245212355
          0,           0,          13,      -2.420761244,      0.7092675544,      0.1586242079,       3.164901151
          0,           0,          14,      -2.498402678,      0.6552200221,     0.07905225277,       3.092319365
          0,           0,          15,      -2.566823229,      0.5995165641,    0.006202863402,       3.027258092
          0,           0,          16,      -2.629823874,      0.5427055061,    -0.05933961946,       2.966766462
          0,           0,          17,      -2.690185292,      0.4851727245,     -0.1193901789,        2.90812065
          0,           0,          18,      -2.748461556,      0.4272612831,      -0.176123226,       2.850057062
          0,           0,          19,      -2.804403613,      0.3693122564,     -0.2309593393,       2.792281142
          0,           0,          20,      -2.858121912,      0.3116283447,     -0.2847495741,       2.734764991
          0,           0,          21,      -2.909935034,       0.254414464,     -0.3380182065,       2.677669374
          0,           0,          22,      -2.960277184,      0.1977256795,      -0.391180557,       2.621101551
          0,           0,          23,      -3.009638273,      0.1414946906,      -0.444522611,       2.565018136
          0,           0,          24,      -3.058420531,     0.08559766931,     -0.4980812321,       2.509329144
          0,           0,          25,      -3.106828745,     0.02990360037,     -0.5516141484,       2.454023376
          0,           0,          26,      -3.154920154,    -0.02570235814,     -0.6047228453,        2.39918939
          0,           0,          27,       -3.20282533,    -0.08136150019,     -0.6570959286,       2.344793281
          0,           0,          28,      -3.250500145,      -0.137071394,      -0.708471637,       2.290998416
          0,           0,          29,      -3.297838316,     -0.1928818215,     -0.7586621571,        2.23789862
          0,           0,          30,      -3.345014523,     -0.2488049182,     -0.8078429444,       2.185339097
          0,           0,          31,      -3.391804603,     -0.3048007643,     -0.8561109045,       2.133455359
          0,           0,          32,      -3.438324855,     -0.3608852479,     -0.9035272242,       2.082093997
          0,           0,          33,      -3.484826364,     -0.4170829851,     -0.9503112057,         2.0310621
          0,           0,          34,      -3.531646682,     -0.4734060999,      -0.996755712,        1.98011387
          0,           0,          35,      -3.578981058,     -0.5298491209,      -1.043239832,       1.929080467
          0,           0,          36,      -3.626905766,     -0.5863872929,      -1.089782358,       1.877870283
          0,           0,          37,      -3.675499958,     -0.6429983433,      -1.136470607,       1.826383094
          0,           0,          38,      -3.724669672,     -0.6996390468,       -1.18329007,       1.774654061
          0,           0,          39,      -3.774257204,     -0.7562534566,      -1.230196186,       1.722791977
          0,           0,          40,      -3.824134222,     -0.8127859101,      -1.277136114,       1.670902755
          0,           0,          41,      -3.874217504,     -0.8691836588,      -1.324060717,       1.619055102
          0,           0,          42,       -3.92442997,     -0.9253908256,      -1.370931074,       1.567312256
          0,           0,          43,      -3.974700468,     -0.9813460581,      -1.417712078,       1.515735453
          0,           0,          44,      -4.024956374,      -1.036986362,      -1.464369538,       1.464391219
          0,           0,          45,      -4.075132396,      -1.092250833,      -1.510870976,       1.413341415
          0,           0,          46,      -4.125179047,      -1.147080132,      -1.557180447,        1.36263671
          0,           0,          47,      -4.175091533,      -1.201415128,      -1.603273443,       1.312276941
          0,           0,          48,      -4.224845535,      -1.255211477,      -1.649206318,       1.262267666
          0,           0,          49,      -4.274391131,      -1.308376151,      -1.694838687,       1.212652383
          0,           0,          50,      -4.323566079,      -1.360903153,      -1.740402495,       1.163603051
          0,           0,          51,      -4.372488582,      -1.412807741,      -1.785838779,       1.115000314
          0,           0,          52,      -4.421198713,      -1.464086371,      -1.831080623,         1.0667626
          0,           0,          53,      -4.469694647,      -1.514736743,      -1.876141919,       1.018854442
          0,           0,          54,      -4.517989111,      -1.564770712,      -1.921050321,       0.971246551
          0,           0,          55,      -4.566099212,      -1.614210657,      -1.965833736,      0.9239146434
