VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.763803555,       1.520796019,       1.720499438,       4.695824648
          0,           0,           1,     -0.7598093746,       1.562458488,       1.760005361,       4.710948366
          0,           0,           2,     -0.9345679447,       1.396724438,       1.518229491,       4.534212087
          0,           0,           3,      -1.168384145,       1.247740384,       1.267802096,       4.302765185
          0,           0,           4,      -1.348578832,       1.112972972,       1.066785463,       4.124090389
          0,           0,           5,      -1.569191761,      0.9764605957,      0.9067996097,        3.91138831
          0,           0,           6,      -1.777079676,      0.9161785249,      0.7738396727,       3.717524122
          0,           0,           7,       -1.94042435,      0.8683173532,      0.6457656539,        3.56358623
          0,           0,           8,      -2.080547221,      0.8040284054,      0.5095615365,       3.429886211
          0,           0,           9,      -2.200020075,      0.7432655258,      0.3629892996,       3.325252202
          0,           0,          10,      -2.292675576,       0.688741013,      0.2335440903,       3.250611796
          0,           0,          11,      -2.374069929,      0.6322346832,      0.1398131245,       3.182332973
          0,           0,          12,      -2.461612713,       0.571548396,     0.06496459643,        3.10452398
          0,           0,          13,      -2.556763208,      0.5076036114,   -0.006844638732,       3.017982834
          0,           0,          14,      -2.652127744,      0.4414979342,    -0.08029773647,       2.929489714
          0,           0,          15,      -2.741655005,      0.3744799175,     -0.1559151502,       2.843767948
          0,           0,          16,      -2.823185054,      0.3080583458,     -0.2335831675,        2.76257466
          0,           0,          17,      -2.897738245,      0.2436236156,     -0.3124516495,       2.685827276
          0,           0,          18,      -2.967403211,      0.1820847621,     -0.3908548338,       2.612831027
          0,           0,          19,       -3.03318433,      0.1237770274,     -0.4673377356,       2.543390005
          0,           0,          20,      -3.094976011,     0.06852871071,     -0.5411202724,       2.477916359
          0,           0,          21,      -3.152482242,      0.0158305727,     -0.6116785843,       2.416912441
          0,           0,          22,      -3.205723533,    -0.03496382142,       -0.67828188,       2.360503062
          0,           0,          23,      -3.255234178,    -0.08449506226,     -0.7400617548,       2.308168462
          0,           0,          24,      -3.301968866,     -0.1333252161,     -0.7964945199,       2.258848016
          0,           0,          25,      -3.346911903,     -0.1819055838,     -0.8478176049,       2.211363188
