VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7645000093,       1.542524952,       1.709302417,       4.695128194
          0,           0,           1,     -0.8049789439,       1.503834839,       1.763993247,       4.666329375
          0,           0,           2,     -0.9958262219,       1.325317942,       1.492326741,       4.471653279
          0,           0,           3,      -1.218988139,       1.208350615,       1.232782637,       4.249445385
          0,           0,           4,      -1.370871198,       1.043437871,       1.069572344,       4.098101295
          0,           0,           5,       -1.54613107,      0.9306271705,      0.8745459261,       3.927272054
          0,           0,           6,      -1.728549503,      0.8810165029,      0.7091321777,       3.757115341
          0,           0,           7,      -1.893907568,      0.8231307651,      0.5817011959,       3.603924739
          0,           0,           8,      -2.060868357,       0.748161988,      0.4617331442,       3.455562918
          0,           0,           9,      -2.224723118,      0.6834995454,      0.3321128931,       3.319940107
          0,           0,          10,      -2.370744269,      0.6315148114,      0.2083290886,       3.205771656
          0,           0,          11,      -2.481435798,      0.5844257705,      0.1066293357,       3.118127725
          0,           0,          12,      -2.568698833,      0.5353017605,     0.02162745601,       3.044322162
          0,           0,          13,      -2.652610365,      0.4804315818,    -0.05354656921,       2.970676572
          0,           0,          14,      -2.738457677,       0.419605464,     -0.1212548295,        2.89413483
          0,           0,          15,      -2.823373098,      0.3544535777,     -0.1855804556,       2.816992857
          0,           0,          16,      -2.904486368,      0.2869635239,      -0.251957292,       2.741280532
          0,           0,          17,      -2.980559801,      0.2188799864,     -0.3229889713,       2.667498644
          0,           0,          18,      -3.051592866,       0.151557179,     -0.3977445675,       2.595347942
          0,           0,          19,      -3.118183482,     0.08588653488,     -0.4738539167,       2.524579028
          0,           0,          20,       -3.18082545,     0.02231899386,     -0.5492166721,       2.455395433
          0,           0,          21,      -3.239575681,    -0.03903118398,     -0.6223733633,       2.388420046
          0,           0,          22,       -3.29440746,    -0.09827877142,     -0.6921831201,       2.324329416
          0,           0,          23,      -3.345598764,     -0.1556717931,     -0.7577365078,       2.263510609
          0,           0,          24,      -3.393758863,     -0.2115290592,     -0.8185866615,       2.205924317
          0,           0,          25,      -3.439593365,     -0.2661890582,     -0.8748822062,       2.151178193
          0,           0,          26,      -3.483604759,     -0.3199514716,     -0.9272382124,       2.098792682
          0,           0,          27,      -3.526123078,     -0.3730731541,     -0.9765110308,       2.048311642
          0,           0,          28,      -3.567400387,     -0.4257170561,      -1.023503374,       1.999378781
          0,           0,          29,        -3.6077672,     -0.4779932176,      -1.068831364,        1.95168023
          0,           0,          30,      -3.647550508,     -0.5299736824,       -1.11296515,       1.904889692
          0,           0,          31,      -3.687103124,     -0.5816883046,      -1.156214165,       1.858731557
          0,           0,          32,      -3.726723961,     -0.6331380122,      -1.198804938,       1.812987694
          0,           0,          33,       -3.76661483,      -0.684304048,      -1.240918949,       1.767509689
          0,           0,          34,      -3.806859524,     -0.7351468042,      -1.282696937,       1.722235019
          0,           0,          35,      -3.847453577,       -0.78561244,      -1.324189686,       1.677167433
          0,           0,          36,       -3.88840848,     -0.8356534701,      -1.365452791,        1.63229429
          0,           0,          37,       -3.92970269,      -0.885228278,      -1.406546402,       1.587610264
          0,           0,          38,      -3.971270938,     -0.9342963752,        -1.4475043,       1.543138944
          0,           0,          39,      -4.013033593,     -0.9828243681,      -1.488341704,       1.498918628
          0,           0,          40,      -4.054918841,      -1.030790479,      -1.529073429,       1.454983037
          0,           0,          41,      -4.096860333,      -1.078184859,      -1.569723596,       1.411361427
          0,           0,          42,      -4.138813105,      -1.125007586,      -1.610313441,       1.368065081
          0,           0,          43,      -4.180745211,      -1.171268842,      -1.650865507,       1.325092976
          0,           0,          44,      -4.222768951,      -1.216965286,      -1.691212461,        1.28231044
          0,           0,          45,      -4.264934097,      -1.262165908,      -1.731431307,        1.23963292
          0,           0,          46,      -4.307199135,      -1.306935218,      -1.771847127,       1.197080515
          0,           0,          47,      -4.349361452,      -1.351254359,      -1.812475341,       1.154808279
          0,           0,          48,      -4.391299822,      -1.395121499,      -1.853186228,       1.112890951
          0,           0,          49,      -4.433050148,      -1.438572906,      -1.893897193,       1.071272298
          0,           0,          50,      -4.474674463,      -1.481649039,      -1.934590549,       1.029873991
