VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.020724981,       1.223046367,       1.482739143,       4.438903222
          0,           0,           1,      -1.013472604,       1.311884424,       1.528625287,        4.45674928
          0,           0,           2,      -1.223266532,       1.084409573,       1.255079388,       4.243602243
          0,           0,           3,      -1.414128532,      0.9227406531,       1.013605779,        4.05186858
          0,           0,           4,      -1.682245636,      0.7834058505,      0.8086581875,       3.783047195
          0,           0,           5,      -1.872197436,      0.6834067472,      0.6293309496,       3.591993174
          0,           0,           6,      -2.007983985,      0.6106251121,      0.4589891788,       3.457421766
          0,           0,           7,      -2.156296671,      0.5338850327,      0.3035431276,       3.316463383
          0,           0,           8,       -2.32546792,      0.4655634333,        0.16474628,       3.171052733
          0,           0,           9,      -2.476285285,      0.4141439143,     0.04667798075,       3.053896295
          0,           0,          10,      -2.599444083,      0.3667417656,    -0.05265922887,       2.957742714
          0,           0,          11,      -2.711612174,      0.3129879757,     -0.1477034567,       2.864456598
          0,           0,          12,       -2.81563027,      0.2521622109,     -0.2360664728,        2.77239768
          0,           0,          13,      -2.909754942,      0.1866503626,     -0.3123264918,       2.683114464
          0,           0,          14,      -2.993421188,      0.1187988812,     -0.3802827227,       2.597216553
          0,           0,          15,      -3.064032516,     0.05096360981,     -0.4481979469,       2.516864178
          0,           0,          16,        -3.1196581,     -0.0145631101,     -0.5210177583,       2.445169781
          0,           0,          17,      -3.162446941,    -0.07617807136,     -0.5969866252,       2.383857563
          0,           0,          18,      -3.198017182,     -0.1333807723,     -0.6704453234,       2.331721917
          0,           0,          19,      -3.232037754,     -0.1865902841,     -0.7368751623,       2.285496316
          0,           0,          20,      -3.267528579,      -0.236636021,     -0.7951882037,       2.242174905
          0,           0,          21,      -3.304980483,     -0.2843810277,      -0.846845475,       2.200118009
          0,           0,          22,      -3.343822063,     -0.3305754881,     -0.8942189433,       2.158641431
          0,           0,          23,      -3.383456694,     -0.3757949106,     -0.9395050609,       2.117412419
          0,           0,          24,      -3.423572685,     -0.4204616584,     -0.9842476263,       2.076186843
          0,           0,          25,      -3.464100386,     -0.4648539909,      -1.029294316,       2.034768611
          0,           0,          26,      -3.505070559,     -0.5091222536,      -1.074907859,       1.993035966
          0,           0,          27,      -3.546523641,     -0.5533400609,       -1.12103063,       1.950937736
          0,           0,          28,      -3.588459716,     -0.5975395255,      -1.167503452,       1.908483245
          0,           0,          29,        -3.6308047,     -0.6417156522,      -1.214106346,       1.865745113
          0,           0,          30,      -3.673478993,     -0.6858513889,      -1.260605322,       1.822796343
          0,           0,          31,      -3.716423068,     -0.7299274959,      -1.306840109,       1.779687396
          0,           0,          32,      -3.759570779,     -0.7739170066,      -1.352728841,       1.736470961
          0,           0,          33,      -3.802819446,     -0.8177846002,      -1.398206984,       1.693238394
          0,           0,          34,      -3.845977892,     -0.8614457418,      -1.443139443,         1.6501587
          0,           0,          35,      -3.888871442,     -0.9048318631,      -1.487458346,       1.607378396
          0,           0,          36,      -3.931426056,     -0.9478931077,       -1.53110956,       1.564959845
          0,           0,          37,      -3.973620636,      -0.990600761,      -1.574078147,        1.52292415
          0,           0,          38,      -4.015441851,       -1.03293742,      -1.616385163,       1.481279759
          0,           0,          39,      -4.056885967,      -1.074893791,      -1.658074464,       1.440021327
          0,           0,          40,      -4.097963717,       -1.11647187,      -1.699202545,       1.399130918
          0,           0,          41,      -4.138697792,      -1.157682489,      -1.739832428,       1.358583218
          0,           0,          42,      -4.179119589,      -1.198545806,      -1.780028129,       1.318347746
          0,           0,          43,      -4.219263492,      -1.239088553,      -1.819855255,       1.278392683
