VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.587487767,      0.6178531346,       0.930092348,       3.872140436
          0,           0,           1,      -2.054927024,      0.3466278212,      0.4997756525,       3.417853424
          0,           0,           2,      -2.317583915,      0.1256573504,      0.2491175791,       3.159873708
          0,           0,           3,      -2.482357281,    -0.01767449599,     0.05549136858,       2.995746265
          0,           0,           4,      -2.635047516,     -0.1477484558,     -0.1217755989,       2.842658453
          0,           0,           5,      -2.787262334,     -0.2692704231,     -0.2905725154,       2.689527445
          0,           0,           6,      -2.935938384,     -0.3753211938,     -0.4491075906,       2.540194578
          0,           0,           7,      -3.082708718,      -0.468556713,     -0.6034142834,       2.393571456
          0,           0,           8,       -3.22706643,       -0.55000948,     -0.7533930715,       2.250145973
          0,           0,           9,      -3.366195797,     -0.6237701964,     -0.8971273187,       2.112948444
          0,           0,          10,      -3.498941163,     -0.6931902133,      -1.035187992,       1.983130095
          0,           0,          11,      -3.621881061,     -0.7578084475,      -1.166758451,       1.863222389
          0,           0,          12,      -3.733003007,     -0.8166179655,      -1.289962276,       1.754967657
          0,           0,          13,      -3.835339571,     -0.8702704189,      -1.403610474,       1.656560377
          0,           0,          14,      -3.931533746,     -0.9198805556,      -1.509038273,       1.566663439
          0,           0,          15,      -4.021217452,     -0.9657960839,      -1.607044057,       1.485895842
          0,           0,          16,      -4.103680056,      -1.008008052,      -1.694057152,       1.414176557
          0,           0,          17,       -4.17875871,       -1.04708669,       -1.76624178,       1.350058142
          0,           0,          18,      -4.246071529,      -1.084320728,      -1.825444046,        1.29190882
          0,           0,          19,      -4.305550556,      -1.121055104,      -1.877147107,       1.238439581
          0,           0,          20,      -4.358201159,       -1.15809609,      -1.925324201,       1.188721505
          0,           0,          21,      -4.405741744,      -1.195627002,      -1.971367444,       1.142148987
          0,           0,          22,      -4.449918925,      -1.233437793,      -2.015480736,       1.098245159
          0,           0,          23,      -4.492122036,      -1.271193546,      -2.057834304,       1.056506676
          0,           0,          24,      -4.533288229,      -1.308576174,       -2.09900189,       1.016415206
          0,           0,          25,      -4.573960054,      -1.345332267,      -2.139799994,      0.9775271453
          0,           0,          26,      -4.614385989,      -1.381271486,      -2.180841769,      0.9395350632
          0,           0,          27,      -4.654598889,      -1.416254301,      -2.222218818,      0.9022755941
          0,           0,          28,      -4.694447001,      -1.450189462,       -2.26350356,      0.8657055223
          0,           0,          29,      -4.733600563,      -1.483043707,      -2.303977912,      0.8298748104
          0,           0,          30,       -4.77158961,      -1.514843487,      -2.342895895,       0.794905033
          0,           0,          31,       -4.80792399,      -1.545693456,      -2.379678367,      0.7609307653
          0,           0,          32,      -4.842272492,      -1.575760436,      -2.414033603,      0.7280365399
          0,           0,          33,      -4.874596078,      -1.605243156,      -2.445995069,      0.6962109662
          0,           0,          34,       -4.90515789,      -1.634334718,      -2.475885123,      0.6653440512
          0,           0,          35,      -4.934412999,      -1.663191771,      -2.504220114,      0.6352638692
          0,           0,          36,      -4.962867474,      -1.691916475,      -2.531588238,      0.6057787518
          0,           0,          37,      -4.990957618,      -1.720554566,      -2.558541942,      0.5767146965
          0,           0,          38,      -5.018984911,      -1.749104583,      -2.585528053,       0.547939638
          0,           0,          39,      -5.047105447,      -1.777532731,      -2.612863121,       0.519372565
          0,           0,          40,      -5.075354408,      -1.805787201,      -2.640736656,      0.4909815442
          0,           0,          41,      -5.103682594,       -1.83381247,      -2.669230303,      0.4627748688
          0,           0,          42,      -5.132001831,      -1.861558477,      -2.698337251,      0.4347846713
          0,           0,          43,      -5.160212912,      -1.888986481,      -2.727985304,      0.4070542271
          0,           0,          44,      -5.188228992,      -1.916071593,      -2.758054017,      0.3796250075
          0,           0,          45,      -5.215985155,      -1.942803983,      -2.788392513,      0.3525282493
          0,           0,          46,      -5.243441378,      -1.969188388,      -2.818836178,      0.3257805696
          0,           0,          47,      -5.270578572,      -1.995242617,      -2.849222607,      0.2993837395
          0,           0,          48,      -5.297394355,      -2.020995321,      -2.879404379,       0.273326518
          0,           0,          49,      -5.323899993,      -2.046483417,       -2.90925811,      0.2475863972
          0,           0,          50,      -5.350118759,      -2.071749237,      -2.938696765,      0.2221317274
          0,           0,          51,      -5.376085021,      -2.096839431,       -2.96766372,      0.1969220322
          0,           0,          52,      -5.401836359,      -2.121797683,      -2.996138681,      0.1719159588
          0,           0,          53,      -5.427415251,      -2.146666383,      -3.024130443,      0.1470695108
          0,           0,          54,      -5.452864584,      -2.171484432,      -3.051671564,      0.1223387279
          0,           0,          55,       -5.47822633,      -2.196286023,      -3.078812068,     0.09768125276
          0,           0,          56,      -5.503538668,      -2.221100183,      -3.105613933,     0.07305795298
          0,           0,          57,      -5.528834404,       -2.24595061,      -3.132144234,     0.04843406187
          0,           0,          58,       -5.55413906,        -2.2708558,      -3.158470758,     0.02378035844
          0,           0,          59,      -5.579469877,      -2.295831067,      -3.184659063,  -0.0009263386543
          0,           0,          60,      -5.604839842,      -2.320887015,      -3.210765799,     -0.0257046578
          0,           0,          61,      -5.630256027,      -2.346030246,      -3.236839103,    -0.05056799793
          0,           0,          62,      -5.655719694,      -2.371264992,      -3.262919164,    -0.07552496173
          0,           0,          63,      -5.681229713,      -2.396593738,       -3.28903594,     -0.1005813749
          0,           0,          64,      -5.706781462,      -2.422016743,      -3.315209901,     -0.1257391627
          0,           0,          65,      -5.732369652,      -2.447533036,      -3.341455676,     -0.1509991812
          0,           0,          66,      -5.757987259,      -2.473141075,      -3.367780513,     -0.1763600273
          0,           0,          67,       -5.78362562,      -2.498837926,      -3.394187681,     -0.2018186706
          0,           0,          68,      -5.809276396,      -2.524620086,      -3.420676453,     -0.2273714861
          0,           0,          69,      -5.834932658,      -2.550483674,      -3.447242958,     -0.2530151224
          0,           0,          70,      -5.860588723,      -2.576424686,      -3.473880933,     -0.2787464972
          0,           0,          71,      -5.886237133,      -2.602438839,      -3.500585568,     -0.3045612792
          0,           0,          72,      -5.911872311,      -2.628521635,      -3.527350509,     -0.3304556552
          0,           0,          73,      -5.937488938,       -2.65466852,       -3.55416989,     -0.3564257149
          0,           0,          74,      -5.963081612,      -2.680875293,       -3.58103858,     -0.3824677013
          0,           0,          75,      -5.988645923,      -2.707137161,      -3.607950456,     -0.4085778875
          0,           0,          76,      -6.014177532,      -2.733448816,      -3.634901041,     -0.4347522107
          0,           0,          77,      -6.039673529,      -2.759805247,      -3.661886307,     -0.4609875638
          0,           0,          78,      -6.065129784,      -2.786201229,      -3.688903076,     -0.4872797952
