VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.777824707,      0.4063892827,      0.7415976872,       3.681803496
          0,           0,           1,      -2.234303081,      0.1357270158,      0.3369464085,       3.238040868
          0,           0,           2,      -2.508781525,     -0.1014619694,     0.07344963516,       2.966819487
          0,           0,           3,      -2.666831013,     -0.2495570127,     -0.1262743795,       2.808436551
          0,           0,           4,      -2.824492001,     -0.3829951695,     -0.3052917592,       2.650257194
          0,           0,           5,      -2.985014745,      -0.513642613,      -0.474943774,       2.488976096
          0,           0,           6,      -3.133392738,     -0.6290296595,     -0.6397605786,       2.339726682
          0,           0,           7,      -3.282663772,     -0.7355041428,      -0.799354385,       2.190404814
          0,           0,           8,      -3.433319478,     -0.8326088059,     -0.9498458947,       2.040217331
          0,           0,           9,      -3.577815181,      -0.918231878,      -1.093193173,       1.896207613
          0,           0,          10,      -3.716613694,     -0.9955924303,      -1.233575216,        1.75813373
          0,           0,          11,      -3.851064521,      -1.067457539,      -1.372608434,       1.624571992
          0,           0,          12,      -3.976787241,      -1.133049305,      -1.506242221,       1.499445554
          0,           0,          13,      -4.087946502,      -1.191383766,      -1.628255278,       1.388499976
          0,           0,          14,      -4.185018389,      -1.243623433,      -1.736556085,       1.291743771
          0,           0,          15,      -4.271893521,      -1.291703643,      -1.833972588,        1.20577731
          0,           0,          16,      -4.349029263,      -1.336629067,       -1.92284253,       1.130128346
          0,           0,          17,       -4.41643714,       -1.37880102,      -2.003134909,       1.064567636
          0,           0,          18,      -4.477034578,      -1.418809314,      -2.075473264,       1.006040555
          0,           0,          19,       -4.53369431,      -1.457427077,      -2.141431302,      0.9514380069
          0,           0,          20,      -4.587632134,      -1.495312941,      -2.202202694,       0.899240955
          0,           0,          21,      -4.639253859,      -1.532870955,      -2.258923433,      0.8489192722
          0,           0,          22,      -4.688313255,      -1.570244021,      -2.312950377,       0.800784275
          0,           0,          23,      -4.734437107,      -1.607379135,      -2.365132547,      0.7554073093
          0,           0,          24,       -4.77802588,      -1.644150987,      -2.415450526,      0.7126429985
          0,           0,          25,      -4.820252044,      -1.680464041,      -2.463799757,      0.6714933189
          0,           0,          26,      -4.862194235,      -1.716288666,      -2.510585994,      0.6308914662
          0,           0,          27,      -4.904276252,      -1.751640418,      -2.556638284,      0.5903210339
          0,           0,          28,      -4.946324535,      -1.786542143,      -2.602635239,      0.5498692215
