VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.515661309,      0.7158839371,      0.9965754441,       3.943966894
          0,           0,           1,       -1.98076922,      0.3850447165,      0.5735608643,       3.495049614
          0,           0,           2,      -2.227597348,      0.1579266287,      0.3269617893,       3.253477913
          0,           0,           3,      -2.397587368,  -0.0002467511355,      0.1224705116,       3.083962193
          0,           0,           4,      -2.557754049,     -0.1409403833,    -0.06028027682,       2.923012101
          0,           0,           5,      -2.718374928,     -0.2758165517,     -0.2304893344,       2.761160806
          0,           0,           6,       -2.87783101,     -0.4005861796,     -0.3896805148,       2.600685148
          0,           0,           7,      -3.036376276,     -0.5181135742,     -0.5434788262,       2.441284418
          0,           0,           8,      -3.189805509,     -0.6266657344,     -0.6972216835,       2.286570948
          0,           0,           9,      -3.336544887,     -0.7248524604,     -0.8498607628,       2.138010607
          0,           0,          10,      -3.478899315,     -0.8138224348,     -0.9981786102,       1.993579833
          0,           0,          11,      -3.615904843,     -0.8938662042,      -1.141457863,       1.854373642
          0,           0,          12,      -3.744060942,     -0.9641558383,      -1.279037656,       1.724023883
          0,           0,          13,      -3.862118242,      -1.025389978,      -1.408130193,       1.604052554
          0,           0,          14,      -3.970565761,      -1.079976436,      -1.526158466,       1.493983082
          0,           0,          15,      -4.068624968,        -1.1299276,      -1.631676524,       1.394365392
          0,           0,          16,      -4.154252763,      -1.175963041,      -1.722548335,       1.307362226
          0,           0,          17,      -4.227118822,      -1.218304381,      -1.797049741,       1.233721499
          0,           0,          18,      -4.289524751,       -1.25749198,      -1.856594557,       1.171144213
          0,           0,          19,      -4.344317312,      -1.294523683,      -1.905861088,        1.11624291
          0,           0,          20,      -4.393690004,      -1.330535733,      -1.950494589,       1.066313348
          0,           0,          21,      -4.439474887,      -1.366355637,      -1.994774341,       1.019465245
          0,           0,          22,       -4.48328427,      -1.402239428,      -2.040761165,      0.9744107845
          0,           0,          23,       -4.52628087,      -1.437954465,      -2.088951757,      0.9303669123
          0,           0,          24,      -4.568998438,      -1.473073522,      -2.139364312,      0.8869645662
          0,           0,          25,      -4.611399844,      -1.507250555,      -2.192151984,      0.8441318363
          0,           0,          26,      -4.653110487,      -1.540333016,      -2.247507489,      0.8020064082
          0,           0,          27,      -4.693688716,      -1.572319299,      -2.305281768,       0.760867803
          0,           0,          28,       -4.73279581,      -1.603256522,      -2.364747504,       0.721065714
          0,           0,          29,      -4.770221281,      -1.633163366,      -2.424620439,      0.6829574516
          0,           0,          30,      -4.805811278,       -1.66200674,      -2.483227628,      0.6468729544
          0,           0,          31,      -4.839402288,       -1.68972618,      -2.538702003,      0.6130895229
          0,           0,          32,      -4.870827886,      -1.716278446,      -2.589179372,       0.581798763
          0,           0,          33,      -4.900004468,      -1.741672608,      -2.633091687,      0.5530522814
          0,           0,          34,      -4.927002686,      -1.765976874,      -2.669481949,      0.5267397809
          0,           0,          35,      -4.952042112,      -1.789308252,      -2.698179272,      0.5025956402
          0,           0,          36,      -4.975453668,      -1.811810241,      -2.719904958,       0.480251618
          0,           0,          37,       -4.99762699,      -1.833629768,      -2.736121369,      0.4592967034
          0,           0,          38,      -5.018953485,      -1.854900865,      -2.748655921,      0.4393270158
          0,           0,          39,      -5.039785289,      -1.875737562,      -2.759305825,      0.4199793812
          0,           0,          40,      -5.060415012,      -1.896233484,      -2.769574152,      0.4009496696
          0,           0,          41,      -5.081067172,      -1.916463896,      -2.780552564,      0.3820030768
          0,           0,          42,      -5.101900667,      -1.936489653,      -2.792949875,      0.3629732451
          0,           0,          43,      -5.123018432,      -1.956361774,      -2.807166939,      0.3437539422
          0,           0,          44,      -5.144477831,      -1.976124632,      -2.823373162,      0.3242872497
          0,           0,          45,      -5.166302119,      -1.995818114,      -2.841577889,      0.3045511758
          0,           0,          46,      -5.188491204,      -2.015480311,      -2.861680582,      0.2845468654
          0,           0,          47,      -5.211024091,      -2.035144331,      -2.883503283,      0.2642967866
          0,           0,          48,      -5.233877021,      -2.054841193,      -2.906828068,      0.2438253599
          0,           0,          49,      -5.257020058,      -2.074599239,      -2.931398818,       0.223160548
          0,           0,          50,       -5.28041433,      -2.094443224,      -2.956945203,      0.2023358159
          0,           0,          51,      -5.304019231,       -2.11439374,      -2.983188145,      0.1813839523
          0,           0,          52,      -5.327794998,       -2.13446837,      -3.009856953,      0.1603338688
          0,           0,          53,      -5.351704422,       -2.15468113,      -3.036684127,      0.1392097877
          0,           0,          54,      -5.375714692,        -2.1750434,      -3.063431566,      0.1180304753
          0,           0,          55,      -5.399797167,       -2.19556391,      -3.089896328,     0.09680935175
          0,           0,          56,      -5.423928916,      -2.216249241,      -3.115909725,     0.07555400595
          0,           0,          57,      -5.448093766,      -2.237104131,      -3.141350451,     0.05426608967
          0,           0,          58,      -5.472281797,      -2.258131849,      -3.166143316,     0.03294205604
          0,           0,          59,       -5.49648982,      -2.279334791,      -3.190254039,     0.01157387198
          0,           0,          60,      -5.520722157,      -2.300714459,      -3.213696024,     -0.0098520058
          0,           0,          61,      -5.544986289,      -2.322271624,      -3.236513064,    -0.03135052563
          0,           0,          62,      -5.569295331,      -2.344006588,      -3.258787778,    -0.05293963813
          0,           0,          63,      -5.593665022,      -2.365919167,      -3.280616676,    -0.07463776036
          0,           0,          64,      -5.618107044,      -2.388008636,       -3.30210879,    -0.09645804502
          0,           0,          65,      -5.642633597,      -2.410273998,      -3.323376311,     -0.1184124591
          0,           0,          66,      -5.667261116,      -2.432714102,       -3.34452204,     -0.1405155567
          0,           0,          67,      -5.692006401,      -2.455327771,      -3.365643171,     -0.1627808642
          0,           0,          68,      -5.716882786,      -2.478113575,      -3.386825563,     -0.1852183097
          0,           0,          69,      -5.741901079,      -2.501069911,      -3.408138598,     -0.2078350204
          0,           0,          70,      -5.767070879,      -2.524195063,      -3.429636646,     -0.2306364937
          0,           0,          71,      -5.792400153,      -2.547487202,      -3.451360362,     -0.2536263215
          0,           0,          72,      -5.817894637,      -2.570944348,       -3.47333732,      -0.276806076
          0,           0,          73,       -5.84355741,      -2.594564455,      -3.495584905,     -0.3001751392
          0,           0,          74,      -5.869389336,       -2.61834543,      -3.518109143,       -0.32373121
          0,           0,          75,      -5.895389394,      -2.642284905,       -3.54091116,     -0.3474706224
          0,           0,          76,      -5.921556287,      -2.666380556,       -3.56398545,     -0.3713894179
          0,           0,          77,      -5.947888993,      -2.690630404,      -3.587312379,     -0.3954843528
          0,           0,          78,      -5.974385226,      -2.715032331,      -3.610878034,     -0.4197514852
          0,           0,          79,      -6.001039797,      -2.739583609,      -3.634669576,     -0.4441847331
          0,           0,          80,      -6.027846689,      -2.764281548,      -3.658669233,     -0.4687777503
          0,           0,          81,      -6.054800406,      -2.789123637,      -3.682859243,     -0.4935250064
          0,           0,          82,      -6.081895694,      -2.814107318,      -3.707223047,     -0.5184213027
          0,           0,          83,      -6.109127991,      -2.839230003,      -3.731745744,     -0.5434620797
          0,           0,          84,      -6.136492352,      -2.864489166,      -3.756414025,     -0.5686426473
          0,           0,          85,      -6.163984184,      -2.889882283,      -3.781216493,     -0.5939587369
          0,           0,          86,      -6.191599677,      -2.915406857,      -3.806147233,      -0.619406908
          0,           0,          87,       -6.21933338,      -2.941060398,       -3.83118945,     -0.6449827027
          0,           0,          88,       -6.24718217,      -2.966840494,      -3.856340572,     -0.6706835121
          0,           0,          89,      -6.275142057,      -2.992744636,      -3.881597599,     -0.6965060568
          0,           0,          90,      -6.303210399,      -3.018770489,      -3.906956691,     -0.7224480925
          0,           0,          91,      -6.331384721,      -3.044915782,      -3.932412457,     -0.7485075916
          0,           0,          92,      -6.359663113,      -3.071178335,      -3.957963527,     -0.7746830228
          0,           0,          93,       -6.38803905,      -3.097555692,      -3.983610935,      -0.800969687
          0,           0,          94,      -6.416509328,      -3.124045692,       -4.00935538,     -0.8273652318
          0,           0,          95,      -6.445071784,      -3.150646298,      -4.035193191,     -0.8538679381
          0,           0,          96,      -6.473724869,      -3.177355609,      -4.061121684,     -0.8804766435
          0,           0,          97,      -6.502466521,      -3.204171745,      -4.087138854,     -0.9071898494
          0,           0,          98,      -6.531294069,      -3.231092849,      -4.113242716,     -0.9340056469
          0,           0,          99,      -6.560204474,      -3.258117132,      -4.139429597,     -0.9609219635
          0,           0,         100,      -6.589195472,       -3.28524289,      -4.165697332,     -0.9879371688
          0,           0,         101,      -6.618263346,      -3.312468436,      -4.192044995,      -1.015048925
          0,           0,         102,      -6.647405135,      -3.339792231,      -4.218468855,      -1.042255456
          0,           0,         103,      -6.676617087,      -3.367212757,      -4.244965109,      -1.069554289
          0,           0,         104,      -6.705896721,      -3.394728617,      -4.271529969,      -1.096943887
          0,           0,         105,      -6.735241822,      -3.422338472,      -4.298160752,      -1.124422938
          0,           0,         106,      -6.764649802,      -3.450040987,      -4.324855121,      -1.151989821
          0,           0,         107,      -6.794117869,      -3.477834913,      -4.351610439,      -1.179642826
          0,           0,         108,      -6.823643652,      -3.505719074,      -4.378424293,      -1.207380578
          0,           0,         109,      -6.853224643,      -3.533692331,      -4.405295766,      -1.235201583
          0,           0,         110,      -6.882859017,      -3.561753584,      -4.432221933,      -1.263104642
          0,           0,         111,      -6.912545606,      -3.589901851,      -4.459202141,      -1.291089153
          0,           0,         112,      -6.942282823,      -3.618136137,      -4.486236417,      -1.319154126
          0,           0,         113,      -6.972069075,      -3.646455473,      -4.513324935,      -1.347298505
          0,           0,         114,      -7.001903058,      -3.674858938,      -4.540468088,       -1.37552142
          0,           0,         115,      -7.031783774,      -3.703345664,      -4.567666634,      -1.403822175
          0,           0,         116,      -7.061710409,        -3.7319148,      -4.594921739,      -1.432200136
          0,           0,         117,      -7.091682415,      -3.760565553,      -4.622234703,      -1.460654913
          0,           0,         118,      -7.121699293,      -3.789297135,      -4.649607086,      -1.489186016
          0,           0,         119,      -7.151760612,      -3.818108781,      -4.677040595,      -1.517792974
          0,           0,         120,      -7.181866062,      -3.846999762,      -4.704537019,      -1.546475404
          0,           0,         121,      -7.212015386,       -3.87596936,      -4.732098176,      -1.575232942
          0,           0,         122,      -7.242208336,      -3.905016875,      -4.759725807,      -1.604065225
          0,           0,         123,      -7.272444675,      -3.934141622,      -4.787421522,      -1.632971896
