VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.457343601,      0.7846334951,       1.050553573,       4.002284602
          0,           0,           1,      -1.958692195,      0.4370881615,      0.5859253702,       3.514773451
          0,           0,           2,      -2.201502319,      0.2310564848,      0.3510656936,       3.277783458
          0,           0,           3,      -2.371088958,     0.09107063845,      0.1633440631,        3.10985465
          0,           0,           4,      -2.535337285,    -0.03828009012,    -0.01044834032,       2.946300517
          0,           0,           5,      -2.691710771,     -0.1560456363,     -0.1752807472,       2.789286875
          0,           0,           6,      -2.837159933,     -0.2562783861,     -0.3351558519,       2.643061405
          0,           0,           7,      -2.979680779,     -0.3442314316,     -0.4912690394,       2.500966731
          0,           0,           8,      -3.121748785,     -0.4207337761,     -0.6395523626,       2.360729702
          0,           0,           9,      -3.261121067,     -0.4895900855,     -0.7802563279,       2.224632933
          0,           0,          10,      -3.394361102,     -0.5543882207,     -0.9171650938,       2.095707673
          0,           0,          11,      -3.520163569,     -0.6153549547,      -1.049961007,       1.974933406
          0,           0,          12,      -3.636954551,      -0.671725063,       -1.17402292,       1.864235583
          0,           0,          13,      -3.743031801,     -0.7235820447,      -1.286255986,       1.765893263
          0,           0,          14,      -3.837435682,     -0.7713813772,      -1.387438864,       1.680778209
          0,           0,          15,      -3.920882557,     -0.8155936792,      -1.477702339,       1.607558674
          0,           0,          16,      -3.995192887,     -0.8569501459,      -1.554808251,       1.543494365
          0,           0,          17,      -4.061313002,     -0.8965549052,      -1.618218118,       1.486076633
          0,           0,          18,      -4.119977737,     -0.9356678385,      -1.671432045,       1.432998063
          0,           0,          19,      -4.172912088,      -0.975343881,      -1.719309026,       1.382070306
          0,           0,          20,      -4.222361841,      -1.016150962,      -1.764908959,       1.331845708
          0,           0,          21,      -4.270156007,      -1.058127604,        -1.8090878,       1.281875797
          0,           0,          22,      -4.317125477,      -1.100910167,      -1.851811575,       1.232522098
          0,           0,          23,      -4.363085092,      -1.143938678,       -1.89335067,       1.184580464
          0,           0,          24,      -4.407331144,      -1.186650657,      -1.934420918,       1.138819651
          0,           0,          25,      -4.449317813,      -1.228600928,      -1.975690748,       1.095584401
          0,           0,          26,      -4.489059068,      -1.269486924,      -2.017363111,       1.054669388
          0,           0,          27,      -4.527044172,      -1.309124376,      -2.059152157,       1.015502759
          0,           0,          28,      -4.563856144,      -1.347405885,      -2.100511111,      0.9774738478
          0,           0,          29,      -4.599832675,      -1.384283038,      -2.140890282,      0.9401730194
          0,           0,          30,      -4.634954585,      -1.419767011,      -2.179839267,      0.9034694554
          0,           0,          31,      -4.668949115,      -1.453934851,      -2.217018084,      0.8674472812
          0,           0,          32,      -4.701492616,      -1.486924163,      -2.252163658,      0.8322828751
          0,           0,          33,      -4.732390671,      -1.518907397,      -2.285097342,      0.7981371117
          0,           0,          34,      -4.761659859,      -1.550061945,      -2.315770422,      0.7650920452
          0,           0,          35,      -4.789507214,      -1.580540175,      -2.344301918,      0.7331400007
          0,           0,          36,      -4.816246631,      -1.610452221,      -2.370978154,      0.7022018178
          0,           0,          37,      -4.842199864,       -1.63985134,      -2.396194193,      0.6721730311
          0,           0,          38,      -4.867636003,       -1.66874907,      -2.420381495,      0.6429444888
          0,           0,          39,      -4.892742715,      -1.697124154,      -2.443938085,      0.6144256658
          0,           0,          40,       -4.91763108,      -1.724937322,      -2.467186549,      0.5865500969
          0,           0,          41,      -4.942358629,      -1.752145171,      -2.490355758,      0.5592695941
          0,           0,          42,      -4.966944113,      -1.778708543,      -2.513605957,      0.5325480192
          0,           0,          43,      -4.991375897,      -1.804603115,      -2.536994134,      0.5063740399
          0,           0,          44,      -5.015636285,      -1.829821941,      -2.560540613,      0.4807365055
