VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.533268122,      0.7879157791,       0.933873817,       3.926360081
          0,           0,           1,      -1.980397702,       0.379147177,      0.5549542587,       3.497931856
          0,           0,           2,      -2.226845167,      0.1647219911,      0.3113577418,       3.256635302
          0,           0,           3,      -2.393668647,     0.00633933306,      0.1232407238,       3.089598184
          0,           0,           4,      -2.552750846,     -0.1374169172,    -0.05253985169,        2.92901715
          0,           0,           5,      -2.707692106,     -0.2675742665,      -0.225501461,       2.771477099
          0,           0,           6,      -2.863448492,     -0.3896339704,     -0.3883806916,       2.613927811
          0,           0,           7,      -3.019177114,     -0.5060711138,     -0.5446607376,       2.457114242
          0,           0,           8,      -3.171056423,     -0.6129810973,     -0.6994133148,       2.304118683
          0,           0,           9,      -3.319849678,     -0.7087823949,     -0.8513125924,        2.15413538
          0,           0,          10,      -3.464809821,     -0.7944132131,     -0.9997237498,       2.007903772
          0,           0,          11,      -3.601869796,     -0.8709337835,      -1.145268695,        1.86944953
          0,           0,          12,      -3.729281789,     -0.9386078069,      -1.285629957,       1.740816054
          0,           0,          13,      -3.847457008,     -0.9977319851,       -1.41777503,       1.621924114
          0,           0,          14,      -3.955829714,       -1.04947551,      -1.540879222,       1.513462408
          0,           0,          15,      -4.053982405,      -1.095955482,      -1.655258767,       1.415980068
          0,           0,          16,      -4.142347564,      -1.138945792,      -1.759631666,       1.329341776
          0,           0,          17,      -4.221358878,      -1.179331701,       -1.85108214,        1.25319232
          0,           0,          18,      -4.290946621,      -1.217753952,      -1.928941957,       1.186865639
          0,           0,          19,      -4.351590847,        -1.2551199,      -1.996683552,       1.128713974
          0,           0,          20,      -4.405226322,      -1.292377201,      -2.058190964,       1.076253322
          0,           0,          21,      -4.454424158,      -1.330039347,      -2.114646465,       1.027272913
          0,           0,          22,      -4.501004121,      -1.368010872,      -2.165862337,       0.980684467
          0,           0,          23,      -4.545654349,      -1.405807704,       -2.21263541,      0.9363515155
          0,           0,          24,      -4.588440179,      -1.442916225,      -2.256967792,      0.8943961666
          0,           0,          25,      -4.629420555,      -1.479029932,      -2.300842426,       0.854677616
          0,           0,          26,      -4.668901078,      -1.514064413,      -2.345355296,      0.8167538776
          0,           0,          27,      -4.707398465,       -1.54803989,      -2.390702101,       0.780080814
          0,           0,          28,      -4.745459352,       -1.58096714,      -2.436585704,      0.7441967604
          0,           0,          29,       -4.78342473,      -1.612804803,      -2.482578586,      0.7088466894
          0,           0,          30,      -4.821238833,      -1.643478446,       -2.52826934,      0.6740553712
          0,           0,          31,      -4.858453185,       -1.67292444,      -2.573228736,      0.6400812979
          0,           0,          32,      -4.894396416,       -1.70113286,      -2.616903042,      0.6073029134
          0,           0,          33,      -4.928445559,      -1.728164544,       -2.65859349,      0.5760567418
          0,           0,          34,       -4.96024395,      -1.754138537,      -2.697567306,      0.5465213636
          0,           0,          35,      -4.989771977,      -1.779199929,      -2.733224827,      0.5186913702
          0,           0,          36,      -5.017281547,      -1.803486392,      -2.765293528,      0.4924139181
          0,           0,          37,      -5.043154162,      -1.827103707,      -2.793915328,      0.4674628106
          0,           0,          38,      -5.067766322,      -1.850117534,      -2.819587351,      0.4436069307
          0,           0,          39,      -5.091406994,      -1.872559015,      -2.842984604,      0.4206560279
          0,           0,          40,      -5.114257301,      -1.894439271,      -2.864768397,      0.3984749656
          0,           0,          41,      -5.136411454,      -1.915762286,      -2.885460976,       0.376977361
          0,           0,          42,      -5.157913863,      -1.936539081,      -2.905407394,      0.3561064502
          0,           0,          43,      -5.178794536,      -1.956794336,       -2.92480069,      0.3358159756
          0,           0,          44,      -5.199091198,      -1.976568176,      -2.943731512,      0.3160573713
          0,           0,          45,      -5.218859048,      -1.995914387,      -2.962239317,      0.2967730629
          0,           0,          46,      -5.238169227,      -2.014896983,      -2.980344985,      0.2778962069
          0,           0,          47,      -5.257102333,      -2.033583038,      -2.998077858,      0.2593561761
          0,           0,          48,      -5.275741125,      -2.052039438,      -3.015485951,       0.241081534
          0,           0,          49,      -5.294164847,      -2.070330054,      -3.032639616,      0.2230032745
          0,           0,          50,      -5.312445079,       -2.08851371,      -3.049624496,      0.2050577783
          0,           0,          51,       -5.33064466,      -2.106642469,      -3.066533782,      0.1871879808
          0,           0,          52,      -5.348817656,      -2.124761491,      -3.083458736,      0.1693437515
          0,           0,          53,      -5.367010751,      -2.142908587,      -3.100479647,      0.1514819073
          0,           0,          54,      -5.385263482,      -2.161113595,      -3.117660164,       0.133566889
          0,           0,          55,      -5.403609676,       -2.17940048,      -3.135045054,      0.1155685678
          0,           0,          56,       -5.42207701,      -2.197787701,      -3.152664792,     0.09746271955
          0,           0,          57,       -5.44068721,      -2.216288467,      -3.170534017,     0.07923113159
          0,           0,          58,      -5.459457135,      -2.234912079,      -3.188654868,     0.06086021322
          0,           0,          59,      -5.478396412,      -2.253664218,      -3.207022887,     0.04234281962
          0,           0,          60,      -5.497511661,      -2.272548274,      -3.225625395,     0.02367471401
          0,           0,          61,      -5.516806216,      -2.291565912,      -3.244446505,    0.004854222905
          0,           0,          62,      -5.536280846,      -2.310717732,      -3.263470232,    -0.01411829776
          0,           0,          63,      -5.555934449,      -2.330003702,      -3.282680245,    -0.03324117534
          0,           0,          64,      -5.575765587,      -2.349423337,      -3.302058287,    -0.05251258015
          0,           0,          65,      -5.595772207,      -2.368975831,         -3.321589,    -0.07193052831
          0,           0,          66,      -5.615949988,      -2.388660415,      -3.341262673,    -0.09149148249
          0,           0,          67,      -5.636296027,      -2.408476381,      -3.361067549,     -0.1111932182
          0,           0,          68,      -5.656807892,      -2.428423207,      -3.380994385,     -0.1310344198
          0,           0,          69,      -5.677482772,      -2.448500219,      -3.401036321,     -0.1510135432
          0,           0,          70,      -5.698319117,      -2.468706817,      -3.421189459,     -0.1711301979
          0,           0,          71,      -5.719314969,      -2.489042393,      -3.441453848,      -0.191383991
          0,           0,          72,      -5.740466653,      -2.509506176,      -3.461830385,     -0.2117730696
          0,           0,          73,      -5.761771204,      -2.530097268,       -3.48231928,     -0.2322961427
          0,           0,          74,        -5.7832279,      -2.550814839,      -3.502921857,     -0.2529536208
          0,           0,          75,      -5.804835066,      -2.571658011,      -3.523641779,     -0.2737452672
          0,           0,          76,      -5.826592329,       -2.59262604,      -3.544475076,     -0.2946714823
          0,           0,          77,      -5.848497492,      -2.613717428,      -3.565435424,      -0.315731215
          0,           0,          78,      -5.870544505,      -2.634930388,      -3.586525604,     -0.3369205725
          0,           0,          79,      -5.892731523,      -2.656263637,      -3.607740601,     -0.3582386174
          0,           0,          80,      -5.915057763,      -2.677715996,      -3.629083212,     -0.3796852573
          0,           0,          81,       -5.93752046,      -2.699285676,      -3.650555089,     -0.4012583302
          0,           0,          82,      -5.960116086,       -2.72097116,      -3.672158235,     -0.4229552844
          0,           0,          83,      -5.982842449,      -2.742770611,      -3.693892387,     -0.4447746279
          0,           0,          84,      -6.005692634,       -2.76468247,       -3.71576574,     -0.4667108742
          0,           0,          85,       -6.02867133,      -2.786705307,       -3.73776831,     -0.4887679924
          0,           0,          86,      -6.051777866,      -2.808837538,      -3.759894401,     -0.5109454021
          0,           0,          87,      -6.075008393,      -2.831077405,      -3.782143804,     -0.5332399754
          0,           0,          88,      -6.098358346,      -2.853423007,      -3.804517243,     -0.5556481157
          0,           0,          89,      -6.121824625,      -2.875872709,      -3.827012696,     -0.5781673809
          0,           0,          90,      -6.145405548,      -2.898424877,      -3.849629169,      -0.600796267
          0,           0,          91,      -6.169097905,      -2.921078055,      -3.872364707,      -0.623532416
          0,           0,          92,      -6.192899636,      -2.943830788,      -3.895217862,     -0.6463743281
          0,           0,          93,      -6.216805786,      -2.966681861,      -3.918183217,     -0.6693177938
          0,           0,          94,       -6.24081715,      -2.989629988,      -3.941261528,     -0.6923636296
          0,           0,          95,      -6.264932194,      -3.012673626,       -3.96445189,      -0.715510745
          0,           0,          96,      -6.289149598,      -3.035811475,      -3.987749341,      -0.738758196
          0,           0,          97,      -6.313466496,      -3.059042104,      -4.011153188,     -0.7621036371
          0,           0,          98,      -6.337879595,      -3.082364161,      -4.034661307,     -0.7855444945
          0,           0,          99,      -6.362386929,      -3.105776485,      -4.058270283,      -0.809079287
          0,           0,         100,      -6.386987802,      -3.129278137,      -4.081980689,     -0.8327075264
          0,           0,         101,      -6.411679705,      -3.152867946,      -4.105792174,     -0.8564271249
          0,           0,         102,      -6.436460547,      -3.176544826,      -4.129702272,     -0.8802366436
          0,           0,         103,      -6.461328688,      -3.200307774,      -4.153708904,     -0.9041349108
          0,           0,         104,      -6.486282779,      -3.224155821,      -4.177810451,     -0.9281209267
          0,           0,         105,      -6.511321359,       -3.24808804,      -4.202005596,     -0.9521936853
          0,           0,         106,      -6.536442803,      -3.272103614,      -4.226292423,     -0.9763520693
          0,           0,         107,      -6.561645491,      -3.296201562,      -4.250670051,      -1.000594835
          0,           0,         108,      -6.586927662,      -3.320380989,      -4.275137984,       -1.02492072
          0,           0,         109,         -6.612288,      -3.344641108,      -4.299694309,       -1.04932876
          0,           0,         110,      -6.637725294,      -3.368981177,      -4.324337571,      -1.073818093
          0,           0,         111,      -6.663238198,      -3.393400468,      -4.349066646,       -1.09838777
          0,           0,         112,      -6.688825466,      -3.417898281,      -4.373880548,      -1.123036913
          0,           0,         113,      -6.714485926,      -3.442473951,      -4.398778314,      -1.147764706
          0,           0,         114,      -6.740218467,      -3.467126846,      -4.423758971,      -1.172570387
          0,           0,         115,       -6.76602204,      -3.491856362,      -4.448821567,      -1.197453233
          0,           0,         116,      -6.791895636,      -3.516661922,       -4.47396518,      -1.222412548
          0,           0,         117,      -6.817838241,      -3.541542973,      -4.499189072,      -1.247447633
          0,           0,         118,      -6.843848518,      -3.566498949,      -4.524492523,      -1.272557544
          0,           0,         119,      -6.869926064,      -3.591529397,      -4.549874163,      -1.297742036
          0,           0,         120,      -6.896070161,      -3.616633846,      -4.575333242,      -1.323000606
          0,           0,         121,      -6.922280377,      -3.641811872,      -4.600869336,      -1.348332951
          0,           0,         122,      -6.948556756,      -3.667063004,      -4.626481847,      -1.373739128
          0,           0,         123,      -6.974896351,       -3.69238681,      -4.652170376,      -1.399217025
          0,           0,         124,      -7.001298644,      -3.717782828,      -4.677932755,      -1.424766285
          0,           0,         125,      -7.027763561,      -3.743250665,       -4.70376904,      -1.450386919
          0,           0,         126,      -7.054290909,      -3.768789927,      -4.729679123,      -1.476078734
          0,           0,         127,      -7.080879498,      -3.794400275,      -4.755662158,      -1.501840861
          0,           0,         128,      -7.107528058,      -3.820081388,      -4.781717323,      -1.527672393
          0,           0,         129,      -7.134237403,      -3.845832847,      -4.807844933,      -1.553573841
          0,           0,         130,      -7.161007301,      -3.871654318,       -4.83404408,      -1.579545023
          0,           0,         131,      -7.187837058,      -3.897545432,      -4.860314159,      -1.605585418
          0,           0,         132,      -7.214726078,      -3.923505836,      -4.886654516,      -1.631694568
          0,           0,         133,      -7.241673838,      -3.949535186,      -4.913064551,      -1.657872063
          0,           0,         134,      -7.268679833,      -3.975633136,      -4.939543755,      -1.684117494
          0,           0,         135,      -7.295743593,      -4.001799348,      -4.966091658,      -1.710430468
          0,           0,         136,      -7.322864695,      -4.028033493,      -4.992707775,      -1.736810625
          0,           0,         137,      -7.350042766,      -4.054335249,        -5.0193916,      -1.763257632
          0,           0,         138,      -7.377277458,      -4.080704301,       -5.04614262,      -1.789771167
          0,           0,         139,      -7.404568428,      -4.107140336,      -5.072960329,      -1.816350906
          0,           0,         140,      -7.431915337,       -4.13364304,      -5.099844239,      -1.842996517
          0,           0,         141,      -7.459317847,      -4.160212098,      -5.126793885,      -1.869707668
          0,           0,         142,       -7.48677563,      -4.186847198,      -5.153808819,      -1.896484025
          0,           0,         143,       -7.51428838,      -4.213548028,        -5.1808886,      -1.923325265
          0,           0,         144,      -7.541855808,       -4.24031428,      -5.208032796,      -1.950231068
          0,           0,         145,      -7.569477641,      -4.267145644,      -5.235240971,      -1.977201127
          0,           0,         146,       -7.59715362,      -4.294041814,      -5.262512695,      -2.004235133
          0,           0,         147,      -7.624883494,      -4.321002485,      -5.289847535,      -2.031332783
          0,           0,         148,      -7.652667025,      -4.348027352,      -5.317245061,      -2.058493774
          0,           0,         149,      -7.680503971,      -4.375116109,       -5.34470485,      -2.085717799
          0,           0,         150,      -7.708394093,      -4.402268454,      -5.372226482,      -2.113004551
          0,           0,         151,      -7.736337209,      -4.429484085,      -5.399809535,      -2.140353749
          0,           0,         152,      -7.764333097,      -4.456762702,      -5.427453588,      -2.167765094
          0,           0,         153,       -7.79238154,      -4.484104004,      -5.455158228,      -2.195238281
          0,           0,         154,      -7.820482341,      -4.511507692,      -5.482923042,      -2.222773015
          0,           0,         155,      -7.848635305,      -4.538973468,      -5.510747621,      -2.250368999
          0,           0,         156,      -7.876840249,      -4.566501035,      -5.538631559,       -2.27802594
          0,           0,         157,      -7.905096994,      -4.594090097,      -5.566574458,      -2.305743545
          0,           0,         158,      -7.933405357,      -4.621740359,      -5.594575917,      -2.333521521
          0,           0,         159,      -7.961765167,      -4.649451527,      -5.622635545,      -2.361359575
          0,           0,         160,      -7.990176252,      -4.677223309,      -5.650752949,      -2.389257418
          0,           0,         161,      -8.018638454,      -4.705055413,      -5.678927742,       -2.41721476
          0,           0,         162,      -8.047151614,      -4.732947551,      -5.707159537,      -2.445231315
          0,           0,         163,      -8.075715572,      -4.760899435,      -5.735447955,      -2.473306796
          0,           0,         164,      -8.104330183,      -4.788910778,      -5.763792612,       -2.50144092
          0,           0,         165,      -8.132995296,      -4.816981295,      -5.792193128,      -2.529633402
          0,           0,         166,      -8.161710767,      -4.845110705,      -5.820649139,      -2.557883963
          0,           0,         167,      -8.190476454,      -4.873298726,      -5.849160271,      -2.586192319
          0,           0,         168,       -8.21929222,       -4.90154508,      -5.877726154,      -2.614558192
