VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.420412119,      0.8932451914,       1.046261475,       4.039216083
          0,           0,           1,      -1.866163359,      0.5305265511,      0.6745966697,       3.612263155
          0,           0,           2,      -2.123526266,      0.3098355048,      0.4237996541,       3.361788371
          0,           0,           3,      -2.282212485,       0.151967798,       0.228427777,       3.202181586
          0,           0,           4,      -2.435165559,     0.01373788269,     0.05532824836,       3.046699639
          0,           0,           5,      -2.590469635,     -0.1151921816,     -0.1083009656,       2.888882916
          0,           0,           6,      -2.741096496,     -0.2311940813,      -0.265998618,       2.736148889
          0,           0,           7,       -2.88523378,     -0.3364518108,     -0.4211326727,       2.590252983
          0,           0,           8,      -3.025898829,     -0.4287434386,      -0.572514322,       2.448533549
          0,           0,           9,      -3.166593733,     -0.5091649236,     -0.7185991115,       2.307754094
          0,           0,          10,      -3.306136207,      -0.581983374,     -0.8589833352,        2.16869082
          0,           0,          11,      -3.440411226,     -0.6490830999,     -0.9931348212,       2.035015176
          0,           0,          12,      -3.565496939,     -0.7099137897,       -1.12164837,       1.910682616
          0,           0,          13,      -3.678148328,     -0.7639890393,      -1.243756309,       1.799238098
          0,           0,          14,      -3.776664652,     -0.8120140237,       -1.35634232,       1.702652704
          0,           0,          15,      -3.862740581,     -0.8554932074,      -1.457451411,       1.619435512
          0,           0,          16,      -3.939011025,     -0.8957262797,      -1.547230058,       1.546908881
          0,           0,          17,      -4.006316624,     -0.9334196439,      -1.626162137,       1.483803763
          0,           0,          18,      -4.064756876,     -0.9689827144,      -1.694343506,       1.429336299
          0,           0,          19,      -4.115845329,      -1.003014099,      -1.752628264,       1.381397932
          0,           0,          20,      -4.162363769,      -1.036361502,      -1.803143777,       1.336966737
          0,           0,          21,      -4.206659846,      -1.069831946,      -1.848599681,       1.293810003
          0,           0,          22,      -4.249913686,      -1.103884446,      -1.891358672,       1.251131563
          0,           0,          23,      -4.292380073,      -1.138530654,      -1.932956812,       1.209166489
          0,           0,          24,      -4.333822911,      -1.173452719,      -1.974236046,        1.16851094
          0,           0,          25,      -4.373962263,       -1.20820243,      -2.015750887,       1.129539538
          0,           0,          26,       -4.41269998,      -1.242364914,      -2.057911784,       1.092212761
          0,           0,          27,      -4.450063612,      -1.275636779,      -2.100878989,       1.056271901
          0,           0,          28,      -4.486055615,      -1.307829455,       -2.14447139,       1.021524294
          0,           0,          29,      -4.520610405,      -1.338841119,      -2.188233996,      0.9879461257
          0,           0,          30,      -4.553621415,       -1.36863243,      -2.231553642,      0.9556420318
          0,           0,          31,       -4.58503099,      -1.397209086,      -2.273790611,      0.9247087803
          0,           0,          32,      -4.614870233,      -1.424612262,      -2.314356476,      0.8951524257
          0,           0,          33,      -4.643231063,      -1.450913832,      -2.352771767,      0.8668947475
          0,           0,          34,      -4.670225442,      -1.476212587,      -2.388710943,      0.8398162424
          0,           0,          35,      -4.695963996,      -1.500621372,      -2.422022131,      0.8137930973
          0,           0,          36,      -4.720557097,      -1.524255098,      -2.452692881,      0.7887150202
          0,           0,          37,      -4.744124528,      -1.547220216,      -2.480839343,      0.7644828036
          0,           0,          38,      -4.766800319,      -1.569607547,      -2.506689777,      0.7410014124
          0,           0,          39,      -4.788727995,      -1.591489465,      -2.530562307,      0.7181758445
          0,           0,          40,      -4.810047819,      -1.612921828,      -2.552836024,      0.6959132947
          0,           0,          41,      -4.830883732,      -1.633946476,      -2.573894804,      0.6741294209
          0,           0,          42,      -4.851339164,      -1.654596047,       -2.59409146,      0.6527499481
          0,           0,          43,       -4.87149394,      -1.674898469,       -2.61371782,      0.6317132451
          0,           0,          44,       -4.89140752,      -1.694878499,       -2.63298679,      0.6109707301
          0,           0,          45,      -4.911120065,      -1.714562427,      -2.652039536,      0.5904872893
          0,           0,          46,      -4.930659101,      -1.733978161,      -2.670960019,      0.5702364974
          0,           0,          47,      -4.950044312,      -1.753156058,      -2.689783365,      0.5501979875
          0,           0,          48,      -4.969293097,      -1.772128848,      -2.708513764,      0.5303529244
          0,           0,          49,       -4.98842469,      -1.790931433,      -2.727140197,      0.5106802701
          0,           0,          50,      -5.007459926,      -1.809599856,      -2.745646862,      0.4911568928
          0,           0,          51,      -5.026422139,      -1.828170451,       -2.76401776,      0.4717572105
          0,           0,          52,      -5.045336836,       -1.84667884,      -2.782243883,      0.4524535071
          0,           0,          53,      -5.064229669,       -1.86515898,      -2.800324945,       0.433218034
          0,           0,          54,      -5.083126411,      -1.883641976,      -2.818271555,      0.4140234869
          0,           0,          55,      -5.102053148,      -1.902156698,      -2.836102101,      0.3948424878
          0,           0,          56,      -5.121036306,       -1.92072862,      -2.853844313,      0.3756476463
          0,           0,          57,      -5.140098722,      -1.939379922,      -2.871534578,      0.3564148741
          0,           0,          58,      -5.159259424,       -1.95812995,      -2.889213719,       0.337123348
          0,           0,          59,      -5.178537024,      -1.976994491,      -2.906920844,      0.3177532356
          0,           0,          60,      -5.197948237,      -1.995986799,       -2.92469648,      0.2982860854
          0,           0,          61,      -5.217506657,      -2.015117513,      -2.942579123,      0.2787063511
          0,           0,          62,      -5.237221572,      -2.034394591,      -2.960603644,      0.2590024721
          0,           0,          63,      -5.257099056,      -2.053823982,      -2.978802571,      0.2391659894
          0,           0,          64,      -5.277145409,      -2.073409916,      -2.997197902,      0.2191887652
          0,           0,          65,      -5.297363254,      -2.093154974,      -3.015807024,      0.1990662772
          0,           0,          66,      -5.317753552,      -2.113060408,      -3.034643024,      0.1787958585
          0,           0,          67,      -5.338316175,      -2.133126434,      -3.053714767,      0.1583761723
          0,           0,          68,      -5.359049251,      -2.153352578,      -3.073026664,      0.1378077457
          0,           0,          69,      -5.379952025,      -2.173737704,      -3.092579836,      0.1170906098
          0,           0,          70,      -5.401024365,      -2.194280533,      -3.112373508,     0.09622432173
