VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.62390205,      0.5758946918,      0.8945048258,       3.835726153
          0,           0,           1,      -2.099659643,      0.2588524779,       0.463093193,       3.375144386
          0,           0,           2,      -2.354969749,     0.04757324877,      0.2112475706,       3.124763599
          0,           0,           3,      -2.521568062,     -0.1016719485,     0.01375263175,       2.958710406
          0,           0,           4,      -2.681091741,     -0.2373649299,     -0.1632295737,       2.798793193
          0,           0,           5,       -2.83867538,     -0.3636088199,     -0.3298450749,       2.640050024
          0,           0,           6,      -2.989147603,     -0.4785440393,     -0.4914955311,       2.488328387
          0,           0,           7,      -3.137438788,     -0.5852624175,      -0.650320437,       2.339162518
          0,           0,           8,      -3.283566097,     -0.6814166525,     -0.8040860318,       2.192422807
          0,           0,           9,      -3.426324214,      -0.767097242,     -0.9513208899,       2.049551383
          0,           0,          10,      -3.564970999,     -0.8447313621,      -1.091059488,       1.911270005
          0,           0,          11,      -3.698597507,     -0.9160543032,      -1.224431091,       1.778186148
          0,           0,          12,      -3.824567269,     -0.9812745956,      -1.352915883,       1.652929348
          0,           0,          13,      -3.938741251,      -1.039980692,      -1.473529661,        1.53976558
          0,           0,          14,      -4.042030041,      -1.092611969,      -1.583354259,       1.438075864
          0,           0,          15,      -4.135899006,      -1.140260922,      -1.683686499,       1.346712133
          0,           0,          16,      -4.218543887,      -1.183813568,      -1.775271593,       1.267670494
          0,           0,          17,      -4.290785202,      -1.223938689,       -1.85650284,       1.200280872
          0,           0,          18,       -4.35520984,       -1.26137092,      -1.927422675,       1.141507096
          0,           0,          19,      -4.413106949,      -1.296989761,      -1.989995873,       1.088880559
          0,           0,          20,      -4.466140799,      -1.331712728,      -2.046404502,       1.039828725
          0,           0,          21,      -4.516232821,      -1.366243776,      -2.098671983,      0.9922931542
          0,           0,          22,      -4.564008529,      -1.400890759,      -2.148078727,      0.9459269084
          0,           0,          23,      -4.609016985,      -1.435602442,      -2.195183328,      0.9015700143
          0,           0,          24,      -4.650969254,      -1.470138002,      -2.240493622,       0.859950108
          0,           0,          25,      -4.690469957,      -1.504234869,      -2.284605316,      0.8208858048
