VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.426409624,      0.8170510777,       1.076000243,       4.033218579
          0,           0,           1,      -1.895768536,      0.5011067816,      0.6656775869,       3.581448713
          0,           0,           2,      -2.145069379,      0.2907018172,      0.4228127091,       3.338370281
          0,           0,           3,      -2.305247372,      0.1420867539,      0.2240496129,       3.177883209
          0,           0,           4,      -2.464318375,    0.007191966975,     0.04571336952,       3.017771835
          0,           0,           5,      -2.621079559,     -0.1199366862,     -0.1205537881,        2.85899987
          0,           0,           6,      -2.769571691,     -0.2326667983,     -0.2779467106,       2.708493147
          0,           0,           7,      -2.915543557,     -0.3367707717,     -0.4324652128,       2.561503666
          0,           0,           8,        -3.0611656,     -0.4295900972,     -0.5848480464,       2.415664546
          0,           0,           9,      -3.204701019,     -0.5117521019,     -0.7329479845,        2.27268456
          0,           0,          10,       -3.34438201,     -0.5872023121,     -0.8759384798,       2.134682439
          0,           0,          11,      -3.478300085,     -0.6573774509,      -1.013395698,       2.003489747
          0,           0,          12,       -3.60445033,     -0.7214828391,      -1.143339029,       1.880709878
          0,           0,          13,      -3.720184624,     -0.7790357733,      -1.263446811,       1.768893675
          0,           0,          14,      -3.823523941,     -0.8309093679,      -1.374303901,       1.670103937
          0,           0,          15,      -3.914845651,      -0.878408003,      -1.477748091,       1.584208493
          0,           0,          16,      -3.995688547,     -0.9222288783,      -1.572189431,        1.51012984
          0,           0,          17,      -4.067685334,     -0.9626573553,      -1.654147463,       1.446362399
          0,           0,          18,      -4.132723116,      -1.000266701,       -1.72326215,       1.390299783
          0,           0,          19,      -4.192558313,      -1.036105013,      -1.782397906,        1.33891348
          0,           0,          20,      -4.248322977,        -1.0713749,      -1.834843389,       1.289977923
          0,           0,          21,      -4.300739004,      -1.107011702,      -1.883262586,       1.242361584
          0,           0,          22,      -4.350347849,      -1.143439234,      -1.929535391,       1.195749259
          0,           0,          23,      -4.397505953,      -1.180564586,      -1.974500542,       1.150307002
          0,           0,          24,       -4.44243783,      -1.217951273,      -2.018227647,       1.106347228
          0,           0,          25,      -4.485315733,      -1.255061897,      -2.060685264,        1.06410561
          0,           0,          26,      -4.526268976,      -1.291445806,      -2.102120971,       1.023702597
          0,           0,          27,      -4.565399635,      -1.326814355,      -2.142920025,      0.9851898352
          0,           0,          28,      -4.602855525,       -1.36101695,      -2.183355485,      0.9485447179
          0,           0,          29,       -4.63883778,      -1.393980001,      -2.223433429,        0.91367358
          0,           0,          30,      -4.673510458,      -1.425658362,      -2.262919302,      0.8804486033
          0,           0,          31,      -4.706902528,      -1.456022832,      -2.301423511,      0.8487579135
          0,           0,          32,      -4.738899839,      -1.485075509,      -2.338494092,      0.8185213543
          0,           0,          33,      -4.769326358,      -1.512870397,      -2.373700462,      0.7896699605
          0,           0,          34,      -4.798050686,      -1.539518383,      -2.406710643,      0.7621222839
          0,           0,          35,      -4.825072469,       -1.56517715,      -2.437345366,      0.7357606139
          0,           0,          36,      -4.850544233,      -1.590025988,      -2.465609112,      0.7104281646
          0,           0,          37,      -4.874737691,      -1.614233325,      -2.491696214,      0.6859420265
          0,           0,          38,      -4.897974451,      -1.637940009,      -2.515972589,      0.6621135739
          0,           0,          39,      -4.920557488,      -1.661249027,      -2.538919036,      0.6387720041
          0,           0,          40,      -4.942723692,      -1.684228078,      -2.561043668,       0.615781493
          0,           0,          41,      -4.964625205,      -1.706908026,      -2.582800411,      0.5930555032
          0,           0,          42,      -4.986338208,       -1.72930104,      -2.604526596,      0.5705478904
          0,           0,          43,       -5.00788142,      -1.751408914,      -2.626424495,      0.5482482964
          0,           0,          44,      -5.029246622,      -1.773232135,      -2.648570579,      0.5261641651
          0,           0,          45,      -5.050421377,      -1.794776224,      -2.670943687,      0.5043060106
          0,           0,          46,      -5.071399769,      -1.816055384,      -2.693462403,       0.482679504
          0,           0,          47,      -5.092188942,      -1.837093273,      -2.716016964,      0.4612803272
          0,           0,          48,      -5.112809745,      -1.857921999,      -2.738495267,      0.4400924624
          0,           0,          49,      -5.133293059,      -1.878579995,      -2.760801924,      0.4190899445
          0,           0,          50,      -5.153678019,      -1.899109674,      -2.782869952,      0.3982380822
          0,           0,          51,      -5.174008125,      -1.919554589,      -2.804664489,      0.3774968359
          0,           0,          52,      -5.194322898,      -1.939957479,      -2.826189979,       0.356827127
          0,           0,          53,      -5.214667219,      -1.960359438,      -2.847469325,       0.336185837
          0,           0,          54,      -5.235083085,      -1.980797299,      -2.868545787,      0.3155321534
          0,           0,          55,      -5.255607288,      -2.001303753,      -2.889475473,      0.2948291561
          0,           0,          56,      -5.276270541,       -2.02190708,       -2.91031778,      0.2740453798
          0,           0,          57,      -5.297099252,      -2.042630963,      -2.931130851,      0.2531535618
          0,           0,          58,      -5.318116403,      -2.063494734,      -2.951970887,       0.232130045
          0,           0,          59,      -5.339341074,      -2.084513417,      -2.972885366,      0.2109551239
          0,           0,          60,      -5.360784391,      -2.105698348,      -2.993915826,      0.1896150668
          0,           0,          61,      -5.382449715,      -2.127057663,      -3.015096569,      0.1681029616
          0,           0,          62,      -5.404342116,      -2.148596874,      -3.036451514,      0.1464112258
          0,           0,          63,      -5.426463425,       -2.17031908,      -3.057997871,      0.1245352805
          0,           0,          64,      -5.448810921,      -2.192224908,      -3.079747144,      0.1024739833
          0,           0,          65,      -5.471377943,      -2.214313477,      -3.101708323,     0.08022991032
          0,           0,          66,      -5.494158294,      -2.236582552,      -3.123883691,     0.05780588445
          0,           0,          67,      -5.517146607,       -2.25902933,      -3.146276042,     0.03520431937
          0,           0,          68,      -5.540335822,      -2.281650368,      -3.168881121,     0.01242900223
          0,           0,          69,      -5.563718012,      -2.304441801,      -3.191693434,    -0.01051522961
          0,           0,          70,      -5.587285703,      -2.327399412,       -3.21470795,    -0.03362369702
          0,           0,          71,      -5.611031302,       -2.35051869,      -3.237917164,    -0.05689142372
          0,           0,          72,      -5.634947077,       -2.37379495,      -3.261312785,    -0.08031323805
          0,           0,          73,      -5.659026459,      -2.397223706,      -3.284888861,     -0.1038845917
          0,           0,          74,      -5.683265415,      -2.420800798,      -3.308638541,     -0.1276026488
          0,           0,          75,      -5.707658741,      -2.444522086,      -3.332555943,     -0.1514637645
          0,           0,          76,      -5.732200222,      -2.468383493,      -3.356636395,     -0.1754635445
          0,           0,          77,       -5.75688467,      -2.492380929,      -3.380876599,     -0.1995981768
          0,           0,          78,      -5.781709271,      -2.516510732,      -3.405272856,     -0.2238654719
          0,           0,          79,      -5.806667983,      -2.540769504,      -3.429818139,     -0.2482610212
          0,           0,          80,      -5.831756292,      -2.565153788,      -3.454506682,     -0.2727813943
          0,           0,          81,      -5.856972397,       -2.58966034,       -3.47933426,     -0.2974251651
          0,           0,          82,      -5.882312299,       -2.61428592,      -3.504301398,     -0.3221890504
          0,           0,          83,      -5.907772293,      -2.639027437,      -3.529405852,      -0.347069997
          0,           0,          84,      -5.933349425,      -2.663881974,      -3.554645817,     -0.3720655715
          0,           0,          85,      -5.959041777,      -2.688846838,      -3.580018369,     -0.3971740919
          0,           0,          86,      -5.984846687,      -2.713919393,      -3.605522473,     -0.4223932437
          0,           0,          87,      -6.010761063,      -2.739097059,      -3.631157091,     -0.4477204123
          0,           0,          88,      -6.036782158,      -2.764377377,      -3.656919912,     -0.4731532784
          0,           0,          89,      -6.062907585,      -2.789758024,      -3.682808744,     -0.4986896356
          0,           0,          90,      -6.089134928,      -2.815236865,      -3.708821926,     -0.5243274011
          0,           0,          91,      -6.115461774,      -2.840812034,      -3.734956598,     -0.5500645149
          0,           0,          92,      -6.141887478,      -2.866481685,      -3.761210927,     -0.5759005484
          0,           0,          93,      -6.168409269,      -2.892243336,      -3.787583974,     -0.6018328072
          0,           0,          94,      -6.195025231,      -2.918095135,      -3.814073134,     -0.6278595988
          0,           0,          95,      -6.221733555,      -2.944035263,      -3.840671682,     -0.6539792841
          0,           0,          96,      -6.248530873,      -2.970061821,      -3.867388507,     -0.6801889315
          0,           0,          97,      -6.275415133,      -2.996173225,      -3.894220103,     -0.7064868249
          0,           0,          98,       -6.30238255,      -3.022368104,      -3.921164328,      -0.732869884
          0,           0,          99,      -6.329435667,      -3.048645098,      -3.948215987,     -0.7593402604
          0,           0,         100,       -6.35657272,      -3.075002663,      -3.975375776,     -0.7858962775
          0,           0,         101,      -6.383792184,      -3.101439411,      -4.002639452,      -0.812536542
          0,           0,         102,      -6.411090396,      -3.127953859,       -4.03000599,     -0.8392582294
          0,           0,         103,      -6.438464672,       -3.15454464,      -4.057473182,     -0.8660593498
          0,           0,         104,      -6.465914726,      -3.181210453,      -4.085039632,     -0.8929394754
          0,           0,         105,      -6.493439306,      -3.207950032,      -4.112703996,     -0.9198974591
          0,           0,         106,      -6.521036472,      -3.234762145,      -4.140464726,     -0.9469317576
          0,           0,         107,      -6.548704171,      -3.261645612,      -4.168319909,     -0.9740408144
          0,           0,         108,      -6.576440457,      -3.288599305,      -4.196267309,      -1.001223154
          0,           0,         109,      -6.604243754,       -3.31562212,      -4.224305788,      -1.028477519
          0,           0,         110,      -6.632112656,      -3.342712977,      -4.252433607,      -1.055802766
          0,           0,         111,      -6.660045462,      -3.369870857,      -4.280648752,      -1.083197569
          0,           0,         112,      -6.688040828,      -3.397094753,      -4.308948193,      -1.110661017
          0,           0,         113,      -6.716097189,      -3.424383646,       -4.33733244,      -1.138191725
          0,           0,         114,      -6.744213058,      -3.451736567,      -4.365799432,      -1.165788512
          0,           0,         115,      -6.772387092,      -3.479152595,      -4.394346992,      -1.193450345
          0,           0,         116,      -6.800617889,      -3.506630817,      -4.422973412,      -1.221176145
          0,           0,         117,      -6.828904205,      -3.534170333,      -4.451676254,      -1.248964955
          0,           0,         118,      -6.857244445,      -3.561770273,      -4.480455286,      -1.276815448
          0,           0,         119,      -6.885637178,       -3.58942981,      -4.509308745,      -1.304726498
          0,           0,         120,      -6.914081106,      -3.617148127,      -4.538234837,      -1.332697074
          0,           0,         121,       -6.94257498,      -3.644924431,      -4.567231737,      -1.360726171
          0,           0,         122,       -6.97111762,      -3.672757945,       -4.59629768,      -1.388812835
          0,           0,         123,      -6.999707918,      -3.700647904,      -4.625430967,      -1.416956157
          0,           0,         124,      -7.028344631,      -3.728593564,      -4.654629907,      -1.445155111
          0,           0,         125,      -7.057026672,      -3.756594181,      -4.683893035,      -1.473408779
          0,           0,         126,      -7.085753024,      -3.784649045,       -4.71321875,      -1.501716285
          0,           0,         127,      -7.114522623,      -3.812757452,      -4.742605451,       -1.53007671
          0,           0,         128,      -7.143334289,      -3.840918703,      -4.772051643,      -1.558489028
          0,           0,         129,      -7.172187136,       -3.86913227,      -4.801554469,      -1.586952383
          0,           0,         130,      -7.201080385,      -3.897397438,      -4.831111084,      -1.615466143
          0,           0,         131,      -7.230012539,      -3.925713453,      -4.860724379,      -1.644028987
          0,           0,         132,      -7.258982951,      -3.954079701,      -4.890391931,      -1.672640222
          0,           0,         133,      -7.287991113,      -3.982495612,      -4.920110889,      -1.701299287
          0,           0,         134,      -7.317036265,      -4.010960593,      -4.949879144,      -1.730005469
          0,           0,         135,      -7.346117537,      -4.039474042,      -4.979695186,      -1.758757944
          0,           0,         136,      -7.375234048,      -4.068035362,      -5.009557741,      -1.787555842
          0,           0,         137,      -7.404384968,      -4.096643979,       -5.03946545,        -1.8163983
          0,           0,         138,      -7.433569505,      -4.125299338,      -5.069416812,      -1.845284478
          0,           0,         139,      -7.462786974,      -4.154000913,      -5.099410192,      -1.874213616
          0,           0,         140,      -7.492036799,      -4.182748194,      -5.129443919,      -1.903185032
          0,           0,         141,      -7.521318471,      -4.211540683,      -5.159516371,      -1.932198088
          0,           0,         142,      -7.550631509,      -4.240377898,       -5.18962601,      -1.961252163
          0,           0,         143,      -7.579975455,      -4.269259365,      -5.219771361,      -1.990346645
          0,           0,         144,      -7.609349863,      -4.298184624,      -5.249950994,      -2.019480926
          0,           0,         145,      -7.638754313,      -4.327153228,      -5.280163502,      -2.048654408
          0,           0,         146,      -7.668188416,      -4.356164743,      -5.310407496,      -2.077866508
          0,           0,         147,      -7.697651813,      -4.385218747,      -5.340681588,      -2.107116664
          0,           0,         148,      -7.727144179,      -4.414314832,      -5.370984408,      -2.136404331
          0,           0,         149,      -7.756665222,      -4.443452602,      -5.401314597,      -2.165728985
          0,           0,         150,      -7.786214682,      -4.472631677,      -5.431670814,      -2.195090123
          0,           0,         151,      -7.815792328,      -4.501851684,      -5.462051742,      -2.224487262
          0,           0,         152,      -7.845397963,      -4.531112268,      -5.492456099,       -2.25391994
          0,           0,         153,      -7.875031419,      -4.560413083,      -5.522882635,      -2.283387716
          0,           0,         154,      -7.904692558,      -4.589753798,      -5.553330133,      -2.312890168
          0,           0,         155,      -7.934381266,      -4.619134091,      -5.583797412,      -2.342426894
          0,           0,         156,      -7.964097461,      -4.648553656,      -5.614283335,      -2.371997513
          0,           0,         157,      -7.993841078,      -4.678012197,      -5.644786794,      -2.401601661
          0,           0,         158,      -8.023612082,      -4.707509431,      -5.675306718,      -2.431238995
          0,           0,         159,      -8.053410455,      -4.737045088,      -5.705842077,      -2.460909191
          0,           0,         160,      -8.083236206,       -4.76661891,      -5.736391878,      -2.490611944
          0,           0,         161,      -8.113089352,      -4.796230649,      -5.766955172,      -2.520346961
          0,           0,         162,       -8.14296995,      -4.825880072,      -5.797531049,      -2.550113982
          0,           0,         163,      -8.172878061,      -4.855566956,      -5.828118645,      -2.579912756
          0,           0,         164,      -8.202813774,      -4.885291091,      -5.858717136,      -2.609743057
          0,           0,         165,      -8.232777187,      -4.915052278,       -5.88932575,       -2.63960467
          0,           0,         166,       -8.26276842,      -4.944850329,      -5.919943766,      -2.669497404
          0,           0,         167,        -8.2927876,      -4.974685068,      -5.950570499,      -2.699421081
          0,           0,         168,       -8.32283488,      -5.004556331,      -5.981205302,       -2.72937555
          0,           0,         169,      -8.352910418,      -5.034463964,      -6.011847601,      -2.759360666
          0,           0,         170,      -8.383014379,      -5.064407823,      -6.042496862,      -2.789376301
