VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.510526721,      0.8224956211,      0.9492791327,       3.949101482
          0,           0,           1,      -1.962448755,      0.4214542181,      0.5786575728,       3.512534272
          0,           0,           2,      -2.217813061,      0.2137563721,      0.3338915515,       3.263224851
          0,           0,           3,      -2.384468569,     0.05774507909,      0.1418871106,       3.096516523
          0,           0,           4,      -2.538071893,    -0.08147173252,    -0.03242502322,       2.941583825
          0,           0,           5,      -2.691337527,     -0.2102382277,     -0.1994821915,       2.786537381
          0,           0,           6,      -2.842284229,     -0.3242198829,     -0.3597945601,       2.634374956
          0,           0,           7,      -2.991374114,     -0.4265090197,     -0.5167782399,       2.484770455
          0,           0,           8,      -3.138421269,     -0.5160801132,     -0.6695716713,       2.337787376
          0,           0,           9,      -3.281809459,     -0.5961672915,     -0.8164584614,       2.195101148
          0,           0,          10,      -3.419864371,      -0.670110941,     -0.9581133929,       2.058371439
          0,           0,          11,      -3.550761106,     -0.7385104463,      -1.094067967,       1.929266685
          0,           0,          12,      -3.671622649,     -0.8005256267,      -1.221646989,       1.810816436
          0,           0,          13,      -3.782633879,     -0.8560724789,       -1.33839468,       1.703445942
          0,           0,          14,      -3.883946364,     -0.9063207091,      -1.444920591,        1.60692811
          0,           0,          15,      -3.974219014,     -0.9527410535,      -1.544134011,       1.521912583
          0,           0,          16,        -4.0543951,     -0.9962527255,       -1.63702265,       1.447296455
          0,           0,          17,      -4.127031886,      -1.037238763,      -1.721758777,       1.380828475
          0,           0,          18,      -4.194117069,      -1.076076888,      -1.796524257,        1.32053424
          0,           0,          19,      -4.256675706,      -1.113419406,      -1.860976004,       1.264814352
          0,           0,          20,      -4.314519897,      -1.150039205,      -1.916204514,       1.212852558
          0,           0,          21,      -4.367080534,      -1.186578572,      -1.964607841,       1.164412193
          0,           0,          22,      -4.414790694,      -1.223389309,      -2.008980713,       1.119084235
          0,           0,          23,      -4.459151991,      -1.260525331,      -2.051523671,       1.076121926
          0,           0,          24,      -4.501955558,      -1.297823583,      -2.093456549,        1.03464725
          0,           0,          25,      -4.544551834,      -1.335021967,      -2.135258847,      0.9939242792
          0,           0,          26,      -4.587541332,      -1.371847871,      -2.177097306,      0.9535646722
          0,           0,          27,      -4.630846487,      -1.408045569,      -2.219103144,      0.9135914555
          0,           0,          28,      -4.674040729,      -1.443403351,       -2.26140724,      0.8742712662
          0,           0,          29,      -4.716613711,      -1.477759414,      -2.303977836,      0.8359291562
          0,           0,          30,      -4.758136351,      -1.511010707,      -2.346463994,      0.7987979604
          0,           0,          31,       -4.79833376,      -1.543122935,      -2.388233943,      0.7629441991
          0,           0,          32,      -4.837069089,      -1.574133034,      -2.428564563,      0.7282928148
          0,           0,          33,      -4.874280259,      -1.604141273,      -2.466856913,      0.6947096156
          0,           0,          34,      -4.909928936,      -1.633290569,      -2.502756594,      0.6620768535
          0,           0,          35,      -4.943968798,      -1.661732806,       -2.53616612,      0.6303461091
