VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.499145185,      0.7563645232,       1.002485745,       3.960483018
          0,           0,           1,      -1.947894514,       0.418511294,      0.5889946124,       3.530295266
          0,           0,           2,      -2.191799237,      0.1970374984,       0.349192671,       3.291496055
          0,           0,           3,      -2.356886384,     0.04262351753,      0.1541676783,       3.126427187
          0,           0,           4,       -2.51836124,    -0.09496200483,    -0.02304059788,       2.964202453
          0,           0,           5,      -2.677974052,     -0.2244069236,     -0.1924438199,       2.803011712
          0,           0,           6,      -2.831310789,     -0.3424843443,     -0.3543167931,       2.647944172
          0,           0,           7,      -2.983029421,     -0.4516623198,     -0.5102620387,        2.49484091
          0,           0,           8,      -3.132532482,     -0.5506941764,     -0.6636419664,       2.344067666
          0,           0,           9,      -3.279342513,     -0.6407671083,     -0.8135089041,       2.196320798
          0,           0,          10,      -3.422883572,     -0.7227122416,     -0.9585880857,       2.052228958
          0,           0,          11,      -3.559861119,     -0.7967924557,      -1.099353356,       1.914688162
          0,           0,          12,      -3.688095317,     -0.8633649508,      -1.234023023,       1.786054707
          0,           0,          13,      -3.807780298,     -0.9231251764,      -1.359468342,       1.666862054
          0,           0,          14,      -3.917300638,     -0.9773625269,       -1.47537315,       1.559012602
          0,           0,          15,      -4.013944921,      -1.027294614,      -1.583984777,       1.465069696
          0,           0,          16,      -4.098147451,      -1.073345454,      -1.686001818,       1.384647993
          0,           0,          17,      -4.173188852,      -1.115677167,      -1.778962985,       1.314546702
          0,           0,          18,      -4.241888477,      -1.155010929,      -1.860121403,       1.251456078
          0,           0,          19,      -4.305281473,      -1.192591821,       -1.92962326,       1.193304935
          0,           0,          20,      -4.363443653,      -1.229620772,      -1.990526934,       1.139088934
          0,           0,          21,      -4.416761163,      -1.266831382,      -2.046308854,        1.08821193
          0,           0,          22,      -4.466311449,      -1.304392588,      -2.098962362,       1.040121762
          0,           0,          23,      -4.513381251,      -1.342043329,      -2.149101051,      0.9942976762
          0,           0,          24,      -4.558860739,      -1.379330783,      -2.196974057,      0.9503420225
          0,           0,          25,       -4.60297005,       -1.41583068,       -2.24298555,      0.9080755545
          0,           0,          26,      -4.645363382,      -1.451260894,      -2.287520017,      0.8675878246
          0,           0,          27,      -4.685510628,      -1.485481698,      -2.330679934,      0.8291470715
          0,           0,          28,      -4.723118471,      -1.518433855,      -2.372291602,      0.7929812377
          0,           0,          29,      -4.758306645,      -1.550086897,      -2.412104606,       0.759096653
          0,           0,          30,      -4.791477624,      -1.580420456,      -2.449990956,      0.7272660497
          0,           0,          31,       -4.82306858,      -1.609434904,      -2.486027682,      0.6971445396
          0,           0,          32,      -4.853384679,       -1.63717355,      -2.520440113,      0.6683971548
          0,           0,          33,      -4.882568701,      -1.663735946,      -2.553464351,      0.6407669598
          0,           0,          34,      -4.910649502,      -1.689271827,      -2.585222883,      0.6140872037
          0,           0,          35,      -4.937616864,      -1.713958694,      -2.615688259,      0.5882577089
          0,           0,          36,      -4.963486811,      -1.737974081,      -2.644739114,      0.5632082918
          0,           0,          37,      -4.988333586,      -1.761472227,      -2.672277121,      0.5388727038
          0,           0,          38,      -5.012287603,      -1.784571374,      -2.698317461,      0.5151758025
          0,           0,          39,      -5.035507388,      -1.807350263,      -2.723019471,      0.4920381575
          0,           0,          40,      -5.058148197,      -1.829854492,      -2.746659314,      0.4693837217
          0,           0,          41,      -5.080341479,      -1.852105852,      -2.769557776,      0.4471466866
          0,           0,          42,      -5.102190504,      -1.874115233,      -2.792010756,      0.4252663392
          0,           0,          43,      -5.123769303,      -1.895885725,      -2.814244519,       0.403700948
          0,           0,          44,      -5.145136563,      -1.917423377,      -2.836401341,      0.3824111657
          0,           0,          45,      -5.166342599,      -1.938741233,      -2.858543455,       0.361355021
          0,           0,          46,      -5.187432718,      -1.959859557,       -2.88067313,      0.3404894074
          0,           0,          47,      -5.208448043,      -1.980805494,      -2.902753406,      0.3197710276
          0,           0,          48,      -5.229425299,      -2.001609977,      -2.924734142,      0.2991589273
          0,           0,          49,      -5.250394811,      -2.022306432,       -2.94656374,      0.2786158324
          0,           0,          50,      -5.271381611,      -2.042928983,      -2.968201905,      0.2581085638
          0,           0,          51,       -5.29240842,      -2.063511088,      -2.989625401,      0.2376064152
          0,           0,          52,      -5.313491528,      -2.084084154,      -3.010829943,      0.2170840077
          0,           0,          53,      -5.334645732,      -2.104676978,      -3.031828437,      0.1965184354
          0,           0,          54,      -5.355883153,      -2.125314936,      -3.052645985,      0.1758903614
          0,           0,          55,      -5.377215407,      -2.146020725,      -3.073316577,      0.1551823994
