VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.46682265,      0.7553103836,       1.042780312,       3.992805553
          0,           0,           1,      -1.918459702,      0.4966510846,      0.6239399104,       3.556855277
          0,           0,           2,      -2.166269985,      0.2687246658,      0.3904241172,       3.313331954
          0,           0,           3,      -2.327464827,      0.1092256096,      0.1962557526,       3.152547352
          0,           0,           4,      -2.487084426,    -0.03307605216,     0.01989912716,        2.99296659
          0,           0,           5,      -2.647490636,     -0.1669327509,     -0.1479716738,       2.831805802
          0,           0,           6,      -2.798601945,      -0.286794712,     -0.3092257365,       2.679341379
          0,           0,           7,      -2.945436277,       -0.39586917,     -0.4654180235,        2.53147712
          0,           0,           8,      -3.091705512,     -0.4925217625,      -0.618110856,       2.385091088
          0,           0,           9,      -3.238731988,     -0.5768790149,     -0.7676921263,       2.239102437
          0,           0,          10,      -3.383422642,     -0.6513039881,      -0.913885191,       2.096207266
          0,           0,          11,      -3.520837345,     -0.7171049246,      -1.054998802,       1.961014161
          0,           0,          12,       -3.64827824,      -0.774888161,      -1.188294974,       1.836563495
          0,           0,          13,      -3.765104668,     -0.8258330244,      -1.312172149,       1.723974974
          0,           0,          14,      -3.871028047,     -0.8715212863,      -1.426367465,       1.623732151
          0,           0,          15,      -3.964678117,     -0.9132687115,      -1.530497024,         1.5369868
          0,           0,          16,      -4.045118598,     -0.9520993953,      -1.622241406,       1.464013357
          0,           0,          17,      -4.113792638,      -0.988956851,      -1.699088965,       1.402510027
          0,           0,          18,      -4.173515041,       -1.02472367,      -1.762177811,          1.348822
          0,           0,          19,      -4.226781419,      -1.060106006,      -1.815818344,       1.299872883
          0,           0,          20,      -4.275560448,      -1.095574115,      -1.864229387,       1.253635212
          0,           0,          21,      -4.321277523,      -1.131310028,       -1.91017378,       1.209071505
          0,           0,          22,      -4.364620224,      -1.167221111,      -1.955230182,       1.165997618
          0,           0,          23,      -4.405756611,      -1.202988523,      -2.000180362,       1.124708389
          0,           0,          24,      -4.444727384,      -1.238187499,      -2.045241115,       1.085537285
          0,           0,          25,      -4.481630293,      -1.272413846,      -2.090319089,       1.048618551
          0,           0,          26,      -4.516648635,      -1.305375509,      -2.135162687,       1.013842694
          0,           0,          27,      -4.550039762,      -1.336923964,      -2.179461398,      0.9809121098
          0,           0,          28,      -4.582023291,      -1.367038888,      -2.222823499,      0.9495016915
          0,           0,          29,      -4.612678452,       -1.39578651,      -2.264764588,       0.919391943
          0,           0,          30,      -4.641965977,      -1.423281444,      -2.304741534,       0.890478681
          0,           0,          31,      -4.669817578,      -1.449662892,      -2.342218695,      0.8627126989
          0,           0,          32,      -4.696232622,      -1.475082989,      -2.376762362,      0.8360258679
          0,           0,          33,      -4.721308211,      -1.499699266,       -2.40813789,      0.8103068501
          0,           0,          34,      -4.745220986,      -1.523666718,      -2.436377831,      0.7854140295
          0,           0,          35,      -4.768187802,      -1.547128413,      -2.461777286,      0.7612015105
          0,           0,          36,      -4.790434079,       -1.57020604,      -2.484820905,      0.7375359122
          0,           0,          37,      -4.812171609,      -1.592995242,      -2.506085064,      0.7143015137
          0,           0,          38,      -4.833581574,      -1.615559801,      -2.526144573,      0.6914048829
          0,           0,          39,      -4.854802714,      -1.637935895,      -2.545515487,      0.6687739487
