VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.459809587,      0.7726665543,        1.04595973,       3.999818616
          0,           0,           1,      -1.930016653,      0.4553305627,      0.6270465188,       3.545974656
          0,           0,           2,      -2.182188165,      0.2460400633,       0.380494144,       3.299389223
          0,           0,           3,      -2.340500655,      0.1016469282,      0.1811058315,        3.14044969
          0,           0,           4,      -2.493445758,      -0.034294409,    0.002002231902,       2.986400316
          0,           0,           5,      -2.650493868,     -0.1607651748,     -0.1618400378,       2.828071548
          0,           0,           6,      -2.801224134,     -0.2734741793,     -0.3195470978,        2.67603818
          0,           0,           7,      -2.946755306,     -0.3744506566,      -0.478038457,       2.529821609
          0,           0,           8,      -3.092807012,     -0.4626308891,     -0.6326077176,       2.384123774
          0,           0,           9,      -3.238159141,     -0.5408242788,     -0.7786371056,       2.240455935
          0,           0,          10,      -3.379105376,     -0.6134521361,     -0.9170222176,       2.102404586
          0,           0,          11,      -3.512317028,     -0.6810618077,      -1.050786377,       1.972668009
          0,           0,          12,      -3.634045848,     -0.7422211921,      -1.178721139,       1.854703818
          0,           0,          13,      -3.743733051,     -0.7972314017,      -1.297133159,       1.749614276
          0,           0,          14,      -3.843631845,     -0.8474772176,      -1.405645091,       1.655724289
          0,           0,          15,      -3.935018647,      -0.893702019,      -1.505102094,       1.571863732
          0,           0,          16,      -4.017706343,     -0.9360760785,      -1.594005049,       1.498037407
          0,           0,          17,       -4.09169321,     -0.9750623227,      -1.670210207,       1.433712692
          0,           0,          18,      -4.157738475,      -1.011761749,      -1.733844857,        1.37706361
          0,           0,          19,      -4.217181997,      -1.047576252,      -1.787524657,       1.325501305
          0,           0,          20,      -4.271621001,      -1.083727398,      -1.834822502,       1.276630849
          0,           0,          21,      -4.322313521,      -1.120970561,      -1.878799049,       1.229056269
          0,           0,          22,      -4.370136067,      -1.159508254,      -1.921302518,       1.182371187
          0,           0,          23,      -4.415972681,      -1.199054152,      -1.963252546,       1.136613888
          0,           0,          24,      -4.460517949,      -1.239010586,      -2.005244398,       1.092005377
          0,           0,          25,      -4.503924012,      -1.278694657,      -2.047843558,       1.048894213
          0,           0,          26,      -4.545958981,      -1.317522791,      -2.091404393,       1.007595759
          0,           0,          27,      -4.586445855,      -1.355106164,      -2.135835749,      0.9682023857
          0,           0,          28,      -4.625436355,       -1.39123969,      -2.180617498,      0.9306014554
          0,           0,          29,      -4.663106804,      -1.425846066,      -2.225050168,      0.8946050912
          0,           0,          30,      -4.699587039,      -1.458924573,      -2.268517766,      0.8600518312
          0,           0,          31,      -4.734871476,      -1.490530152,      -2.310604252,      0.8268276714
          0,           0,          32,       -4.76882813,      -1.520769469,      -2.351032893,      0.7948502261
          0,           0,          33,      -4.801271804,      -1.549795366,      -2.389550103,        0.76404687
          0,           0,          34,      -4.832053898,      -1.577793228,      -2.425875433,      0.7343403568
          0,           0,          35,      -4.861129809,      -1.604956655,      -2.459752776,       0.705644588
          0,           0,          36,      -4.888588382,      -1.631460774,      -2.491068245,      0.6778638979
          0,           0,          37,      -4.914636763,      -1.657445287,      -2.519938015,       0.650893909
          0,           0,          38,      -4.939552897,      -1.683008563,      -2.546710054,      0.6246250511
          0,           0,          39,      -4.963623093,      -1.708211064,      -2.571882136,      0.5989526589
          0,           0,          40,       -4.98709649,      -1.733084524,      -2.595975565,      0.5737829227
          0,           0,          41,      -5.010160158,       -1.75763968,      -2.619437649,      0.5490415083
          0,           0,          42,      -5.032933783,      -1.781876684,      -2.642598641,      0.5246767429
          0,           0,          43,      -5.055482078,      -1.805792582,      -2.665663442,      0.5006559819
          0,           0,          44,      -5.077836163,      -1.829386567,      -2.688739166,      0.4769574618
          0,           0,          45,      -5.100010889,        -1.8526641,      -2.711864576,       0.453563011
          0,           0,          46,      -5.122016988,      -1.875638693,      -2.735038886,      0.4304526807
          0,           0,          47,      -5.143868944,      -1.898328952,      -2.758240851,      0.4076031892
          0,           0,          48,      -5.165587552,      -1.920762364,      -2.781440844,      0.3849841896
