VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.48955205,      0.7192096871,       1.023476892,       3.970076153
          0,           0,           1,      -1.944524971,      0.4204245885,      0.6150223947,       3.533369934
          0,           0,           2,      -2.190354705,      0.2126303574,      0.3672434563,       3.292151948
          0,           0,           3,      -2.351911669,     0.05839549136,      0.1691679393,       3.130012854
          0,           0,           4,      -2.510836913,    -0.08581389826,    -0.01010024016,        2.96983351
          0,           0,           5,      -2.667013358,     -0.2204258093,      -0.179958558,       2.811651087
          0,           0,           6,      -2.819610681,     -0.3409115068,     -0.3421577322,        2.65741929
          0,           0,           7,      -2.973094123,     -0.4541920415,      -0.498749302,       2.502919426
          0,           0,           8,      -3.124703501,     -0.5588298368,     -0.6516814117,       2.350410347
          0,           0,           9,      -3.273678202,     -0.6532504805,     -0.8016613636,       2.200737785
          0,           0,          10,      -3.419282338,     -0.7377025832,     -0.9473520942,       2.054573489
          0,           0,          11,       -3.55912639,        -0.8137244,      -1.087481615,       1.914078889
          0,           0,          12,      -3.689276667,     -0.8814347968,      -1.221164119,       1.783272132
          0,           0,          13,      -3.808346986,     -0.9407923685,      -1.346834731,       1.664030405
          0,           0,          14,      -3.915781169,     -0.9928510029,      -1.464561389,       1.557185516
          0,           0,          15,      -4.010247255,      -1.039230539,       -1.57525543,       1.464057532
          0,           0,          16,      -4.092945352,       -1.08123278,      -1.677425747,       1.383568631
          0,           0,          17,      -4.165999477,      -1.119674217,      -1.767902429,       1.313588998
          0,           0,          18,      -4.229894804,      -1.155439173,      -1.844943888,       1.253045988
          0,           0,          19,      -4.285595314,      -1.189767383,      -1.909894706,       1.200144054
          0,           0,          20,      -4.335848056,      -1.223949061,      -1.966397393,       1.151729182
          0,           0,          21,      -4.383406676,      -1.258838063,      -2.018235889,       1.105222756
          0,           0,          22,      -4.429693967,      -1.294623924,      -2.067959997,       1.059725899
          0,           0,          23,      -4.475061105,      -1.330944086,      -2.116746287,       1.015452428
          0,           0,          24,      -4.519364969,      -1.367183575,      -2.164972329,      0.9728623589
          0,           0,          25,      -4.562274197,      -1.402758453,      -2.212752405,      0.9322593951
          0,           0,          26,      -4.603496567,      -1.437268555,      -2.260213149,      0.8937049917
          0,           0,          27,      -4.642930499,      -1.470508126,      -2.307444994,      0.8570843768
          0,           0,          28,      -4.680650268,       -1.50240722,      -2.354414282,      0.8222187767
          0,           0,          29,      -4.716782688,      -1.532955094,      -2.400940363,      0.7889547121
          0,           0,          30,      -4.751379448,      -1.562156909,      -2.446708558,      0.7572062691
          0,           0,          31,      -4.784388647,      -1.590023246,      -2.491240188,      0.7269368671
          0,           0,          32,       -4.81567554,      -1.616585429,      -2.533875765,       0.698139584
          0,           0,          33,      -4.845109984,      -1.641914312,      -2.573816152,      0.6707910627
          0,           0,          34,      -4.872661003,      -1.666126154,      -2.610260183,      0.6448084671
          0,           0,          35,      -4.898445674,      -1.689372063,      -2.642637273,      0.6200383241
          0,           0,          36,      -4.922719134,      -1.711816114,      -2.670821317,      0.5962766089
          0,           0,          37,      -4.945814537,      -1.733611622,       -2.69520666,        0.57330845
          0,           0,          38,      -4.968067436,      -1.754885751,      -2.716597973,      0.5509446094
          0,           0,          39,      -4.989760021,      -1.775732449,      -2.735979925,      0.5290408905
          0,           0,          40,       -5.01109253,      -1.796213129,      -2.754284295,      0.5075018351
          0,           0,          41,      -5.032178807,      -1.816364263,      -2.772244989,        0.48627687
          0,           0,          42,      -5.053064025,      -1.836206757,      -2.790336965,      0.4653459857
          0,           0,          43,       -5.07374935,      -1.855757464,      -2.808798793,      0.4447044391
          0,           0,          44,      -5.094217345,      -1.875035064,      -2.827687107,      0.4243505799
          0,           0,          45,      -5.114452232,      -1.894063921,      -2.846935844,      0.4042764856
          0,           0,          46,      -5.134449727,      -1.912874673,      -2.866412085,      0.3844662885
          0,           0,          47,      -5.154224478,      -1.931505006,      -2.885957784,       0.364889973
          0,           0,          48,      -5.173806014,      -1.949994669,       -2.90542105,      0.3455092555
          0,           0,          49,      -5.193233472,       -1.96838331,      -2.924675758,      0.3262811316
          0,           0,          50,      -5.212549297,      -1.986709132,      -2.943632925,      0.3071612385
          0,           0,          51,      -5.231794288,      -2.005006625,      -2.962248676,       0.288107766
          0,           0,          52,      -5.251003134,      -2.023306119,      -2.980516228,      0.2690851943
          0,           0,          53,      -5.270206407,       -2.04163371,      -2.998459605,      0.2500620567
          0,           0,          54,      -5.289429689,      -2.060011668,      -3.016127217,      0.2310120309
          0,           0,          55,      -5.308692047,      -2.078457276,      -3.033579026,      0.2119161545
          0,           0,          56,       -5.32801235,       -2.09698513,      -3.050881979,      0.1927567713
          0,           0,          57,      -5.347405617,       -2.11560719,      -3.068101099,      0.1735206999
          0,           0,          58,      -5.366885026,      -2.134333202,       -3.08529681,      0.1541971346
          0,           0,          59,      -5.386463261,      -2.153170895,      -3.102521616,      0.1347764941
