VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.624692998,      0.5198766495,      0.9055883528,       3.834935205
          0,           0,           1,      -2.118311505,      0.2478865236,      0.4530767278,        3.35223148
          0,           0,           2,      -2.394493332,     0.02551239236,      0.1914179265,        3.08048207
          0,           0,           3,      -2.558714897,     -0.1286462694,    -0.01120713298,       2.916625053
          0,           0,           4,      -2.713386857,     -0.2610957199,     -0.1974409635,       2.761840972
          0,           0,           5,      -2.873048945,     -0.3860567954,     -0.3650856874,       2.601809739
          0,           0,           6,      -3.028026672,     -0.5023753802,     -0.5228728848,       2.446483286
          0,           0,           7,      -3.175526655,     -0.6110493021,     -0.6804029632,       2.298604085
          0,           0,           8,      -3.322218194,     -0.7071063051,     -0.8371090526,        2.15180648
          0,           0,           9,      -3.467720963,      -0.790740066,     -0.9880589314,       2.006548733
          0,           0,          10,      -3.606780774,     -0.8657592272,      -1.130091896,        1.86788108
          0,           0,          11,      -3.736255885,     -0.9340241398,      -1.263930854,       1.738668365
          0,           0,          12,      -3.855351736,     -0.9954835661,      -1.389659006,       1.619912412
          0,           0,          13,      -3.963528155,      -1.050790208,      -1.505288675,       1.512732436
          0,           0,          14,      -4.058376335,      -1.101528325,      -1.610657174,       1.419557454
          0,           0,          15,      -4.140695048,      -1.149075494,      -1.706152885,        1.33943895
          0,           0,          16,      -4.215185888,      -1.193948687,      -1.791801297,        1.26800379
          0,           0,          17,      -4.285374921,      -1.236201943,      -1.867881286,       1.202011215
          0,           0,          18,      -4.351949742,        -1.2760123,      -1.935030951,        1.14045846
          0,           0,          19,      -4.413861752,      -1.313878145,      -1.994532379,       1.083535764
          0,           0,          20,       -4.47012166,      -1.350526971,      -2.048361601,       1.031353831
          0,           0,          21,      -4.520958742,      -1.386676752,      -2.098691753,      0.9833021012
          0,           0,          22,      -4.567632816,      -1.422775918,      -2.147209589,      0.9383234275
          0,           0,          23,      -4.611742414,      -1.458904768,      -2.194610364,      0.8953646266
          0,           0,          24,      -4.654648205,      -1.494872118,      -2.240765916,      0.8536200601
          0,           0,          25,      -4.697147892,      -1.530397325,      -2.285373929,      0.8126225849
          0,           0,          26,      -4.739460708,      -1.565242619,      -2.328605177,      0.7722216108
          0,           0,          27,      -4.781411073,      -1.599252472,      -2.371149211,      0.7325074337
          0,           0,          28,       -4.82263889,      -1.632334601,      -2.413741859,      0.6937265002
          0,           0,          29,      -4.862762437,      -1.664431889,      -2.456723237,      0.6561827663
          0,           0,          30,      -4.901475423,      -1.695510294,      -2.499923939,      0.6201387363
          0,           0,          31,      -4.938584768,      -1.725563546,      -2.542839033,      0.5857438744
          0,           0,          32,      -4.974013415,       -1.75462479,       -2.58490347,      0.5530063273
          0,           0,          33,      -5.007794642,      -1.782772802,      -2.625685555,       0.521805134
          0,           0,          34,      -5.040053465,       -1.81012658,      -2.664941936,      0.4919350356
          0,           0,          35,      -5.070979936,      -1.836829751,      -2.702580799,      0.4631603726
          0,           0,          36,      -5.100808765,      -1.863030691,      -2.738615023,      0.4352518702
          0,           0,          37,      -5.129799872,      -1.888865036,      -2.773139792,      0.4080011962
          0,           0,          38,      -5.158214674,      -1.914443235,      -2.806307433,      0.3812264723
          0,           0,          39,      -5.186289598,      -1.939844427,      -2.838391759,      0.3547746568
          0,           0,          40,        -5.2142027,      -1.965116131,      -2.869654621,      0.3285330456
          0,           0,          41,      -5.242052411,      -1.990277565,      -2.900342804,      0.3024378559
          0,           0,          42,      -5.269856724,      -2.015326963,      -2.930655067,      0.2764739585
          0,           0,          43,      -5.297570788,      -2.040246971,      -2.960716625,      0.2506649277
          0,           0,          44,      -5.325109216,      -2.065014715,      -2.990577347,      0.2250586827
          0,           0,          45,      -5.352370224,      -2.089606746,      -3.020217054,      0.1997155872
          0,           0,          46,      -5.379262928,       -2.11400561,      -3.049575196,      0.1746851536
          0,           0,          47,      -5.405719373,      -2.138201521,      -3.078566141,      0.1499997894
          0,           0,          48,      -5.431698158,      -2.162192922,      -3.107096469,      0.1256732613
          0,           0,          49,      -5.457182818,      -2.185986286,      -3.135078682,      0.1017025387
          0,           0,          50,      -5.482179144,      -2.209594471,      -3.162442354,      0.0780702733
          0,           0,          51,      -5.506710548,      -2.233035275,      -3.189142333,     0.05474848631
          0,           0,          52,       -5.53081297,       -2.25632975,      -3.215164163,     0.03170202552
          0,           0,          53,      -5.554530542,      -2.279500895,      -3.240524946,    0.008891710188
          0,           0,          54,      -5.577911836,      -2.302571978,       -3.26526758,    -0.01372293795
          0,           0,          55,      -5.601006955,      -2.325566004,      -3.289455999,    -0.03618177789
          0,           0,          56,      -5.623864978,       -2.34850498,      -3.313167802,      -0.058522546
          0,           0,          57,      -5.646533193,       -2.37140965,      -3.336487469,    -0.08078031901
          0,           0,          58,      -5.669056835,      -2.394298986,      -3.359495973,     -0.1029878286
          0,           0,          59,      -5.691477154,      -2.417190304,      -3.382273944,     -0.1251739417
          0,           0,          60,      -5.713832201,      -2.440099145,      -3.404894499,     -0.1473645301
          0,           0,          61,      -5.736155926,      -2.463039498,      -3.427421856,     -0.1695820745
          0,           0,          62,      -5.758478602,      -2.486023684,      -3.449911642,      -0.191846093
          0,           0,          63,      -5.780826385,      -2.509062771,      -3.472410759,     -0.2141732915
          0,           0,          64,       -5.80322014,      -2.532165984,      -3.494958929,     -0.2365763148
          0,           0,          65,      -5.825679554,      -2.555341251,       -3.51758543,     -0.2590669282
          0,           0,          66,      -5.848220421,      -2.578595352,      -3.540313977,     -0.2816544779
          0,           0,          67,      -5.870854706,      -2.601933965,      -3.563163695,     -0.3043458318
          0,           0,          68,      -5.893591951,      -2.625361739,       -3.58614844,     -0.3271462529
          0,           0,          69,      -5.916439287,      -2.648882359,      -3.609278547,     -0.3500594972
          0,           0,          70,      -5.939402109,      -2.672498622,      -3.632560994,     -0.3730884059
          0,           0,          71,      -5.962483813,       -2.69621256,      -3.656000187,     -0.3962345737
          0,           0,          72,      -5.985686158,      -2.720025413,      -3.679600048,     -0.4194986573
          0,           0,          73,       -6.00901021,      -2.743937987,      -3.703359454,     -0.4428809823
          0,           0,          74,      -6.032456138,      -2.767950364,      -3.727278054,     -0.4663813955
          0,           0,          75,      -6.056023072,      -2.792061999,      -3.751354175,     -0.4899990348
          0,           0,          76,      -6.079709162,      -2.816271934,      -3.775585117,     -0.5137324714
          0,           0,          77,      -6.103512103,      -2.840578729,      -3.799967493,     -0.5375799949
          0,           0,          78,      -6.127428878,      -2.864980655,      -3.824497509,     -0.5615394857
          0,           0,          79,      -6.151456266,      -2.889475684,      -3.849170897,     -0.5856086978
          0,           0,          80,      -6.175590036,      -2.914061519,      -3.873982261,     -0.6097846436
          0,           0,          81,      -6.199826464,      -2.938735765,       -3.89892598,     -0.6340648054
          0,           0,          82,      -6.224161677,      -2.963495846,      -3.923997144,      -0.658446527
          0,           0,          83,       -6.24859104,      -2.988339027,      -3.949190255,     -0.6829266139
          0,           0,          84,      -6.273109922,      -3.013262473,      -3.974499674,      -0.707501807
          0,           0,          85,      -6.297713999,      -3.038263251,      -3.999919594,     -0.7321691543
          0,           0,          86,      -6.322399863,      -3.063338373,      -4.025441902,     -0.7569264682
          0,           0,          87,      -6.347161677,      -3.088485231,      -4.051066235,     -0.7817693068
          0,           0,          88,      -6.371995521,      -3.113701143,      -4.076786634,     -0.8066949541
          0,           0,          89,      -6.396897285,      -3.138983425,      -4.102597888,     -0.8317005258
          0,           0,          90,      -6.421862875,      -3.164329423,      -4.128495173,     -0.8567831019
          0,           0,          91,      -6.446888391,      -3.189736558,      -4.154473785,     -0.8819398979
          0,           0,          92,      -6.471970609,      -3.215202243,      -4.180528169,     -0.9071686674
          0,           0,          93,      -6.497105313,      -3.240724143,      -4.206656594,     -0.9324662006
          0,           0,          94,      -6.522289378,      -3.266300105,      -4.232855596,     -0.9578303037
          0,           0,          95,      -6.547519618,      -3.291927954,      -4.259120758,     -0.9832586648
          0,           0,          96,      -6.572792891,      -3.317605583,      -4.285449218,      -1.008748925
          0,           0,          97,      -6.598106795,       -3.34333116,       -4.31183745,      -1.034299367
          0,           0,          98,      -6.623458917,      -3.369102623,      -4.338282005,      -1.059908322
          0,           0,          99,      -6.648845838,      -3.394918244,      -4.364780651,      -1.085573062
          0,           0,         100,      -6.674265452,      -3.420776577,      -4.391330296,      -1.111292046
          0,           0,         101,      -6.699715669,      -3.446676145,       -4.41792888,      -1.137063708
          0,           0,         102,       -6.72519443,      -3.472615603,      -4.444574187,      -1.162886497
          0,           0,         103,      -6.750699746,      -3.498593644,       -4.47126444,      -1.188758886
          0,           0,         104,       -6.77622981,      -3.524609084,      -4.497997374,      -1.214679465
          0,           0,         105,      -6.801781311,      -3.550660952,      -4.524772629,      -1.240645743
          0,           0,         106,      -6.827354503,      -3.576748016,      -4.551583196,      -1.266657771
          0,           0,         107,      -6.852949038,      -3.602869507,      -4.578428745,      -1.292715186
          0,           0,         108,      -6.878564458,      -3.629024736,       -4.60530761,       -1.31881764
          0,           0,         109,      -6.904192195,      -3.655212861,      -4.632223162,      -1.344957925
