VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.559770731,      0.6562616089,      0.9537105095,       3.899857472
          0,           0,           1,      -2.024469658,      0.3946097202,      0.5279695051,       3.448681002
          0,           0,           2,      -2.283384152,      0.1867723851,      0.2773944346,       3.194957431
          0,           0,           3,      -2.447776388,     0.03696215739,     0.08230836901,       3.030946151
          0,           0,           4,      -2.601869934,    -0.09454262515,    -0.09438842957,       2.876684196
          0,           0,           5,      -2.753513365,     -0.2072293688,     -0.2580359544,       2.724068714
          0,           0,           6,      -2.901948165,     -0.3061950702,     -0.4111988917,       2.574793075
          0,           0,           7,      -3.043007996,     -0.3933115154,     -0.5614218029,       2.433628531
          0,           0,           8,      -3.179624359,     -0.4687282312,     -0.7062772662,       2.298277246
          0,           0,           9,      -3.314327401,     -0.5379155014,     -0.8438834117,       2.166743067
          0,           0,          10,      -3.443916873,     -0.6038373889,     -0.9765246809,       2.041603294
          0,           0,          11,      -3.565165957,      -0.666589549,      -1.104576776,       1.924801456
          0,           0,          12,      -3.677401995,     -0.7254028278,      -1.224633693,       1.816828508
          0,           0,          13,      -3.780538769,     -0.7798898378,      -1.332856843,       1.718440425
          0,           0,          14,      -3.872835231,     -0.8303194109,      -1.429094673,       1.631831581
          0,           0,          15,      -3.954969759,     -0.8771867882,      -1.516231131,       1.556867524
          0,           0,          16,      -4.029897369,      -0.920822546,      -1.595651747,       1.490888014
          0,           0,          17,      -4.098548488,     -0.9617309478,      -1.666874204,       1.432042637
          0,           0,          18,      -4.160928859,      -1.000914106,      -1.729729608,       1.378663282
          0,           0,          19,      -4.218185644,      -1.039630109,       -1.78519262,       1.328355058
          0,           0,          20,      -4.272060021,      -1.078881495,      -1.835029599,       1.279043496
          0,           0,          21,      -4.323921752,      -1.119135857,      -1.881008899,       1.229783851
          0,           0,          22,      -4.374418476,      -1.160322652,      -1.924449831,       1.180682554
          0,           0,          23,      -4.423606051,      -1.202004606,      -1.966510285,       1.132380386
          0,           0,          24,      -4.471316018,      -1.243608122,      -2.008384604,       1.085519352
          0,           0,          25,      -4.517435376,      -1.284616589,      -2.051066952,       1.040465885
          0,           0,          26,       -4.56199058,      -1.324659057,      -2.095034185,      0.9973141988
