VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.391140173,      0.8662642063,        1.10542149,        4.06848803
          0,           0,           1,      -1.873762542,       0.506666951,      0.6891643699,       3.604008758
          0,           0,           2,      -2.123398969,      0.2996500134,      0.4538222703,       3.360086607
          0,           0,           3,      -2.284449807,      0.1485992825,      0.2649299679,       3.198683592
          0,           0,           4,      -2.433189659,     0.01602091427,     0.08855282719,       3.048737809
          0,           0,           5,      -2.587387501,     -0.1083056487,    -0.08289926876,       2.893462468
          0,           0,           6,      -2.738489941,     -0.2195107212,     -0.2478868372,        2.74138003
          0,           0,           7,      -2.886206935,      -0.320419188,     -0.4080764443,       2.593219591
          0,           0,           8,      -3.033082585,     -0.4089917044,     -0.5632047567,       2.446708851
          0,           0,           9,      -3.179948412,     -0.4880062551,     -0.7118044587,        2.30133592
          0,           0,          10,      -3.323534427,     -0.5603404077,     -0.8529751223,       2.160484718
          0,           0,          11,      -3.458953274,     -0.6258162768,     -0.9871906635,       2.028906441
          0,           0,          12,      -3.583071117,     -0.6837576884,      -1.114863503,       1.909817852
          0,           0,          13,       -3.69568793,     -0.7351025181,      -1.234341856,       1.803851388
          0,           0,          14,       -3.79704287,     -0.7814152435,      -1.344364223,       1.710982851
          0,           0,          15,      -3.886559951,     -0.8237167198,      -1.444210599,       1.631329261
          0,           0,          16,      -3.963925188,     -0.8627132301,      -1.531025312,       1.563957206
          0,           0,          17,      -4.030536605,     -0.8993355097,      -1.602818842,       1.506133738
          0,           0,          18,      -4.089755474,     -0.9347757736,      -1.662285212,       1.453980079
          0,           0,          19,      -4.144424364,     -0.9701509642,      -1.714097518,       1.404576433
          0,           0,          20,      -4.195476253,      -1.006160542,      -1.761242729,       1.356858593
          0,           0,          21,      -4.243266678,      -1.043039172,      -1.805231476,       1.310638623
          0,           0,          22,      -4.288462318,      -1.080651463,      -1.847181843,       1.265893674
          0,           0,          23,      -4.331680757,      -1.118649945,      -1.887933668,       1.222761589
          0,           0,          24,      -4.373295435,      -1.156610513,      -1.928121921,       1.181424747
          0,           0,          25,      -4.413611531,      -1.194124344,      -1.968381054,        1.14187311
          0,           0,          26,      -4.452870413,      -1.230835859,       -2.00927571,         1.1039114
          0,           0,          27,       -4.49116356,      -1.266462186,      -2.050993953,       1.067297891
          0,           0,          28,      -4.528438451,      -1.300802587,      -2.093219017,         1.0318271
          0,           0,          29,      -4.564563821,      -1.333751072,       -2.13528343,      0.9973525754
          0,           0,          30,      -4.599376218,      -1.365298973,      -2.176454726,      0.9637954061
          0,           0,          31,      -4.632707908,      -1.395525852,      -2.216072878,      0.9311492039
          0,           0,          32,      -4.664443112,      -1.424575079,      -2.253620507,      0.8994478257
          0,           0,          33,      -4.694558617,      -1.452619499,      -2.288746786,      0.8687277756
          0,           0,          34,      -4.723126496,      -1.479826587,      -2.321277291,      0.8390051102
          0,           0,          35,      -4.750298948,      -1.506332617,      -2.351239616,      0.8102587107
          0,           0,          36,      -4.776264266,      -1.532233823,       -2.37885967,      0.7824351415
          0,           0,          37,      -4.801208054,      -1.557587147,      -2.404516832,      0.7554612823
          0,           0,          38,      -4.825292473,      -1.582418885,       -2.42868048,      0.7292550289
          0,           0,          39,      -4.848641601,      -1.606737131,      -2.451798707,      0.7037439865
          0,           0,          40,      -4.871344669,       -1.63054318,      -2.474256802,      0.6788704894
          0,           0,          41,      -4.893469103,      -1.653839163,      -2.496350005,      0.6545898475
          0,           0,          42,      -4.915072538,      -1.676634501,      -2.518269394,      0.6308664665
          0,           0,          43,      -4.936214631,      -1.698949778,      -2.540121715,      0.6076661408
          0,           0,          44,      -4.956962164,      -1.720819227,      -2.561945303,      0.5849495752
          0,           0,          45,       -4.97738901,      -1.742288616,      -2.583737656,      0.5626696154
          0,           0,          46,      -4.997572615,      -1.763411535,      -2.605474622,      0.5407730662
          0,           0,          47,      -5.017591455,      -1.784250274,      -2.627123167,      0.5191986957
          0,           0,          48,      -5.037521102,      -1.804871447,      -2.648653061,      0.4978812517
          0,           0,          49,      -5.057429633,      -1.825341397,      -2.670042456,      0.4767566454
          0,           0,          50,      -5.077376734,      -1.845722964,      -2.691278943,      0.4557643543
          0,           0,          51,      -5.097413416,      -1.866073916,      -2.712361563,      0.4348482791
          0,           0,          52,      -5.117583389,       -1.88644555,      -2.733297901,      0.4139577841
          0,           0,          53,      -5.137920685,      -1.906881301,       -2.75411437,      0.3930499203
          0,           0,          54,      -5.158451825,      -1.927416887,      -2.774839342,      0.3720881398
          0,           0,          55,      -5.179194195,      -1.948080239,      -2.795506347,      0.3510438042
          0,           0,          56,       -5.20015911,      -1.968892092,       -2.81614989,      0.3298941413
          0,           0,          57,      -5.221352531,      -1.989867038,      -2.836804677,      0.3086212787
          0,           0,          58,      -5.242775223,      -2.011014387,      -2.857503103,      0.2872125388
          0,           0,          59,      -5.264424947,        -2.0323392,      -2.878273218,       0.265658661
          0,           0,          60,      -5.286295864,      -2.053842813,      -2.899139505,      0.2439542418
          0,           0,          61,      -5.308380054,      -2.075523858,      -2.920119873,      0.2220967622
          0,           0,          62,      -5.330670171,      -2.097379227,      -2.941228377,      0.2000842529
          0,           0,          63,       -5.35315433,      -2.119404021,      -2.962478238,      0.1779190666
          0,           0,          64,      -5.375825033,      -2.141594666,      -2.983874929,      0.1556009382
          0,           0,          65,      -5.398673986,      -2.163943841,      -3.005420695,      0.1331323077
          0,           0,          66,      -5.421690203,      -2.186444402,      -3.027118443,      0.1105180042
          0,           0,          67,      -5.444863833,      -2.209089679,       -3.04896829,     0.08776275441
          0,           0,          68,      -5.468184186,      -2.231872882,      -3.070969689,     0.06487255201
          0,           0,          69,      -5.491642682,       -2.25478772,      -3.093119269,     0.04185226818
          0,           0,          70,      -5.515231489,      -2.277828123,      -3.115414517,     0.01870665019
          0,           0,          71,      -5.538943386,      -2.300988482,      -3.137854315,   -0.004559635391
          0,           0,          72,      -5.562771577,      -2.324263592,      -3.160436209,    -0.02794201116
          0,           0,          73,      -5.586710525,      -2.347648673,      -3.183156413,    -0.05143654253
          0,           0,          74,      -5.610754967,      -2.371139268,      -3.206012394,    -0.07503928598
          0,           0,          75,      -5.634900196,      -2.394731324,        -3.2290025,    -0.09874671906
          0,           0,          76,      -5.659142252,      -2.418423428,      -3.252127374,     -0.1225577042
          0,           0,          77,      -5.683476478,      -2.442211985,      -3.275385712,     -0.1464682992
          0,           0,          78,      -5.707900848,      -2.466092355,      -3.298774781,     -0.1704753403
          0,           0,          79,      -5.732411718,      -2.490061118,      -3.322293003,     -0.1945760576
          0,           0,          80,      -5.757007244,       -2.51411532,      -3.345935911,     -0.2187683596
          0,           0,          81,      -5.781685337,      -2.538252264,      -3.369703043,     -0.2430496415
          0,           0,          82,       -5.80644245,      -2.562469589,      -3.393595923,     -0.2674165478
          0,           0,          83,      -5.831274531,      -2.586764988,      -3.417612435,     -0.2918654785
          0,           0,          84,      -5.856182881,      -2.611136867,      -3.441746572,     -0.3163972836
          0,           0,          85,      -5.881165762,      -2.635583241,      -3.466000926,     -0.3410105283
          0,           0,          86,      -5.906219464,       -2.66010213,      -3.490373599,     -0.3657020915
