VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.379133874,      0.9154225061,       1.105094311,       4.080494329
          0,           0,           1,      -1.844337205,       0.560754633,      0.6951111817,       3.632537646
          0,           0,           2,      -2.089816384,      0.3572119268,      0.4633012597,       3.393410298
          0,           0,           3,      -2.248649736,      0.2084767537,      0.2727689231,       3.234090153
          0,           0,           4,      -2.403871242,     0.07328798022,     0.09536815091,          3.078121
          0,           0,           5,      -2.560052828,    -0.05115832625,    -0.07105988059,       2.920296532
          0,           0,           6,      -2.708788522,     -0.1598132171,     -0.2288893695,       2.769880474
          0,           0,           7,      -2.855129413,     -0.2562631104,     -0.3826549807,       2.622938268
          0,           0,           8,      -3.002132351,      -0.340286951,     -0.5316566587,       2.476740294
          0,           0,           9,      -3.148666168,     -0.4151568432,     -0.6754173659,       2.332597357
          0,           0,          10,      -3.290525476,     -0.4851333044,     -0.8145029944,        2.19420708
          0,           0,          11,       -3.42380336,     -0.5509579662,     -0.9479910468,       2.064929258
          0,           0,          12,      -3.548104619,     -0.6115025053,      -1.074415138,       1.945802736
          0,           0,          13,      -3.661985303,     -0.6664471855,      -1.193655084,       1.838936571
          0,           0,          14,      -3.762320179,     -0.7166755454,      -1.306312005,       1.746952249
          0,           0,          15,      -3.850480074,     -0.7631637886,       -1.41096033,       1.667929383
          0,           0,          16,      -3.930480032,     -0.8063689893,      -1.503688336,       1.597767221
          0,           0,          17,      -4.003389295,     -0.8466879952,      -1.581631852,       1.534642707
          0,           0,          18,      -4.068332548,      -0.884959529,      -1.646309476,       1.477982499
          0,           0,          19,       -4.12574567,     -0.9223489822,      -1.702100903,       1.426425052
          0,           0,          20,      -4.177625362,     -0.9598821449,      -1.752487569,       1.378113424
          0,           0,          21,      -4.225977629,     -0.9981300287,      -1.798758361,       1.331725475
          0,           0,          22,      -4.271798183,      -1.037194298,      -1.841176154,       1.286823194
          0,           0,          23,      -4.315189708,      -1.076877697,       -1.88019163,       1.243527686
          0,           0,          24,       -4.35616513,      -1.116880801,      -1.916690915,       1.201916014
          0,           0,          25,      -4.395169584,      -1.156933634,      -1.951700727,       1.161698265
          0,           0,          26,      -4.432977184,      -1.196815792,      -1.986112568,       1.122347001
          0,           0,          27,       -4.47031209,      -1.236318737,      -2.020609361,       1.083390358
          0,           0,          28,      -4.507568222,      -1.275212405,      -2.055644513,       1.044610849
          0,           0,          29,       -4.54475374,      -1.313243224,      -2.091496831,       1.006061924
          0,           0,          30,      -4.581559001,      -1.350173524,      -2.128269412,      0.9679944523
          0,           0,          31,      -4.617517709,      -1.385814483,      -2.165843041,      0.9307471377
          0,           0,          32,      -4.652185646,      -1.420067286,      -2.203867393,      0.8946253221
          0,           0,          33,      -4.685260515,      -1.452930105,       -2.24179818,      0.8598347452
          0,           0,          34,      -4.716614559,      -1.484476119,      -2.278978582,      0.8264744279
          0,           0,          35,      -4.746260417,      -1.514818684,      -2.314743707,      0.7945641146
          0,           0,          36,      -4.774294694,      -1.544076352,       -2.34854134,      0.7640801169
          0,           0,          37,      -4.800856493,      -1.572350952,      -2.380017432,      0.7349751773
          0,           0,          38,      -4.826100171,      -1.599720538,      -2.409048957,      0.7071853567
          0,           0,          39,      -4.850186158,      -1.626240753,      -2.435726209,      0.6806292383
          0,           0,          40,      -4.873277391,      -1.651953231,      -2.460294391,      0.6552076566
          0,           0,          41,      -4.895535774,      -1.676894089,      -2.483087678,       0.630806512
          0,           0,          42,      -4.917117294,      -1.701100006,      -2.504473477,      0.6073038436
          0,           0,          43,      -4.938167267,      -1.724612147,      -2.524810625,      0.5845764305
          0,           0,          44,      -4.958815534,       -1.74747816,      -2.544423814,      0.5625060425
          0,           0,          45,      -4.979173911,      -1.769752144,      -2.563589007,      0.5409834768
          0,           0,          46,      -4.999334666,      -1.791493451,      -2.582528759,      0.5199117233
          0,           0,          47,      -5.019373566,      -1.812765807,       -2.60140934,      0.4992047267
          0,           0,          48,       -5.03935325,      -1.833636663,        -2.6203537,      0.4787839007
          0,           0,          49,      -5.059324128,      -1.854176174,      -2.639446337,      0.4585772006
          0,           0,          50,      -5.079320015,      -1.874450157,      -2.658717365,      0.4385365816
          0,           0,          51,      -5.099377452,      -1.894524551,      -2.678191588,      0.4186073268
          0,           0,          52,      -5.119524407,      -1.914461926,        -2.6978732,      0.3987433887
          0,           0,          53,      -5.139785919,      -1.934320908,      -2.717756058,      0.3789028114
          0,           0,          54,      -5.160185447,      -1.954155067,      -2.737827471,      0.3590471165
          0,           0,          55,      -5.180742273,      -1.974011923,      -2.758075942,      0.3391433105
          0,           0,          56,      -5.201473147,      -1.993932389,      -2.778489873,      0.3191622323
          0,           0,          57,      -5.222392161,      -2.013951132,      -2.799061663,      0.2990783961
          0,           0,          58,      -5.243510057,      -2.034096701,      -2.819784836,      0.2788704847
          0,           0,          59,      -5.264836078,      -2.054391728,      -2.840658469,      0.2585194853
          0,           0,          60,      -5.286373012,       -2.07485374,      -2.861685633,      0.2380122385
          0,           0,          61,      -5.308120026,      -2.095494798,       -2.88286173,      0.2173397245
          0,           0,          62,      -5.330078858,      -2.116323452,      -2.904189911,      0.1964922324
          0,           0,          63,      -5.352248454,      -2.137347433,      -2.925675077,      0.1754617057
          0,           0,          64,      -5.374624035,       -2.15856843,      -2.947319194,       0.154246012
          0,           0,          65,      -5.397200795,      -2.179984861,      -2.969122289,      0.1328436925
          0,           0,          66,      -5.419972006,      -2.201594749,      -2.991087108,      0.1112555972
          0,           0,          67,       -5.44292427,      -2.223394054,      -3.013214782,     0.08948791866
          0,           0,          68,      -5.466049187,      -2.245377818,      -3.035504316,      0.0675443417
          0,           0,          69,       -5.48933804,      -2.267540455,      -3.057956416,     0.04542995739
          0,           0,          70,      -5.512785012,      -2.289876227,      -3.080565468,     0.02314787825
          0,           0,          71,      -5.536382059,      -2.312379114,      -3.103329243,   0.0007035478595
          0,           0,          72,      -5.560122527,      -2.335043056,      -3.126244188,     -0.0218980557
          0,           0,          73,      -5.583999231,       -2.35786187,      -3.149306956,    -0.04465187367
          0,           0,          74,      -5.608005792,      -2.380829727,      -3.172513471,    -0.06755290338
          0,           0,          75,      -5.632136252,      -2.403941077,      -3.195860084,    -0.09059626783
          0,           0,          76,      -5.656385175,      -2.427190664,      -3.219343903,       -0.11377717
          0,           0,          77,      -5.680748632,      -2.450573582,      -3.242962201,      -0.137092206
          0,           0,          78,       -5.70522549,      -2.474084799,      -3.266707827,     -0.1605396594
          0,           0,          79,      -5.729810657,      -2.497720437,      -3.290583322,     -0.1841149105
          0,           0,          80,      -5.754503452,      -2.521477062,      -3.314583772,     -0.2078160175
          0,           0,          81,      -5.779301703,      -2.545351376,      -3.338706104,      -0.231640709
          0,           0,          82,      -5.804198912,      -2.569338853,      -3.362952141,     -0.2555835093
          0,           0,          83,      -5.829189942,      -2.593435834,      -3.387319175,     -0.2796396408
          0,           0,          84,      -5.854274578,      -2.617639411,      -3.411804229,     -0.3038079805
          0,           0,          85,      -5.879451908,       -2.64194676,      -3.436405028,     -0.3280864498
          0,           0,          86,      -5.904720744,      -2.666355056,      -3.461116968,      -0.352472877
          0,           0,          87,      -5.930078825,      -2.690861846,      -3.485941336,     -0.3769646684
          0,           0,          88,      -5.955526435,      -2.715464982,      -3.510876596,     -0.4015610347
          0,           0,          89,      -5.981063185,      -2.740162366,      -3.535921555,     -0.4262606372
          0,           0,          90,      -6.006687824,      -2.764951942,      -3.561075116,     -0.4510615604
          0,           0,          91,      -6.032398879,      -2.789831726,      -3.586335925,     -0.4759617818
          0,           0,          92,      -6.058196419,      -2.814799565,      -3.611699554,     -0.5009602305
          0,           0,          93,      -6.084074521,      -2.839853562,      -3.637162822,     -0.5260519015
          0,           0,          94,      -6.110032345,      -2.864991743,      -3.662734224,     -0.5512354301
          0,           0,          95,      -6.136072699,      -2.890212842,      -3.688406058,     -0.5765119827
          0,           0,          96,      -6.162195398,      -2.915515398,      -3.714176294,     -0.6018804377
          0,           0,          97,      -6.188400576,      -2.940897911,      -3.740045324,     -0.6273399883
          0,           0,          98,      -6.214687518,       -2.96635884,      -3.766010262,     -0.6528890457
          0,           0,          99,      -6.241054864,      -2.991896681,      -3.792069565,     -0.6785256856
          0,           0,         100,       -6.26750014,      -3.017509984,      -3.818222411,     -0.7042475349
          0,           0,         101,      -6.294021691,      -3.043197314,        -3.8444675,      -0.730052652
          0,           0,         102,      -6.320618657,      -3.068957306,      -3.870802647,     -0.7559396699
          0,           0,         103,      -6.347290947,      -3.094788809,      -3.897225967,     -0.7819081323
          0,           0,         104,      -6.374037141,      -3.120690543,       -3.92373611,     -0.8079564263
          0,           0,         105,      -6.400855811,      -3.146661223,      -3.950331376,     -0.8340828071
          0,           0,         106,      -6.427746921,      -3.172699577,      -3.977010359,     -0.8602865712
          0,           0,         107,      -6.454707978,      -3.198804218,       -4.00377115,      -0.886564965
          0,           0,         108,      -6.481738028,      -3.224974301,      -4.030611745,     -0.9129170189
          0,           0,         109,      -6.508837906,      -3.251209031,      -4.057530433,     -0.9393429728
          0,           0,         110,      -6.536005975,      -3.277507314,      -4.084525465,     -0.9658410686
          0,           0,         111,      -6.563240479,      -3.303868012,      -4.111595037,     -0.9924095182
          0,           0,         112,      -6.590540168,      -3.330290068,      -4.138737475,      -1.019046926
          0,           0,         113,      -6.617904003,      -3.356772505,      -4.165951062,       -1.04575206
          0,           0,         114,      -6.645327318,      -3.383314292,      -4.193239636,      -1.072521197
          0,           0,         115,      -6.672810042,      -3.409914495,      -4.220595579,      -1.099353669
          0,           0,         116,      -6.700357108,      -3.436572665,      -4.248013166,      -1.126252516
          0,           0,         117,      -6.727968654,      -3.463288148,      -4.275494493,      -1.153217478
          0,           0,         118,      -6.755641057,      -3.490060021,       -4.30304028,      -1.180245617
          0,           0,         119,      -6.783371462,      -3.516887441,      -4.330647704,      -1.207334645
          0,           0,         120,      -6.811159366,      -3.543769615,      -4.358313383,      -1.234483807
          0,           0,         121,       -6.83900489,      -3.570705841,      -4.386036772,      -1.261692755
          0,           0,         122,      -6.866907039,      -3.597695422,      -4.413816359,      -1.288960443
          0,           0,         123,      -6.894864479,      -3.624737672,      -4.441650196,      -1.316285584
          0,           0,         124,      -6.922875972,      -3.651831937,      -4.469536481,      -1.343666973
          0,           0,         125,      -6.950940507,        -3.6789776,      -4.497473589,      -1.371103579
          0,           0,         126,      -6.979057239,       -3.70617408,      -4.525459927,      -1.398594511
          0,           0,         127,      -7.007225403,      -3.733420814,       -4.55349389,      -1.426138951
          0,           0,         128,      -7.035444228,       -3.76071726,      -4.581573837,      -1.453736077
          0,           0,         129,      -7.063712924,      -3.788062887,      -4.609698129,      -1.481385067
          0,           0,         130,      -7.092030699,      -3.815457179,       -4.63786514,      -1.509085095
          0,           0,         131,      -7.120396758,      -3.842899635,      -4.666073261,      -1.536835347
          0,           0,         132,      -7.148810304,      -3.870389768,      -4.694320898,      -1.564635017
          0,           0,         133,      -7.177270548,      -3.897927105,      -4.722606465,      -1.592483317
          0,           0,         134,      -7.205776706,      -3.925511187,      -4.750928391,      -1.620379471
          0,           0,         135,      -7.234328006,      -3.953141566,      -4.779285116,      -1.648322721
          0,           0,         136,      -7.262923686,      -3.980817807,      -4.807675093,      -1.676312321
          0,           0,         137,      -7.291562993,      -4.008539485,      -4.836096792,      -1.704347542
          0,           0,         138,      -7.320245189,      -4.036306188,      -4.864548702,      -1.732427673
          0,           0,         139,      -7.348969558,      -4.064117514,      -4.893029341,      -1.760552023
          0,           0,         140,      -7.377735398,      -4.091973072,      -4.921537257,      -1.788719918
          0,           0,         141,      -7.406542022,      -4.119872485,      -4.950071027,      -1.816930702
          0,           0,         142,      -7.435388761,      -4.147815384,       -4.97862926,      -1.845183737
          0,           0,         143,       -7.46427496,      -4.175801413,      -5.007210595,      -1.873478404
          0,           0,         144,      -7.493199979,      -4.203830225,      -5.035813697,        -1.9018141
          0,           0,         145,      -7.522163191,      -4.231901484,      -5.064437261,      -1.930190243
