VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.455364529,      0.7614387426,       1.058210281,       4.004263674
          0,           0,           1,      -1.922631365,      0.5317955635,       0.615769561,       3.548644434
          0,           0,           2,       -2.17807316,      0.3259700901,       0.379317737,       3.298929384
          0,           0,           3,      -2.341160021,      0.1768181184,      0.1957921688,       3.137072089
          0,           0,           4,       -2.49034283,     0.05014233828,     0.02449850409,       2.987792535
          0,           0,           5,      -2.639299066,    -0.06307811608,      -0.138443746,       2.838395315
          0,           0,           6,      -2.783586562,     -0.1636495302,     -0.2941448061,       2.693847523
          0,           0,           7,      -2.920578198,     -0.2495610676,     -0.4440474925,       2.557080574
          0,           0,           8,      -3.052918271,     -0.3245511941,     -0.5853583771,       2.426248689
          0,           0,           9,      -3.184811792,     -0.3950667144,     -0.7197117589,       2.297474126
          0,           0,          10,      -3.314135455,     -0.4631696305,     -0.8507983251,       2.171880081
          0,           0,          11,      -3.432897157,     -0.5273553294,      -0.975348802,       2.056220111
          0,           0,          12,      -3.536891701,     -0.5865093788,      -1.088997096,       1.955046421
          0,           0,          13,      -3.631471363,     -0.6412639859,      -1.192490137,       1.864663363
          0,           0,          14,      -3.719084102,     -0.6920213142,      -1.287313753,       1.783157572
          0,           0,          15,      -3.796668862,     -0.7383907599,       -1.37178392,       1.712744029
          0,           0,          16,      -3.865375185,     -0.7808319323,       -1.44442756,       1.651494995
          0,           0,          17,      -3.928886564,     -0.8210043518,      -1.508004437,       1.595043779
          0,           0,          18,      -3.988466524,     -0.8606785157,      -1.566538137,       1.541167465
          0,           0,          19,      -4.044194671,     -0.9008701785,      -1.621738765,       1.489188851
          0,           0,          20,      -4.096818346,     -0.9418525447,       -1.67368797,       1.438541862
          0,           0,          21,      -4.147382034,     -0.9835572447,      -1.722440445,       1.388752923
          0,           0,          22,      -4.196628335,      -1.025827708,      -1.768590563,       1.339605442
          0,           0,          23,      -4.244780944,      -1.068492834,      -1.812962615,       1.291177987
          0,           0,          24,      -4.291649039,      -1.111375402,      -1.855849002,         1.2437524
          0,           0,          25,      -4.337028867,      -1.154266843,      -1.897311685,       1.197549392
          0,           0,          26,      -4.380962827,      -1.196899553,      -1.937667406,        1.15256877
          0,           0,          27,      -4.423557741,      -1.238966266,      -1.977618967,       1.108730502
          0,           0,          28,      -4.464835638,      -1.280146747,      -2.018108445,       1.065988667
          0,           0,          29,      -4.504733134,       -1.32017964,      -2.059800124,       1.024334599
          0,           0,          30,      -4.543179852,      -1.358905599,      -2.102805651,      0.9837534642
          0,           0,          31,      -4.580134765,      -1.396278403,      -2.146719523,      0.9442267647
          0,           0,          32,      -4.615543223,      -1.432332778,      -2.190853797,      0.9057966157
          0,           0,          33,      -4.649387237,       -1.46714999,      -2.234513119,      0.8685455817
          0,           0,          34,      -4.681725229,      -1.500829228,        -2.2771257,      0.8325499146
          0,           0,          35,      -4.712707319,      -1.533466359,      -2.318251191,      0.7978307229
          0,           0,          36,      -4.742520262,      -1.565138621,      -2.357542569,      0.7643573766
          0,           0,          37,      -4.771351503,      -1.595911697,      -2.394740029,      0.7320530319
          0,           0,          38,      -4.799334776,      -1.625831339,       -2.42969294,      0.7008432935
          0,           0,          39,      -4.826555427,      -1.654930269,      -2.462384785,       0.670657435
          0,           0,          40,      -4.853069558,       -1.68323331,      -2.492944201,      0.6414322318
