VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.723007018,      0.4194613058,      0.8079916081,       3.736621185
          0,           0,           1,      -2.178059999,      0.1734415022,      0.3970962022,       3.296920793
          0,           0,           2,      -2.434095385,    -0.05610406802,      0.1439579766,       3.045208187
          0,           0,           3,      -2.599919995,      -0.208869795,    -0.05637283541,        2.87959078
          0,           0,           4,      -2.756824753,     -0.3487021134,     -0.2366004245,       2.721779329
          0,           0,           5,      -2.913703134,     -0.4820739495,      -0.407657687,       2.563578434
          0,           0,           6,      -3.067113183,     -0.6089342503,     -0.5695112551,       2.408880697
          0,           0,           7,      -3.217137167,     -0.7322381883,     -0.7281749233,       2.257636958
          0,           0,           8,      -3.369299069,      -0.845773977,     -0.8842567607,       2.104558955
          0,           0,           9,      -3.521229194,     -0.9457319375,      -1.036594113,        1.95166697
          0,           0,          10,      -3.670226658,       -1.03472419,      -1.185598451,       1.801461847
          0,           0,          11,      -3.813655939,      -1.114619085,      -1.331499485,       1.656530266
          0,           0,          12,      -3.948560472,      -1.185613727,      -1.472590373,       1.519781279
          0,           0,          13,      -4.074065405,      -1.248450012,      -1.605270206,       1.392289881
          0,           0,          14,      -4.189427661,      -1.304539275,       -1.72693156,       1.274944891
          0,           0,          15,       -4.29340867,      -1.355486776,      -1.838263103,       1.169038226
          0,           0,          16,      -4.386013148,      -1.402711995,      -1.940582132,       1.074808995
          0,           0,          17,      -4.467818812,      -1.447080042,      -2.033402892,      0.9919707857
          0,           0,          18,      -4.539131771,      -1.488959453,      -2.115809456,      0.9203259779
          0,           0,          19,      -4.600970942,      -1.528593813,      -2.188225135,      0.8587003336
          0,           0,          20,      -4.655490667,      -1.566379242,      -2.252449577,      0.8046079444
          0,           0,          21,       -4.70509524,      -1.602869686,       -2.31057911,      0.7553467037
          0,           0,          22,      -4.751704455,      -1.638582148,      -2.364308626,      0.7089187258
          0,           0,          23,      -4.796571394,      -1.673815258,      -2.415009948,      0.6642003762
          0,           0,          24,      -4.840161766,      -1.708610997,      -2.464029169,      0.6209028056
          0,           0,          25,      -4.882198778,       -1.74285004,      -2.512556812,      0.5793889054
          0,           0,          26,      -4.922095881,      -1.776382508,      -2.561201217,       0.540198675
          0,           0,          27,      -4.959570269,      -1.809117557,      -2.609750335,      0.5035149086
          0,           0,          28,      -4.994925737,      -1.841041497,      -2.657576849,      0.4689705459
          0,           0,          29,       -5.02884775,      -1.872182645,      -2.704198469,      0.4358873368
          0,           0,          30,      -5.061979587,      -1.902558255,      -2.749608481,      0.4036709407
          0,           0,          31,       -5.09461675,      -1.932136491,      -2.794214384,      0.3720661161
          0,           0,          32,      -5.126654772,      -1.960830682,      -2.838520722,      0.3411780202
          0,           0,          33,      -5.157725475,      -1.988524317,      -2.882813258,      0.3113330882
          0,           0,          34,      -5.187402814,      -2.015111263,      -2.927003036,      0.2828938938
          0,           0,          35,      -5.215381415,      -2.040531747,      -2.970627156,      0.2561081497
          0,           0,          36,      -5.241569596,      -2.064790875,      -3.012954471,      0.2310359051
          0,           0,          37,      -5.266083897,      -2.087955578,      -3.053163638,      0.2075598053
          0,           0,          38,      -5.289174041,      -2.110135569,      -3.090571786,      0.1854493172
          0,           0,          39,      -5.311135284,      -2.131459354,      -3.124833627,      0.1644356932
          0,           0,          40,      -5.332241088,      -2.152052483,      -3.156029782,      0.1442688079
          0,           0,          41,      -5.352708845,      -2.172024525,      -3.184590946,      0.1247465034
          0,           0,          42,      -5.372693017,      -2.191464299,      -3.211119099,      0.1057213762
          0,           0,          43,        -5.3922945,      -2.210441807,      -3.236201653,     0.08709380422
          0,           0,          44,      -5.411576462,      -2.229014077,      -3.260291969,     0.06879886391
          0,           0,          45,      -5.430581112,      -2.247232075,      -3.283671532,     0.05079220346
          0,           0,          46,      -5.449343727,      -2.265145493,      -3.306467981,     0.03303781652
          0,           0,          47,      -5.467899587,      -2.282805912,      -3.328703742,     0.01550278398
          0,           0,          48,      -5.486289289,       -2.30026706,      -3.350342384,   -0.001848561331
          0,           0,          49,      -5.504561655,      -2.317583965,      -3.371327916,    -0.01905806024
          0,           0,          50,      -5.522770061,      -2.334810908,      -3.391612901,    -0.03617162409
