VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.398799458,      0.8462547882,       1.102265076,       4.060828745
          0,           0,           1,      -1.882755589,      0.5065897927,      0.6730162591,       3.595634028
          0,           0,           2,      -2.128232446,      0.2984480724,      0.4308515138,       3.356849348
          0,           0,           3,      -2.289162779,      0.1530489902,      0.2390803738,       3.195617213
          0,           0,           4,      -2.442124719,     0.02124337278,     0.06196023723,       3.040778097
          0,           0,           5,      -2.593215155,      -0.100838654,     -0.1076621563,       2.886798912
          0,           0,           6,       -2.74331169,     -0.2151891975,     -0.2667284784,       2.734365075
          0,           0,           7,      -2.892925889,     -0.3200032332,     -0.4202994533,       2.583547624
          0,           0,           8,      -3.041922796,     -0.4110717294,     -0.5704945528,       2.434371289
          0,           0,           9,      -3.187579604,     -0.4905649527,     -0.7155822286,        2.28951037
          0,           0,          10,      -3.325713564,     -0.5632053731,      -0.857572516,       2.152867556
          0,           0,          11,      -3.454257841,     -0.6307814079,     -0.9968198743,       2.026179891
          0,           0,          12,      -3.573923546,     -0.6923127997,      -1.128186364,       1.908959106
          0,           0,          13,      -3.685084712,     -0.7469955417,      -1.247319115,       1.801227893
          0,           0,          14,      -3.786548359,     -0.7957359341,        -1.3550537,       1.704270841
          0,           0,          15,      -3.876578626,     -0.8400571337,      -1.454065909,       1.619811375
          0,           0,          16,      -3.954999758,     -0.8809206128,      -1.544849846,       1.548098207
          0,           0,          17,       -4.02341182,     -0.9189365073,      -1.625048708,       1.487241044
          0,           0,          18,      -4.083947204,      -0.954947429,       -1.69230618,       1.434100033
          0,           0,          19,      -4.138730711,     -0.9900827314,      -1.747486593,       1.385369068
          0,           0,          20,       -4.18947234,      -1.025387797,      -1.794556916,       1.338731121
          0,           0,          21,      -4.237144078,       -1.06148407,      -1.837888437,       1.293374425
          0,           0,          22,      -4.282401124,      -1.098500486,      -1.880037016,       1.249355061
          0,           0,          23,      -4.326065854,      -1.136184343,       -1.92152457,       1.206725996
          0,           0,          24,      -4.368929016,      -1.174067794,      -1.962140158,       1.165322814
          0,           0,          25,      -4.411295376,      -1.211635502,       -2.00215564,       1.125020857
          0,           0,          26,      -4.452899187,      -1.248433066,      -2.042412566,       1.085922998
          0,           0,          27,      -4.493229721,      -1.284112801,      -2.083654224,       1.048265365
          0,           0,          28,      -4.531917567,      -1.318437882,      -2.125984278,       1.012210485
          0,           0,          29,      -4.568872198,       -1.35127309,       -2.16885573,      0.9777459599
          0,           0,          30,      -4.604162555,      -1.382574746,      -2.211400761,      0.9447358078
          0,           0,          31,      -4.637840692,       -1.41238476,      -2.252747701,      0.9130278156
          0,           0,          32,      -4.669884233,       -1.44082267,       -2.29218827,      0.8825105667
          0,           0,          33,      -4.700263588,      -1.468065421,      -2.329219191,      0.8531050049
          0,           0,          34,      -4.729040717,      -1.494322557,      -2.363539954,      0.8247258891
          0,           0,          35,      -4.756410691,      -1.519803161,      -2.395083382,      0.7972611823
          0,           0,          36,      -4.782666888,      -1.544687372,      -2.424042712,       0.770577566
          0,           0,          37,      -4.808124412,      -1.569110546,      -2.450831425,      0.7445417526
          0,           0,          38,      -4.833048785,      -1.593161407,      -2.475989782,      0.7190424629
          0,           0,          39,      -4.857620164,      -1.616887841,      -2.500061954,      0.6940026353
          0,           0,          40,      -4.881931227,      -1.640313862,      -2.523498256,      0.6693762465
          0,           0,          41,      -4.906010996,      -1.663452175,       -2.54660771,      0.6451383363
          0,           0,          42,      -4.929855093,      -1.686315362,       -2.56955923,      0.6212718785
          0,           0,          43,      -4.953449559,      -1.708921554,      -2.592412368,      0.5977587486
          0,           0,          44,      -4.976785445,      -1.731295943,      -2.615162446,      0.5745749831
          0,           0,          45,      -4.999864822,      -1.753470085,       -2.63777787,      0.5516898708
          0,           0,          46,      -5.022702517,      -1.775478076,      -2.660226922,      0.5290665393
          0,           0,          47,      -5.045319584,      -1.797354689,      -2.682492969,      0.5066665144
          0,           0,          48,      -5.067742214,       -1.81913214,      -2.704579885,      0.4844498968
          0,           0,          49,      -5.089997861,      -1.840838662,      -2.726507175,      0.4623784165
          0,           0,          50,      -5.112110263,      -1.862498342,      -2.748306799,      0.4404191782
          0,           0,          51,      -5.134104246,       -1.88413129,      -2.770015052,      0.4185412103
          0,           0,          52,      -5.156003508,      -1.905753896,      -2.791666754,      0.3967171262
          0,           0,          53,      -5.177830165,      -1.927379745,       -2.81329221,      0.3749241841
          0,           0,          54,      -5.199606029,      -1.949020301,       -2.83491235,        0.35314295
          0,           0,          55,      -5.221354388,      -1.970686476,      -2.856542439,      0.3313547712
          0,           0,          56,      -5.243096427,      -1.992386744,      -2.878192732,      0.3095457023
          0,           0,          57,      -5.264851982,        -2.0141282,      -2.899866659,      0.2877043078
          0,           0,          58,       -5.28664065,      -2.035918059,      -2.921565434,      0.2658194339
          0,           0,          59,      -5.308477088,      -2.057763334,       -2.94328965,      0.2438832021
          0,           0,          60,      -5.330375971,      -2.079669752,      -2.965040464,      0.2218879488
          0,           0,          61,      -5.352345567,      -2.101643199,      -2.986822218,      0.1998294302
          0,           0,          62,      -5.374394781,       -2.12368881,      -3.008634103,       0.177702823
          0,           0,          63,      -5.396533439,      -2.145811847,       -3.03047746,      0.1555019968
          0,           0,          64,      -5.418767459,      -2.168017667,      -3.052360728,      0.1332229821
          0,           0,          65,      -5.441101876,      -2.190311151,       -3.07429197,      0.1108620413
          0,           0,          66,      -5.463543951,      -2.212696422,      -3.096271418,     0.08841403077
          0,           0,          67,      -5.486098854,      -2.235177308,      -3.118303616,     0.06587469347
          0,           0,          68,      -5.508769714,      -2.257757285,      -3.140394968,     0.04324104478
          0,           0,          69,      -5.531559871,      -2.280439454,      -3.162550993,     0.02050987578
          0,           0,          70,       -5.55447346,      -2.303226695,      -3.184776469,   -0.002322761612
          0,           0,          71,      -5.577513354,       -2.32612083,        -3.2070773,    -0.02525957944
          0,           0,          72,      -5.600682679,      -2.349123359,      -3.229455848,    -0.04830355734
          0,           0,          73,      -5.623986661,      -2.372234939,      -3.251908721,    -0.07145913191
          0,           0,          74,      -5.647420383,      -2.395456571,      -3.274459458,    -0.09472346485
          0,           0,          75,      -5.670984288,      -2.418788794,      -3.297110467,     -0.1180973909
          0,           0,          76,      -5.694680656,        -2.4422318,      -3.319864286,     -0.1415829836
          0,           0,          77,      -5.718510169,        -2.4657852,      -3.342722961,     -0.1651811723
