VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.398328028,      0.8209078465,       1.113229782,       4.061300175
          0,           0,           1,      -1.876370531,      0.5353485112,      0.6773401576,       3.600274573
          0,           0,           2,      -2.116540916,      0.3446813306,      0.4461351563,       3.365995624
          0,           0,           3,      -2.279099247,      0.2060646221,       0.263491685,       3.204276376
          0,           0,           4,      -2.435563377,     0.07801728356,     0.09247306301,       3.047379475
          0,           0,           5,      -2.588073538,    -0.03881640921,    -0.07273249758,       2.893330421
          0,           0,           6,      -2.734660448,     -0.1405998844,     -0.2311813266,       2.745543457
          0,           0,           7,      -2.880097019,     -0.2289482152,     -0.3847514146,       2.600113315
          0,           0,           8,      -3.022226055,     -0.3038882395,     -0.5329304376,       2.459389281
          0,           0,           9,      -3.160149878,     -0.3720514342,     -0.6750000403,       2.324603448
          0,           0,          10,      -3.293433231,     -0.4381760587,     -0.8113150404,       2.195822036
          0,           0,          11,      -3.420000299,     -0.5018276138,     -0.9412181874,       2.075148907
          0,           0,          12,      -3.536875887,     -0.5612171393,      -1.063122405,       1.966285852
          0,           0,          13,      -3.640709033,     -0.6158511109,      -1.176849378,       1.872381821
          0,           0,          14,      -3.731593057,     -0.6662404106,      -1.282038683,       1.792092239
          0,           0,          15,      -3.813533909,     -0.7129957703,      -1.375992073,       1.720395064
          0,           0,          16,      -3.890297707,     -0.7568085566,      -1.456047253,       1.653054595
          0,           0,          17,      -3.963083345,     -0.7986684289,      -1.523320263,       1.588485236
          0,           0,          18,      -4.031027609,     -0.8396776082,      -1.582309912,       1.527035566
          0,           0,          19,      -4.092778028,     -0.8806974644,      -1.637149602,        1.46967935
          0,           0,          20,      -4.148072282,     -0.9222045409,      -1.689556671,       1.416873446
          0,           0,          21,      -4.198252334,     -0.9643731601,      -1.739474902,       1.368031014
          0,           0,          22,      -4.245359885,      -1.007215046,      -1.786387939,       1.321863792
          0,           0,          23,      -4.290875152,      -1.050655088,      -1.830176659,       1.277149165
          0,           0,          24,      -4.335250078,      -1.094554515,      -1.871334395,       1.233207995
          0,           0,          25,      -4.378328645,      -1.138701233,      -1.910777378,       1.189846397
          0,           0,          26,      -4.419976113,      -1.182805599,      -1.949482137,       1.147053163
          0,           0,          27,      -4.460352839,       -1.22651513,      -1.988208019,         1.1047932
          0,           0,          28,      -4.499752552,      -1.269453812,       -2.02739992,       1.063006553
          0,           0,          29,       -4.53832533,      -1.311280881,      -2.067212689,       1.021695607
          0,           0,          30,      -4.575938761,       -1.35174008,      -2.107596297,      0.9809962257
          0,           0,          31,      -4.612251072,      -1.390696104,      -2.148322863,      0.9411543902
          0,           0,          32,      -4.646896139,      -1.428137294,      -2.189004538,      0.9024512247
          0,           0,          33,      -4.679650821,      -1.464150733,       -2.22912654,      0.8651151955
          0,           0,          34,      -4.710505878,      -1.498877276,      -2.268120144,       0.829271082
          0,           0,          35,      -4.739625985,      -1.532469185,      -2.305446168,      0.7949386821
