VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.353033111,      0.9310187671,       1.134186997,       4.106595092
          0,           0,           1,      -1.816525212,      0.6449954299,      0.7031061779,       3.659363506
          0,           0,           2,      -2.058288159,      0.4496239812,      0.4824189616,       3.424349527
          0,           0,           3,      -2.224214701,      0.3035982854,       0.305881945,       3.259856142
          0,           0,           4,      -2.377278127,      0.1727647503,      0.1382148615,       3.106103345
          0,           0,           5,      -2.523952837,     0.06058928169,    -0.02316463651,        2.95777253
          0,           0,           6,      -2.667373065,    -0.03790332359,     -0.1791406536,       2.813623459
          0,           0,           7,       -2.80971099,     -0.1235119625,     -0.3289685304,         2.6721576
          0,           0,           8,      -2.948588392,     -0.1974082543,      -0.471368534,       2.535985851
          0,           0,           9,      -3.083770237,      -0.266202562,      -0.608962936,       2.405402083
          0,           0,          10,      -3.213658585,     -0.3326064513,     -0.7427208936,       2.281193031
          0,           0,          11,      -3.335034241,     -0.3955571814,     -0.8711496321,        2.16621261
          0,           0,          12,       -3.44689625,     -0.4542689868,     -0.9920942795,       2.062183194
          0,           0,          13,      -3.549612048,     -0.5089345243,      -1.103843549,       1.969003823
          0,           0,          14,      -3.643224488,     -0.5595080011,      -1.205122036,       1.886015208
          0,           0,          15,      -3.727466546,     -0.6058113492,      -1.294308986,       1.812630008
          0,           0,          16,      -3.803446206,     -0.6484130533,      -1.370622627,       1.747107851
          0,           0,          17,      -3.873173598,     -0.6886714297,      -1.437157349,       1.686867287
          0,           0,          18,      -3.937203104,     -0.7280426525,      -1.499111033,       1.630449927
          0,           0,          19,      -3.995360519,     -0.7675269663,      -1.558940032,       1.577423601
          0,           0,          20,       -4.04883654,     -0.8075772491,      -1.615268804,       1.527073567
          0,           0,          21,      -4.099678756,     -0.8482688596,      -1.665900212,       1.478340984
          0,           0,          22,      -4.149011715,      -0.889481849,      -1.710591174,       1.430602538
          0,           0,          23,      -4.196693043,     -0.9310123795,      -1.751079757,       1.383883155
          0,           0,          24,      -4.242185418,     -0.9725985808,       -1.78956023,       1.338477221
          0,           0,          25,      -4.285280499,      -1.013914142,      -1.827674436,       1.294588031
          0,           0,          26,      -4.326148859,      -1.054584649,      -1.866473201,       1.252246344
          0,           0,          27,      -4.365009768,      -1.094236794,        -1.9065625,       1.211401704
          0,           0,          28,      -4.401904879,      -1.132571038,      -1.948171405,       1.172016191
          0,           0,          29,      -4.436738775,      -1.169416503,      -1.991084408,       1.134074453
