VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.337998249,      0.9177667059,       1.162874896,       4.121629954
          0,           0,           1,      -1.829804189,      0.5708712138,      0.7191733291,       3.645730569
          0,           0,           2,      -2.068391571,      0.3711140874,      0.4927033076,       3.413244532
          0,           0,           3,      -2.232952335,      0.2282376517,      0.3049531787,       3.249844471
          0,           0,           4,      -2.390518233,     0.09812821915,      0.1316964261,       3.092309725
          0,           0,           5,      -2.541576263,    -0.02076511954,    -0.03292594833,       2.939606456
          0,           0,           6,      -2.686476622,     -0.1264246084,     -0.1908264538,       2.793223941
          0,           0,           7,      -2.831353322,     -0.2207346403,     -0.3444372267,       2.648191716
          0,           0,           8,      -2.975616191,     -0.3041520663,     -0.4933725749,       2.504966326
          0,           0,           9,      -3.114786988,     -0.3786389756,     -0.6366627841,       2.367823292
          0,           0,          10,      -3.248008275,      -0.447954536,     -0.7756239492,       2.237308403
          0,           0,          11,      -3.375537902,      -0.513696258,     -0.9099652824,       2.112818235
          0,           0,          12,      -3.494194168,     -0.5750185934,      -1.035579048,       1.997520256
          0,           0,          13,       -3.60166639,     -0.6314551293,      -1.149616916,       1.894268609
          0,           0,          14,      -3.698209094,     -0.6833206825,      -1.252851777,       1.803292656
          0,           0,          15,       -3.78479877,     -0.7310429285,      -1.346131723,       1.723588618
          0,           0,          16,      -3.862513876,     -0.7752022794,      -1.428055729,       1.653448752
          0,           0,          17,      -3.932895619,     -0.8167992136,      -1.497613073,       1.590322955
          0,           0,          18,      -3.997527502,     -0.8570460187,      -1.556894882,        1.53169954
          0,           0,          19,      -4.056918978,     -0.8969250368,       -1.60979774,       1.476393699
          0,           0,          20,      -4.110883588,     -0.9369833699,       -1.65923713,       1.424292515
          0,           0,          21,        -4.1599371,      -0.977388052,      -1.706519191,       1.375148123
          0,           0,          22,      -4.205439947,      -1.018059103,      -1.752090583,       1.328262856
          0,           0,          23,      -4.248579008,      -1.058774113,      -1.796121677,       1.283071109
          0,           0,          24,      -4.289872136,      -1.099251979,      -1.838715147,       1.239445616
          0,           0,          25,      -4.329422297,      -1.139195745,      -1.879960945,         1.1975058
          0,           0,          26,      -4.367287032,      -1.178337535,      -1.919961149,        1.15733157
          0,           0,          27,      -4.403605655,       -1.21643766,        -1.9587951,       1.118865996
          0,           0,          28,      -4.438547299,      -1.253287437,      -1.996499811,        1.08195517
          0,           0,          29,      -4.472212581,      -1.288720275,      -2.033014677,       1.046429461
          0,           0,          30,      -4.504603704,      -1.322635478,      -2.068161496,       1.012150779
          0,           0,          31,      -4.535651236,      -1.355025477,      -2.101672925,      0.9790313023
          0,           0,          32,      -4.565301112,      -1.385977718,       -2.13325047,      0.9470090406
          0,           0,          33,      -4.593559032,      -1.415652929,       -2.16266576,      0.9160436329
          0,           0,          34,      -4.620501612,      -1.444243459,      -2.189863095,      0.8861081081
          0,           0,          35,      -4.646264424,      -1.471930126,      -2.214962651,      0.8571807832
          0,           0,          36,      -4.671023476,      -1.498854779,      -2.238239879,      0.8292267258
          0,           0,          37,      -4.694973897,       -1.52511159,      -2.260068796,       0.802185169
          0,           0,          38,      -4.718308723,      -1.550751774,      -2.280851197,      0.7759655013
          0,           0,          39,      -4.741196888,      -1.575797782,      -2.300960321,      0.7504620566
          0,           0,          40,      -4.763765142,      -1.600258567,      -2.320710498,       0.725574433
          0,           0,          41,      -4.786099917,      -1.624143405,      -2.340336351,      0.7012192508
          0,           0,          42,      -4.808257886,      -1.647468375,      -2.360000897,      0.6773329222
          0,           0,          43,      -4.830281637,      -1.670261788,      -2.379799307,      0.6538650576
          0,           0,          44,      -4.852207079,      -1.692562646,      -2.399783436,      0.6307728711
          0,           0,          45,      -4.874062783,      -1.714420086,      -2.419975068,       0.608023061
          0,           0,          46,      -4.895886183,      -1.735890134,      -2.440371343,      0.5855746116
          0,           0,          47,      -4.917710154,       -1.75703303,      -2.460963922,      0.5633879676
          0,           0,          48,      -4.939571286,       -1.77791144,       -2.48173139,      0.5414180993
          0,           0,          49,      -4.961504044,      -1.798587832,      -2.502649904,      0.5196182779
          0,           0,          50,      -4.983528535,      -1.819122831,      -2.523691349,      0.4979516422
          0,           0,          51,      -5.005676665,      -1.839573741,      -2.544842111,      0.4763703878
          0,           0,          52,      -5.027969809,      -1.859993286,      -2.566083584,       0.454834361
          0,           0,          53,      -5.050424535,      -1.880428341,      -2.587402086,      0.4333076271
          0,           0,          54,      -5.073055348,      -1.900919737,      -2.608792238,      0.4117564348
          0,           0,          55,      -5.095877089,      -1.921502775,      -2.630247585,      0.3901479212
          0,           0,          56,      -5.118898033,      -1.942204209,      -2.651777129,      0.3684558758
          0,           0,          57,      -5.142121806,      -1.963048366,      -2.673385462,      0.3466591482
          0,           0,          58,      -5.165554781,      -1.984052782,      -2.695083856,      0.3247386381
          0,           0,          59,      -5.189200771,      -2.005229795,      -2.716884391,        0.30267779
          0,           0,          60,      -5.213064894,      -2.026587763,      -2.738809393,      0.2804564184
          0,           0,          61,      -5.237142768,      -2.048134538,      -2.760859595,       0.258070047
          0,           0,          62,      -5.261425288,      -2.069873998,      -2.783045453,      0.2355213861
          0,           0,          63,      -5.285909994,      -2.091807933,      -2.805379315,       0.212805695
          0,           0,          64,      -5.310592376,      -2.113936793,      -2.827869015,      0.1899207243
          0,           0,          65,      -5.335470265,      -2.136260033,      -2.850522545,       0.166863187
          0,           0,          66,      -5.360539234,      -2.158776054,      -2.873346622,      0.1436325815
          0,           0,          67,      -5.385794943,      -2.181482305,       -2.89634485,      0.1202291642
          0,           0,          68,      -5.411229757,       -2.20437597,      -2.919524893,     0.09665736693
          0,           0,          69,      -5.436836604,      -2.227453451,      -2.942887342,     0.07292175822
          0,           0,          70,       -5.46261294,      -2.250711437,      -2.966436082,     0.04902276221
          0,           0,          71,      -5.488555819,      -2.274147027,      -2.990173842,     0.02496238749
          0,           0,          72,      -5.514663995,      -2.297757049,      -3.014098745,   0.0007413705145
          0,           0,          73,      -5.540933663,      -2.321538331,      -3.038209234,    -0.02363794558
          0,           0,          74,      -5.567362668,      -2.345487864,      -3.062505065,    -0.04817374123
          0,           0,          75,       -5.59394813,      -2.369602624,      -3.086986022,    -0.07286334602
          0,           0,          76,      -5.620687883,      -2.393880193,      -3.111655134,    -0.09770471437
          0,           0,          77,      -5.647574803,      -2.418317171,       -3.13650682,     -0.1226920341
          0,           0,          78,      -5.674609195,      -2.442911002,      -3.161536699,     -0.1478249698
          0,           0,          79,      -5.701790357,      -2.467659314,      -3.186745489,     -0.1731020387
          0,           0,          80,      -5.729114179,      -2.492559881,      -3.212130379,     -0.1985196162
          0,           0,          81,      -5.756577192,       -2.51761013,      -3.237691242,     -0.2240747693
          0,           0,          82,      -5.784176886,      -2.542807709,      -3.263426503,     -0.2497651202
          0,           0,          83,      -5.811911448,      -2.568150298,      -3.289334417,     -0.2755888629
          0,           0,          84,      -5.839778707,      -2.593635584,      -3.315414104,     -0.3015440674
          0,           0,          85,      -5.867776579,      -2.619261383,      -3.341664307,     -0.3276287038
          0,           0,          86,       -5.89590507,      -2.645026074,      -3.368081615,     -0.3538429819
          0,           0,          87,      -5.924160816,        -2.6709274,      -3.394664471,     -0.3801838254
          0,           0,          88,      -5.952539459,      -2.696963028,      -3.421413909,     -0.4066478486
          0,           0,          89,      -5.981039843,      -2.723131737,      -3.448327789,     -0.4332344146
          0,           0,          90,      -6.009662207,      -2.749431339,      -3.475404815,     -0.4599434358
          0,           0,          91,       -6.03840466,      -2.775859867,      -3.502643499,     -0.4867734705
          0,           0,          92,      -6.067265049,      -2.802415256,      -3.530042413,     -0.5137228246
          0,           0,          93,      -6.096239958,       -2.82909543,      -3.557599709,     -0.5407888247
          0,           0,          94,      -6.125328089,      -2.855898477,      -3.585313207,     -0.5679706461
