VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.254543952,       1.012438895,       1.237981122,       4.205084251
          0,           0,           1,      -1.759529859,      0.7235451166,      0.7774467875,        3.71488623
          0,           0,           2,      -1.992539514,      0.5513813215,      0.5547246425,       3.489340342
          0,           0,           3,      -2.143405455,      0.4331609362,      0.3773398507,       3.339618454
          0,           0,           4,      -2.286343894,      0.3327503124,       0.214856633,       3.197669279
          0,           0,           5,      -2.430763945,      0.2457433013,     0.05842154171,       3.053308288
          0,           0,           6,      -2.557788009,      0.1736856287,    -0.08757838568,       2.925620259
          0,           0,           7,      -2.678016352,      0.1140176545,     -0.2240138469,       2.805969422
          0,           0,           8,      -2.794232944,     0.06330167349,      -0.347845512,       2.691614143
          0,           0,           9,      -2.898700996,     0.01767794421,     -0.4580031056,       2.588762647
          0,           0,          10,      -2.981817148,     -0.0241962743,     -0.5499823257,       2.505488281
          0,           0,          11,      -3.036877541,    -0.06009442939,     -0.6148755063,       2.448781688
          0,           0,          12,      -3.049835835,    -0.08471484701,     -0.6392269454,       2.433084817
          0,           0,          13,      -2.997671928,    -0.08771358836,     -0.6005691775,       2.481772681
          0,           0,          14,       -2.86101106,    -0.05050880385,     -0.4742277506,       2.615970552
          0,           0,          15,      -2.644957696,      0.0469822548,     -0.2602911159,       2.831009032
          0,           0,          16,      -2.412226252,      0.1948878619,    0.005900098053,       3.062798893
          0,           0,          17,      -2.370691284,      0.2730340367,     0.09009917155,       3.104251048
          0,           0,          18,      -2.370851925,      0.3071640012,      0.1199673289,       3.106608932
          0,           0,          19,      -2.367536002,      0.3359013369,      0.1610575648,       3.108336395
          0,           0,          20,      -2.383453876,      0.3438009675,      0.1717517689,       3.075001091
          0,           0,          21,      -2.468626961,      0.2656463082,     0.02952385431,       3.002536328
          0,           0,          22,      -2.416170917,      0.2684716705,     0.02990282741,        3.05568631
          0,           0,          23,      -2.296915517,      0.3330346697,      0.1381136883,       3.172932995
          0,           0,          24,      -2.141323935,      0.4382979933,      0.3183320316,       3.326341131
          0,           0,          25,      -1.958676777,      0.5989704542,      0.5155079395,       3.506536367
          0,           0,          26,      -1.898067294,      0.6683559505,      0.5762462819,       3.565656988
          0,           0,          27,      -1.972036113,      0.6496227131,      0.4830259733,       3.490963678
          0,           0,          28,      -2.058229044,      0.5959871334,      0.3382290118,       3.404287476
          0,           0,          29,      -2.192758222,      0.5228076357,      0.2021094636,       3.270566829
          0,           0,          30,      -2.322084901,      0.4457209399,     0.08190919845,       3.141651501
          0,           0,          31,      -2.426968762,      0.3715136386,    -0.03065644041,       3.036483972
          0,           0,          32,      -2.513709694,      0.3066097676,      -0.126529645,       2.949349222
          0,           0,          33,      -2.603917206,      0.2495304647,     -0.2032650611,        2.85890664
          0,           0,          34,      -2.682100395,       0.199126176,     -0.2790769131,       2.780563352
          0,           0,          35,      -2.745931495,      0.1513143599,     -0.3524400926,       2.716571442
          0,           0,          36,      -2.809323084,      0.1033476853,     -0.4209361251,       2.653005311
          0,           0,          37,       -2.87037878,     0.05688287696,     -0.4873333066,       2.591730622
          0,           0,          38,       -2.92387737,       0.014044912,     -0.5480104178,       2.538012984
          0,           0,          39,      -2.971455405,    -0.02551290703,     -0.6003037836,       2.490234008
          0,           0,          40,       -3.01552256,    -0.06253911486,     -0.6456449975,       2.446000467
          0,           0,          41,      -3.054365826,    -0.09665416428,     -0.6842488245,       2.407332931
          0,           0,          42,      -3.083364889,     -0.1260668427,     -0.7116157909,       2.379344767
          0,           0,          43,      -3.092303341,     -0.1461742366,     -0.7164101389,        2.37251961
          0,           0,          44,      -3.060610601,     -0.1488557325,     -0.6793411926,       2.407291958
          0,           0,          45,      -2.965897844,     -0.1212522685,     -0.5823302077,       2.505565686
          0,           0,          46,      -2.793325883,    -0.04536959273,     -0.4089587895,       2.681248726
          0,           0,          47,      -2.558763502,     0.08757341006,     -0.1625257146,       2.917223842
          0,           0,          48,      -2.360037117,      0.2359627008,     0.09377669557,       3.111599395
          0,           0,          49,       -2.38205143,      0.2715252686,     0.09308895265,       3.094338309
          0,           0,          50,      -2.364947863,      0.3125331647,      0.1265613713,       3.112902559
          0,           0,          51,      -2.346788287,      0.3495375192,      0.2093909765,       3.123332645
          0,           0,          52,      -2.422489074,      0.3141098553,       0.109431817,         3.0434573
          0,           0,          53,      -2.442445843,      0.2721889902,     0.02609134539,       3.029582299
          0,           0,          54,      -2.364953199,      0.3021523959,     0.07109713882,       3.106406682
          0,           0,          55,      -2.232390089,      0.3821474881,       0.206581752,       3.236556961
          0,           0,          56,      -2.055509122,      0.5075171146,      0.4146007499,       3.411230372
          0,           0,          57,       -1.91111579,      0.6515262725,      0.5603864236,       3.552743041
          0,           0,          58,      -1.937926448,      0.6647757414,      0.5457519765,         3.5254807
          0,           0,          59,      -2.003905004,      0.6330652014,      0.4290648548,       3.458809695
          0,           0,          60,      -2.109613422,       0.568736578,      0.2817099138,        3.35336398
          0,           0,          61,       -2.24417315,      0.4955882497,      0.1554264642,       3.219346737
          0,           0,          62,      -2.364492456,      0.4181604271,     0.03918016134,       3.099058752
          0,           0,          63,      -2.455490257,      0.3490081304,    -0.06766355111,       3.007553345
          0,           0,          64,      -2.542349816,      0.2887197428,     -0.1527355689,       2.920261212
          0,           0,          65,      -2.630517819,      0.2358565605,     -0.2260011499,       2.831798956
          0,           0,          66,      -2.700985594,      0.1880653154,     -0.3014478475,       2.761091696
          0,           0,          67,      -2.762771179,      0.1407800607,     -0.3724665731,       2.699116556
          0,           0,          68,       -2.82549247,     0.09329490193,     -0.4399282657,       2.636185577
          0,           0,          69,      -2.883298069,     0.04820722768,     -0.5040179575,       2.578123542
          0,           0,          70,      -2.933472468,    0.006737042808,     -0.5608098859,       2.527714152
          0,           0,          71,      -2.978897578,    -0.03190519553,     -0.6097758479,       2.482087742
          0,           0,          72,        -3.0201806,    -0.06790454708,     -0.6519468236,       2.440768004
          0,           0,          73,      -3.054130608,     -0.1002215512,     -0.6851942791,       2.407397666
          0,           0,          74,      -3.073318494,     -0.1255104777,     -0.7013412304,       2.389897321
          0,           0,          75,      -3.061168431,     -0.1369368595,     -0.6837083956,       2.404990033
          0,           0,          76,      -2.992418679,     -0.1229190983,     -0.6108321366,       2.477477935
          0,           0,          77,      -2.846939873,    -0.06606060934,      -0.464095943,        2.62657405
          0,           0,          78,      -2.627921088,     0.04858295814,     -0.2384986559,       2.847810252
          0,           0,          79,      -2.396839682,      0.2004176404,     0.03788730582,       3.077876999
          0,           0,          80,       -2.38948332,      0.2602602505,     0.07231007006,       3.086582548
          0,           0,          81,        -2.3728967,      0.2978045069,      0.1000690728,       3.105608129
          0,           0,          82,      -2.350876249,      0.3348338033,      0.1579497838,        3.12481067
          0,           0,          83,      -2.337301889,      0.3656036449,      0.2274225606,       3.129917801
          0,           0,          84,       -2.41799027,      0.3169404155,     0.09107716702,       3.050779956
          0,           0,          85,      -2.383289075,      0.3060264427,     0.06203776522,       3.088740448
          0,           0,          86,      -2.258968158,      0.3711703438,       0.176288552,       3.210556025
          0,           0,          87,      -2.076454021,       0.491390091,      0.3924226578,       3.390264368
          0,           0,          88,      -1.916069222,      0.6480374511,      0.5603113108,       3.548298628
          0,           0,          89,      -1.920020654,      0.6710529097,      0.5548674773,       3.543610374
          0,           0,          90,      -1.993827719,      0.6408432743,      0.4420259447,       3.468900057
          0,           0,          91,      -2.096876609,       0.575314672,      0.2941322987,       3.366110341
          0,           0,          92,      -2.233325718,      0.5007331422,      0.1656992263,       3.230240979
          0,           0,          93,      -2.356416357,      0.4230137914,     0.04851224597,         3.1071509
          0,           0,          94,      -2.449672424,      0.3530527381,     -0.0601637679,       3.013347683
          0,           0,          95,      -2.536022998,      0.2921553075,     -0.1478318485,       2.926525979
          0,           0,          96,      -2.625197735,      0.2389584503,     -0.2217367607,       2.837056027
          0,           0,          97,      -2.696919776,       0.191249651,     -0.2976943715,       2.765093682
          0,           0,          98,      -2.758523293,      0.1442256514,     -0.3693399272,       2.703296111
          0,           0,          99,      -2.821351001,     0.09676955132,     -0.4368208823,       2.640263147
          0,           0,         100,      -2.879974865,     0.05143871972,     -0.5009319582,       2.581367298
          0,           0,         101,      -2.930648043,    0.009689717554,     -0.5579715082,       2.530434723
          0,           0,         102,      -2.976017493,     -0.0292096213,     -0.6072567641,       2.484861065
          0,           0,         103,      -3.017138869,    -0.06546231366,     -0.6495655039,       2.443702416
          0,           0,         104,      -3.050970043,    -0.09805026633,     -0.6825810449,       2.410436761
          0,           0,         105,       -3.06981277,     -0.1235586004,     -0.6980586148,       2.393277817
          0,           0,         106,       -3.05640968,     -0.1349307125,     -0.6789417949,       2.409668291
          0,           0,         107,      -2.985396654,     -0.1201995638,     -0.6038316501,       2.484515381
          0,           0,         108,      -2.836074187,    -0.06132050532,     -0.4531974759,       2.637500226
          0,           0,         109,      -2.614080354,     0.05627485611,     -0.2232809958,       2.861683263
          0,           0,         110,      -2.386542499,      0.2080818498,     0.05278520984,       3.087410901
          0,           0,         111,      -2.389458118,      0.2606280523,     0.07290280954,       3.086752686
          0,           0,         112,      -2.372054563,      0.2974631687,     0.09877001282,       3.106614774
          0,           0,         113,      -2.348989674,      0.3353577449,      0.1625113864,       3.126253812
          0,           0,         114,        -2.3365228,       0.366070385,      0.2284231149,       3.130249223
          0,           0,         115,      -2.416590321,       0.316708157,     0.08973017754,       3.052424412
          0,           0,         116,      -2.375760951,      0.3095356766,     0.06739950746,       3.096148829
          0,           0,         117,      -2.246266354,      0.3792343965,      0.1891905957,        3.22299859
          0,           0,         118,      -2.057454113,      0.5057075693,      0.4144036468,       3.409034096
          0,           0,         119,      -1.908272895,      0.6571028934,      0.5657848974,       3.555721308
          0,           0,         120,      -1.930720581,      0.6693674213,      0.5459982693,        3.53270051
          0,           0,         121,      -2.001925708,      0.6351122007,      0.4266985429,       3.460753369
          0,           0,         122,      -2.112068786,      0.5661932525,      0.2777154456,       3.350953902
          0,           0,         123,      -2.248717295,      0.4910925274,      0.1505718004,       3.214815006
          0,           0,         124,      -2.369485261,      0.4133472041,     0.03377397051,       3.094011545
          0,           0,         125,      -2.460258173,      0.3442522775,    -0.07326553495,       3.002711879
          0,           0,         126,      -2.548023048,      0.2839867388,      -0.158382583,       2.914541368
          0,           0,         127,      -2.636643543,      0.2313315144,     -0.2323604646,       2.825659891
          0,           0,         128,      -2.706578975,      0.1836539524,     -0.3086410121,         2.7555056
          0,           0,         129,      -2.768218455,      0.1363198449,     -0.3799806391,       2.693697472
          0,           0,         130,      -2.831178623,     0.08879165955,     -0.4473491252,       2.630540898
          0,           0,         131,      -2.889161866,     0.04373692756,     -0.5109784673,        2.57229324
          0,           0,         132,      -2.939143273,     0.00229701482,     -0.5672683079,       2.522069296
          0,           0,         133,      -2.984021492,    -0.03631786439,     -0.6158224858,       2.477006151
          0,           0,         134,       -3.02441587,     -0.0721833238,     -0.6571106636,       2.436633368
          0,           0,         135,      -3.056778254,      -0.104055515,     -0.6881927274,       2.404965409
          0,           0,         136,      -3.072320284,     -0.1280670318,     -0.6998176984,       2.391285394
          0,           0,         137,      -3.051959994,     -0.1365422223,     -0.6736417706,       2.414777459
          0,           0,         138,      -2.970706206,     -0.1167368547,     -0.5889374156,       2.499891734
          0,           0,         139,      -2.809539027,    -0.05002207712,     -0.4265304191,       2.664526732
          0,           0,         140,      -2.580166536,     0.07570747293,      -0.186653286,       2.895689546
          0,           0,         141,      -2.365274431,      0.2273895495,     0.08243116528,       3.107128672
          0,           0,         142,      -2.384129535,      0.2666439911,     0.08310183251,       3.092216285
          0,           0,         143,      -2.365551124,      0.3045769561,      0.1096373522,       3.112903528
          0,           0,         144,      -2.346140258,      0.3420186908,      0.1880169933,       3.127781956
          0,           0,         145,      -2.357464646,      0.3552213161,      0.2025518691,       3.104477058
          0,           0,         146,      -2.428669214,      0.2993300265,     0.06436471595,       3.041876454
          0,           0,         147,      -2.364577307,      0.3085983394,     0.07439661177,       3.106902681
          0,           0,         148,      -2.227119621,      0.3881217978,       0.210065418,       3.241682831
          0,           0,         149,      -2.039810303,      0.5197601241,      0.4328089077,       3.426606695
          0,           0,         150,      -1.901085538,      0.6612852224,      0.5701221897,          3.562655
          0,           0,         151,      -1.940634438,      0.6670411254,      0.5384710089,       3.522756255
          0,           0,         152,      -2.010291548,       0.629361755,      0.4151732282,       3.452451427
          0,           0,         153,       -2.12381846,      0.5601401114,      0.2659991331,       3.339267778
          0,           0,         154,      -2.259190137,      0.4851636037,      0.1401418747,       3.204373389
          0,           0,         155,      -2.377277577,      0.4078186328,     0.02397371998,       3.086224517
          0,           0,         156,       -2.46658288,      0.3396205962,    -0.08134202103,       2.996427014
          0,           0,         157,      -2.555056304,      0.2800398474,     -0.1641226988,       2.907563049
          0,           0,         158,      -2.642431752,      0.2279120867,     -0.2377531393,       2.819901498
          0,           0,         159,      -2.710976138,      0.1803320152,     -0.3136172916,       2.751138221
          0,           0,         160,      -2.772717844,      0.1328551013,     -0.3844057092,       2.689238627
          0,           0,         161,      -2.835537527,     0.08537300622,      -0.451624279,       2.626220991
          0,           0,         162,      -2.892809263,     0.04056936454,     -0.5149321399,       2.568698532
          0,           0,         163,      -2.942293529,  -0.0006284314891,     -0.5707033338,       2.518993657
          0,           0,         164,      -2.986977465,    -0.03903488736,     -0.6187311474,       2.474137522
          0,           0,         165,      -3.027055148,    -0.07463428123,     -0.6594461749,       2.434111058
          0,           0,         166,      -3.058690295,      -0.106054673,     -0.6896747014,       2.403239767
          0,           0,         167,      -3.072696019,     -0.1292238348,     -0.6996727835,       2.391186968
          0,           0,         168,      -3.049293619,     -0.1362048498,     -0.6705113143,       2.417786275
          0,           0,         169,      -2.963703357,     -0.1139853422,     -0.5817088491,       2.507237057
          0,           0,         170,      -2.797939307,    -0.04386668912,     -0.4146476959,       2.676366206
          0,           0,         171,       -2.56625711,      0.0848452752,     -0.1717308526,       2.909634575
          0,           0,         172,      -2.360126385,      0.2346596083,     0.09085743091,        3.11178476
          0,           0,         173,      -2.380424385,      0.2714854148,     0.09073861942,       3.095876297
          0,           0,         174,      -2.361778343,      0.3115857744,      0.1214402653,       3.116253688
          0,           0,         175,       -2.34568465,      0.3475877928,      0.2037887332,       3.127016173
          0,           0,         176,       -2.38878722,      0.3398044767,        0.15716367,       3.073523656
          0,           0,         177,       -2.43260162,      0.2889021764,     0.04720563755,        3.03908108
          0,           0,         178,      -2.359996358,      0.3105599085,     0.07838637036,       3.111435703
          0,           0,         179,      -2.222857492,      0.3904085964,      0.2160473977,       3.245943835
          0,           0,         180,      -2.038838528,       0.520398793,      0.4320586142,       3.427673982
          0,           0,         181,      -1.901264324,      0.6602425364,      0.5698264924,       3.562488223
          0,           0,         182,      -1.939377318,      0.6675405503,      0.5411269106,       3.523974861
          0,           0,         183,      -2.006775086,      0.6323411522,        0.42050236,        3.45597352
          0,           0,         184,      -2.119128421,      0.5643204113,      0.2717075725,       3.343965979
          0,           0,         185,      -2.254356557,      0.4895299842,       0.145663631,       3.209209681
          0,           0,         186,       -2.37267224,      0.4120813836,     0.02948016469,       3.090819996
          0,           0,         187,      -2.462183399,      0.3437239677,    -0.07624437934,       3.000800464
          0,           0,         188,      -2.550400077,      0.2839761347,     -0.1593210428,       2.912175244
          0,           0,         189,      -2.637874766,       0.231675585,       -0.23281461,       2.824389025
          0,           0,         190,       -2.70666173,      0.1840565291,     -0.3086233825,       2.755363165
          0,           0,         191,       -2.76843744,      0.1365922268,     -0.3794872978,       2.693414781
          0,           0,         192,      -2.831329078,     0.08904986905,     -0.4468718528,       2.630313478
          0,           0,         193,      -2.888770776,     0.04411057679,     -0.5104612755,       2.572611301
          0,           0,         194,      -2.938467023,    0.002785952617,     -0.5665065088,        2.52268278
          0,           0,         195,      -2.983395618,     -0.0357525392,     -0.6148224788,       2.477562139
          0,           0,         196,      -3.023883788,    -0.07155199265,     -0.6560717512,       2.437085083
          0,           0,         197,      -3.056383353,     -0.1033734372,     -0.6874119178,       2.405285712
          0,           0,         198,      -3.072321656,     -0.1273784554,     -0.6996270764,       2.391223141
          0,           0,         199,      -3.052925672,     -0.1359795422,      -0.674485234,       2.413763614
          0,           0,         200,      -2.973082736,      -0.116578653,     -0.5911601373,       2.497475028
          0,           0,         201,      -2.813685722,    -0.05085724092,     -0.4304998441,        2.66035162
          0,           0,         202,      -2.584964422,     0.07375712892,     -0.1920322167,       2.890860651
          0,           0,         203,      -2.366857868,      0.2258332246,     0.07942590425,       3.105885978
          0,           0,         204,       -2.38261043,      0.2678184713,     0.08372302809,       3.093668551
          0,           0,         205,      -2.364035133,      0.3056238537,      0.1105971365,       3.114442474
          0,           0,         206,      -2.344592835,      0.3428926909,      0.1860897191,       3.129525435
          0,           0,         207,       -2.35070223,      0.3595210632,      0.2105842588,       3.111831857
          0,           0,         208,      -2.425980293,      0.3030133157,     0.06859713638,       3.044301202
          0,           0,         209,      -2.364544064,       0.309648408,     0.07457362756,       3.106976069
