VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.245868465,       1.015691351,        1.24897196,       4.213759738
          0,           0,           1,      -1.734843644,      0.7258836077,      0.8124669534,       3.738287077
          0,           0,           2,      -1.979928031,      0.5472478746,      0.5879224054,       3.500643108
          0,           0,           3,      -2.128654746,      0.4272399127,      0.4079032172,       3.352645134
          0,           0,           4,      -2.269172606,      0.3160684885,      0.2431258921,       3.213073148
          0,           0,           5,      -2.414638058,      0.2162500443,     0.08649838881,       3.067844539
          0,           0,           6,      -2.553660855,      0.1336696109,      -0.062840534,       2.928781152
          0,           0,           7,      -2.685206296,     0.06484640624,     -0.2051509865,         2.7978831
          0,           0,           8,      -2.809032595,    0.004732134634,     -0.3398340049,       2.676480026
          0,           0,           9,      -2.926121196,    -0.05137938859,     -0.4680479758,       2.563608148
          0,           0,          10,      -3.034510813,     -0.1045110696,     -0.5859389912,       2.459602606
          0,           0,          11,      -3.135058359,     -0.1553862536,     -0.6894401146,       2.363029057
          0,           0,          12,      -3.229355703,     -0.2048614893,     -0.7825008809,        2.27288216
          0,           0,          13,      -3.314970496,     -0.2526751357,     -0.8686030813,        2.19179619
          0,           0,          14,      -3.389476739,     -0.2977548628,     -0.9458402937,       2.122156765
          0,           0,          15,       -3.45457761,     -0.3394343834,      -1.012485995,       2.062432975
          0,           0,          16,      -3.514005645,     -0.3779452932,      -1.070925356,       2.008894974
          0,           0,          17,      -3.570549896,     -0.4142176135,      -1.125344872,       1.958394423
          0,           0,          18,      -3.624793312,     -0.4492886709,      -1.177677077,       1.909736318
          0,           0,          19,      -3.675929806,     -0.4839085422,      -1.226474448,       1.863189175
          0,           0,          20,      -3.723517263,     -0.5184793268,      -1.269473553,       1.819096593
          0,           0,          21,      -3.768461858,     -0.5532645321,      -1.306740123,       1.776966066
          0,           0,          22,      -3.812274611,      -0.588412966,      -1.340849026,       1.735828895
          0,           0,          23,       -3.85587468,     -0.6239662559,      -1.374634209,       1.695056141
          0,           0,          24,      -3.899207194,     -0.6598388807,      -1.409531828,       1.654659912
          0,           0,          25,      -3.941746948,     -0.6958245411,      -1.445563528,       1.614960857
          0,           0,          26,      -3.983224527,     -0.7316760432,      -1.482152675,       1.576101875
          0,           0,          27,      -4.023835137,      -0.767163609,      -1.518874426,       1.537922202
          0,           0,          28,       -4.06394704,     -0.8021110048,      -1.555689509,       1.500156095
          0,           0,          29,      -4.103682087,     -0.8364217652,      -1.592712309,       1.462720298
          0,           0,          30,        -4.1427959,      -0.870071433,      -1.629939693,       1.425766799
          0,           0,          31,      -4.180843638,     -0.9030936777,      -1.667100325,       1.389567549
          0,           0,          32,      -4.217473312,     -0.9355550807,       -1.70373769,        1.35432431
          0,           0,          33,      -4.252573226,     -0.9675352649,      -1.739395776,       1.320074711
          0,           0,          34,      -4.286241248,     -0.9991089599,      -1.773776344,       1.286715586
          0,           0,          35,      -4.318635907,      -1.030336202,      -1.806784933,       1.254101063
          0,           0,          36,      -4.349847503,      -1.061257049,      -1.838473242,       1.222130073
          0,           0,          37,      -4.379891737,      -1.091888751,      -1.868944977,       1.190763345
          0,           0,          38,      -4.408752784,      -1.122230348,      -1.898289416,       1.160001009
          0,           0,          39,      -4.436438482,      -1.152264222,      -1.926563159,       1.129850801
          0,           0,          40,      -4.462995838,      -1.181961247,      -1.953817745,       1.100315674
          0,           0,          41,      -4.488520519,      -1.211283329,       -1.98011465,       1.071380175
          0,           0,          42,      -4.513121655,      -1.240187383,      -2.005531868,       1.043025698
          0,           0,          43,      -4.536898563,      -1.268627283,      -2.030134383,       1.015238653
