VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.440282689,      0.7721371457,       1.072804814,       4.019345514
          0,           0,           1,      -1.895303686,      0.4617951229,      0.6556288975,       3.585230252
          0,           0,           2,      -2.138214998,      0.2449733253,      0.4169997904,       3.348942861
          0,           0,           3,      -2.299910931,     0.09311373079,       0.225990883,       3.186512113
          0,           0,           4,      -2.457347811,    -0.04390314453,     0.04963974289,       3.026811325
          0,           0,           5,      -2.612711504,     -0.1759803822,     -0.1190500533,       2.868423612
          0,           0,           6,      -2.757210799,     -0.2976513642,      -0.283107184,        2.72095213
          0,           0,           7,      -2.903885126,      -0.414825449,     -0.4438865588,       2.572517045
          0,           0,           8,      -3.055252608,     -0.5222184139,     -0.5993127924,       2.420203061
          0,           0,           9,      -3.206809504,     -0.6182646701,     -0.7484930778,       2.268091887
          0,           0,          10,      -3.354754742,      -0.705388599,     -0.8927200638,        2.11943078
          0,           0,          11,       -3.49599915,     -0.7847067904,      -1.033510528,        1.97676998
          0,           0,          12,      -3.627673702,     -0.8553671181,      -1.170232533,       1.843072072
          0,           0,          13,      -3.748279488,     -0.9170297533,      -1.300917574,       1.720511818
          0,           0,          14,      -3.858004917,     -0.9709788572,      -1.424580245,       1.609406685
          0,           0,          15,      -3.956997738,       -1.01895172,      -1.540421203,       1.509693644
          0,           0,          16,      -4.044816936,      -1.062179028,      -1.646322058,       1.421749655
          0,           0,          17,       -4.12161159,      -1.101665985,      -1.740108819,       1.345339244
          0,           0,          18,      -4.188671772,      -1.138605954,      -1.821528836,       1.278963073
          0,           0,          19,      -4.247905656,      -1.174249903,      -1.892153393,       1.220340276
          0,           0,          20,      -4.301149096,       -1.20952683,       -1.95415677,       1.167341025
          0,           0,          21,      -4.349904719,      -1.244839134,      -2.009667326,       1.118469112
          0,           0,          22,      -4.395359515,      -1.280135676,      -2.060710236,       1.072836674
          0,           0,          23,      -4.438402371,      -1.315148473,      -2.109070158,       1.029904958
          0,           0,          24,      -4.479623039,      -1.349624123,      -2.156014746,      0.9892601107
          0,           0,          25,      -4.519351712,      -1.383424189,      -2.202130356,      0.9505328805
          0,           0,          26,      -4.557743556,      -1.416499279,      -2.247508944,      0.9134253573
          0,           0,          27,      -4.594861159,      -1.448815689,      -2.292061716,      0.8777577647
          0,           0,          28,      -4.630703745,      -1.480298839,      -2.335658563,      0.8434790489
          0,           0,          29,      -4.665210659,      -1.510825405,      -2.378103281,      0.8106260476
          0,           0,          30,      -4.698279842,      -1.540256085,      -2.419091858,      0.7792589701
          0,           0,          31,      -4.729812252,      -1.568478942,      -2.458219734,      0.7494012162
          0,           0,          32,      -4.759749838,      -1.595443028,      -2.495036251,      0.7210148068
          0,           0,          33,      -4.788089183,       -1.62116902,      -2.529168414,      0.6940139587
          0,           0,          34,      -4.814882949,      -1.645737717,      -2.560437305,      0.6682878802
          0,           0,          35,      -4.840239145,      -1.669265406,      -2.588922849,      0.6437148847
          0,           0,          36,        -4.8643141,      -1.691877583,      -2.614926012,      0.6201676774
          0,           0,          37,      -4.887293372,      -1.713689673,      -2.638872087,      0.5975198223
          0,           0,          38,      -4.909368174,      -1.734796625,      -2.661212291,      0.5756508344
          0,           0,          39,      -4.930712532,      -1.755272227,      -2.682365963,      0.5544535975
          0,           0,          40,      -4.951467327,      -1.775173895,      -2.702691278,      0.5338393996
          0,           0,          41,      -4.971742223,      -1.794549938,      -2.722483142,      0.5137335714
          0,           0,          42,      -4.991617875,         -1.813446,      -2.741972192,      0.4940743562
          0,           0,          43,       -5.01115439,      -1.831909323,      -2.761319363,      0.4748082241
          0,           0,          44,      -5.030398952,      -1.849992239,      -2.780618614,      0.4558864268
          0,           0,          45,      -5.049391255,      -1.867751548,      -2.799903047,      0.4372635975
          0,           0,          46,      -5.068167502,      -1.885247623,      -2.819159214,      0.4188966456
          0,           0,          47,      -5.086766342,      -1.902542537,      -2.838347535,      0.4007414301
          0,           0,          48,      -5.105230064,      -1.919697602,      -2.857416607,      0.3827524972
          0,           0,          49,      -5.123604034,      -1.936771466,      -2.876319731,      0.3648837334
          0,           0,          50,      -5.141934626,      -1.953818855,      -2.895025213,      0.3470891116
          0,           0,          51,      -5.160268229,      -1.970888466,      -2.913521515,      0.3293236846
          0,           0,          52,      -5.178648668,      -1.988023064,      -2.931817772,      0.3115448315
          0,           0,          53,      -5.197116559,      -2.005259126,      -2.949940216,      0.2937131119
          0,           0,          54,      -5.215707602,      -2.022627132,      -2.967928774,      0.2757931666
          0,           0,          55,      -5.234453301,      -2.040151934,      -2.985830389,      0.2577535019
          0,           0,          56,      -5.253378998,      -2.057853157,      -3.003695347,      0.2395680042
          0,           0,          57,      -5.272504157,       -2.07574612,      -3.021574604,      0.2212161789
          0,           0,          58,      -5.291844353,      -2.093842015,      -3.039513238,      0.2026814176
          0,           0,          59,      -5.311411637,      -2.112148756,      -3.057552967,      0.1839507585
          0,           0,          60,      -5.331214012,      -2.130671594,      -3.075729108,      0.1650150817
          0,           0,          61,      -5.351255892,      -2.149413248,      -3.094070681,      0.1458687378
          0,           0,          62,      -5.371539021,      -2.168374612,       -3.11260025,       0.126508608
          0,           0,          63,       -5.39206344,      -2.187555148,      -3.131336561,      0.1069333793
          0,           0,          64,      -5.412828232,      -2.206953016,      -3.150292984,     0.08714272351
          0,           0,          65,       -5.43382991,      -2.226565445,      -3.169478611,     0.06713866689
          0,           0,          66,      -5.455064846,      -2.246388828,       -3.18889607,      0.0469234375
          0,           0,          67,      -5.476527544,      -2.266419081,      -3.208549844,     0.02650114971
          0,           0,          68,      -5.498211842,      -2.286651784,      -3.228437679,    0.005876651734
          0,           0,          69,      -5.520112148,      -2.307082336,      -3.248556494,     -0.0149454622
          0,           0,          70,      -5.542221874,      -2.327705979,       -3.26890496,    -0.03595977664
          0,           0,          71,      -5.564534303,      -2.348517846,      -3.289478168,    -0.05716056984
          0,           0,          72,      -5.587043437,       -2.36951317,      -3.310269458,     -0.0785425653
          0,           0,          73,      -5.609743235,      -2.390687245,      -3.331274319,     -0.1001004516
          0,           0,          74,      -5.632628196,      -2.412035558,       -3.35248457,     -0.1218293167
          0,           0,          75,      -5.655693836,      -2.433553837,      -3.373891132,     -0.1437252504
          0,           0,          76,      -5.678934363,      -2.455237993,      -3.395488909,     -0.1657830161
          0,           0,          77,      -5.702343979,      -2.477084163,       -3.41727523,     -0.1879973597
          0,           0,          78,      -5.725917742,      -2.499088652,      -3.439241825,     -0.2103637273
          0,           0,          79,      -5.749654061,      -2.521248109,      -3.461383374,     -0.2328807394
          0,           0,          80,      -5.773548791,      -2.543559231,       -3.48369502,     -0.2555445541
          0,           0,          81,      -5.797597614,      -2.566018897,      -3.506171722,     -0.2783511493
          0,           0,          82,      -5.821797498,      -2.588624267,      -3.528809159,     -0.3012977131
          0,           0,          83,      -5.846145837,      -2.611372698,      -3.551603936,     -0.3243817954
          0,           0,          84,      -5.870639753,      -2.634261711,      -3.574552906,     -0.3476007231
          0,           0,          85,       -5.89527646,      -2.657288972,      -3.597653189,     -0.3709518978
          0,           0,          86,      -5.920053527,      -2.680452334,      -3.620901244,     -0.3944330752
          0,           0,          87,      -5.944968886,      -2.703749776,       -3.64429462,     -0.4180423351
          0,           0,          88,      -5.970020603,      -2.727179464,      -3.667830774,     -0.4417778984
          0,           0,          89,      -5.995205894,      -2.750739587,      -3.691506874,     -0.4656371199
          0,           0,          90,      -6.020524648,      -2.774428588,      -3.715320489,     -0.4896198172
          0,           0,          91,      -6.045975378,      -2.798244961,      -3.739270642,     -0.5137245969
          0,           0,          92,      -6.071555367,      -2.822187186,      -3.763355584,     -0.5379490511
          0,           0,          93,      -6.097263711,      -2.846254038,      -3.787572341,     -0.5622923019
          0,           0,          94,      -6.123099653,      -2.870444075,      -3.811919491,     -0.5867536758
          0,           0,          95,      -6.149060749,      -2.894756011,      -3.836395337,     -0.6113311104
          0,           0,          96,      -6.175145956,      -2.919188677,       -3.86099765,     -0.6360236589
          0,           0,          97,      -6.201354527,      -2.943740983,      -3.885724763,     -0.6608306314
          0,           0,          98,      -6.227685785,      -2.968411913,      -3.910574426,     -0.6857515629
