VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.534178871,      0.6581139606,      0.9850400203,       3.925449332
          0,           0,           1,       -1.99452341,      0.3763267334,      0.5662724688,       3.479258153
          0,           0,           2,      -2.238442756,       0.156612637,      0.3198743785,       3.239331161
          0,           0,           3,      -2.403781821,   -0.002085434988,      0.1236481332,       3.074510662
          0,           0,           4,      -2.568260221,     -0.1433527383,    -0.05422850851,       2.909987734
          0,           0,           5,      -2.728328972,     -0.2808077445,     -0.2260418936,       2.748866808
          0,           0,           6,      -2.879692419,     -0.4111493991,      -0.388342907,       2.596228978
          0,           0,           7,      -3.031541061,     -0.5361672289,     -0.5458941608,       2.443653674
          0,           0,           8,      -3.184936429,     -0.6512274899,     -0.7029011066,       2.289856362
          0,           0,           9,      -3.337390462,     -0.7538056824,     -0.8573618852,       2.137180829
          0,           0,          10,      -3.486586815,     -0.8463137082,      -1.006684081,       1.987761229
          0,           0,          11,       -3.62998788,     -0.9296065347,      -1.151526862,       1.843778247
          0,           0,          12,      -3.764998217,      -1.002908506,      -1.292104115,       1.707627114
          0,           0,          13,      -3.890378028,      -1.067006141,      -1.425516372,       1.580856852
          0,           0,          14,      -4.005734742,      -1.123876251,      -1.549076888,       1.464407652
          0,           0,          15,       -4.10972891,      -1.175279532,      -1.663168609,       1.359950853
          0,           0,          16,      -4.201185378,      -1.222190785,      -1.768852284,       1.268819255
          0,           0,          17,       -4.28098134,      -1.265092986,      -1.865262343,       1.190269016
          0,           0,          18,      -4.351296849,      -1.304543336,       -1.95079782,       1.121954759
          0,           0,          19,      -4.414066519,      -1.341500963,      -2.025567808,       1.061293279
          0,           0,          20,      -4.470794053,      -1.377219632,      -2.091591779,       1.006016941
          0,           0,          21,      -4.522849819,      -1.412819337,      -2.151451716,       0.954459141
          0,           0,          22,      -4.571413255,      -1.448877242,      -2.207161306,      0.9057848248
          0,           0,          23,      -4.617345158,      -1.485321654,      -2.259711313,      0.8598026841
          0,           0,          24,      -4.661173932,      -1.521639248,      -2.309644244,       0.816489469
          0,           0,          25,      -4.703074108,      -1.557202508,      -2.357708514,      0.7757160213
          0,           0,          26,      -4.742936809,      -1.591530585,      -2.404764903,      0.7372562309
          0,           0,          27,      -4.780615019,      -1.624393901,      -2.451291125,      0.7008420416
          0,           0,          28,      -4.816130585,      -1.655778352,      -2.497234531,      0.6662132321
          0,           0,          29,      -4.849685764,      -1.685781926,      -2.542307063,      0.6331622076
          0,           0,          30,      -4.881550077,       -1.71451649,      -2.586303035,      0.6015716381
          0,           0,          31,      -4.911963091,      -1.742055148,      -2.629160876,      0.5713938952
          0,           0,          32,      -4.941096914,      -1.768430845,       -2.67085435,      0.5426007421
          0,           0,          33,      -4.969052431,      -1.793666526,      -2.711293082,      0.5151473207
          0,           0,          34,      -4.995873758,      -1.817810929,      -2.750277729,      0.4889638102
          0,           0,          35,      -5.021581831,      -1.840957577,      -2.787505482,      0.4639598527
          0,           0,          36,      -5.046216097,      -1.863242734,      -2.822624953,      0.4400271593
          0,           0,          37,      -5.069867057,      -1.884826537,       -2.85530801,      0.4170398855
          0,           0,          38,      -5.092680151,      -1.905869338,      -2.885338812,      0.3948600892
          0,           0,          39,       -5.11483667,      -1.926511986,      -2.912686933,      0.3733466279
          0,           0,          40,      -5.136521206,      -1.946864442,      -2.937537122,      0.3523672363
          0,           0,          41,      -5.157894829,      -1.967002801,      -2.960257481,      0.3318075759
          0,           0,          42,      -5.179079667,      -1.986973933,      -2.981328445,      0.3115751335
          0,           0,          43,      -5.200153665,      -2.006802475,       -3.00125479,      0.2916007629
          0,           0,          44,      -5.221153776,      -2.026499095,      -3.020492517,      0.2718379852
          0,           0,          45,      -5.242087165,        -2.0460684,       -3.03940073,      0.2522577789
          0,           0,          46,      -5.262943407,      -2.065514277,      -3.058229165,      0.2328418018
          0,           0,          47,      -5.283705895,      -2.084843304,      -3.077121765,      0.2135770691
          0,           0,          48,      -5.304361976,      -2.104066426,      -3.096135221,      0.1944499304
          0,           0,          49,      -5.324907103,      -2.123198526,      -3.115267243,      0.1754440106
          0,           0,          50,      -5.345348102,       -2.14225903,      -3.134479023,      0.1565375351
          0,           0,          51,      -5.365701472,      -2.161269881,      -3.153719299,      0.1377045727
          0,           0,          52,       -5.38599353,      -2.180254744,      -3.172936853,      0.1189148018
          0,           0,          53,      -5.406253821,      -2.199237799,      -3.192095946,      0.1001371082
          0,           0,          54,      -5.426511675,       -2.21824261,      -3.211176837,     0.08134200544
          0,           0,          55,      -5.446796457,      -2.237291634,      -3.230173858,     0.06250117759
          0,           0,          56,      -5.467134911,      -2.256405404,      -3.249094189,     0.04358940651
          0,           0,          57,       -5.48755152,      -2.275602595,      -3.267956906,     0.02458390532
          0,           0,          58,      -5.508066082,      -2.294899315,      -3.286785728,    0.005466348427
          0,           0,          59,      -5.528694452,      -2.314309082,      -3.305612084,    -0.01377806695
          0,           0,          60,      -5.549450611,       -2.33384304,      -3.324462115,    -0.03316210893
          0,           0,          61,      -5.570348087,       -2.35351026,      -3.343359999,    -0.05269764579
          0,           0,          62,      -5.591393657,       -2.37331729,      -3.362333139,    -0.07239085467
          0,           0,          63,      -5.612590745,      -2.393268686,      -3.381404937,    -0.09224531967
          0,           0,          64,      -5.633941584,      -2.413367243,      -3.400592045,     -0.1122633772
          0,           0,          65,       -5.65544681,      -2.433614294,      -3.419913307,     -0.1324456592
          0,           0,          66,      -5.677105303,      -2.454010031,      -3.439380665,      -0.152791201
          0,           0,          67,      -5.698916111,      -2.474553905,      -3.459003193,      -0.173298927
          0,           0,          68,      -5.720877342,      -2.495244786,      -3.478786567,     -0.1939668657
          0,           0,          69,      -5.742986505,       -2.51608099,      -3.498734976,      -0.214792403
          0,           0,          70,      -5.765239175,      -2.537060659,       -3.51885078,     -0.2357711041
