VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.634941124,      0.6184631628,      0.8651631559,       3.824687079
          0,           0,           1,      -2.088242898,      0.2709234032,      0.4646981497,        3.38612578
          0,           0,           2,      -2.345718952,     0.04942528479,      0.2144053296,       3.133272686
          0,           0,           3,       -2.50671076,     -0.1005134652,     0.01033537553,       2.972016068
          0,           0,           4,      -2.666020699,     -0.2373297335,     -0.1697015895,       2.812020565
          0,           0,           5,      -2.823839316,     -0.3652576488,      -0.338220662,        2.65272597
          0,           0,           6,       -2.97987772,      -0.486043382,      -0.495228212,       2.495500327
          0,           0,           7,      -3.133750521,     -0.6013235969,     -0.6489768956,       2.340727261
          0,           0,           8,      -3.283761909,      -0.706001068,     -0.8023773863,       2.189939842
          0,           0,           9,      -3.430897668,     -0.7993387422,     -0.9533747214,       2.042300353
          0,           0,          10,      -3.573874477,     -0.8840492798,      -1.100481349,       1.898941707
          0,           0,          11,      -3.708675864,      -0.961421769,      -1.243975727,       1.763526102
          0,           0,          12,      -3.833101962,      -1.030939344,      -1.382335794,        1.63832805
          0,           0,          13,      -3.947977943,      -1.092270081,      -1.510631487,       1.522830211
          0,           0,          14,      -4.053303843,      -1.146433389,      -1.626538833,          1.417114
          0,           0,          15,      -4.148270823,      -1.195330219,      -1.732991566,       1.322303232
          0,           0,          16,      -4.234098469,      -1.240381216,      -1.831601813,       1.237805526
          0,           0,          17,      -4.311810704,      -1.282108724,      -1.919861902,        1.16274779
          0,           0,          18,      -4.380304089,      -1.320806023,      -1.996540422,       1.097563296
          0,           0,          19,      -4.438790214,      -1.357201433,      -2.064268577,       1.042002778
          0,           0,          20,      -4.489390467,      -1.392473792,      -2.126263747,      0.9932841613
          0,           0,          21,      -4.536433256,      -1.427762615,       -2.18411342,      0.9471233053
          0,           0,          22,      -4.583383295,      -1.463690311,      -2.238540217,      0.9004890731
          0,           0,          23,       -4.63102846,      -1.500226629,      -2.290319869,      0.8530392738
          0,           0,          24,        -4.6781429,      -1.536890672,      -2.340314019,      0.8063238259
          0,           0,          25,      -4.723206407,      -1.573088826,      -2.389140343,      0.7620297088
          0,           0,          26,      -4.765603663,      -1.608382288,      -2.437019678,      0.7207689345
          0,           0,          27,      -4.805691783,      -1.642582423,      -2.484052941,      0.6820676794
          0,           0,          28,      -4.844158428,      -1.675699271,      -2.530501786,      0.6451126569
          0,           0,          29,      -4.881466501,      -1.707826094,       -2.57667621,      0.6093813369
          0,           0,          30,      -4.917758634,      -1.739039374,      -2.622625421,       0.574752491
          0,           0,          31,      -4.953035342,      -1.769352756,      -2.668038373,      0.5412950481
          0,           0,          32,      -4.987299374,      -1.798721258,      -2.712430543,      0.5090653839
          0,           0,          33,      -5.020557284,       -1.82707731,      -2.755383528,      0.4780520327
          0,           0,          34,      -5.052766788,      -1.854374759,      -2.796620228,      0.4482116068
          0,           0,          35,      -5.083826255,      -1.880620505,      -2.835906414,      0.4195089431
          0,           0,          36,      -5.113623143,      -1.905883744,      -2.872936015,      0.3919229393
          0,           0,          37,      -5.142100059,      -1.930284127,      -2.907327167,      0.3654284488
          0,           0,          38,      -5.169294212,      -1.953967823,      -2.938743028,      0.3399758058
          0,           0,          39,      -5.195336701,      -1.977081918,      -2.967059765,      0.3154805904
          0,           0,          40,      -5.220423873,      -1.999755106,      -2.992462276,      0.2918251862
