VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.617349046,      0.6637071236,      0.8697035639,       3.842279157
          0,           0,           1,      -2.075612716,      0.2809113773,      0.4834433695,       3.398612008
          0,           0,           2,      -2.331525715,     0.06545436673,      0.2325115833,       3.147499781
          0,           0,           3,      -2.494062572,    -0.08820195695,     0.03396883202,       2.984654497
          0,           0,           4,      -2.653659711,     -0.2237694143,     -0.1490245379,       2.824478901
          0,           0,           5,      -2.811959106,      -0.351220914,      -0.320254534,       2.664654796
          0,           0,           6,      -2.962404607,     -0.4686306739,     -0.4824957035,       2.512657066
          0,           0,           7,       -3.11148004,     -0.5805346477,     -0.6414974369,       2.362602438
          0,           0,           8,      -3.260910243,     -0.6817501826,     -0.7963021346,       2.212459041
          0,           0,           9,      -3.409303689,     -0.7698073226,     -0.9443405094,       2.063551155
          0,           0,          10,       -3.55459904,     -0.8482222534,       -1.08549105,       1.918099219
          0,           0,          11,      -3.690640721,     -0.9194422112,      -1.221554474,       1.781942324
          0,           0,          12,      -3.810897562,     -0.9831298741,      -1.352613431,       1.661213148
          0,           0,          13,      -3.916681449,      -1.039556618,      -1.474559427,       1.555071436
          0,           0,          14,      -4.012380931,      -1.090511547,      -1.585650946,       1.459579882
          0,           0,          15,      -4.098260355,      -1.137678383,      -1.688020799,       1.374310069
          0,           0,          16,      -4.174455665,       -1.18188194,      -1.781259558,       1.299095545
          0,           0,          17,      -4.243279253,      -1.223474482,      -1.862794847,       1.231831104
          0,           0,          18,      -4.307036995,      -1.262757574,      -1.933377128,       1.170139823
          0,           0,          19,      -4.366295043,      -1.300174821,      -1.996658667,       1.112957406
          0,           0,          20,      -4.420047866,      -1.336365239,      -2.055634568,       1.060698316
          0,           0,          21,      -4.467976779,      -1.372035908,      -2.111528058,       1.013491691
          0,           0,          22,      -4.511861879,      -1.407694439,      -2.164403986,      0.9699149641
          0,           0,          23,      -4.554331268,      -1.443487239,      -2.214110945,      0.9278800166
          0,           0,          24,       -4.59712462,      -1.479283187,      -2.261111095,      0.8859934615
          0,           0,          25,       -4.64053902,      -1.514881522,      -2.306541008,      0.8440035638
          0,           0,          26,      -4.683874341,      -1.550160058,      -2.351569777,      0.8024443668
          0,           0,          27,      -4.726305022,      -1.585101092,       -2.39690795,      0.7619357047
          0,           0,          28,      -4.767580305,      -1.619743038,      -2.442830486,      0.7226327227
          0,           0,          29,       -4.80810216,      -1.654116775,      -2.489403635,      0.6841831601
          0,           0,          30,      -4.848479611,      -1.688202225,      -2.536568774,      0.6460985237
          0,           0,          31,      -4.889054038,      -1.721917406,      -2.584055796,      0.6081279233
          0,           0,          32,      -4.929714735,      -1.755136057,      -2.631314621,      0.5703793981
          0,           0,          33,      -4.969994583,       -1.78772197,      -2.677592208,      0.5332085789
          0,           0,          34,       -5.00929045,      -1.819562671,      -2.722125999,      0.4970294791
          0,           0,          35,      -5.047072385,      -1.850591547,      -2.764332844,      0.4621635622
          0,           0,          36,      -5.083012104,      -1.880790955,      -2.803889145,      0.4287767289
          0,           0,          37,      -5.117024313,      -1.910179857,      -2.840711718,      0.3968828277
          0,           0,          38,      -5.149232937,      -1.938796134,      -2.874906214,      0.3663822969
          0,           0,          39,      -5.179883246,      -1.966677292,      -2.906724965,      0.3371207699
          0,           0,          40,      -5.209249172,      -1.993847774,       -2.93654168,       0.308937976
          0,           0,          41,      -5.237563245,      -2.020313631,      -2.964809301,      0.2817009102
          0,           0,          42,      -5.264986564,      -2.046065933,       -2.99200229,      0.2553146333
          0,           0,          43,      -5.291610091,      -2.071089287,      -3.018547496,      0.2297183432
          0,           0,          44,      -5.317476518,       -2.09537181,      -3.044773638,      0.2048718428
          0,           0,          45,      -5.342602606,      -2.118914905,      -3.070882909,      0.1807452429
