VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.329381933,      0.9777748189,       1.151389477,        4.13024627
          0,           0,           1,      -1.832935244,      0.6281530051,      0.7098959258,       3.643421004
          0,           0,           2,      -2.066988333,      0.4473026978,      0.4916300532,       3.415742012
          0,           0,           3,      -2.225605163,      0.3115174095,      0.3117795263,       3.257738622
          0,           0,           4,      -2.373925924,      0.1880838585,      0.1446986914,       3.109077883
          0,           0,           5,      -2.520925556,     0.07901435729,    -0.01356402676,       2.960958095
          0,           0,           6,      -2.661878771,    -0.01175947871,     -0.1652858264,       2.819425954
          0,           0,           7,       -2.79821847,    -0.09006984743,     -0.3121598286,       2.683852788
          0,           0,           8,      -2.931212661,     -0.1592775945,     -0.4516270085,       2.553465935
          0,           0,           9,      -3.059489904,     -0.2242267853,     -0.5832885387,       2.429441131
          0,           0,          10,      -3.182346823,     -0.2877149992,     -0.7076718309,       2.311648015
          0,           0,          11,      -3.297074604,     -0.3487287444,     -0.8241545706,       2.202540625
          0,           0,          12,      -3.401179788,     -0.4061206306,     -0.9317719578,       2.105025456
          0,           0,          13,      -3.497201603,     -0.4600896528,       -1.02951529,        2.01700031
          0,           0,          14,       -3.58641196,     -0.5107897425,      -1.117337923,       1.937020839
          0,           0,          15,      -3.667564774,     -0.5581348637,      -1.196702311,       1.865790907
          0,           0,          16,      -3.741865464,     -0.6024639699,      -1.269905568,       1.801864457
          0,           0,          17,      -3.812411114,     -0.6446773262,      -1.339166182,       1.742008597
          0,           0,          18,      -3.880446952,     -0.6857637332,      -1.405990307,       1.684315382
          0,           0,          19,      -3.945075967,     -0.7264728866,      -1.470927343,       1.628632148
          0,           0,          20,      -4.005385073,     -0.7672815868,      -1.533397441,       1.575217357
          0,           0,          21,      -4.061569885,     -0.8084885789,      -1.591954984,       1.523975295
          0,           0,          22,      -4.114417176,     -0.8502685098,      -1.645117729,       1.474598392
          0,           0,          23,      -4.164668329,     -0.8926876256,      -1.692308586,       1.426771554
          0,           0,          24,       -4.21289477,     -0.9357205589,      -1.734155056,       1.380186795
          0,           0,          25,      -4.259459443,     -0.9792234812,      -1.772059388,       1.334600739
          0,           0,          26,      -4.304356426,      -1.022939412,       -1.80748874,       1.289958887
          0,           0,          27,      -4.347156441,      -1.066522501,       -1.84149864,       1.246454219
          0,           0,          28,      -4.387291456,       -1.10960585,      -1.874602988,       1.204370316
          0,           0,          29,      -4.424420276,      -1.151867708,      -1.906917171,        1.16390982
          0,           0,          30,      -4.458592535,      -1.193084727,      -1.938288872,       1.125109242
          0,           0,          31,      -4.490177761,      -1.233156227,      -1.968463427,        1.08788051
          0,           0,          32,      -4.519676451,      -1.272091794,      -1.997156479,       1.052094997
          0,           0,          33,       -4.54759096,      -1.309976115,      -2.024140327,       1.017626037
          0,           0,          34,      -4.574337897,      -1.346928644,      -2.049310556,      0.9843708418
          0,           0,          35,      -4.600242892,      -1.383078742,      -2.072725926,      0.9522264792
          0,           0,          36,      -4.625559125,       -1.41854106,      -2.094599192,      0.9210771664
          0,           0,          37,      -4.650479107,      -1.453406525,      -2.115255123,      0.8907950546
          0,           0,          38,      -4.675143665,      -1.487739921,      -2.135062768,      0.8612519164
          0,           0,          39,      -4.699655935,      -1.521579614,      -2.154373935,      0.8323293258
          0,           0,          40,      -4.724089795,      -1.554938573,      -2.173476678,      0.8039287041
          0,           0,          41,      -4.748493643,      -1.587806645,      -2.192591951,      0.7759772402
          0,           0,          42,      -4.772898144,      -1.620153586,      -2.211865973,       0.748425982
          0,           0,          43,      -4.797322076,      -1.651933236,      -2.231388332,      0.7212455458
          0,           0,          44,      -4.821774699,      -1.683090675,      -2.251204936,      0.6944215416
          0,           0,          45,      -4.846258433,      -1.713568831,      -2.271336277,      0.6679485694
          0,           0,          46,       -4.87077491,      -1.743316542,      -2.291785866,       0.641823353
          0,           0,          47,      -4.895326009,      -1.772294005,      -2.312547668,      0.6160416172
          0,           0,          48,      -4.919916247,      -1.800477389,      -2.333611013,       0.590594269
          0,           0,          49,      -4.944557182,      -1.827861758,      -2.354962932,      0.5654632676
          0,           0,          50,      -4.969262654,      -1.854460733,      -2.376592236,      0.5406253654
          0,           0,          51,      -4.994052253,       -1.88030527,      -2.398487486,      0.5160484547
          0,           0,          52,      -5.018940804,      -1.905439628,      -2.420644369,      0.4917010937
          0,           0,          53,      -5.043946129,      -1.929919072,      -2.443059683,      0.4675474271
          0,           0,          54,      -5.069086261,      -1.953805613,      -2.465733269,      0.4435507138
          0,           0,          55,      -5.094377844,      -1.977164433,       -2.48866667,      0.4196749528
          0,           0,          56,      -5.119836943,      -2.000061869,      -2.511862997,      0.3958850338
          0,           0,          57,      -5.145478633,      -2.022562896,      -2.535326768,      0.3721478074
          0,           0,          58,      -5.171314764,      -2.044729154,      -2.559061732,      0.3484341028
          0,           0,          59,      -5.197359564,      -2.066619119,      -2.583069987,      0.3247145305
          0,           0,          60,      -5.223626312,       -2.08828723,      -2.607354779,       0.300962162
          0,           0,          61,      -5.250122614,      -2.109782384,      -2.631916414,      0.2771560881
