VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.288932521,       1.024365496,       1.180380933,       4.170695681
          0,           0,           1,      -1.773259129,      0.6488422451,      0.7679069308,       3.704316157
          0,           0,           2,      -2.025219425,      0.4535177771,      0.5328581972,        3.45941069
          0,           0,           3,      -2.183191536,      0.3073694738,      0.3445226406,       3.300902107
          0,           0,           4,      -2.333606114,      0.1785442758,      0.1721762437,       3.149523519
          0,           0,           5,      -2.486418535,     0.05690980375,     0.01121690205,       2.994829579
          0,           0,           6,       -2.63028934,     -0.0471042779,     -0.1421579646,       2.848838568
          0,           0,           7,      -2.772917147,     -0.1390203011,     -0.2934898561,       2.705575242
          0,           0,           8,      -2.915662531,     -0.2204891156,      -0.439742307,       2.563742132
          0,           0,           9,      -3.055233183,      -0.295257945,     -0.5784498158,       2.426423027
          0,           0,          10,      -3.189742896,     -0.3664677044,     -0.7129066878,        2.29513409
          0,           0,          11,      -3.315764855,     -0.4335868957,     -0.8444073038,       2.172696973
          0,           0,          12,      -3.431299318,     -0.4951424238,     -0.9674627697,       2.061522915
          0,           0,          13,      -3.538477215,     -0.5511779267,      -1.078383791,        1.96067121
          0,           0,          14,       -3.63656526,     -0.6024794164,      -1.179962661,       1.870756404
          0,           0,          15,      -3.721850454,     -0.6496238179,      -1.274041823,       1.794079122
          0,           0,          16,      -3.794157145,     -0.6929485425,      -1.357132988,       1.729817166
          0,           0,          17,      -3.857029897,     -0.7330781493,      -1.426382402,       1.674037257
          0,           0,          18,      -3.914038125,     -0.7712614717,      -1.485088447,       1.622642501
          0,           0,          19,      -3.967524843,     -0.8090080839,      -1.539001479,       1.572799313
          0,           0,          20,      -4.018666208,     -0.8474821102,      -1.591458769,       1.523279759
          0,           0,          21,       -4.06773707,     -0.8871799514,      -1.642821531,       1.474193022
          0,           0,          22,      -4.114700727,     -0.9280196431,      -1.692199554,       1.426190353
          0,           0,          23,      -4.159735185,     -0.9696149972,      -1.738945392,       1.379727107
          0,           0,          24,      -4.203283556,      -1.011509904,      -1.783278357,       1.334837512
          0,           0,          25,      -4.245795883,      -1.053298996,      -1.826019861,       1.291305925
          0,           0,          26,      -4.287494433,      -1.094646324,      -1.868037756,       1.248916557
          0,           0,          27,      -4.328332733,       -1.13525751,      -1.909857309,       1.207581559
          0,           0,          28,      -4.368112506,      -1.174862627,      -1.951647471,       1.167311457
          0,           0,          29,      -4.406620123,      -1.213228283,       -1.99338915,       1.128134897
          0,           0,          30,      -4.443697191,      -1.250189246,       -2.03500376,       1.090053408
          0,           0,          31,      -4.479232346,       -1.28567885,      -2.076327105,       1.053056681
          0,           0,          32,      -4.513148509,      -1.319732972,      -2.117008544,       1.017150031
          0,           0,          33,       -4.54542848,      -1.352469817,      -2.156487502,      0.9823508372
          0,           0,          34,      -4.576134567,      -1.384052602,      -2.194121201,      0.9486741677
          0,           0,          35,      -4.605391236,      -1.414649591,      -2.229367809,      0.9161285438
