VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.248012895,       1.037664127,        1.23899899,       4.211615308
          0,           0,           1,      -1.751401334,      0.6699919826,      0.7724310327,       3.726331461
          0,           0,           2,      -1.981051046,      0.4892860686,      0.5517243451,       3.503543543
          0,           0,           3,      -2.145891077,      0.3543277744,      0.3748087768,       3.339827487
          0,           0,           4,      -2.294737301,      0.2333868847,      0.2070496532,       3.190390607
          0,           0,           5,       -2.44083052,       0.124607885,     0.04798129926,       3.043088012
          0,           0,           6,      -2.582677073,     0.02826727359,     -0.1042487889,       2.900603198
          0,           0,           7,      -2.721844711,    -0.05689495371,     -0.2527374892,       2.761918448
          0,           0,           8,      -2.858246003,     -0.1321357776,     -0.3944647031,       2.627234209
          0,           0,           9,       -2.98874786,     -0.2021588434,     -0.5284267773,       2.499221844
          0,           0,          10,      -3.114141446,     -0.2701733858,      -0.656532082,       2.376838573
          0,           0,          11,      -3.233118276,     -0.3353795614,     -0.7784743029,       2.261191841
          0,           0,          12,      -3.339000937,     -0.3962172187,     -0.8913772811,       2.158259486
          0,           0,          13,      -3.429607143,     -0.4526711473,     -0.9938581507,       2.070238894
          0,           0,          14,      -3.509857712,     -0.5050485586,      -1.086213216,       1.993419651
          0,           0,          15,      -3.582554179,     -0.5531629691,      -1.168497309,       1.925504547
          0,           0,          16,      -3.647433612,     -0.5972588149,      -1.240441632,       1.865923076
          0,           0,          17,      -3.705995008,     -0.6385918499,      -1.303822571,       1.812097788
          0,           0,          18,      -3.760697948,     -0.6787146695,      -1.362066892,       1.760819275
          0,           0,          19,      -3.811851056,     -0.7187397386,      -1.417682196,       1.711224455
          0,           0,          20,      -3.858979338,     -0.7591729856,      -1.470992126,       1.663815776
          0,           0,          21,      -3.902757552,     -0.8001923616,      -1.521100421,       1.618614428
          0,           0,          22,      -3.944536406,     -0.8418418482,      -1.566933078,        1.57505748
          0,           0,          23,      -3.985355752,     -0.8841236374,      -1.608043375,       1.532574214
          0,           0,          24,      -4.025972777,     -0.9269730844,      -1.645046297,       1.490634763
          0,           0,          25,      -4.066767619,     -0.9702358321,      -1.679564172,       1.448895452
          0,           0,          26,      -4.107997385,      -1.013666514,      -1.713274873,       1.407057894
          0,           0,          27,      -4.149799904,      -1.056931031,      -1.747383204,       1.364880522
          0,           0,          28,      -4.192076723,      -1.099680963,      -1.782577616,       1.322285212
          0,           0,          29,        -4.2345346,      -1.141575345,      -1.819031181,        1.27935646
          0,           0,          30,      -4.276685806,      -1.182329578,      -1.856524009,       1.236379513
          0,           0,          31,      -4.317875512,      -1.221738631,      -1.894696538,       1.193843381
          0,           0,          32,      -4.357690505,      -1.259696169,      -1.933010452,        1.15211783
          0,           0,          33,      -4.395960383,      -1.296180229,      -1.970736709,        1.11146295
          0,           0,          34,      -4.432726893,      -1.331204887,      -2.007088643,        1.07199291
          0,           0,          35,      -4.468038476,      -1.364815328,      -2.041371907,         1.0338124
          0,           0,          36,      -4.502024693,      -1.397076317,      -2.073116059,      0.9969346178
          0,           0,          37,      -4.534809513,      -1.428049255,      -2.102152883,      0.9613328957
          0,           0,          38,      -4.566452943,      -1.457797644,      -2.128627924,      0.9269964911
          0,           0,          39,      -4.596989586,      -1.486385636,       -2.15287586,      0.8939095779
          0,           0,          40,      -4.626374879,      -1.513882574,      -2.175368489,      0.8621125953
          0,           0,          41,      -4.654597953,       -1.54037026,       -2.19654156,      0.8316196297
          0,           0,          42,       -4.68171327,      -1.565934404,      -2.216732211,      0.8023927175
          0,           0,          43,      -4.707827042,      -1.590666508,      -2.236220912,      0.7743360348
