VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.533946604,      0.6385851547,      0.9907743221,       3.925681599
          0,           0,           1,      -2.021327044,      0.3940542051,      0.5519403419,       3.451219089
          0,           0,           2,      -2.275621916,       0.179000878,      0.3017874546,        3.20143909
          0,           0,           3,      -2.437951753,     0.02934928971,      0.1044567901,       3.039606881
          0,           0,           4,      -2.598023623,     -0.1037072372,     -0.0730908444,       2.879716504
          0,           0,           5,      -2.750743452,     -0.2277435783,     -0.2410612895,       2.725940846
          0,           0,           6,      -2.897715494,     -0.3366961543,     -0.3989553048,       2.578185243
          0,           0,           7,        -3.0437506,     -0.4333551852,     -0.5535462429,       2.432412242
          0,           0,           8,      -3.187331035,     -0.5177559907,     -0.7056583163,       2.289873773
          0,           0,           9,      -3.327915101,     -0.5938247379,     -0.8521823433,       2.151284494
          0,           0,          10,      -3.465212523,     -0.6650134821,     -0.9922100526,       2.017050741
          0,           0,          11,      -3.595647052,     -0.7313525794,      -1.125077084,       1.890168949
          0,           0,          12,      -3.713882767,     -0.7918000615,      -1.248898654,       1.775570138
          0,           0,          13,        -3.8190167,     -0.8465304103,      -1.362403075,       1.674751631
          0,           0,          14,      -3.912826996,     -0.8965169047,      -1.466167644,       1.586435972
          0,           0,          15,      -3.996707972,      -0.942572122,      -1.561067141,       1.509086226
          0,           0,          16,      -4.073152836,     -0.9851496674,      -1.646312803,       1.440250612
          0,           0,          17,      -4.144681821,      -1.024641808,      -1.719945712,       1.377511143
          0,           0,          18,      -4.211200871,      -1.061761128,      -1.781913052,       1.320052217
          0,           0,          19,       -4.27122782,      -1.097607277,      -1.835256097,       1.267590242
          0,           0,          20,       -4.32463704,      -1.133340963,      -1.883414485,       1.219045323
          0,           0,          21,      -4.373099547,      -1.169754667,      -1.928392086,       1.172909872
          0,           0,          22,      -4.418799797,      -1.207085318,      -1.971369102,       1.128078267
          0,           0,          23,       -4.46325828,       -1.24507924,      -2.013470818,       1.084167224
          0,           0,          24,      -4.506979186,      -1.283220519,      -2.055691062,       1.041327999
          0,           0,          25,       -4.54979911,      -1.320968996,      -2.098598493,      0.9998527374
          0,           0,          26,       -4.59139498,      -1.357913475,      -2.142319641,      0.9599030539
          0,           0,          27,      -4.631595063,      -1.393806167,      -2.186654723,      0.9214774936
          0,           0,          28,      -4.670460781,      -1.428530348,      -2.231189299,      0.8844689143
          0,           0,          29,      -4.708188588,      -1.462041837,      -2.275364015,      0.8487509669
          0,           0,          30,      -4.744960771,      -1.494336555,      -2.318554811,      0.8142151888
          0,           0,          31,      -4.780833517,      -1.525443118,      -2.360173745,       0.780785898
          0,           0,          32,      -4.815698858,      -1.555429837,      -2.399746049,      0.7484223838
          0,           0,          33,      -4.849333958,      -1.584410591,      -2.436934997,       0.717108086
          0,           0,          34,      -4.881513194,      -1.612538223,      -2.471564113,      0.6868273285
          0,           0,          35,      -4.912125414,      -1.639989007,      -2.503616397,      0.6575327624
          0,           0,          36,      -4.941230694,      -1.666939533,      -2.533233554,       0.629132057
          0,           0,          37,      -4.969050279,      -1.693545847,      -2.560715431,      0.6014899142
          0,           0,          38,      -4.995899286,      -1.719930729,      -2.586492296,      0.5744469607
          0,           0,          39,      -5.022103956,      -1.746178238,       -2.61106747,      0.5478447621
          0,           0,          40,      -5.047936415,      -1.772333598,      -2.634947015,      0.5215505682
          0,           0,          41,      -5.073584184,      -1.798412192,      -2.658579182,      0.4954675114
          0,           0,          42,      -5.099150281,      -1.824407296,      -2.682314642,      0.4695372995
          0,           0,          43,      -5.124671499,      -1.850298589,        -2.7063922,      0.4437345483
          0,           0,          44,      -5.150140392,      -1.876060441,       -2.73094394,      0.4180570574
          0,           0,          45,      -5.175527301,      -1.901668454,      -2.756015848,      0.3925156368
          0,           0,          46,      -5.200796047,      -1.927103669,      -2.781584857,      0.3671256351
          0,           0,          47,      -5.225914293,      -1.952355093,       -2.80758515,      0.3419009602
          0,           0,          48,      -5.250857998,      -1.977420386,      -2.833925615,      0.3168507606
          0,           0,          49,       -5.27561515,      -2.002310071,      -2.860506739,      0.2919730329
          0,           0,          50,      -5.300183091,      -2.027033757,      -2.887229892,      0.2672645611
