VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.648760942,      0.5362116478,      0.8733781566,       3.810867261
          0,           0,           1,      -2.104969287,      0.2669538515,      0.4538730114,       3.370228365
          0,           0,           2,        -2.3590682,     0.05231576541,      0.2126084365,       3.121125541
          0,           0,           3,      -2.527055737,    -0.09891090657,     0.02209015181,       2.953711439
          0,           0,           4,       -2.68128325,     -0.2364891297,     -0.1551150191,       2.798580132
          0,           0,           5,      -2.835179847,     -0.3596509356,     -0.3244638974,        2.64341638
          0,           0,           6,      -2.992074618,     -0.4729634021,     -0.4867791543,       2.485881657
          0,           0,           7,      -3.143942563,     -0.5799112023,     -0.6467582164,        2.33351351
          0,           0,           8,      -3.287655129,     -0.6759217032,     -0.8031756518,       2.189302921
          0,           0,           9,      -3.427323413,     -0.7590126949,     -0.9539721625,       2.049657841
          0,           0,          10,      -3.566053475,     -0.8337721556,      -1.098794793,       1.911786855
          0,           0,          11,      -3.700985206,      -0.903419495,      -1.238011637,        1.77809341
          0,           0,          12,      -3.827811263,     -0.9677394643,      -1.369670487,       1.652460003
          0,           0,          13,      -3.944148158,      -1.025821617,      -1.490908636,       1.537680997
          0,           0,          14,      -4.048651858,      -1.077750817,      -1.601221786,       1.435846601
          0,           0,          15,      -4.141964697,      -1.124615148,      -1.703070371,       1.346693406
          0,           0,          16,      -4.226296273,      -1.167458805,      -1.798128683,       1.268063266
          0,           0,          17,      -4.302431356,      -1.206872324,      -1.884579438,       1.198965389
          0,           0,          18,       -4.36965518,       -1.24349422,      -1.959837773,       1.139398892
          0,           0,          19,      -4.428100394,      -1.278361086,      -2.024124188,       1.088092051
          0,           0,          20,      -4.479737614,      -1.312653319,       -2.07972873,       1.042161537
          0,           0,          21,      -4.527284302,      -1.347230114,      -2.129135201,      0.9986666019
          0,           0,          22,      -4.572820495,      -1.382403672,      -2.174500865,      0.9558465481
          0,           0,          23,      -4.617283245,       -1.41801576,      -2.217692381,       0.913251598
          0,           0,          24,       -4.66079291,      -1.453663594,      -2.260037283,      0.8711974123
          0,           0,          25,      -4.703170865,      -1.488911764,      -2.302263909,      0.8301980092
          0,           0,          26,      -4.744267106,      -1.523422408,      -2.344747709,      0.7906462744
          0,           0,          27,      -4.784050625,      -1.556982247,      -2.387752946,      0.7527425325
          0,           0,          28,      -4.822570175,      -1.589474848,      -2.431457322,      0.7165450678
          0,           0,          29,      -4.859885725,      -1.620837395,      -2.475831021,      0.6820392208
          0,           0,          30,      -4.896019433,      -1.651042858,       -2.52053783,      0.6491676756
          0,           0,          31,      -4.930941773,        -1.6800988,       -2.56493635,      0.6178337553
          0,           0,          32,      -4.964578452,      -1.708058331,      -2.608207209,       0.587899929
          0,           0,          33,       -4.99683544,      -1.735024553,      -2.649517872,       0.559201198
          0,           0,          34,      -5.027638974,      -1.761142461,      -2.688191537,      0.5315641207
          0,           0,          35,      -5.056978973,      -1.786578197,      -2.723820862,      0.5048222622
          0,           0,          36,      -5.084933791,      -1.811495455,      -2.756311992,       0.478824759
          0,           0,          37,      -5.111667127,      -1.836034773,      -2.785863783,      0.4534392172
          0,           0,          38,      -5.137397953,      -1.860301688,      -2.812902193,       0.428552479
          0,           0,          39,      -5.162358276,      -1.884363307,      -2.837984302,      0.4040720674
          0,           0,          40,      -5.186752754,       -1.90825247,      -2.861702327,      0.3799283942
          0,           0,          41,      -5.210733688,      -1.931974956,      -2.884600042,       0.356077001
          0,           0,          42,      -5.234396566,      -1.955521318,      -2.907118839,      0.3324932443
          0,           0,          43,      -5.257788635,      -1.978875865,      -2.929574121,      0.3091671926
          0,           0,          44,      -5.280925653,       -2.00202431,      -2.952157072,      0.2860959125
          0,           0,          45,      -5.303809581,       -2.02495887,      -2.974954129,      0.2632762547
          0,           0,          46,      -5.326440606,       -2.04768094,      -2.997976933,      0.2407003874
          0,           0,          47,      -5.348827701,       -2.07020044,      -3.021185381,      0.2183530608
          0,           0,          48,      -5.370989574,      -2.092535482,      -3.044515619,      0.1962117526
          0,           0,          49,      -5.392952232,      -2.114709914,      -3.067899339,      0.1742492786
          0,           0,          50,        -5.4147466,      -2.136751207,      -3.091275427,      0.1524356032
          0,           0,          51,       -5.43640605,      -2.158688291,      -3.114596004,      0.1307395933
          0,           0,          52,       -5.45796239,      -2.180550127,      -3.137828734,      0.1091314409
          0,           0,          53,       -5.47944532,       -2.20236471,      -3.160956735,     0.08758312024
          0,           0,          54,      -5.500881676,      -2.224158077,      -3.183974993,     0.06606883214
          0,           0,          55,      -5.522295066,      -2.245954419,       -3.20688776,     0.04456532093
          0,           0,          56,      -5.543707651,      -2.267775279,      -3.229705364,      0.0230509698
          0,           0,          57,      -5.565139525,      -2.289639832,      -3.252443199,    0.001506299462
          0,           0,          58,       -5.58660703,      -2.311564774,      -3.275120524,    -0.02008513471
          0,           0,          59,      -5.608129954,      -2.333564778,      -3.297753541,    -0.04174080972
          0,           0,          60,      -5.629725072,      -2.355652149,       -3.32036266,    -0.06347566875
          0,           0,          61,      -5.651407689,      -2.377837779,      -3.342971373,    -0.08530276311
          0,           0,          62,      -5.673191563,      -2.400130381,      -3.365600967,     -0.1072334255
          0,           0,          63,       -5.69508834,      -2.422536834,      -3.388271837,     -0.1292769412
          0,           0,          64,       -5.71710849,       -2.44506255,      -3.411002443,     -0.1514412169
          0,           0,          65,      -5.739260515,      -2.467711601,      -3.433809576,     -0.1737324023
          0,           0,          66,      -5.761552136,      -2.490486882,      -3.456707723,     -0.1961556865
          0,           0,          67,      -5.783988462,      -2.513390249,      -3.479709137,     -0.2187142637
          0,           0,          68,      -5.806574432,      -2.536422637,       -3.50282453,     -0.2414113063
          0,           0,          69,        -5.8293136,      -2.559583963,      -3.526062576,     -0.2642486906
          0,           0,          70,      -5.852206184,      -2.582873854,      -3.549427318,     -0.2872259304
          0,           0,          71,      -5.875252225,      -2.606291333,      -3.572921436,     -0.3103423687
          0,           0,          72,       -5.89845131,      -2.629834882,      -3.596547091,     -0.3335969797
          0,           0,          73,      -5.921802703,      -2.653502606,      -3.620305762,     -0.3569885391
          0,           0,          74,      -5.945304847,      -2.677292313,      -3.644196957,     -0.3805151567
          0,           0,          75,      -5.968955099,      -2.701201524,      -3.668219565,     -0.4041742404
          0,           0,          76,      -5.992750504,      -2.725227542,      -3.692371343,     -0.4279629663
          0,           0,          77,      -6.016688539,      -2.749367613,       -3.71664839,     -0.4518788017
          0,           0,          78,      -6.040765773,      -2.773618907,      -3.741048286,     -0.4759185576
          0,           0,          79,       -6.06497827,      -2.797978102,      -3.765568401,     -0.5000787078
          0,           0,          80,      -6.089322306,      -2.822442029,      -3.790204632,     -0.5243557392
          0,           0,          81,      -6.113794186,      -2.847007582,      -3.814953526,     -0.5487462411
          0,           0,          82,      -6.138390439,      -2.871671685,      -3.839811142,     -0.5732469638
          0,           0,          83,      -6.163108597,      -2.896431342,      -3.864773184,     -0.5978552914
          0,           0,          84,      -6.187944324,      -2.921283322,      -3.889837838,     -0.6225674405
          0,           0,          85,      -6.212892786,      -2.946224455,      -3.915001297,     -0.6473792605
          0,           0,          86,      -6.237951088,      -2.971251886,      -3.940259118,     -0.6722880003
          0,           0,          87,      -6.263117576,      -2.996363011,      -3.965605534,      -0.697291794
          0,           0,          88,      -6.288389374,      -3.021555223,      -3.991038253,     -0.7223877877
          0,           0,          89,      -6.313763271,      -3.046825834,      -4.016556793,     -0.7475730144
          0,           0,          90,      -6.339235788,      -3.072172396,      -4.042157861,     -0.7728443834
          0,           0,          91,      -6.364804433,      -3.097592681,      -4.067837557,     -0.7981996388
          0,           0,          92,      -6.390466944,      -3.123084612,      -4.093592784,     -0.8236366996
          0,           0,          93,      -6.416221154,      -3.148646249,      -4.119420983,     -0.8491535513
          0,           0,          94,      -6.442065036,      -3.174275772,      -4.145319451,     -0.8747483305
          0,           0,          95,      -6.467996373,      -3.199971541,      -4.171286732,     -0.9004190911
          0,           0,          96,      -6.494013377,      -3.225732099,      -4.197320315,     -0.9261642775
          0,           0,          97,       -6.52011431,      -3.251556065,      -4.223418216,     -0.9519824001
          0,           0,          98,      -6.546297502,       -3.27744219,       -4.24957865,     -0.9778720542
          0,           0,          99,      -6.572561363,      -3.303389333,      -4.275800124,      -1.003831931
          0,           0,         100,      -6.598904432,      -3.329396473,      -4.302081205,      -1.029860872
          0,           0,         101,      -6.625325209,      -3.355462709,      -4.328420038,      -1.055957762
          0,           0,         102,      -6.651822265,      -3.381587243,      -4.354815314,      -1.082121564
          0,           0,         103,      -6.678394382,      -3.407769353,      -4.381266145,       -1.10835138
          0,           0,         104,      -6.705040291,      -3.434008395,      -4.407771634,       -1.13464633
          0,           0,         105,      -6.731758838,      -3.460303805,      -4.434330743,      -1.161005653
          0,           0,         106,      -6.758549222,      -3.486655106,      -4.460941873,      -1.187428839
          0,           0,         107,      -6.785409952,      -3.513061921,      -4.487604973,      -1.213914988
          0,           0,         108,      -6.812339947,      -3.539523884,      -4.514319432,      -1.240463483
          0,           0,         109,      -6.839338335,      -3.566040659,      -4.541084418,      -1.267073826
          0,           0,         110,      -6.866404171,      -3.592611978,      -4.567899184,      -1.293745485
          0,           0,         111,      -6.893536539,      -3.619237614,      -4.594763105,      -1.320477976
          0,           0,         112,      -6.920734575,      -3.645917381,      -4.621675683,      -1.347270874
          0,           0,         113,      -6.947997455,      -3.672651121,      -4.648636501,      -1.374123781
          0,           0,         114,      -6.975324377,      -3.699438706,      -4.675645175,       -1.40103632
          0,           0,         115,      -7.002714562,       -3.72628003,       -4.70270133,      -1.428008132
          0,           0,         116,      -7.030167257,      -3.753175007,      -4.729804618,      -1.455038879
          0,           0,         117,      -7.057681748,      -3.780123571,       -4.75695473,      -1.482128248
          0,           0,         118,      -7.085257349,      -3.807125666,      -4.784151394,      -1.509275946
          0,           0,         119,      -7.112893345,      -3.834181268,      -4.811395762,      -1.536481634
