VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.86224037,      0.3605403184,       0.645528675,       3.597387833
          0,           0,           1,      -2.280271247,     0.07862906931,      0.2833492499,       3.196187451
          0,           0,           2,       -2.54022202,     -0.1560897083,      0.0182903163,       2.939365241
          0,           0,           3,        -2.7009918,     -0.3143652246,      -0.186809515,       2.777923447
          0,           0,           4,      -2.860068246,     -0.4614637869,     -0.3623548992,        2.61758194
          0,           0,           5,      -3.019359531,     -0.5992769768,     -0.5305639684,       2.456503122
          0,           0,           6,      -3.175304213,     -0.7268580034,     -0.6938137873,       2.299171682
          0,           0,           7,      -3.330160045,     -0.8444169453,     -0.8541019676,       2.143470589
          0,           0,           8,      -3.481000322,     -0.9507772732,      -1.010541758,       1.991877068
          0,           0,           9,      -3.630194137,      -1.048177943,      -1.162372224,       1.841926987
          0,           0,          10,      -3.779437474,       -1.13728486,      -1.308129897,       1.691913527
          0,           0,          11,      -3.922865983,      -1.217706489,       -1.44691775,       1.547393575
          0,           0,          12,      -4.056045873,      -1.289555168,      -1.579623216,       1.412807248
          0,           0,          13,      -4.180010143,      -1.353604766,      -1.706281082,       1.287481375
          0,           0,          14,      -4.294513333,      -1.411549831,      -1.826211294,       1.171540218
          0,           0,          15,      -4.397651936,       -1.46538082,      -1.939499799,       1.066546368
          0,           0,          16,      -4.488484172,      -1.516214069,      -2.046711758,       0.973591045
          0,           0,          17,      -4.567156226,      -1.564091101,      -2.147152442,      0.8932546372
          0,           0,          18,      -4.635995144,      -1.608803076,      -2.239171506,      0.8237840553
          0,           0,          19,       -4.69811434,       -1.65062564,      -2.322345316,      0.7618097244
          0,           0,          20,      -4.755265192,      -1.690408469,      -2.397455168,      0.7048623517
          0,           0,          21,      -4.808369959,      -1.729184636,      -2.465071702,      0.6515745889
          0,           0,          22,      -4.858360958,      -1.767720287,      -2.525966014,       0.601072013
          0,           0,          23,      -4.906091154,      -1.806310973,      -2.581633785,      0.5528652184
          0,           0,          24,       -4.95223364,       -1.84485864,      -2.633761614,      0.5066533128
          0,           0,          25,      -4.997258593,      -1.883081467,      -2.683771094,      0.4621240499
          0,           0,          26,      -5.041354175,        -1.9207025,      -2.732742176,      0.4189790195
