VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.459847678,      0.8068946151,       1.032190383,       3.999780525
          0,           0,           1,      -1.929056332,       0.478943258,      0.6291319424,        3.54470408
          0,           0,           2,       -2.18635603,      0.2740511968,      0.3886741233,       3.293612252
          0,           0,           3,      -2.346734858,      0.1248094447,      0.1966627299,       3.133016965
          0,           0,           4,      -2.499980977,   -0.005388835164,     0.02345371969,       2.979235614
          0,           0,           5,      -2.646265027,     -0.1269263562,     -0.1403298253,       2.831075909
          0,           0,           6,      -2.786117376,     -0.2315877042,     -0.2957728976,       2.689566083
          0,           0,           7,      -2.927157275,     -0.3242322586,     -0.4487919609,        2.54828234
          0,           0,           8,      -3.067104434,     -0.4067890694,     -0.5995280777,       2.409015692
          0,           0,           9,      -3.203043148,     -0.4811343822,     -0.7412166211,       2.274278091
          0,           0,          10,       -3.33384505,     -0.5504659489,     -0.8738173582,       2.145104384
          0,           0,          11,      -3.456278437,     -0.6154783548,      -1.001248986,       2.024593827
          0,           0,          12,      -3.565402367,     -0.6746564895,      -1.120608085,       1.917572955
          0,           0,          13,      -3.660358828,     -0.7279249704,      -1.226548588,       1.825177473
          0,           0,          14,      -3.745667007,     -0.7769844635,       -1.31967813,       1.743365869
          0,           0,          15,      -3.823859166,     -0.8229901208,      -1.404744766,       1.669636642
          0,           0,          16,      -3.895051773,     -0.8660213022,      -1.484173503,       1.603568594
          0,           0,          17,      -3.960026253,     -0.9062490883,      -1.556641996,       1.544009691
          0,           0,          18,      -4.020313297,     -0.9445583445,      -1.620602353,       1.488903401
          0,           0,          19,      -4.077511244,      -0.982155163,      -1.677157347,       1.436115656
          0,           0,          20,      -4.132670034,      -1.020034261,      -1.729259742,       1.384313265
          0,           0,          21,      -4.186310098,      -1.058742769,      -1.779421744,       1.333088873
          0,           0,          22,       -4.23884066,      -1.098352914,      -1.828952322,       1.282480637
          0,           0,          23,      -4.290553771,      -1.138561487,      -1.878042192,       1.232698401
          0,           0,          24,      -4.341340653,      -1.178864072,      -1.926262724,       1.184127301
          0,           0,          25,      -4.390818211,       -1.21874703,       -1.97313995,       1.137173384
