VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,        -1.5179633,      0.7711890045,      0.9686533205,       3.941664903
          0,           0,           1,      -1.968702788,      0.4168182698,      0.5835638837,       3.509564981
          0,           0,           2,      -2.217696398,      0.1954301145,      0.3427191828,       3.266149673
          0,           0,           3,      -2.379653104,     0.04216482958,      0.1456352754,        3.10365493
          0,           0,           4,      -2.538253747,    -0.09688290747,    -0.03208644687,       2.943831429
          0,           0,           5,      -2.689805141,     -0.2287692524,      -0.200770803,       2.789593168
          0,           0,           6,      -2.836693269,      -0.344972921,     -0.3608115849,       2.640011525
          0,           0,           7,      -2.985952596,     -0.4523436225,     -0.5169767354,       2.489287675
          0,           0,           8,      -3.134321086,     -0.5506717878,     -0.6712757369,       2.340441879
          0,           0,           9,      -3.279810647,     -0.6376463433,     -0.8215064668,       2.195138669
          0,           0,          10,      -3.422123895,     -0.7151876888,     -0.9673438643,       2.053601006
          0,           0,          11,      -3.559916158,     -0.7857079921,      -1.108468759,       1.917282536
          0,           0,          12,      -3.691361314,     -0.8495204518,      -1.242232532,       1.788191161
          0,           0,          13,       -3.81319009,     -0.9064855709,      -1.367003643,       1.669640268
          0,           0,          14,      -3.922152951,     -0.9572678141,      -1.483956478,       1.564808547
          0,           0,          15,      -4.018217565,      -1.002866109,      -1.593973518,       1.473933802
          0,           0,          16,      -4.103397252,      -1.044039115,      -1.695176845,       1.395395327
          0,           0,          17,       -4.17889065,      -1.081567031,      -1.783949581,       1.327707526
          0,           0,          18,      -4.245038023,      -1.116652807,      -1.858091972,       1.269151613
          0,           0,          19,      -4.302720194,      -1.150760268,      -1.919162201,        1.21724209
          0,           0,          20,      -4.353875858,      -1.185097262,      -1.971517116,       1.169403063
          0,           0,          21,      -4.400836879,      -1.220258322,      -2.019122627,       1.123839293
          0,           0,          22,      -4.445444116,      -1.256200338,      -2.064002862,       1.079754414
          0,           0,          23,      -4.488700689,      -1.292478894,      -2.107073663,       1.037003746
          0,           0,          24,      -4.530938351,      -1.328544012,      -2.149192913,      0.9956408802
          0,           0,          25,      -4.572123225,      -1.363952193,       -2.19125623,      0.9556960786
          0,           0,          26,       -4.61213419,      -1.398437701,      -2.233800812,      0.9171540143
          0,           0,          27,      -4.650935741,      -1.431870485,      -2.276784951,      0.8799894167
          0,           0,          28,      -4.688567159,       -1.46417713,      -2.319712392,      0.8442127544
          0,           0,          29,      -4.725018735,       -1.49529783,      -2.361952252,      0.8098884409
          0,           0,          30,       -4.76015131,      -1.525191793,      -2.402986626,      0.7771003202
          0,           0,          31,      -4.793731181,      -1.553868469,      -2.442446272,      0.7458856499
          0,           0,          32,      -4.825536236,       -1.58141083,       -2.48000254,      0.7161883093
          0,           0,          33,      -4.855460489,      -1.607969847,      -2.515277771,      0.6878599784
          0,           0,          34,      -4.883571783,      -1.633733988,      -2.547887684,      0.6606917897
          0,           0,          35,      -4.910103923,      -1.658892072,      -2.577611849,       0.634454334
          0,           0,          36,       -4.93539682,      -1.683601969,      -2.604551789,      0.6089291081
          0,           0,          37,      -4.959815061,      -1.707974058,      -2.629159094,      0.5839306771
          0,           0,          38,      -4.983679005,      -1.732069607,      -2.652114387,      0.5593161221
          0,           0,          39,      -5.007219642,      -1.755908927,      -2.674139371,      0.5349911831
          0,           0,          40,       -5.03056285,      -1.779483476,       -2.69583976,      0.5109111992
          0,           0,          41,      -5.053741805,      -1.802771326,      -2.717641038,      0.4870743113
          0,           0,          42,      -5.076725906,      -1.825747073,      -2.739764895,       0.463507957
          0,           0,          43,      -5.099449411,       -1.84839018,      -2.762265271,       0.440255709
          0,           0,          44,      -5.121841922,      -1.870690668,      -2.785077853,      0.4173607387
          0,           0,          45,      -5.143850441,      -1.892650907,      -2.808069928,      0.3948533197
          0,           0,          46,       -5.16544926,      -1.914285952,      -2.831082326,      0.3727438747
          0,           0,          47,      -5.186642531,      -1.935621057,      -2.853961632,      0.3510215443
          0,           0,          48,      -5.207461162,      -1.956687793,      -2.876580862,      0.3296568545
          0,           0,          49,      -5.227953073,      -1.977523218,      -2.898853905,      0.3086064228
          0,           0,          50,       -5.24817674,      -1.998166955,      -2.920738357,      0.2878183889
          0,           0,          51,      -5.268193287,      -2.018658779,      -2.942232835,      0.2672386445
          0,           0,          52,      -5.288062671,      -2.039037072,      -2.963367111,      0.2468141686
          0,           0,          53,      -5.307840776,      -2.059337722,      -2.984195306,      0.2264954109
          0,           0,          54,      -5.327578494,       -2.07959367,      -3.004782744,      0.2062373572
          0,           0,          55,      -5.347319968,      -2.099834512,       -3.02520032,      0.1860005745
          0,           0,          56,      -5.367103374,      -2.120085708,      -3.045517468,       0.165751147
          0,           0,          57,      -5.386959879,      -2.140368969,      -3.065798429,      0.1454609731
          0,           0,          58,      -5.406916045,      -2.160702544,      -3.086098768,      0.1251065162
          0,           0,          59,      -5.426992652,      -2.181101304,      -3.106465482,      0.1046690427
          0,           0,          60,      -5.447204579,      -2.201577009,      -3.126936869,     0.08413460245
          0,           0,          61,      -5.467563462,       -2.22213881,      -3.147541652,     0.06349227422
          0,           0,          62,      -5.488076858,      -2.242793481,      -3.168300585,     0.04273450024
          0,           0,          63,      -5.508749267,       -2.26354596,      -3.189226644,     0.02185634639
