VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.432822756,      0.8549092891,       1.053420392,       4.026805447
          0,           0,           1,      -1.888655588,      0.5151925557,      0.6414322839,       3.586573121
          0,           0,           2,      -2.134842374,      0.2916340634,      0.4081274144,         3.3459429
          0,           0,           3,      -2.298143977,      0.1357112702,      0.2159086014,       3.182807764
          0,           0,           4,      -2.457757933,   -0.009163747091,     0.03971424044,       3.022364137
          0,           0,           5,      -2.617118482,     -0.1448970546,     -0.1253112731,       2.861550062
          0,           0,           6,      -2.767314282,      -0.263515979,     -0.2830281811,       2.709784242
          0,           0,           7,      -2.915765617,     -0.3689195078,     -0.4389519244,       2.560646663
          0,           0,           8,      -3.067859699,     -0.4627801241,     -0.5907588152,       2.408857756
          0,           0,           9,      -3.218126703,     -0.5463237486,     -0.7374367485,       2.259214941
          0,           0,          10,       -3.36053425,     -0.6222158622,     -0.8809495699,       2.117350537
          0,           0,          11,      -3.493913834,      -0.692124895,      -1.021501904,        1.98466032
          0,           0,          12,      -3.617411938,      -0.755483051,      -1.155847367,       1.862270517
          0,           0,          13,      -3.730032591,     -0.8122526327,      -1.280849257,       1.751294626
          0,           0,          14,      -3.832625668,      -0.863796205,      -1.396372228,       1.650989676
          0,           0,          15,      -3.926139868,     -0.9113569526,      -1.503416423,       1.560570633
          0,           0,          16,       -4.01000262,     -0.9552268841,      -1.601179482,       1.480817356
          0,           0,          17,      -4.083693759,      -0.995452103,      -1.686910719,       1.412175469
          0,           0,          18,      -4.148166805,      -1.032677633,      -1.758868153,       1.352972155
          0,           0,          19,      -4.205397174,      -1.068178741,      -1.818798645,       1.300195783
          0,           0,          20,      -4.257548463,      -1.103337127,      -1.871006397,       1.251037549
          0,           0,          21,      -4.306445426,      -1.139104032,      -1.919511504,       1.203728879
          0,           0,          22,       -4.35328391,      -1.175758182,      -1.966574619,       1.157626712
          0,           0,          23,      -4.398581584,      -1.212987406,      -2.012904566,        1.11286684
          0,           0,          24,      -4.442356155,      -1.250169981,      -2.058590431,       1.069873754
          0,           0,          25,      -4.484379424,      -1.286678786,       -2.10386162,       1.028984979
          0,           0,          26,      -4.524417721,      -1.322077529,      -2.149196005,      0.9903012028
          0,           0,          27,      -4.562407559,       -1.35616311,      -2.194958661,      0.9537095796
          0,           0,          28,      -4.598501654,      -1.388899213,      -2.241033792,      0.9189755474
          0,           0,          29,      -4.632973169,      -1.420316218,      -2.286778979,       0.885845661
          0,           0,          30,      -4.666054158,      -1.450446903,       -2.33125149,      0.8541233668
          0,           0,          31,      -4.697817207,      -1.479309386,      -2.373508364,      0.8237072022
          0,           0,          32,      -4.728161958,      -1.506927903,      -2.412834864,      0.7945806595
          0,           0,          33,      -4.756895171,      -1.533356975,      -2.448825204,      0.7667719555
          0,           0,          34,      -4.783845843,      -1.558692882,      -2.481347004,      0.7403083746
          0,           0,          35,      -4.808968739,      -1.583072416,      -2.510479845,      0.7151641488
          0,           0,          36,      -4.832379782,      -1.606651931,      -2.536471225,      0.6912462087
          0,           0,          37,      -4.854329579,      -1.629584617,      -2.559709593,      0.6684025851
          0,           0,          38,      -4.875139253,      -1.652000949,      -2.580696819,      0.6464448399
          0,           0,          39,      -4.895129813,      -1.673998845,      -2.600009423,      0.6251786964
          0,           0,          40,      -4.914570248,      -1.695641794,       -2.61822883,      0.6044309672
          0,           0,          41,      -4.933651381,       -1.71696402,      -2.635892078,      0.5840668031
          0,           0,          42,      -4.952492238,        -1.7379799,      -2.653430166,      0.5639911382
          0,           0,          43,      -4.971154085,      -1.758693102,      -2.671151619,      0.5441451742
          0,           0,          44,      -4.989664795,      -1.779106077,      -2.689243657,      0.5244936343
          0,           0,          45,      -5.008037145,      -1.799226101,      -2.707787981,      0.5050156359
          0,           0,          46,      -5.026280955,      -1.819067947,      -2.726786152,      0.4856976868
          0,           0,          47,      -5.044414346,      -1.838656147,      -2.746173808,      0.4665252881
          0,           0,          48,      -5.062461224,       -1.85802317,      -2.765860422,       0.447482969
          0,           0,          49,      -5.080451978,       -1.87720759,      -2.785746533,      0.4285512659
          0,           0,          50,      -5.098424006,      -1.896251148,      -2.805731439,      0.4097055608
          0,           0,          51,      -5.116416375,      -1.915196542,      -2.825730377,      0.3909182223
          0,           0,          52,      -5.134470351,      -1.934085766,      -2.845675693,      0.3721574105
          0,           0,          53,      -5.152623475,      -1.952957301,      -2.865524864,      0.3533915366
          0,           0,          54,      -5.170908424,      -1.971845473,      -2.885257165,      0.3345905595
          0,           0,          55,      -5.189353014,      -1.990781202,       -2.90486896,      0.3157260921
          0,           0,          56,      -5.207979024,      -2.009789872,       -2.92437057,      0.2967735997
          0,           0,          57,         -5.226803,      -2.028892402,      -2.943781964,      0.2777120378
