VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.413955068,      0.8616033855,        1.07904756,       4.045673135
          0,           0,           1,      -1.873503732,      0.4988493781,      0.6657734938,       3.602631868
          0,           0,           2,      -2.116359954,      0.2749114012,      0.4269448643,       3.364840202
          0,           0,           3,      -2.282356253,      0.1216908182,      0.2330304424,       3.198748015
          0,           0,           4,      -2.442401764,    -0.01957357738,     0.05615013321,       3.037860274
          0,           0,           5,      -2.599590465,      -0.153251615,     -0.1104049213,       2.878988484
          0,           0,           6,       -2.75204823,     -0.2749119783,     -0.2706046098,        2.72500648
          0,           0,           7,      -2.900366799,     -0.3882855437,     -0.4303209247,       2.575640795
          0,           0,           8,       -3.04782394,     -0.4930561184,     -0.5883559239,       2.427301181
          0,           0,           9,      -3.196206821,     -0.5887152792,     -0.7416140568,       2.278115384
          0,           0,          10,      -3.342713972,     -0.6765072941,     -0.8905381267,        2.13079459
          0,           0,          11,      -3.483596639,     -0.7569218864,      -1.034746289,       1.988847719
          0,           0,          12,      -3.617219249,      -0.828851458,      -1.171150952,       1.854094749
          0,           0,          13,      -3.741592629,     -0.8916285958,      -1.297905122,       1.728983754
          0,           0,          14,       -3.85329545,      -0.946534202,      -1.415704936,       1.617111215
          0,           0,          15,      -3.950665094,     -0.9960068147,      -1.526158429,       1.520156367
          0,           0,          16,      -4.035563849,      -1.041804893,      -1.629721978,       1.436382281
          0,           0,          17,      -4.111132328,      -1.084582605,      -1.724602068,       1.362695556
          0,           0,          18,      -4.179364376,      -1.124741367,      -1.807988412,       1.296692359
          0,           0,          19,      -4.241041577,      -1.163052664,      -1.878931858,        1.23681902
          0,           0,          20,      -4.296913871,      -1.200545832,      -1.939705967,       1.181766044
          0,           0,          21,      -4.348306084,      -1.238040604,      -1.994032126,       1.130291961
          0,           0,          22,      -4.396745042,      -1.275833958,      -2.044671648,       1.081460302
          0,           0,          23,      -4.443390045,      -1.313717452,      -2.092861693,       1.034746839
          0,           0,          24,      -4.488793572,      -1.351214422,       -2.13920619,      0.9899203478
          0,           0,          25,      -4.532963821,      -1.387845162,      -2.184464074,      0.9469143089
          0,           0,          26,      -4.575564327,      -1.423280595,      -2.229519876,      0.9057987726
          0,           0,          27,      -4.616192155,      -1.457362371,      -2.274896878,      0.8667230085
          0,           0,          28,      -4.654620589,      -1.490039911,      -2.320426781,      0.8297871585
          0,           0,          29,      -4.690867386,      -1.521298679,      -2.365325128,      0.7949588058
          0,           0,          30,      -4.725081241,       -1.55111736,      -2.408535909,      0.7621134305
          0,           0,          31,      -4.757373538,      -1.579470077,      -2.449118513,      0.7311389819
          0,           0,          32,      -4.787741032,      -1.606351431,      -2.486464906,      0.7019895886
          0,           0,          33,      -4.816117487,      -1.631803636,      -2.520292249,      0.6746570078
          0,           0,          34,       -4.84249137,      -1.655927022,       -2.55053453,      0.6490957258
          0,           0,          35,      -4.866998768,      -1.678870301,      -2.577267122,      0.6251606798
          0,           0,          36,      -4.889927611,      -1.700808167,      -2.600731831,      0.6026076818
          0,           0,          37,      -4.911653425,      -1.721914747,      -2.621384195,      0.5811383649
          0,           0,          38,      -4.932549633,      -1.742344251,      -2.639870286,      0.5604606869
          0,           0,          39,      -4.952923763,      -1.762221511,      -2.656914612,      0.5403332052
          0,           0,          40,      -4.972993354,      -1.781641912,      -2.673195083,      0.5205819036
          0,           0,          41,      -4.992893087,      -1.800677285,      -2.689250939,      0.5010949222
          0,           0,          42,      -5.012697632,      -1.819384161,      -2.705456756,      0.4818050622
          0,           0,          43,      -5.032444418,      -1.837812228,       -2.72203445,      0.4626732046
          0,           0,          44,      -5.052156658,      -1.856010432,       -2.73909882,      0.4436709083
          0,           0,          45,      -5.071851269,      -1.874029389,      -2.756676186,      0.4247742668
          0,           0,          46,      -5.091546365,      -1.891921768,      -2.774738823,      0.4059588465
          0,           0,          47,      -5.111262826,      -1.909740478,      -2.793227747,      0.3871990515
          0,           0,          48,      -5.131023544,      -1.927536785,      -2.812062556,      0.3684686547
          0,           0,          49,      -5.150856124,      -1.945358172,      -2.831159727,      0.3497386015
          0,           0,          50,      -5.170785541,      -1.963246665,      -2.850444454,      0.3309818052
          0,           0,          51,      -5.190833965,      -1.981237946,      -2.869856518,      0.3121727768
          0,           0,          52,      -5.211022029,      -1.999361416,      -2.889353766,      0.2932864433
          0,           0,          53,      -5.231364681,      -2.017640511,      -2.908910345,      0.2743019112
          0,           0,          54,      -5.251873631,      -2.036093278,      -2.928508808,      0.2552011953
          0,           0,          55,      -5.272556064,      -2.054732801,      -2.948144487,      0.2359702167
          0,           0,          56,       -5.29341621,      -2.073568089,      -2.967816666,      0.2165980229
          0,           0,          57,      -5.314457998,      -2.092605501,      -2.987526743,      0.1970745902
          0,           0,          58,      -5.335683035,      -2.111848306,      -3.007281483,      0.1773927029
          0,           0,          59,      -5.357090828,      -2.131297632,      -3.027089642,      0.1575477891
          0,           0,          60,      -5.378680006,      -2.150953195,      -3.046962804,      0.1375366024
          0,           0,          61,      -5.400445961,      -2.170813326,      -3.066910396,      0.1173591393
          0,           0,          62,      -5.422387408,      -2.190875484,      -3.086947891,     0.09701361578
          0,           0,          63,      -5.444500789,      -2.211136244,      -3.107087025,     0.07650034128
          0,           0,          64,      -5.466787621,      -2.231592463,      -3.127335157,     0.05581574808
          0,           0,          65,      -5.489245645,      -2.252240105,      -3.147709309,     0.03496005162
          0,           0,          66,      -5.511869698,       -2.27307482,      -3.168222599,     0.01393600504
          0,           0,          67,      -5.534655349,      -2.294092669,      -3.188881785,   -0.007253964559
          0,           0,          68,       -5.55759911,       -2.31528958,      -3.209694707,    -0.02860761083
          0,           0,          69,      -5.580697872,      -2.336661342,      -3.230665262,    -0.05012268827
          0,           0,          70,      -5.603948259,      -2.358203609,      -3.251800767,    -0.07179653928
          0,           0,          71,      -5.627350418,      -2.379913022,      -3.273101855,     -0.0936293324
          0,           0,          72,      -5.650901618,      -2.401785953,      -3.294571351,     -0.1156185989
          0,           0,          73,      -5.674600991,      -2.423818729,       -3.31620982,      -0.137762864
          0,           0,          74,      -5.698445324,      -2.446007641,      -3.338018174,        -0.1600587
          0,           0,          75,      -5.722431489,      -2.468349271,      -3.359995397,     -0.1825030129
          0,           0,          76,      -5.746556474,      -2.490840317,      -3.382138003,     -0.2050926081
          0,           0,          77,      -5.770817556,      -2.513477583,      -3.404444362,      -0.227824579
          0,           0,          78,      -5.795210624,      -2.536258011,      -3.426911668,     -0.2506950707
          0,           0,          79,       -5.81973351,      -2.559178629,      -3.449535768,     -0.2737017458
          0,           0,          80,      -5.844383933,      -2.582236426,      -3.472313213,      -0.296841817
          0,           0,          81,      -5.869159297,      -2.605428622,       -3.49523579,      -0.320112262
          0,           0,          82,      -5.894057595,        -2.6287526,      -3.518302874,     -0.3435109315
          0,           0,          83,      -5.919074741,      -2.652205711,      -3.541511805,     -0.3670340689
          0,           0,          84,      -5.944207903,      -2.675785664,      -3.564857048,     -0.3906789057
          0,           0,          85,      -5.969455452,      -2.699490116,      -3.588335553,     -0.4144435932
          0,           0,          86,      -5.994815641,      -2.723316983,      -3.611945176,     -0.4383262127
          0,           0,          87,       -6.02028648,      -2.747264151,      -3.635682656,      -0.462324662
          0,           0,          88,      -6.045866917,      -2.771329713,      -3.659545528,      -0.486437624
          0,           0,          89,      -6.071556374,      -2.795511938,      -3.683531953,     -0.5106641742
          0,           0,          90,       -6.09735279,      -2.819808984,      -3.707641885,     -0.5350023283
          0,           0,          91,      -6.123255663,      -2.844219527,      -3.731874355,     -0.5594512006
          0,           0,          92,      -6.149261714,      -2.868741972,      -3.756228629,     -0.5840078368
          0,           0,          93,      -6.175369425,      -2.893374634,      -3.780703388,     -0.6086708433
          0,           0,          94,      -6.201577312,      -2.918116185,      -3.805299246,     -0.6334388998
          0,           0,          95,      -6.227883588,      -2.942965282,      -3.830014405,      -0.658310116
          0,           0,          96,       -6.25428874,      -2.967920817,      -3.854847641,     -0.6832847196
          0,           0,          97,      -6.280792921,      -2.992981652,      -3.879798613,     -0.7083628103
          0,           0,          98,      -6.307396385,      -3.018146763,      -3.904867666,     -0.7335441637
          0,           0,          99,      -6.334097562,         -3.043415,      -3.930053591,     -0.7588272618
          0,           0,         100,      -6.360894637,      -3.068785293,      -3.955355787,     -0.7842105575
          0,           0,         101,      -6.387786866,       -3.09425664,      -3.980772582,     -0.8096933741
          0,           0,         102,      -6.414775168,      -3.119828292,      -4.006304127,     -0.8352765195
          0,           0,         103,       -6.44185696,      -3.145499243,      -4.031950237,     -0.8609579101
          0,           0,         104,      -6.469030022,      -3.171268489,      -4.057708725,     -0.8867357514
          0,           0,         105,      -6.496293179,      -3.197135165,      -4.083576799,     -0.9126091387
          0,           0,         106,      -6.523645503,      -3.223098457,      -4.109551635,     -0.9385773877
          0,           0,         107,      -6.551085983,      -3.249157578,      -4.135632122,     -0.9646396661
          0,           0,         108,      -6.578613527,      -3.275311766,      -4.161816143,     -0.9907951675
          0,           0,         109,      -6.606226932,      -3.301560273,      -4.188101532,      -1.017043032
          0,           0,         110,      -6.633924929,      -3.327902364,      -4.214486091,      -1.043382364
          0,           0,         111,      -6.661706208,      -3.354337319,      -4.240967625,      -1.069812253
          0,           0,         112,       -6.68956919,      -3.380864353,      -4.267546836,      -1.096331681
          0,           0,         113,      -6.717512964,      -3.407482873,      -4.294216964,      -1.122939806
          0,           0,         114,      -6.745537004,      -3.434192271,      -4.320976637,      -1.149636395
          0,           0,         115,      -6.773640021,      -3.460991894,      -4.347825492,      -1.176420667
          0,           0,         116,      -6.801820387,      -3.487881182,      -4.374760593,      -1.203291503
          0,           0,         117,      -6.830076547,      -3.514859737,      -4.401779662,       -1.23024806
          0,           0,         118,      -6.858406603,      -3.541926441,      -4.428887108,      -1.257288864
          0,           0,         119,      -6.886809941,      -3.569080706,      -4.456078256,      -1.284413412
          0,           0,         120,      -6.915287883,      -3.596322164,      -4.483350947,      -1.311622675
          0,           0,         121,      -6.943840461,      -3.623650317,      -4.510704892,      -1.338916641
          0,           0,         122,      -6.972466672,      -3.651064575,      -4.538140479,      -1.366294498
          0,           0,         123,      -7.001164941,      -3.678564361,      -4.565657144,        -1.3937552
          0,           0,         124,      -7.029934724,      -3.706149164,      -4.593253856,      -1.421298348
          0,           0,         125,       -7.05877548,      -3.733818481,      -4.620930253,      -1.448923516
          0,           0,         126,      -7.087686699,      -3.761571803,      -4.648686055,      -1.476630328
          0,           0,         127,       -7.11666788,      -3.789408627,      -4.676521002,      -1.504418411
          0,           0,         128,      -7.145718512,      -3.817328454,      -4.704434902,      -1.532287371
          0,           0,         129,      -7.174838129,      -3.845330791,      -4.732427595,      -1.560236833
          0,           0,         130,      -7.204026294,      -3.873415156,      -4.760498896,      -1.588266441
          0,           0,         131,      -7.233282557,      -3.901581073,      -4.788648566,       -1.61637583
          0,           0,         132,      -7.262606444,       -3.92982807,      -4.816876295,      -1.644564615
