VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.820898765,      0.3805584116,      0.6962769605,       3.638729438
          0,           0,           1,      -2.254592305,     0.08578434853,      0.3040100797,       3.219935542
          0,           0,           2,      -2.500999315,     -0.1498798387,     0.04805330179,          2.976684
          0,           0,           3,      -2.670406397,     -0.3094306703,     -0.1507782153,        2.80804299
          0,           0,           4,      -2.830474707,     -0.4486174672,     -0.3253521842,       2.647414803
          0,           0,           5,      -2.994347185,     -0.5837884499,     -0.4916163551,       2.482591798
          0,           0,           6,      -3.151634476,      -0.711035327,     -0.6543453683,       2.324035392
          0,           0,           7,      -3.304372807,     -0.8316461396,     -0.8175389116,       2.169962228
          0,           0,           8,      -3.458018469,     -0.9441863795,     -0.9770422785,       2.015246087
          0,           0,           9,      -3.609811196,      -1.047651269,      -1.130151108,       1.862381045
          0,           0,          10,       -3.75816254,       -1.14254373,      -1.278606601,        1.71284981
          0,           0,          11,      -3.902611171,      -1.227888272,      -1.424249486,       1.566930742
          0,           0,          12,      -4.039957643,      -1.302158937,       -1.56764773,       1.427378313
          0,           0,          13,      -4.167712407,      -1.366486087,      -1.706085097,        1.29670504
          0,           0,          14,      -4.283929447,      -1.423657917,      -1.835455313,       1.177043938
          0,           0,          15,      -4.386012203,      -1.475745948,      -1.953419612,       1.071269783
          0,           0,          16,      -4.474461104,      -1.523805061,      -2.060539575,        0.97948148
          0,           0,          17,      -4.552525727,      -1.568435972,      -2.158291247,      0.8987630705
          0,           0,          18,      -4.622825517,      -1.610156497,      -2.246615293,       0.826298555
          0,           0,          19,      -4.686506932,      -1.649567016,      -2.324774754,      0.7605243479
          0,           0,          20,      -4.743860321,      -1.687387376,      -2.393734309,      0.7008639712
          0,           0,          21,       -4.79539814,      -1.724381215,      -2.456429473,      0.6468360243
          0,           0,          22,      -4.842488301,      -1.761156647,      -2.515815303,      0.5973320052
          0,           0,          23,      -4.886787276,      -1.797982059,      -2.573470494,      0.5509689716
          0,           0,          24,      -4.929420697,      -1.834767399,      -2.629707923,      0.5067759303
          0,           0,          25,      -4.970777256,      -1.871204821,      -2.684219235,      0.4643621537
          0,           0,          26,      -5.010768552,      -1.906953771,      -2.736570726,      0.4236859301
          0,           0,          27,      -5.049195732,      -1.941770249,      -2.786455579,      0.3847816081
          0,           0,          28,       -5.08603609,      -1.975548284,      -2.833925028,      0.3475683762
          0,           0,          29,      -5.121516599,      -2.008291635,      -2.879561454,      0.3118126801
          0,           0,          30,      -5.156002772,      -2.040052423,      -2.924347996,      0.2772139078
          0,           0,          31,      -5.189819655,      -2.070871414,      -2.969264753,      0.2435302015
          0,           0,          32,      -5.223120663,      -2.100747375,      -3.014874977,      0.2106728347
          0,           0,          33,      -5.255863061,      -2.129641952,      -3.061112579,      0.1787108183
          0,           0,          34,      -5.287868443,      -2.157507229,      -3.107293127,      0.1478044313
          0,           0,          35,      -5.318912304,       -2.18431632,       -3.15228532,      0.1181221269
          0,           0,          36,       -5.34880431,      -2.210081088,      -3.194782223,     0.08977972685
          0,           0,          37,      -5.377437608,      -2.234853601,      -3.233623638,     0.06281680935
          0,           0,          38,      -5.404807392,      -2.258715574,      -3.268100694,     0.03719675772
          0,           0,          39,      -5.431004892,      -2.281762428,      -3.298134822,     0.01281866928
          0,           0,          40,      -5.456191341,      -2.304088375,      -3.324266737,    -0.01046451832
          0,           0,          41,      -5.480561332,      -2.325775472,       -3.34746177,    -0.03282400718
          0,           0,          42,      -5.504302561,      -2.346888043,      -3.368833994,    -0.05442941908
          0,           0,          43,      -5.527564948,       -2.36747256,      -3.389403388,    -0.07542604754
          0,           0,          44,      -5.550446343,      -2.387561978,      -3.409948485,     -0.0959219602
          0,           0,          45,      -5.572992982,      -2.407182366,       -3.43095803,     -0.1159859686
          0,           0,          46,      -5.595212849,      -2.426359969,      -3.452649208,     -0.1356557632
          0,           0,          47,      -5.617094821,      -2.445126711,      -3.475021017,     -0.1549514786
