VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.402368203,      0.7863287579,       1.117633602,           4.05726
          0,           0,           1,      -1.881823429,      0.5121086869,      0.6797203872,       3.594553716
          0,           0,           2,      -2.129903771,       0.301006877,      0.4423684274,       3.352473234
          0,           0,           3,      -2.293473614,       0.153287814,      0.2479754497,       3.189171645
          0,           0,           4,      -2.450262049,     0.01710565908,     0.07156824236,       3.031478715
          0,           0,           5,      -2.606635913,      -0.111342363,    -0.09446674163,        2.87321307
          0,           0,           6,      -2.755308005,      -0.227474131,     -0.2550081368,       2.722752296
          0,           0,           7,      -2.900050621,     -0.3358263652,     -0.4129935159,       2.576966298
          0,           0,           8,      -3.045621219,     -0.4337929865,      -0.567013353,       2.431076519
          0,           0,           9,      -3.190658957,     -0.5209507232,     -0.7165034667,       2.286520615
          0,           0,          10,       -3.33142486,      -0.600129459,     -0.8607455085,       2.146629734
          0,           0,          11,      -3.466988483,     -0.6732445361,     -0.9987831469,       2.011941127
          0,           0,          12,       -3.59577055,     -0.7396459742,      -1.130122931,       1.884187385
          0,           0,          13,      -3.714231504,     -0.7989214584,      -1.253624329,       1.767251897
          0,           0,          14,      -3.820884774,     -0.8522856451,      -1.368600021,       1.663064605
          0,           0,          15,      -3.916810617,     -0.9010599273,      -1.474957221,       1.571033936
          0,           0,          16,      -4.002595884,     -0.9456865916,      -1.571957797,        1.49063375
          0,           0,          17,      -4.078094841,     -0.9863470616,      -1.658260977,       1.421421746
          0,           0,          18,      -4.144049156,       -1.02374722,      -1.733086463,       1.361678504
          0,           0,          19,      -4.202361387,      -1.059092502,       -1.79727317,       1.308604143
          0,           0,          20,      -4.255423547,      -1.093596719,      -1.853193031,       1.259452048
          0,           0,          21,      -4.305223441,      -1.128054396,      -1.903620858,       1.212472622
          0,           0,          22,      -4.352701261,      -1.162748592,       -1.95059459,       1.167221022
          0,           0,          23,       -4.39799278,      -1.197604517,      -1.995151537,       1.124008019
          0,           0,          24,      -4.441062766,      -1.232389181,      -2.037799585,        1.08314198
          0,           0,          25,      -4.482015275,      -1.266852958,      -2.078958692,       1.044589164
          0,           0,          26,      -4.521038986,       -1.30077949,      -2.119039787,       1.008090174
          0,           0,          27,      -4.558315503,      -1.333977002,      -2.158380508,      0.9733644224
          0,           0,          28,      -4.593987034,      -1.366259818,      -2.197204356,      0.9402125834
          0,           0,          29,      -4.628149126,      -1.397450135,      -2.235517183,      0.9085156942
          0,           0,          30,      -4.660840424,      -1.427399022,      -2.273059436,      0.8781983652
          0,           0,          31,      -4.692031669,      -1.456016203,      -2.309356075,      0.8492033621
          0,           0,          32,       -4.72164112,       -1.48328957,      -2.343864148,      0.8214823381
          0,           0,          33,       -4.74957872,      -1.509289087,      -2.376141137,      0.7949897178
          0,           0,          34,      -4.775811927,      -1.534148891,      -2.405965821,      0.7696702316
          0,           0,          35,      -4.800423498,      -1.558041722,      -2.433386603,      0.7454366988
          0,           0,          36,      -4.823622131,      -1.581147308,       -2.45868609,      0.7221628621
          0,           0,          37,      -4.845709365,      -1.603629231,       -2.48229439,      0.6996883666
          0,           0,          38,      -4.867013455,      -1.625616013,       -2.50469235,       0.677844061
          0,           0,          39,      -4.887834744,      -1.647204519,      -2.526328695,      0.6564657783
          0,           0,          40,      -4.908403485,      -1.668460704,      -2.547578471,      0.6354174034
          0,           0,          41,      -4.928868341,      -1.689428178,      -2.568720284,      0.6145989612
          0,           0,          42,      -4.949303118,      -1.710137221,       -2.58993714,      0.5939480823
          0,           0,          43,      -4.969731737,      -1.730612706,      -2.611329762,      0.5734295005
          0,           0,          44,      -4.990146625,      -1.750879775,      -2.632920495,      0.5530290039
          0,           0,          45,      -5.010531859,      -1.770967175,      -2.654687926,       0.532739618
          0,           0,          46,      -5.030879203,      -1.790907145,      -2.676585985,       0.512551217
          0,           0,          47,      -5.051190271,      -1.810738037,      -2.698535134,      0.4924503161
          0,           0,          48,      -5.071472063,      -1.830500967,      -2.720452714,      0.4724242128
          0,           0,          49,      -5.091749271,      -1.850237406,      -2.742275661,       0.452446631
          0,           0,          50,      -5.112052441,      -1.869988041,      -2.763952538,      0.4324871955
          0,           0,          51,      -5.132417877,      -1.889790853,      -2.785445063,      0.4125119001
          0,           0,          52,      -5.152882273,      -1.909680857,       -2.80674347,      0.3924850735
          0,           0,          53,      -5.173474416,      -1.929688387,      -2.827857467,      0.3723764948
          0,           0,          54,      -5.194219165,      -1.949839553,       -2.84880979,      0.3521591501
          0,           0,          55,      -5.215137425,      -1.970156224,      -2.869633374,      0.3318091092
          0,           0,          56,      -5.236246724,      -1.990655702,      -2.890370144,       0.311305264
          0,           0,          57,      -5.257559434,      -2.011350276,      -2.911065126,      0.2906315809
          0,           0,          58,      -5.279082673,      -2.032249283,      -2.931763908,      0.2697764134
          0,           0,          59,      -5.300822064,      -2.053359045,       -2.95250825,       0.248730151
          0,           0,          60,      -5.322781455,      -2.074682794,      -2.973336807,      0.2274852761
          0,           0,          61,      -5.344959333,      -2.096221706,      -2.994284779,      0.2060388684
          0,           0,          62,      -5.367353291,      -2.117975012,       -3.01538068,      0.1843894056
          0,           0,          63,      -5.389960536,      -2.139940416,       -3.03664851,      0.1625361905
          0,           0,          64,      -5.412777495,      -2.162114417,      -3.058108062,      0.1404796331
          0,           0,          65,       -5.43579618,      -2.184492517,      -3.079772681,      0.1182241372
          0,           0,          66,      -5.459011678,      -2.207069876,      -3.101649263,     0.09577225906
          0,           0,          67,        -5.4824187,      -2.229841182,      -3.123744419,     0.07312750924
          0,           0,          68,      -5.506010207,      -2.252800877,      -3.146060024,     0.05029500398
          0,           0,          69,      -5.529779341,      -2.275943174,       -3.16859432,     0.02728011874
          0,           0,          70,      -5.553719668,      -2.299262454,      -3.191344445,    0.004088329267
          0,           0,          71,      -5.577824137,      -2.322753284,      -3.214306491,    -0.01927440907
          0,           0,          72,      -5.602088683,      -2.346410478,      -3.237474407,    -0.04280422079
          0,           0,          73,      -5.626509469,      -2.370229051,      -3.260843376,    -0.06649707371
          0,           0,          74,      -5.651080836,      -2.394204203,      -3.284407902,     -0.0903474508
          0,           0,          75,      -5.675799627,        -2.4183315,      -3.308164198,     -0.1143515536
          0,           0,          76,      -5.700661937,       -2.44260694,      -3.332103234,        -0.1385052
          0,           0,          77,       -5.72566531,      -2.467026644,      -3.356215393,      -0.162805233
          0,           0,          78,      -5.750807035,      -2.491586774,      -3.380501865,     -0.1872481223
          0,           0,          79,      -5.776083068,      -2.516283655,       -3.40496187,     -0.2118294645
          0,           0,          80,      -5.801490392,      -2.541113917,      -3.429587972,     -0.2365456587
          0,           0,          81,      -5.827026219,      -2.566074384,      -3.454375083,     -0.2613933712
          0,           0,          82,      -5.852690377,      -2.591162054,      -3.479319414,      -0.286371107
          0,           0,          83,       -5.87847774,      -2.616373955,      -3.504422133,     -0.3114738148
          0,           0,          84,      -5.904389068,      -2.641707387,      -3.529674141,     -0.3367009029
          0,           0,          85,      -5.930425186,      -2.667159856,      -3.555073783,     -0.3620515749
          0,           0,          86,      -5.956583035,      -2.692728607,      -3.580620621,     -0.3875223681
          0,           0,          87,      -5.982859921,      -2.718411087,      -3.606312394,      -0.413110255
          0,           0,          88,      -6.009255122,      -2.744205059,      -3.632143983,     -0.4388136858
          0,           0,          89,       -6.03576742,       -2.77010828,      -3.658113348,     -0.4646307906
          0,           0,          90,      -6.062394383,      -2.796118445,      -3.684219456,     -0.4905588853
          0,           0,          91,      -6.089131335,      -2.822233057,      -3.710466947,     -0.5165932803
          0,           0,          92,      -6.115979831,      -2.848450384,      -3.736842948,     -0.5427349232
          0,           0,          93,      -6.142938488,      -2.874768557,      -3.763347066,     -0.5689821158
          0,           0,          94,       -6.17000312,       -2.90118565,      -3.789979651,     -0.5953308943
          0,           0,          95,      -6.197176009,      -2.927699856,      -3.816733016,     -0.6217822139
          0,           0,          96,      -6.224457182,      -2.954309449,      -3.843610118,     -0.6483353381
          0,           0,          97,      -6.251843058,      -2.981012496,      -3.870608925,     -0.6749870825
          0,           0,          98,      -6.279330873,      -3.007807204,      -3.897727064,     -0.7017348079
          0,           0,          99,      -6.306918913,      -3.034692069,      -3.924962565,     -0.7285768089
          0,           0,         100,      -6.334605956,      -3.061665597,      -3.952311225,     -0.7555118185
          0,           0,         101,      -6.362390304,       -3.08872621,      -3.979773637,     -0.7825381988
          0,           0,         102,      -6.390270447,      -3.115872472,      -4.007347354,     -0.8096544894
          0,           0,         103,      -6.418244974,      -3.143102991,      -4.035030156,     -0.8368592824
          0,           0,         104,      -6.446312515,       -3.17041642,        -4.0628199,     -0.8641512261
          0,           0,         105,      -6.474471644,      -3.197811465,      -4.090714545,     -0.8915289635
          0,           0,         106,      -6.502720844,      -3.225286872,      -4.118712144,      -0.918991103
          0,           0,         107,      -6.531058326,      -3.252841435,      -4.146810746,     -0.9465360863
          0,           0,         108,      -6.559482983,      -3.280474011,      -4.175008513,     -0.9741628763
          0,           0,         109,      -6.587993575,      -3.308183499,      -4.203303591,      -1.001870361
          0,           0,         110,      -6.616588763,      -3.335968834,       -4.23169416,      -1.029657374
          0,           0,         111,      -6.645267185,      -3.363828985,      -4.260178497,      -1.057522754
          0,           0,         112,      -6.674027502,      -3.391762959,      -4.288754897,       -1.08546537
          0,           0,         113,      -6.702868403,      -3.419769806,      -4.317421656,      -1.113484135
          0,           0,         114,      -6.731788682,       -3.44784862,      -4.346176821,      -1.141578032
          0,           0,         115,      -6.760787117,      -3.475998527,        -4.3750188,      -1.169746054
          0,           0,         116,      -6.789862363,      -3.504218673,       -4.40394644,      -1.197987181
          0,           0,         117,      -6.819014058,      -3.532508079,      -4.432958412,      -1.226301039
          0,           0,         118,      -6.848240229,      -3.560866131,      -4.462051183,      -1.254686091
          0,           0,         119,      -6.877539449,      -3.589292143,      -4.491223813,      -1.283141329
          0,           0,         120,      -6.906910434,      -3.617785345,      -4.520475492,      -1.311665799
          0,           0,         121,      -6.936352194,      -3.646345018,      -4.549804962,      -1.340258774
          0,           0,         122,      -6.965863662,      -3.674970478,      -4.579210751,      -1.368919494
          0,           0,         123,      -6.995443666,      -3.703661057,      -4.608691256,      -1.397647111
          0,           0,         124,      -7.025091099,      -3.732416105,      -4.638244847,      -1.426440818
          0,           0,         125,      -7.054804928,      -3.761234994,      -4.667869461,      -1.455299867
          0,           0,         126,      -7.084584193,      -3.790117127,      -4.697563241,      -1.484223579
          0,           0,         127,      -7.114428133,      -3.819061998,      -4.727324981,      -1.513211374
          0,           0,         128,      -7.144335083,      -3.848068911,      -4.757154448,      -1.542262062
          0,           0,         129,      -7.174304661,      -3.877137346,      -4.787050295,      -1.571375423
          0,           0,         130,       -7.20433625,      -3.906266774,      -4.817010729,      -1.600551037
          0,           0,         131,      -7.234428119,      -3.935456697,      -4.847033835,      -1.629787749
          0,           0,         132,      -7.264579401,      -3.964706611,       -4.87711845,      -1.659085014
          0,           0,         133,       -7.29478913,      -3.994016007,      -4.907263241,      -1.688442177
          0,           0,         134,      -7.325056338,      -4.023384381,      -4.937466721,       -1.71785858
          0,           0,         135,      -7.355380157,      -4.052811243,      -4.967727518,      -1.747333632
          0,           0,         136,      -7.385759704,       -4.08229612,      -4.998044296,      -1.776866745
          0,           0,         137,      -7.416194093,      -4.111838541,      -5.028415785,      -1.806457326
          0,           0,         138,      -7.446682442,      -4.141438041,      -5.058840669,      -1.836104784
          0,           0,         139,      -7.477223867,      -4.171094165,       -5.08931762,       -1.86580854
          0,           0,         140,      -7.507817515,      -4.200806458,      -5.119845307,      -1.895568033
          0,           0,         141,      -7.538462551,      -4.230574475,      -5.150422417,      -1.925382712
          0,           0,         142,      -7.569158157,      -4.260397769,      -5.181047662,      -1.955252037
          0,           0,         143,      -7.599903555,      -4.290275903,      -5.211719761,       -1.98517548
          0,           0,         144,      -7.630697919,      -4.320208441,      -5.242437438,      -2.015152488
          0,           0,         145,      -7.661540428,      -4.350194948,      -5.273199442,      -2.045182516
          0,           0,         146,      -7.692430313,      -4.380234992,      -5.304004534,      -2.075265048
          0,           0,         147,       -7.72336683,      -4.410328147,      -5.334851489,      -2.105399578
          0,           0,         148,       -7.75434924,      -4.440473986,      -5.365739095,      -2.135585601
          0,           0,         149,      -7.785376817,      -4.470672086,      -5.396666154,      -2.165822618
          0,           0,         150,      -7.816448845,      -4.500922027,      -5.427631483,      -2.196110135
          0,           0,         151,       -7.84756463,      -4.531223391,      -5.458633913,      -2.226447667
          0,           0,         152,      -7.878723489,      -4.561575762,      -5.489672287,      -2.256834734
          0,           0,         153,      -7.909924744,      -4.591978724,      -5.520745469,      -2.287270856
