VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.402892572,      0.8565460749,       1.092404745,       4.056735631
          0,           0,           1,      -1.869436082,      0.5042062524,      0.6806135952,       3.610996409
          0,           0,           2,      -2.115919382,      0.2903960971,      0.4394903828,       3.371498174
          0,           0,           3,      -2.279123949,      0.1361710309,      0.2478930137,       3.207567127
          0,           0,           4,      -2.432198217,   -0.002500745021,     0.07148894245,       3.051713981
          0,           0,           5,      -2.586976519,     -0.1351214747,    -0.09792814698,       2.893994096
          0,           0,           6,      -2.737430577,     -0.2579463768,     -0.2583911303,        2.74111602
          0,           0,           7,      -2.884824458,     -0.3735655718,     -0.4157334495,       2.591956554
          0,           0,           8,      -3.031774152,     -0.4788010839,      -0.571329124,       2.443850457
          0,           0,           9,      -3.178121355,     -0.5737594958,     -0.7226765473,       2.297057605
          0,           0,          10,      -3.321637927,     -0.6607426248,     -0.8692451573,       2.153458328
          0,           0,          11,      -3.460626508,     -0.7398029876,       -1.01126096,       2.014099149
          0,           0,          12,       -3.59373408,     -0.8093894404,       -1.14768864,        1.88020257
          0,           0,          13,      -3.718440945,     -0.8693411353,      -1.276100533,       1.754902283
          0,           0,          14,      -3.831223823,     -0.9215980876,      -1.394854778,       1.642377227
          0,           0,          15,      -3.929815709,     -0.9685546726,       -1.50391378,       1.544871854
          0,           0,          16,      -4.015172868,      -1.011777125,      -1.603177881,       1.461089894
          0,           0,          17,      -4.089300576,       -1.05194757,      -1.692049761,       1.388928274
          0,           0,          18,      -4.153267947,      -1.089490032,        -1.7706964,       1.327218156
          0,           0,          19,      -4.208650061,      -1.125096975,      -1.840246008,       1.274011082
          0,           0,          20,      -4.258401309,      -1.159685324,      -1.902215453,       1.225974859
          0,           0,          21,      -4.305381667,      -1.193991334,      -1.958233787,       1.180156501
          0,           0,          22,      -4.350957357,      -1.228293915,      -2.009924177,       1.135382639
          0,           0,          23,      -4.395109433,      -1.262449805,      -2.058670828,       1.091990295
          0,           0,          24,      -4.437287384,      -1.296120438,      -2.105435828,       1.050779609
          0,           0,          25,      -4.477114006,      -1.329003846,      -2.150677531,       1.012177688
          0,           0,          26,      -4.514651121,      -1.360953704,      -2.194459542,      0.9759900443
          0,           0,          27,      -4.550273954,      -1.391972176,      -2.236671651,        0.94165153
          0,           0,          28,      -4.584392944,      -1.422128192,      -2.277244439,      0.9086250415
          0,           0,          29,      -4.617228042,      -1.451472765,      -2.316258913,      0.8766620418
          0,           0,          30,      -4.648774606,      -1.479993884,      -2.353869312,      0.8458056198
          0,           0,          31,      -4.678897144,      -1.507618754,      -2.390146324,      0.8162455825
          0,           0,          32,      -4.707440309,       -1.53424539,      -2.425014879,      0.7881636643
          0,           0,          33,      -4.734296407,      -1.559784287,      -2.458304999,      0.7616505777
          0,           0,          34,      -4.759437531,      -1.584190383,      -2.489840163,      0.7366836688
          0,           0,          35,      -4.782927691,      -1.607475899,      -2.519478782,      0.7131457467
          0,           0,          36,      -4.804925885,      -1.629707661,        -2.5471274,      0.6908521762
          0,           0,          37,      -4.825672698,      -1.650993045,      -2.572746807,      0.6695802161
          0,           0,          38,        -4.8454621,       -1.67146134,      -2.596389325,      0.6490931365
          0,           0,          39,      -4.864603114,        -1.6912486,      -2.618231869,        0.62916199
          0,           0,          40,      -4.883381305,      -1.710485215,      -2.638574926,      0.6095844631
          0,           0,          41,      -4.902030564,      -1.729289193,      -2.657798686,       0.590197994
          0,           0,          42,      -4.920719661,      -1.747762774,      -2.676290357,      0.5708849139
          0,           0,          43,      -4.939548863,      -1.765992162,      -2.694394565,      0.5515730244
          0,           0,          44,      -4.958559189,      -1.784049807,      -2.712375461,      0.5322292308
          0,           0,          45,        -4.9777487,      -1.801996462,        -2.7304055,      0.5128473703
          0,           0,          46,      -4.997087197,      -1.819883345,      -2.748575444,      0.4934398009
          0,           0,          47,      -5.016533231,      -1.837753968,      -2.766908015,      0.4740257102
          0,           0,          48,      -5.036048909,      -1.855645867,      -2.785382389,      0.4546216328
          0,           0,          49,      -5.055604956,       -1.87359038,      -2.803955331,      0.4352378635
          0,           0,          50,      -5.075185954,       -1.89161286,      -2.822573491,      0.4158755007
          0,           0,          51,      -5.094787511,      -1.909733521,       -2.84118975,      0.3965286215
          0,           0,          52,      -5.114417035,      -1.927967413,      -2.859769436,      0.3771826784
          0,           0,          53,      -5.134086425,      -1.946324691,      -2.878294209,      0.3578206777
          0,           0,          54,      -5.153810216,      -1.964811437,       -2.89676143,      0.3384242299
          0,           0,          55,      -5.173600514,      -1.983430215,      -2.915180896,      0.3189779406
          0,           0,          56,      -5.193467516,      -2.002180855,      -2.933572212,      0.2994684926
          0,           0,          57,       -5.21341852,       -2.02106118,      -2.951962654,      0.2798860387
          0,           0,          58,      -5.233457635,      -2.040067616,      -2.970379274,        0.26022451
          0,           0,          59,      -5.253588557,      -2.059195701,      -2.988843701,      0.2404788543
          0,           0,          60,      -5.273813447,      -2.078440395,      -3.007381855,      0.2206461846
          0,           0,          61,       -5.29413213,       -2.09779615,      -3.026013596,      0.2007264484
