VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.501894101,      0.7244905124,       1.008835352,       3.957734102
          0,           0,           1,      -1.971474158,      0.4200874131,      0.5932206905,       3.503341187
          0,           0,           2,      -2.219985006,      0.2037893202,       0.349841296,       3.260254832
          0,           0,           3,      -2.382453502,     0.05321358835,       0.149343521,       3.098250412
          0,           0,           4,       -2.54368119,    -0.08133497465,    -0.02986992181,       2.936673178
          0,           0,           5,      -2.699351051,     -0.2095769764,     -0.1957390942,         2.7792294
          0,           0,           6,      -2.850738332,     -0.3260276405,     -0.3528126416,       2.626298502
          0,           0,           7,      -2.999569625,     -0.4312294422,     -0.5082128603,       2.476776008
          0,           0,           8,      -3.147181106,     -0.5237962775,     -0.6613313602,       2.329303718
          0,           0,           9,       -3.29361103,     -0.6047618723,     -0.8112369765,       2.183996126
          0,           0,          10,      -3.438236466,     -0.6782025982,     -0.9590595887,       2.041567254
          0,           0,          11,      -3.577989649,     -0.7460839284,      -1.102858147,       1.904758377
          0,           0,          12,      -3.707899512,     -0.8077808769,      -1.237840074,        1.77835968
          0,           0,          13,      -3.825431642,     -0.8629407697,      -1.362224262,       1.665448961
          0,           0,          14,      -3.931111806,     -0.9125200359,      -1.477667167,       1.566020496
          0,           0,          15,      -4.025074637,     -0.9578087635,      -1.584689991,       1.479713343
          0,           0,          16,      -4.107424072,     -0.9995906403,      -1.681036128,       1.405883244
          0,           0,          17,      -4.179845748,      -1.038360614,      -1.763842291,       1.342301282
          0,           0,          18,      -4.243976089,      -1.074829547,      -1.832781933,       1.286364621
          0,           0,          19,      -4.300368435,      -1.110002469,      -1.890831689,       1.236197274
          0,           0,          20,      -4.349763086,      -1.144889181,      -1.941962949,       1.190301346
          0,           0,          21,      -4.393980985,      -1.180160122,      -1.989106243,       1.147234925
          0,           0,          22,      -4.435244223,      -1.216002399,      -2.033824279,       1.105830687
          0,           0,          23,      -4.475143892,      -1.252207472,      -2.076817931,        1.06544895
          0,           0,          24,      -4.514363505,      -1.288369739,      -2.118510778,       1.025916451
          0,           0,          25,      -4.553048889,      -1.324083791,      -2.159374254,      0.9872555485
          0,           0,          26,      -4.591174985,      -1.359051463,      -2.199908087,      0.9495150116
          0,           0,          27,      -4.628701263,      -1.393088531,      -2.240426165,      0.9127632501
          0,           0,          28,      -4.665598195,      -1.426087613,      -2.280902861,      0.8770956266
          0,           0,          29,       -4.70186047,      -1.457982901,       -2.32101209,      0.8425905986
          0,           0,          30,       -4.73748843,      -1.488738496,      -2.360297603,      0.8092590218
          0,           0,          31,       -4.77242611,      -1.518358885,      -2.398361963,       0.777048011
          0,           0,          32,      -4.806512284,      -1.546902013,      -2.434956592,      0.7458873604
          0,           0,          33,      -4.839502978,      -1.574475933,      -2.469973275,      0.7157321628
          0,           0,          34,      -4.871156398,      -1.601224558,      -2.503349473,      0.6865655679
          0,           0,          35,      -4.901335103,      -1.627304921,      -2.535013999,      0.6583711346
          0,           0,          36,      -4.930062246,      -1.652859709,       -2.56490853,      0.6311053898
          0,           0,          37,      -4.957507883,      -1.678004085,      -2.593049396,      0.6046835026
          0,           0,          38,      -4.983922839,      -1.702817694,       -2.61957619,       0.578991412
          0,           0,          39,      -5.009560478,      -1.727346104,      -2.644751866,      0.5539089882
          0,           0,          40,      -5.034619925,      -1.751607814,      -2.668906837,      0.5293318893
          0,           0,          41,      -5.059226125,      -1.775603493,       -2.69236417,       0.505183073
          0,           0,          42,      -5.083437484,      -1.799325388,      -2.715383606,      0.4814125963
          0,           0,          43,      -5.107266532,      -1.822765165,      -2.738136717,      0.4579924663
          0,           0,          44,      -5.130707604,      -1.845918542,       -2.76071616,      0.4349038188
          0,           0,          45,       -5.15375406,      -1.868787904,      -2.783153864,      0.4121303472
          0,           0,          46,      -5.176408641,      -1.891383074,      -2.805450673,       0.389653134
          0,           0,          47,      -5.198686543,       -1.91372101,      -2.827599063,      0.3674490854
          0,           0,          48,      -5.220615824,      -1.935824755,      -2.849594978,      0.3454903504
          0,           0,          49,      -5.242234022,       -1.95772212,      -2.871443091,      0.3237457693
          0,           0,          50,      -5.263585829,      -1.979444339,       -2.89315531,      0.3021819679
          0,           0,          51,      -5.284719973,      -2.001024886,      -2.914749296,      0.2807645928
          0,           0,          52,      -5.305686054,      -2.022498082,       -2.93624373,      0.2594596074
          0,           0,          53,      -5.326534182,      -2.043898359,      -2.957659414,      0.2382333869
          0,           0,          54,      -5.347312789,       -2.06525894,      -2.979014606,      0.2170532952
          0,           0,          55,      -5.368066123,      -2.086611541,      -3.000328959,      0.1958887583
          0,           0,          56,      -5.388835559,      -2.107985439,      -3.021621547,      0.1747107955
          0,           0,          57,      -5.409658893,      -2.129407455,      -3.042912644,      0.1534919234
          0,           0,          58,      -5.430569858,      -2.150900675,      -3.064224801,      0.1322073066
          0,           0,          59,      -5.451597199,       -2.17248557,      -3.085580256,      0.1108345372
          0,           0,          60,      -5.472766136,      -2.194179367,      -3.107002128,     0.08935310075
          0,           0,          61,      -5.494096269,      -2.215996415,      -3.128513236,     0.06774616087
          0,           0,          62,      -5.515604265,       -2.23794838,      -3.150136214,     0.04599889577
          0,           0,          63,      -5.537303784,      -2.260044365,      -3.171890589,      0.0240987514
          0,           0,          64,      -5.559202139,      -2.282291026,      -3.193797605,    0.002037479539
          0,           0,          65,      -5.581303484,      -2.304692893,      -3.215874138,    -0.02019086441
          0,           0,          66,      -5.603612651,      -2.327252917,      -3.238128577,    -0.04259184769
          0,           0,          67,       -5.62612941,      -2.349972273,      -3.260572024,    -0.06516748914
          0,           0,          68,      -5.648852516,       -2.37285114,      -3.283211794,    -0.08791878059
          0,           0,          69,      -5.671778317,      -2.395887882,       -3.30605036,     -0.1108443526
          0,           0,          70,      -5.694904186,      -2.419080271,      -3.329091857,     -0.1339437343
          0,           0,          71,      -5.718225651,      -2.442425366,      -3.352336659,     -0.1572143378
          0,           0,          72,      -5.741736411,        -2.4659196,      -3.375782929,     -0.1806522103
          0,           0,          73,      -5.765429698,      -2.489558828,      -3.399427749,     -0.2042528301
          0,           0,          74,      -5.789298962,      -2.513338629,       -3.42326736,      -0.228011662
