VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437800556,      0.8031506905,       1.067965086,       4.021827647
          0,           0,           1,      -1.888578158,      0.4657065076,      0.6584085728,       3.589339155
          0,           0,           2,      -2.131447937,      0.2502102307,        0.41994644,       3.351482117
          0,           0,           3,      -2.297969941,     0.09446855939,      0.2232469023,       3.185399107
          0,           0,           4,      -2.459872543,    -0.04832467326,     0.04607722222,       3.023048907
          0,           0,           5,      -2.619406236,     -0.1816066098,     -0.1201543161,       2.861812745
          0,           0,           6,      -2.769381793,     -0.3045178099,     -0.2803436011,       2.709721972
          0,           0,           7,      -2.916887313,     -0.4221714241,     -0.4397810925,       2.560630219
          0,           0,           8,      -3.065599293,      -0.529221303,     -0.5964712378,       2.410790446
          0,           0,           9,      -3.214973032,     -0.6245086154,     -0.7479438511,       2.260435299
          0,           0,          10,      -3.363254879,     -0.7111977276,     -0.8946616185,       2.111017228
          0,           0,          11,      -3.506773492,     -0.7907829943,      -1.037950796,       1.965931752
          0,           0,          12,      -3.641458491,     -0.8619293682,      -1.176493863,       1.829231214
          0,           0,          13,      -3.764644166,     -0.9239436055,       -1.30788712,       1.703856942
          0,           0,          14,      -3.876272537,     -0.9783819882,      -1.431534767,       1.590292999
          0,           0,          15,      -3.977346559,      -1.027336434,      -1.548444179,        1.48794343
          0,           0,          16,      -4.067077193,      -1.071874277,      -1.658467508,       1.397902798
          0,           0,          17,      -4.143988825,      -1.112386002,      -1.758878866,       1.321782968
          0,           0,          18,      -4.209175137,      -1.149628063,      -1.845992868,       1.258207999
          0,           0,          19,       -4.26618369,      -1.184950538,      -1.918462175,       1.202902408
          0,           0,          20,      -4.318336109,      -1.219772839,      -1.979154498,       1.151813951
          0,           0,          21,      -4.367297433,      -1.255015948,      -2.033163285,       1.102970065
          0,           0,          22,      -4.413515222,      -1.290894452,      -2.084307136,       1.056147419
          0,           0,          23,      -4.457208878,      -1.327061883,      -2.134056103,       1.011694145
          0,           0,          24,      -4.498874067,      -1.362926119,      -2.182746258,       0.969632861
          0,           0,          25,      -4.539107742,      -1.397942745,      -2.230714519,      0.9295566431
          0,           0,          26,      -4.578203364,        -1.4317597,      -2.278340135,      0.8910497554
          0,           0,          27,      -4.616009928,      -1.464215075,      -2.325674899,      0.8540342938
          0,           0,          28,      -4.652132961,      -1.495261558,      -2.372387077,      0.8187625167
          0,           0,          29,      -4.686242739,       -1.52490133,      -2.417983315,      0.7855538484
          0,           0,          30,       -4.71824986,      -1.553155626,      -2.461948822,      0.7545607178
          0,           0,          31,      -4.748289163,      -1.580064708,      -2.503749594,      0.7257038476
          0,           0,          32,      -4.776605601,      -1.605699047,      -2.542819899,       0.698740713
          0,           0,          33,      -4.803451867,      -1.630167208,       -2.57865157,      0.6733715524
          0,           0,          34,      -4.829046629,      -1.653611458,       -2.61092521,      0.6493098464
          0,           0,          35,      -4.853581793,      -1.676193434,      -2.639590298,      0.6263039176
          0,           0,          36,      -4.877238852,       -1.69807654,      -2.664879996,      0.6041348116
          0,           0,          37,      -4.900197191,      -1.719407692,      -2.687251383,      0.5826129532
          0,           0,          38,      -4.922629341,      -1.740309415,      -2.707299953,      0.5615732595
          0,           0,          39,      -4.944689036,      -1.760875684,      -2.725659084,      0.5408793539
          0,           0,          40,      -4.966501465,      -1.781174713,      -2.742925649,      0.5204250699
          0,           0,          41,      -4.988158163,      -1.801253612,      -2.759596525,       0.500134681
          0,           0,          42,      -5.009715663,      -1.821144107,      -2.776048145,       0.479961664
          0,           0,          43,      -5.031202562,      -1.840868376,      -2.792539387,      0.4598811898
          0,           0,          44,      -5.052625774,      -1.860444026,        -2.8092298,      0.4398844423
          0,           0,          45,      -5.073980266,      -1.879887897,      -2.826201549,       0.419971429
          0,           0,          46,      -5.095256822,      -1.899218288,      -2.843476114,      0.4001444068
          0,           0,          47,      -5.116448488,      -1.918455732,      -2.861032957,      0.3804034643
          0,           0,          48,      -5.137554654,      -1.937623341,      -2.878826552,      0.3607433376
          0,           0,          49,      -5.158582808,      -1.956745829,       -2.89679936,      0.3411523359
          0,           0,          50,      -5.179548489,      -1.975848968,      -2.914895514,      0.3216124062
