VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.423687729,        0.84822049,        1.06654964,       4.035940474
          0,           0,           1,      -1.882130677,      0.4827517142,      0.6704178513,       3.596622972
          0,           0,           2,      -2.127924128,      0.2672631594,      0.4308998145,       3.357012746
          0,           0,           3,      -2.287513291,      0.1126322811,      0.2340528474,       3.196881403
          0,           0,           4,      -2.444537549,    -0.03031951684,     0.05285370975,       3.038294924
          0,           0,           5,       -2.60283925,     -0.1632515051,      -0.116873891,       2.877944446
          0,           0,           6,      -2.758051251,     -0.2868633864,     -0.2764488932,        2.72097125
          0,           0,           7,      -2.910056654,     -0.4050756016,     -0.4346096412,        2.56765306
          0,           0,           8,      -3.062851819,      -0.514797474,     -0.5906820915,       2.413954134
          0,           0,           9,      -3.214565046,     -0.6142419479,     -0.7423413948,       2.261330812
          0,           0,          10,      -3.361783452,     -0.7045596428,     -0.8899955438,       2.113035143
          0,           0,          11,      -3.503311671,     -0.7859794161,       -1.03417826,       1.970508876
          0,           0,          12,      -3.636502466,     -0.8575947226,      -1.174944807,       1.836627016
          0,           0,          13,      -3.759144484,       -0.91982642,      -1.309411746,       1.713831543
          0,           0,          14,      -3.871740372,     -0.9744768582,      -1.433626563,       1.601846787
          0,           0,          15,      -3.974940982,       -1.02347816,      -1.547489535,       1.500138249
          0,           0,          16,      -4.067727023,      -1.068124221,      -1.652923506,       1.409744671
          0,           0,          17,      -4.148989395,       -1.10925706,      -1.749159112,       1.331675987
          0,           0,          18,      -4.219527519,      -1.147664172,        -1.8336861,       1.264839512
          0,           0,          19,      -4.281610553,      -1.184272977,      -1.905863757,       1.206463208
          0,           0,          20,      -4.337448316,      -1.220022787,      -1.967888422,        1.15376597
          0,           0,          21,      -4.388474244,      -1.255630116,      -2.023289048,       1.104940688
          0,           0,          22,      -4.435670907,      -1.291400599,       -2.07522073,        1.05904005
          0,           0,          23,      -4.479944136,      -1.327220783,      -2.125520492,       1.015553349
          0,           0,          24,      -4.522067644,      -1.362710941,      -2.174771184,      0.9741597445
          0,           0,          25,      -4.562458919,      -1.397440004,      -2.223038517,      0.9346868219
          0,           0,          26,      -4.601159383,      -1.431077227,      -2.270425102,      0.8970780238
          0,           0,          27,      -4.637973828,      -1.463445828,      -2.317117842,      0.8613881997
          0,           0,          28,      -4.672728256,      -1.494490689,      -2.363201799,      0.8276721548
          0,           0,          29,      -4.705445069,      -1.524222014,      -2.408538143,      0.7958910181
          0,           0,          30,      -4.736366816,      -1.552664699,      -2.452768121,      0.7658612277
          0,           0,          31,      -4.765799047,      -1.579833239,      -2.495380477,      0.7373314256
          0,           0,          32,      -4.793923859,      -1.605732931,      -2.535817735,      0.7101071082
          0,           0,          33,      -4.820737417,      -1.630378505,      -2.573592611,      0.6841107052
          0,           0,          34,      -4.846127613,      -1.653815437,      -2.608314752,      0.6593505007
          0,           0,          35,      -4.870013232,      -1.676129982,      -2.639702504,      0.6358354751
          0,           0,          36,      -4.892437851,      -1.697447224,      -2.667597276,      0.6135127866
          0,           0,          37,      -4.913581962,      -1.717914596,      -2.692033266,      0.5922519632
          0,           0,          38,      -4.933710702,      -1.737682471,      -2.713299459,      0.5718691476
          0,           0,          39,      -4.953102608,      -1.756887535,      -2.731934382,      0.5521673882
          0,           0,          40,      -4.971995357,      -1.775643009,      -2.748626378,       0.532970312
          0,           0,          41,      -4.990561943,      -1.794036421,      -2.764085889,      0.5141410905
          0,           0,          42,      -5.008911904,      -1.812133555,      -2.778933119,      0.4955851121
          0,           0,          43,      -5.027108059,       -1.82998523,      -2.793638727,      0.4772418317
          0,           0,          44,      -5.045184572,      -1.847633657,      -2.808511788,      0.4590739018
          0,           0,          45,      -5.063164091,      -1.865118523,      -2.823708478,       0.441054861
          0,           0,          46,      -5.081068919,      -1.882479771,      -2.839275437,      0.4231608962
          0,           0,          47,      -5.098925122,      -1.899758463,      -2.855187597,      0.4053666004
          0,           0,          48,      -5.116763466,      -1.916996307,      -2.871382611,      0.3876434261
          0,           0,          49,      -5.134619768,      -1.934234103,       -2.88778726,      0.3699582343
          0,           0,          50,      -5.152530462,      -1.951509706,       -2.90433458,      0.3522766253
          0,           0,          51,      -5.170531596,      -1.968856633,      -2.920979774,      0.3345638013
          0,           0,          52,      -5.188654408,      -1.986303179,      -2.937692965,      0.3167877844
          0,           0,          53,      -5.206924287,      -2.003872196,      -2.954464331,      0.2989210905
          0,           0,          54,      -5.225359926,      -2.021580916,      -2.971298861,      0.2809415534
          0,           0,          55,      -5.243974995,      -2.039441726,      -2.988209434,      0.2628315352
          0,           0,          56,      -5.262777861,      -2.057462599,      -3.005212128,      0.2445781604
          0,           0,          57,       -5.28177302,      -2.075648563,      -3.022326081,      0.2261723276
          0,           0,          58,      -5.300960991,      -2.094001491,      -3.039567688,      0.2076093182
          0,           0,          59,      -5.320339953,      -2.112521614,      -3.056952484,      0.1888866744
          0,           0,          60,      -5.339908806,      -2.131207846,      -3.074487817,      0.1700020258
          0,           0,          61,      -5.359664286,      -2.150058177,      -3.092180723,      0.1509555893
          0,           0,          62,      -5.379601749,      -2.169069937,       -3.11003879,      0.1317491036
          0,           0,          63,      -5.399716475,      -2.188240029,      -3.128067107,      0.1123847175
          0,           0,          64,      -5.420003995,      -2.207565451,      -3.146269356,     0.09286476371
          0,           0,          65,      -5.440458582,      -2.227043007,      -3.164646743,     0.07319287989
          0,           0,          66,      -5.461076127,      -2.246669711,      -3.183201194,     0.05337145855
          0,           0,          67,      -5.481851954,      -2.266442634,      -3.201931866,       0.033403729
          0,           0,          68,      -5.502784191,      -2.286359251,      -3.220838368,     0.01329076405
          0,           0,          69,      -5.523868693,      -2.306417192,       -3.23992225,   -0.006964644582
          0,           0,          70,      -5.545102175,      -2.326614228,      -3.259182123,    -0.02736015548
          0,           0,          71,      -5.566480731,      -2.346948173,      -3.278618323,    -0.04789266361
          0,           0,          72,      -5.588003139,      -2.367417489,       -3.29822549,    -0.06856145698
          0,           0,          73,      -5.609664761,      -2.388020247,      -3.318001347,    -0.08936277881
          0,           0,          74,      -5.631464539,      -2.408754765,      -3.337942439,     -0.1102957243
          0,           0,          75,      -5.653401091,      -2.429619759,      -3.358048567,     -0.1313593164
          0,           0,          76,      -5.675475337,      -2.450613975,        -3.3783149,     -0.1525542687
          0,           0,          77,      -5.697684027,      -2.471736039,      -3.398744413,     -0.1738777061
          0,           0,          78,      -5.720024264,      -2.492984532,        -3.4193347,     -0.1953272687
          0,           0,          79,      -5.742494313,      -2.514358294,      -3.440081683,     -0.2169014271
          0,           0,          80,      -5.765093173,      -2.535855983,      -3.460981962,     -0.2385991941
          0,           0,          81,      -5.787819728,      -2.557476425,      -3.482034011,      -0.260419532
          0,           0,          82,      -5.810672752,      -2.579218466,      -3.503236263,      -0.282361277
          0,           0,          83,      -5.833650528,      -2.601080904,      -3.524586515,     -0.3044228927
          0,           0,          84,      -5.856751439,      -2.623062485,      -3.546084143,     -0.3266028549
          0,           0,          85,      -5.879974274,      -2.645162128,      -3.567727146,     -0.3489000721
          0,           0,          86,        -5.9033185,      -2.667378654,      -3.589508004,      -0.371314045
          0,           0,          87,      -5.926782724,      -2.689711091,      -3.611430023,     -0.3938434224
          0,           0,          88,      -5.950365006,      -2.712158247,      -3.633491487,     -0.4164865032
          0,           0,          89,      -5.974064634,      -2.734718854,      -3.655686981,     -0.4392428504
          0,           0,          90,      -5.997877447,      -2.757391741,      -3.678020022,     -0.4621085745
          0,           0,          91,      -6.021802964,      -2.780175971,      -3.700486166,     -0.4850831201
          0,           0,          92,      -6.045841455,      -2.803070691,      -3.723082925,     -0.5081666794
          0,           0,          93,      -6.069991794,      -2.826074958,      -3.745808555,      -0.531358276
          0,           0,          94,      -6.094252213,      -2.849187721,      -3.768664217,     -0.5546563706
          0,           0,          95,      -6.118620693,      -2.872408102,      -3.791648185,     -0.5780592025
          0,           0,          96,      -6.143097059,      -2.895735394,      -3.814754343,       -0.60156672
          0,           0,          97,      -6.167681785,      -2.919168811,      -3.837985238,     -0.6251792405
          0,           0,          98,      -6.192373037,      -2.942707369,      -3.861336626,      -0.648895163
          0,           0,          99,      -6.217169798,      -2.966350232,      -3.884808873,     -0.6727135504
          0,           0,         100,      -6.242071181,      -2.990096681,      -3.908402852,     -0.6966335477
          0,           0,         101,       -6.26707611,      -3.013945963,      -3.932110136,     -0.7206545724
