VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.604454972,      0.6164283286,      0.9091644838,       3.855173231
          0,           0,           1,      -2.070928915,      0.3015406771,      0.4865317118,        3.40481712
          0,           0,           2,      -2.315172186,     0.08407557182,      0.2470067341,       3.164957204
          0,           0,           3,      -2.479046861,    -0.06336059945,     0.04981976913,       3.001305699
          0,           0,           4,      -2.640429862,     -0.1982527722,     -0.1314013946,       2.839692071
          0,           0,           5,      -2.801514169,     -0.3266696757,     -0.3018265015,       2.677428644
          0,           0,           6,      -2.953545759,     -0.4480085236,     -0.4642467395,         2.5235425
          0,           0,           7,      -3.099668744,     -0.5626765887,     -0.6232105834,       2.375905781
          0,           0,           8,      -3.245195275,     -0.6661952758,     -0.7772805081,       2.229665452
          0,           0,           9,      -3.392882303,     -0.7578437893,     -0.9251999133,       2.081810422
          0,           0,          10,      -3.539722683,     -0.8400171433,      -1.068799022,        1.93484492
          0,           0,          11,      -3.679280694,     -0.9142641296,      -1.209018897,       1.794859241
          0,           0,          12,      -3.808292171,     -0.9810542439,        -1.3434755,       1.665236957
          0,           0,          13,      -3.927714818,      -1.040948632,      -1.468503575,       1.545485363
          0,           0,          14,      -4.037387308,      -1.095105911,      -1.583635646,       1.436068135
          0,           0,          15,      -4.135488876,      -1.144894243,      -1.690524754,       1.338953773
          0,           0,          16,       -4.22158938,      -1.191026233,       -1.78963745,       1.254804223
          0,           0,          17,      -4.296748032,      -1.233567871,      -1.879728261,       1.182666453
          0,           0,          18,      -4.362732608,      -1.272729916,       -1.95928007,       1.120315797
          0,           0,          19,      -4.421495174,      -1.309297474,      -2.028197926,       1.064887363
          0,           0,          20,      -4.474418541,      -1.344384761,      -2.088313994,       1.014220215
          0,           0,          21,      -4.522442782,      -1.378992866,      -2.142248244,      0.9671999713
          0,           0,          22,      -4.566737671,      -1.413738532,      -2.191984147,      0.9230841722
          0,           0,          23,      -4.608724741,      -1.448814054,      -2.238474335,      0.8810941398
          0,           0,          24,      -4.649529524,      -1.484094759,      -2.282179697,      0.8405516779
          0,           0,          25,      -4.689637658,       -1.51928896,      -2.323673875,      0.8010874846
          0,           0,          26,       -4.72900799,      -1.554064353,      -2.363788353,      0.7626455121
          0,           0,          27,      -4.767384375,      -1.588123271,      -2.403390669,       0.725353793
          0,           0,          28,      -4.804556656,      -1.621230392,      -2.443134766,      0.6893731971
          0,           0,          29,      -4.840459354,      -1.653214956,      -2.483332094,      0.6548009507
          0,           0,          30,      -4.875123008,      -1.683965101,      -2.523976585,      0.6216552953
          0,           0,          31,      -4.908575613,      -1.713426904,      -2.564850543,      0.5899109581
          0,           0,          32,      -4.940784279,      -1.741605466,      -2.605641717,      0.5595362031
          0,           0,          33,      -4.971670267,       -1.76856399,      -2.646017276,      0.5305002739
          0,           0,          34,       -5.00117337,      -1.794415374,      -2.685637283,      0.5027534975
          0,           0,          35,      -5.029314933,      -1.819306416,      -2.724154746,      0.4762028358
          0,           0,          36,      -5.056218788,      -1.843398701,      -2.761215562,      0.4507073545
          0,           0,          37,      -5.082087903,      -1.866848147,      -2.796504296,      0.4260952774
          0,           0,          38,      -5.107155512,      -1.889793065,      -2.829808883,      0.4021907948
          0,           0,          39,       -5.13163904,      -1.912347564,      -2.861062537,      0.3788377252
          0,           0,          40,      -5.155710367,      -1.934599547,       -2.89034816,      0.3559141499
          0,           0,          41,      -5.179486271,       -1.95661303,      -2.917858515,      0.3333355832
          0,           0,          42,      -5.203035311,      -1.978433166,      -2.943842738,      0.3110484581
          0,           0,          43,      -5.226390432,       -2.00009095,      -2.968558956,      0.2890212514
          0,           0,          44,      -5.249565354,      -2.021608892,      -2.992241712,      0.2672335795
          0,           0,          45,      -5.272568851,        -2.0430055,      -3.015088648,      0.2456661273
          0,           0,          46,      -5.295411193,      -2.064298628,      -3.037261147,      0.2242965285
          0,           0,          47,      -5.318108141,      -2.085506588,      -3.058888998,      0.2030976636
          0,           0,          48,      -5.340681726,      -2.106649307,      -3.080079162,      0.1820371562
          0,           0,          49,      -5.363160284,      -2.127748626,      -3.100920993,      0.1610783574
          0,           0,          50,      -5.385574401,      -2.148827562,      -3.121499364,      0.1401832177
          0,           0,          51,      -5.407954983,      -2.169909637,      -3.141894511,      0.1193147641
          0,           0,          52,       -5.43033306,       -2.19101786,       -3.16218325,     0.09843793895
          0,           0,          53,      -5.452740353,      -2.212174761,      -3.182440819,     0.07751883353
          0,           0,          54,      -5.475206313,      -2.233401276,      -3.202738438,     0.05652736498
          0,           0,          55,       -5.49775853,      -2.254716271,      -3.223138254,     0.03543713972
          0,           0,          56,      -5.520421965,      -2.276136475,      -3.243694961,     0.01422565149
          0,           0,          57,      -5.543218846,      -2.297676273,      -3.264452454,   -0.007125872184
          0,           0,          58,      -5.566167995,      -2.319347626,      -3.285441973,    -0.02863242557
          0,           0,          59,      -5.589283829,      -2.341159341,      -3.306687822,     -0.0503044295
          0,           0,          60,      -5.612577424,      -2.363118384,      -3.328206653,    -0.07214933369
          0,           0,          61,      -5.636055513,       -2.38522948,      -3.350004875,    -0.09417117809
          0,           0,          62,      -5.659721692,      -2.407495454,      -3.372081824,     -0.1163715184
          0,           0,          63,      -5.683575144,      -2.429917588,      -3.394431149,     -0.1387485713
          0,           0,          64,      -5.707613143,      -2.452495855,      -3.417042938,     -0.1612991016
          0,           0,          65,       -5.73183341,      -2.475229108,      -3.439903568,     -0.1840204283
          0,           0,          66,       -5.75623054,      -2.498115748,      -3.463003888,     -0.2069077561
          0,           0,          67,      -5.780798537,      -2.521154096,      -3.486313831,      -0.229956243
          0,           0,          68,      -5.805531147,      -2.544341229,        -3.5098175,     -0.2531602427
