VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.441070183,       0.824214742,       1.055484265,        4.01855802
          0,           0,           1,       -1.90091297,      0.5019764018,      0.6249141411,       3.574812623
          0,           0,           2,      -2.137730525,      0.2710508223,      0.3930122383,       3.342938307
          0,           0,           3,      -2.311233937,      0.1107299159,      0.2016879484,       3.170890501
          0,           0,           4,      -2.473558975,     -0.0291719975,     0.02818827626,       3.008229474
          0,           0,           5,      -2.632443011,     -0.1605868806,     -0.1353544519,       2.847884653
          0,           0,           6,      -2.783746216,     -0.2814158332,     -0.2934887306,        2.69451774
          0,           0,           7,      -2.930921974,     -0.3933132996,     -0.4499986987,       2.545506429
          0,           0,           8,      -3.078869082,     -0.4934472713,     -0.6038801546,       2.396523434
          0,           0,           9,       -3.22661633,     -0.5821036081,     -0.7535467415,        2.24857342
          0,           0,          10,      -3.370734326,     -0.6616045305,     -0.8994715794,       2.104682414
          0,           0,          11,      -3.507681249,      -0.732056756,      -1.040990177,       1.968120291
          0,           0,          12,      -3.635295108,     -0.7933281792,      -1.176009744,       1.841331659
          0,           0,          13,      -3.752579194,     -0.8466483161,       -1.30258569,       1.725634129
          0,           0,          14,      -3.858272617,     -0.8937119482,       -1.41972982,       1.622386552
          0,           0,          15,      -3.950844979,     -0.9358442486,      -1.527542876,       1.533180242
          0,           0,          16,       -4.02974285,     -0.9740899283,      -1.625588021,       1.458370446
          0,           0,          17,      -4.096415623,      -1.009542757,      -1.711553633,       1.395878053
          0,           0,          18,      -4.153839554,      -1.043364058,      -1.783695031,       1.342037291
          0,           0,          19,      -4.204834014,      -1.076606715,      -1.843215839,       1.293612501
          0,           0,          20,      -4.251231124,      -1.109998924,      -1.893885368,       1.248700936
          0,           0,          21,      -4.294286902,      -1.143816439,      -1.939809173,       1.206300245
          0,           0,          22,      -4.334953308,      -1.177909447,      -1.983602001,       1.165877554
          0,           0,          23,      -4.373831423,      -1.211864609,      -2.026216248,       1.127189604
          0,           0,          24,      -4.411267665,      -1.245223758,      -2.067864758,       1.090065995
          0,           0,          25,      -4.447434275,      -1.277653087,      -2.108778844,       1.054344598
          0,           0,          26,      -4.482338117,      -1.309007641,      -2.149279734,       1.019947217
          0,           0,          27,      -4.515910434,      -1.339290798,      -2.189537452,      0.9868876542
          0,           0,          28,      -4.548126469,      -1.368574684,      -2.229406045,        0.95518841
          0,           0,          29,      -4.579024889,      -1.396935703,          -2.26846,      0.9248252367
          0,           0,          30,      -4.608650556,      -1.424423254,      -2.306150339,      0.8957322383
          0,           0,          31,      -4.637006667,      -1.451060184,      -2.341971589,       0.867830785
          0,           0,          32,      -4.664057769,      -1.476855096,      -2.375564985,      0.8410524904
          0,           0,          33,      -4.689769943,      -1.501815954,      -2.406759213,      0.8153379981
          0,           0,          34,      -4.714153472,       -1.52595844,      -2.435569858,      0.7906298903
          0,           0,          35,      -4.737286137,       -1.54930861,      -2.462167652,      0.7668596021
          0,           0,          36,      -4.759305063,      -1.571902086,      -2.486827825,      0.7439475773
          0,           0,          37,      -4.780383684,      -1.593782382,      -2.509869273,      0.7218067139
          0,           0,          38,      -4.800700978,      -1.614998488,      -2.531600783,      0.7003478396
          0,           0,          39,      -4.820416311,      -1.635605236,      -2.552278946,      0.6794865694
