VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.457451428,      0.8482291183,       1.024352836,       4.002176775
          0,           0,           1,      -1.935684629,       0.454555029,      0.6106358281,       3.540215425
          0,           0,           2,      -2.181505964,      0.2358991328,      0.3791923922,       3.300050347
          0,           0,           3,      -2.347143318,     0.08576337183,      0.1911114489,       3.134968951
          0,           0,           4,      -2.505188594,    -0.05174865788,     0.01452986041,       2.976377516
          0,           0,           5,      -2.660881798,     -0.1800205165,     -0.1544566141,       2.819180084
          0,           0,           6,      -2.810040227,      -0.292487753,       -0.31584833,       2.668582522
          0,           0,           7,      -2.955359589,     -0.3940773335,      -0.474696405,       2.522604922
          0,           0,           8,      -3.100113981,     -0.4846899143,     -0.6311152654,       2.377682987
          0,           0,           9,       -3.24509757,     -0.5664034338,     -0.7821081814,       2.233061916
          0,           0,          10,      -3.387497686,     -0.6422273332,      -0.926913753,        2.09162795
          0,           0,          11,       -3.52289429,     -0.7123365485,      -1.065564864,       1.957484209
          0,           0,          12,      -3.647344294,     -0.7751843487,      -1.197888391,        1.83439724
          0,           0,          13,      -3.758591582,     -0.8301913174,      -1.321886413,       1.725039945
          0,           0,          14,      -3.857101449,     -0.8788636956,      -1.436416866,       1.629570879
          0,           0,          15,       -3.94515948,     -0.9231882435,      -1.541757617,       1.546071674
          0,           0,          16,      -4.024897859,     -0.9641400081,      -1.635432859,       1.472446332
          0,           0,          17,      -4.096784532,      -1.002024677,       -1.71377055,       1.407662015
          0,           0,          18,      -4.160715621,      -1.037519588,      -1.776890294,       1.350576472
          0,           0,          19,      -4.217665799,      -1.071905732,      -1.828903497,       1.298945264
          0,           0,          20,      -4.269269838,      -1.106491109,       -1.87461463,       1.250520406
          0,           0,          21,      -4.316957974,      -1.142049521,      -1.917364095,       1.204054384
          0,           0,          22,      -4.361970669,      -1.178676358,      -1.958762727,        1.15906669
          0,           0,          23,      -4.405382416,      -1.216000612,      -1.999319422,       1.115340996
          0,           0,          24,      -4.447846542,      -1.253470482,       -2.03918573,       1.072776067
          0,           0,          25,      -4.489477714,      -1.290574733,      -2.078572162,       1.031405945
          0,           0,          26,      -4.530043584,      -1.326939634,      -2.117754809,      0.9913700016
          0,           0,          27,      -4.569260095,      -1.362322336,      -2.156876205,      0.9528306784
          0,           0,          28,      -4.606974066,      -1.396560829,      -2.195868664,       0.915897117
          0,           0,          29,      -4.643156778,      -1.429535403,      -2.234477071,      0.8806063552
          0,           0,          30,      -4.677819899,      -1.461161856,      -2.272335163,      0.8469357898
          0,           0,          31,      -4.710953402,      -1.491409262,      -2.309029952,      0.8148183439
          0,           0,          32,      -4.742531589,      -1.520315197,      -2.344172503,      0.7841495615
          0,           0,          33,       -4.77254977,      -1.547984665,      -2.377431782,      0.7548006423
          0,           0,          34,      -4.801061374,      -1.574570554,      -2.408584111,      0.7266305152
          0,           0,          35,      -4.828190641,      -1.600243535,      -2.437557471,      0.6994966508
          0,           0,          36,      -4.854117398,      -1.625166078,       -2.46444545,      0.6732624709
