VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.524721171,      0.7404280708,      0.9700654308,       3.934907032
          0,           0,           1,      -1.973467603,      0.3915030658,      0.5746684927,       3.504011404
          0,           0,           2,      -2.220661708,      0.1750342357,      0.3295089438,       3.261618291
          0,           0,           3,      -2.382022381,     0.02103850842,      0.1345351714,       3.099413535
          0,           0,           4,      -2.541187891,     -0.1193201021,    -0.04332681241,       2.939256254
          0,           0,           5,       -2.70154821,     -0.2518078704,      -0.214574205,       2.777418478
          0,           0,           6,      -2.853496631,     -0.3742875933,     -0.3780950444,       2.623701603
          0,           0,           7,       -3.00150353,     -0.4906955344,     -0.5356396545,       2.474256587
          0,           0,           8,      -3.150718764,      -0.598593696,     -0.6880826837,        2.32412268
          0,           0,           9,      -3.302151052,     -0.6963120071,     -0.8373913586,       2.172121251
          0,           0,          10,      -3.450547849,     -0.7849058164,     -0.9851830356,       2.023000701
          0,           0,          11,      -3.591002549,     -0.8644805735,      -1.128833915,       1.881582714
          0,           0,          12,        -3.7224167,     -0.9342582015,      -1.264918477,       1.749243216
          0,           0,          13,      -3.844174584,     -0.9949841652,       -1.39301226,       1.626749436
          0,           0,          14,       -3.95495137,      -1.048930147,      -1.514452904,       1.515561219
          0,           0,          15,      -4.053786504,      -1.098368145,      -1.629210369,       1.416963226
          0,           0,          16,      -4.141401123,      -1.144411387,      -1.735348788,       1.330608333
          0,           0,          17,      -4.219564443,      -1.187215969,      -1.831053536,       1.254772009
          0,           0,          18,      -4.289189554,      -1.226910881,      -1.916109777,       1.187973384
          0,           0,          19,      -4.350675692,      -1.264154947,      -1.991304673,       1.128890022
          0,           0,          20,      -4.405632266,      -1.299981807,      -2.057700614,       1.075378979
          0,           0,          21,      -4.456468742,      -1.335289934,      -2.116531095,       1.025199253
          0,           0,          22,      -4.504751548,      -1.370488669,      -2.169583387,      0.9773083046
          0,           0,          23,      -4.550883765,       -1.40552345,      -2.219081848,      0.9317794636
          0,           0,          24,      -4.594931198,      -1.440131625,      -2.267009114,      0.8887982074
          0,           0,          25,      -4.637125342,      -1.474085242,       -2.31453156,      0.8481413705
          0,           0,          26,      -4.677765885,      -1.507292429,      -2.361994837,      0.8093699254
          0,           0,          27,      -4.717036492,      -1.539768755,      -2.409251893,      0.7721396799
          0,           0,          28,      -4.755005071,       -1.57155222,      -2.455944778,       0.736275052
          0,           0,          29,      -4.791709632,      -1.602638938,      -2.501636368,      0.7016911256
          0,           0,          30,      -4.827198315,      -1.632965632,      -2.545880235,      0.6683172993
          0,           0,          31,      -4.861475336,      -1.662433459,       -2.58826774,      0.6361206151
          0,           0,          32,      -4.894452855,      -1.690951387,      -2.628467591,      0.6051392358
          0,           0,          33,      -4.925990282,      -1.718473078,      -2.666229555,      0.5754553759
          0,           0,          34,      -4.955998715,      -1.745012424,      -2.701375752,      0.5471207325
          0,           0,          35,      -4.984517593,      -1.770635792,       -2.73382842,      0.5201008141
          0,           0,          36,      -5.011712767,      -1.795439916,      -2.763666682,      0.4942759677
          0,           0,          37,      -5.037820113,      -1.819528436,      -2.791175249,      0.4694779916
          0,           0,          38,      -5.063078492,      -1.842994504,      -2.816822869,      0.4455326822
          0,           0,          39,      -5.087685454,      -1.865912623,       -2.84116067,      0.4222868072
          0,           0,          40,      -5.111777243,      -1.888339692,      -2.864703291,      0.3996203259
          0,           0,          41,      -5.135429238,      -1.910315583,      -2.887836999,      0.3774522223
          0,           0,          42,      -5.158669115,       -1.93187165,      -2.910787735,      0.3557330714
          0,           0,          43,      -5.181496086,      -1.953036994,       -2.93363753,      0.3344340823
          0,           0,          44,      -5.203900286,      -1.973841687,      -2.956360117,      0.3135365948
          0,           0,          45,      -5.225878153,      -1.994318869,      -2.978863933,       0.293021819
          0,           0,          46,      -5.247440466,      -2.014505124,      -3.001032215,      0.2728647267
          0,           0,          47,      -5.268614156,      -2.034439579,      -3.022748874,       0.253031831
          0,           0,          48,      -5.289440897,      -2.054162529,      -3.043918671,      0.2334811265
          0,           0,          49,      -5.309970113,      -2.073713658,      -3.064479589,       0.214166434
          0,           0,          50,      -5.330252978,      -2.093132098,      -3.084414722,      0.1950404268
          0,           0,          51,      -5.350341962,      -2.112454948,      -3.103737396,      0.1760549431
          0,           0,          52,      -5.370285244,      -2.131716558,      -3.122494616,      0.1571650232
          0,           0,          53,       -5.39012689,      -2.150948788,       -3.14075846,       0.138328906
          0,           0,          54,      -5.409906853,      -2.170180654,      -3.158617498,      0.1195087435
          0,           0,          55,      -5.429661238,      -2.189438176,      -3.176165887,      0.1006711744
          0,           0,          56,      -5.449422463,      -2.208744838,      -3.193501428,     0.08178655483
          0,           0,          57,      -5.469220716,      -2.228121475,      -3.210717687,     0.06282833628
          0,           0,          58,      -5.489082801,      -2.247586528,      -3.227896285,     0.04377378584
          0,           0,          59,      -5.509034015,       -2.26715613,      -3.245109282,     0.02460229412
          0,           0,          60,      -5.529095996,      -2.286843742,      -3.262419507,    0.005297082125
          0,           0,          61,      -5.549286985,      -2.306661075,      -3.279876755,    -0.01415546364
          0,           0,          62,      -5.569625121,      -2.326618022,      -3.297518737,    -0.03376814663
          0,           0,          63,      -5.590123976,      -2.346723092,       -3.31537352,    -0.05355023408
          0,           0,          64,      -5.610795055,      -2.366983266,      -3.333468051,    -0.07350934619
          0,           0,          65,      -5.631646797,      -2.387404171,      -3.351815016,    -0.09365064557
          0,           0,          66,      -5.652688487,      -2.407990141,      -3.370421012,     -0.1139798804
          0,           0,          67,      -5.673924745,      -2.428744432,      -3.389290828,     -0.1344992769
          0,           0,          68,      -5.695358268,      -2.449669243,      -3.408425116,     -0.1552095963
          0,           0,          69,       -5.71699114,      -2.470766228,      -3.427818714,     -0.1761112384
          0,           0,          70,      -5.738823255,       -2.49203599,      -3.447477108,     -0.1972029327
          0,           0,          71,       -5.76085323,      -2.513478474,      -3.467392472,     -0.2184826025
          0,           0,          72,      -5.783080191,      -2.535093092,      -3.487557928,     -0.2399488589
          0,           0,          73,      -5.805501287,      -2.556878599,      -3.507969126,      -0.261598843
          0,           0,          74,      -5.828113156,      -2.578833384,      -3.528617943,     -0.2834291813
          0,           0,          75,      -5.850913219,      -2.600955248,       -3.54949786,     -0.3054371731
          0,           0,          76,      -5.873897515,      -2.623241652,      -3.570603285,     -0.3276193244
          0,           0,          77,      -5.897062024,      -2.645689913,      -3.591929481,     -0.3499719871
          0,           0,          78,      -5.920401071,      -2.668296836,      -3.613469472,      -0.372490333
          0,           0,          79,      -5.943910866,      -2.691059156,      -3.635214053,     -0.3951711538
