VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.557539364,      0.7458627806,      0.9213213788,       3.902088839
          0,           0,           1,      -1.988399549,      0.3753331278,      0.5506570682,         3.4887114
          0,           0,           2,      -2.237812352,      0.1617078199,      0.3058991562,       3.244464854
          0,           0,           3,      -2.401283754,    0.006316976614,      0.1058016557,       3.080545482
          0,           0,           4,      -2.564906262,     -0.1329481903,    -0.07129835271,       2.916150989
          0,           0,           5,      -2.727553685,     -0.2598433834,     -0.2398804733,       2.751787239
          0,           0,           6,      -2.879887718,      -0.376794262,     -0.3982741519,       2.597416032
          0,           0,           7,      -3.029754194,     -0.4873549364,     -0.5532549047,       2.446207242
          0,           0,           8,      -3.178624462,     -0.5876316707,     -0.7084354616,       2.296423872
          0,           0,           9,      -3.324253171,     -0.6768802965,     -0.8592861069,       2.150132076
          0,           0,          10,       -3.46385853,       -0.75773242,      -1.002364754,       2.009962082
          0,           0,          11,      -3.596064815,     -0.8312424431,      -1.138940003,       1.877254655
          0,           0,          12,      -3.720491378,      -0.897289999,      -1.270835386,        1.75252918
          0,           0,          13,      -3.835632782,     -0.9562572935,      -1.396461581,       1.637621988
          0,           0,          14,      -3.940869338,      -1.009472057,      -1.513679146,       1.533441468
          0,           0,          15,      -4.037054849,      -1.058349341,      -1.623293389,       1.439132919
          0,           0,          16,      -4.124317931,      -1.103600934,      -1.725767566,       1.354578455
          0,           0,          17,      -4.201479536,        -1.1454843,      -1.817985251,       1.280947795
          0,           0,          18,      -4.268089721,      -1.184532964,      -1.896535003,       1.218255988
          0,           0,          19,      -4.326089157,      -1.221841586,      -1.962113275,       1.163856717
          0,           0,          20,      -4.378849562,      -1.258685351,       -2.01871402,        1.11397775
          0,           0,          21,      -4.429163094,        -1.2959347,      -2.070539606,       1.065915264
          0,           0,          22,      -4.478364837,      -1.333776173,       -2.12045728,       1.018662144
          0,           0,          23,      -4.526640587,       -1.37183451,      -2.169938894,      0.9723336206
          0,           0,          24,      -4.573668662,      -1.409515181,      -2.219563835,      0.9273850696
          0,           0,          25,      -4.619104863,      -1.446319731,      -2.269535456,      0.8841244498
          0,           0,          26,      -4.662778274,      -1.481996693,      -2.319890983,      0.8426173968
          0,           0,          27,      -4.704690696,      -1.516518276,      -2.370421298,      0.8028071628
          0,           0,          28,      -4.744955564,      -1.549964066,      -2.420583462,      0.7646298676
          0,           0,          29,      -4.783710664,      -1.582407123,      -2.469576513,      0.7280524438
          0,           0,          30,      -4.821005254,       -1.61385799,      -2.516518456,      0.6930891693
          0,           0,          31,      -4.856720728,      -1.644270221,      -2.560606656,      0.6598004904
          0,           0,          32,      -4.890599188,      -1.673584452,       -2.60121348,      0.6282626572
          0,           0,          33,      -4.922381418,      -1.701778179,      -2.637936039,      0.5984995497
          0,           0,          34,       -4.95196233,      -1.728896446,      -2.670633479,      0.5704252219
          0,           0,          35,      -4.979480413,      -1.755050347,      -2.699464552,      0.5438266231
          0,           0,          36,      -5.005290325,      -1.780389425,      -2.724897672,      0.5184047629
          0,           0,          37,      -5.029857268,       -1.80507078,      -2.747667973,      0.4938375386
          0,           0,          38,      -5.053634416,      -1.829228643,      -2.768672729,      0.4698427792
          0,           0,          39,      -5.076974146,       -1.85295884,      -2.788826144,      0.4462165862
          0,           0,          40,      -5.100093555,      -1.876316562,      -2.808919747,      0.4228420761
          0,           0,          41,      -5.123083137,      -1.899324368,      -2.829532112,      0.3996774244
          0,           0,          42,      -5.145943056,      -1.921985539,      -2.851000065,      0.3767303569
          0,           0,          43,      -5.168623455,      -1.944296698,      -2.873435541,      0.3540339966
          0,           0,          44,      -5.191058063,      -1.966257647,      -2.896775123,      0.3316276927
          0,           0,          45,      -5.213191031,      -1.987876909,      -2.920836962,      0.3095416255
          0,           0,          46,      -5.234991233,      -2.009173918,      -2.945381421,      0.2877895946
          0,           0,          47,      -5.256452731,      -2.030176965,      -2.970157486,      0.2663690804
          0,           0,          48,      -5.277593123,      -2.050921692,      -2.994935566,      0.2452610918
          0,           0,          49,      -5.298445163,      -2.071448337,      -3.019529543,       0.224436101
          0,           0,          50,        -5.3190522,      -2.091798396,      -3.043803519,      0.2038559326
          0,           0,          51,      -5.339460442,       -2.11201271,      -3.067670835,      0.1834787867
          0,           0,          52,      -5.359716502,      -2.132130352,      -3.091085666,      0.1632614505
          0,           0,          53,      -5.379864149,      -2.152186848,      -3.114036968,      0.1431618363
          0,           0,          54,      -5.399942528,      -2.172214334,      -3.136540831,      0.1231411659
          0,           0,          55,      -5.419987278,      -2.192241224,      -3.158628692,      0.1031635637
          0,           0,          56,      -5.440030971,      -2.212291836,      -3.180347139,     0.08319619391
          0,           0,          57,      -5.460102997,       -2.23238677,      -3.201751489,     0.06320973621
          0,           0,          58,      -5.480228729,      -2.252542875,      -3.222901043,     0.04317943612
          0,           0,          59,      -5.500429713,      -2.272773473,      -3.243856703,      0.0230846709
          0,           0,          60,      -5.520725176,      -2.293089135,      -3.264676915,    0.002907750099
          0,           0,          61,      -5.541131328,      -2.313497621,      -3.285416968,    -0.01736555977
          0,           0,          62,      -5.561660491,      -2.334004125,      -3.306128881,    -0.03774588757
          0,           0,          63,      -5.582320599,      -2.354612212,      -3.326856109,    -0.05823970137
          0,           0,          64,       -5.60311768,      -2.375324134,      -3.347632197,    -0.07885178064
          0,           0,          65,      -5.624056673,      -2.396141153,      -3.368485186,    -0.09958566926
          0,           0,          66,      -5.645141151,      -2.417063719,      -3.389436449,     -0.1204436475
          0,           0,          67,      -5.666372017,      -2.438092311,      -3.410502426,      -0.141426149
          0,           0,          68,      -5.687749977,      -2.459226125,      -3.431692309,     -0.1625326959
          0,           0,          69,      -5.709275316,      -2.480464507,      -3.453011557,     -0.1837629311
          0,           0,          70,      -5.730948928,      -2.501807021,      -3.474460916,     -0.2051172098
          0,           0,          71,      -5.752770034,      -2.523253112,      -3.496039948,     -0.2265945433
          0,           0,          72,      -5.774736454,      -2.544802065,      -3.517745245,     -0.2481925413
          0,           0,          73,      -5.796847112,       -2.56645338,      -3.539572227,     -0.2699099943
          0,           0,          74,      -5.819100912,      -2.588206618,      -3.561516212,     -0.2917457823
          0,           0,          75,       -5.84149669,      -2.610061358,      -3.583572862,       -0.31369883
          0,           0,          76,      -5.864033285,       -2.63201726,       -3.60573768,     -0.3357681642
          0,           0,          77,      -5.886708598,      -2.654073981,      -3.628006459,      -0.357951946
          0,           0,          78,      -5.909522127,      -2.676231096,      -3.650373514,     -0.3802498264
