VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.54947454,      0.6813031195,      0.9630669835,       3.910153663
          0,           0,           1,      -2.026248687,      0.3421286396,      0.5195514959,       3.447449811
          0,           0,           2,      -2.272903168,      0.1265031227,      0.2802024921,       3.205062044
          0,           0,           3,      -2.443393108,    -0.03087882839,     0.08091375248,       3.035211387
          0,           0,           4,       -2.60750613,     -0.1724568269,    -0.09874640835,       2.871187662
          0,           0,           5,      -2.766798625,     -0.3062147129,     -0.2677397449,       2.710925547
          0,           0,           6,      -2.919977562,     -0.4279124855,     -0.4296648092,       2.556684087
          0,           0,           7,      -3.072168678,     -0.5408365259,     -0.5880761136,       2.403934168
          0,           0,           8,      -3.222150132,     -0.6443332153,      -0.742193338,        2.25324974
          0,           0,           9,      -3.367294126,     -0.7379696945,     -0.8915904864,       2.106883503
          0,           0,          10,      -3.507197406,     -0.8225103887,      -1.038100854,       1.965556067
          0,           0,          11,      -3.642320476,     -0.8986286776,      -1.181622023,        1.82929559
          0,           0,          12,      -3.770725926,     -0.9660238547,      -1.318726713,       1.700086185
          0,           0,          13,      -3.888768407,      -1.024714244,      -1.445346548,       1.581137445
          0,           0,          14,      -3.994612262,      -1.076512957,      -1.560545058,       1.473839163
          0,           0,          15,      -4.088676495,      -1.123861394,      -1.666555791,        1.37792369
          0,           0,          16,      -4.171501453,      -1.168046159,      -1.764888567,       1.293597465
          0,           0,          17,      -4.243637396,      -1.209348966,      -1.854043399,       1.220908353
          0,           0,          18,      -4.306708628,      -1.248106863,      -1.931187981,        1.15802544
          0,           0,          19,      -4.363036282,      -1.285141238,      -1.996206749,       1.101880143
          0,           0,          20,      -4.414654991,      -1.321467128,       -2.05263323,       1.049895196
          0,           0,          21,      -4.462935046,      -1.357831445,      -2.104670198,       1.000708931
          0,           0,          22,      -4.508785946,      -1.394490097,      -2.154755075,      0.9537834586
          0,           0,          23,      -4.552820622,      -1.431256369,      -2.203547724,      0.9088560774
          0,           0,          24,      -4.595281018,      -1.467702241,      -2.250949624,      0.8657829831
          0,           0,          25,      -4.636025877,      -1.503380892,      -2.296830454,      0.8245857253
          0,           0,          26,      -4.674761068,      -1.537975893,      -2.341183302,      0.7853974903
          0,           0,          27,      -4.711370176,      -1.571344573,      -2.384038589,      0.7482761617
          0,           0,          28,      -4.746071938,      -1.603472729,      -2.425391204,      0.7130713526
          0,           0,          29,      -4.779285158,      -1.634388597,      -2.465172387,      0.6794903121
          0,           0,          30,      -4.811374894,      -1.664097225,      -2.503269978,      0.6472705743
          0,           0,          31,      -4.842489999,       -1.69256158,      -2.539544028,      0.6162997059
          0,           0,          32,      -4.872555515,      -1.719728053,      -2.573867093,      0.5866195512
          0,           0,          33,      -4.901377871,      -1.745568158,      -2.606158719,      0.5583459551
          0,           0,          34,      -4.928779679,      -1.770111976,      -2.636427098,      0.5315663362
          0,           0,          35,      -4.954690372,      -1.793455656,      -2.664768549,      0.5062804879
          0,           0,          36,      -4.979177991,      -1.815743866,       -2.69133555,      0.4823859024
          0,           0,          37,       -5.00242648,      -1.837142415,      -2.716305884,      0.4597022991
          0,           0,          38,      -5.024684891,      -1.857812967,      -2.739883775,      0.4380106937
          0,           0,          39,      -5.046206207,      -1.877894309,      -2.762290415,      0.4170971054
          0,           0,          40,      -5.067211283,      -1.897496657,      -2.783760741,      0.3967771912
          0,           0,          41,      -5.087869308,      -1.916704492,      -2.804537181,      0.3769077483
          0,           0,          42,      -5.108298135,      -1.935583355,      -2.824845098,       0.357385442
          0,           0,          43,      -5.128577812,      -1.954188786,      -2.844874544,       0.338135391
          0,           0,          44,      -5.148762495,      -1.972572333,      -2.864768363,      0.3191014545
          0,           0,          45,      -5.168894047,      -1.990785336,      -2.884611753,      0.3002363123
          0,           0,          46,       -5.18900675,      -2.008879995,      -2.904447433,      0.2814976793
          0,           0,          47,      -5.209136778,      -2.026909613,      -2.924286751,      0.2628402814
