VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.681235013,      0.5278526102,      0.8363572575,        3.77839319
          0,           0,           1,       -2.14238538,      0.2296867867,      0.4169021051,       3.332144387
          0,           0,           2,       -2.39184838,    0.009625923184,      0.1658709545,       3.086175629
          0,           0,           3,      -2.564833863,     -0.1395060471,    -0.03549606998,       2.914155623
          0,           0,           4,      -2.725717655,     -0.2778444305,      -0.216151536,       2.753195464
          0,           0,           5,      -2.880187539,     -0.4104281463,      -0.387087892,       2.597622127
          0,           0,           6,      -3.031118635,     -0.5338598553,     -0.5482716961,        2.44548616
          0,           0,           7,      -3.181432968,     -0.6486618147,     -0.7044878994,       2.294271199
          0,           0,           8,      -3.332957793,     -0.7511873577,     -0.8561751487,       2.142326595
          0,           0,           9,      -3.482429462,     -0.8412438138,      -1.004592218,       1.992777146
          0,           0,          10,      -3.626308267,     -0.9218305013,      -1.150965229,       1.848854604
          0,           0,          11,      -3.764439375,     -0.9957158267,      -1.294436125,       1.710534285
          0,           0,          12,      -3.894668485,      -1.062727411,      -1.431169496,       1.579892551
          0,           0,          13,      -4.013410967,      -1.122224986,      -1.557377773,       1.460686041
          0,           0,          14,      -4.120923016,      -1.175480367,      -1.673052511,       1.353134674
          0,           0,          15,      -4.218775202,      -1.224391065,      -1.780561625,       1.256146111
          0,           0,          16,       -4.30610581,      -1.269893129,      -1.881119593,        1.17099598
          0,           0,          17,      -4.382109034,      -1.312124006,      -1.973645257,       1.098613063
          0,           0,          18,       -4.44796345,      -1.351299693,      -2.056125952,       1.037131351
          0,           0,          19,      -4.505684745,      -1.388169368,      -2.127920498,      0.9832486651
          0,           0,          20,      -4.557388172,      -1.423836525,      -2.190387049,      0.9338823281
          0,           0,          21,       -4.60504499,      -1.459286786,      -2.245665155,      0.8869561186
          0,           0,          22,      -4.650151303,      -1.495048701,      -2.295699923,      0.8415492437
          0,           0,          23,      -4.693644201,      -1.531154035,      -2.342176437,      0.7975059661
          0,           0,          24,      -4.735987694,       -1.56730881,      -2.386629312,       0.754940978
          0,           0,          25,      -4.777320888,      -1.603118277,      -2.430295764,      0.7139474549
          0,           0,          26,       -4.81763756,      -1.638254318,      -2.473932578,      0.6745149518
          0,           0,          27,      -4.856934613,      -1.672519394,      -2.517793899,      0.6365601606
          0,           0,          28,      -4.895261246,      -1.705824952,       -2.56179686,      0.5999915837
          0,           0,          29,      -4.932670976,      -1.738135902,       -2.60574115,      0.5647649731
          0,           0,          30,      -4.969146051,        -1.7694294,      -2.649426433,      0.5308996923
          0,           0,          31,      -5.004569014,      -1.799682377,      -2.692614636,      0.4984494851
          0,           0,          32,      -5.038758641,      -1.828883173,      -2.734938328,      0.4674471459
          0,           0,          33,      -5.071540487,      -1.857050564,       -2.77587003,      0.4378632858
          0,           0,          34,      -5.102811038,      -1.884244691,      -2.814796397,      0.4095995113
          0,           0,          35,       -5.13257146,      -1.910564323,      -2.851161388,      0.3825096036
          0,           0,          36,      -5.160929166,      -1.936132125,       -2.88461012,      0.3564281061
          0,           0,          37,      -5.188073682,      -1.961074996,      -2.915078004,      0.3311917137
          0,           0,          38,       -5.21423715,       -1.98550698,        -2.9427903,      0.3066522064
          0,           0,          39,      -5.239655291,      -2.009518952,        -2.9681959,      0.2826803066
          0,           0,          40,      -5.264536232,      -2.033174608,      -2.991866268,      0.2591680272
          0,           0,          41,      -5.289040258,      -2.056514159,      -3.014391339,      0.2360296585
          0,           0,          42,      -5.313273985,      -2.079559299,      -3.036296248,      0.2132023252
