VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.41058031,      0.9504391302,       1.024405181,       4.049047893
          0,           0,           1,      -1.860612485,      0.5464800032,      0.6955840963,       3.615802858
          0,           0,           2,      -2.116466541,      0.3319157761,      0.4469352768,       3.366995737
          0,           0,           3,      -2.278886107,      0.1783691713,      0.2557294676,        3.20454501
          0,           0,           4,      -2.422149171,     0.04030153321,      0.0809002688,       3.059090672
          0,           0,           5,      -2.570989792,    -0.08483024422,    -0.08604116003,       2.907973639
          0,           0,           6,      -2.719644251,     -0.1955537595,     -0.2439142121,       2.757753209
          0,           0,           7,      -2.867552128,      -0.296077851,     -0.3982744229,       2.609438822
          0,           0,           8,      -3.015801584,     -0.3835077767,     -0.5503054751,       2.461687991
          0,           0,           9,      -3.158217398,      -0.459223217,     -0.6946048828,        2.31993231
          0,           0,          10,      -3.290156396,     -0.5283084759,      -0.830368623,       2.188640254
          0,           0,          11,       -3.41260769,     -0.5931249816,     -0.9595727952,        2.06712948
          0,           0,          12,      -3.524302796,     -0.6525420033,        -1.0795871,       1.956783458
          0,           0,          13,      -3.622781078,     -0.7058079205,      -1.189320735,       1.860172178
          0,           0,          14,      -3.711206315,     -0.7541385286,      -1.290162302,       1.774433455
          0,           0,          15,      -3.793160108,     -0.7992262792,      -1.382570308,       1.695982102
          0,           0,          16,      -3.868841512,      -0.842044504,      -1.466180798,       1.624324374
          0,           0,          17,      -3.937676125,     -0.8829554317,      -1.540964091,       1.559733699
          0,           0,          18,      -3.999938831,     -0.9222821854,      -1.607524042,       1.501600288
          0,           0,          19,      -4.056834927,     -0.9605400656,      -1.667637459,       1.448336114
          0,           0,          20,      -4.109696136,     -0.9982768611,      -1.723496021,        1.39832988
          0,           0,          21,      -4.159270423,      -1.035874508,      -1.776566001,       1.350756284
          0,           0,          22,      -4.206392144,      -1.073543024,      -1.827265079,       1.305038373
          0,           0,          23,      -4.252670706,      -1.111368632,      -1.875422371,       1.260145786
          0,           0,          24,      -4.299800432,      -1.149317416,      -1.921143254,       1.214984094
          0,           0,          25,       -4.34836584,       -1.18721654,      -1.965400509,       1.169259217
          0,           0,          26,      -4.397518131,      -1.224793392,      -2.009682519,       1.123696506
          0,           0,          27,      -4.445665172,      -1.261743688,      -2.055045024,       1.079490673
          0,           0,          28,      -4.491477455,      -1.297808249,      -2.101543308,       1.037549499
          0,           0,          29,      -4.534481245,      -1.332811683,      -2.148398928,      0.9981074904
          0,           0,          30,      -4.574963152,      -1.366662205,       -2.19457713,      0.9608502481
          0,           0,          31,      -4.613485441,      -1.399328353,      -2.239261851,      0.9252855268
          0,           0,          32,       -4.65046395,       -1.43081752,      -2.282005647,      0.8910416767
          0,           0,          33,      -4.686022567,      -1.461165035,      -2.322623883,      0.8579620913
          0,           0,          34,      -4.720060188,      -1.490428768,      -2.361050471,      0.8260527906
          0,           0,          35,      -4.752408634,      -1.518685748,      -2.397256955,      0.7953729873
          0,           0,          36,      -4.782972657,      -1.546025943,      -2.431243712,      0.7659452249
          0,           0,          37,      -4.811799944,      -1.572543641,      -2.463052625,      0.7377158761
          0,           0,          38,      -4.839076861,      -1.598328732,      -2.492802129,      0.7105606661
          0,           0,          39,      -4.865066396,      -1.623458511,       -2.52070569,      0.6843221642
          0,           0,          40,       -4.89003441,      -1.647997189,      -2.547066368,      0.6588473797
          0,           0,          41,       -4.91419766,      -1.671996412,      -2.572237358,      0.6340131647
          0,           0,          42,      -4.937705454,      -1.695496812,      -2.596578209,      0.6097333961
          0,           0,          43,      -4.960641971,      -1.718529039,      -2.620391376,      0.5859601913
          0,           0,          44,      -4.983055725,      -1.741121544,      -2.643895795,      0.5626620091
          0,           0,          45,      -5.004977947,      -1.763301772,      -2.667212337,      0.5398153268
          0,           0,          46,      -5.026440179,      -1.785099923,      -2.690377109,      0.5173936105
          0,           0,          47,      -5.047480458,      -1.806550994,      -2.713365515,      0.4953642667
          0,           0,          48,      -5.068147151,      -1.827695313,      -2.736121945,      0.4736865639
          0,           0,          49,      -5.088498119,      -1.848578372,       -2.75858645,      0.4523119684
