VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.541486799,      0.6295760395,      0.9852450828,       3.918141404
          0,           0,           1,      -2.018135072,      0.3392459529,      0.5363254966,       3.457556437
          0,           0,           2,      -2.259779687,       0.124348086,      0.2933414393,       3.220597509
          0,           0,           3,      -2.431369987,    -0.02966148925,     0.09601162336,       3.049444021
          0,           0,           4,      -2.592163335,     -0.1683979649,    -0.08460172286,       2.887902868
          0,           0,           5,      -2.753760098,     -0.3048454836,      -0.254600763,       2.725201854
          0,           0,           6,      -2.909937387,     -0.4330477326,     -0.4148572975,       2.567730944
          0,           0,           7,      -3.060100334,     -0.5533865823,     -0.5737803998,        2.41609155
          0,           0,           8,      -3.206491215,     -0.6632994005,     -0.7308072257,       2.268189256
          0,           0,           9,      -3.351794315,     -0.7622051175,     -0.8819489986,       2.121742323
          0,           0,          10,      -3.495008999,     -0.8515791128,      -1.026600305,       1.977668233
          0,           0,          11,      -3.632680999,     -0.9326664695,       -1.16571305,       1.838931611
          0,           0,          12,      -3.762213746,       -1.00521039,      -1.298915353,       1.707846014
          0,           0,          13,      -3.881835845,      -1.068606449,      -1.425700662,       1.586255984
          0,           0,          14,      -3.991105602,      -1.124107722,      -1.546271946,       1.474803105
          0,           0,          15,       -4.09112304,      -1.174204227,       -1.66031884,       1.372607855
          0,           0,          16,      -4.182631099,      -1.220546731,      -1.766404623,       1.279164817
          0,           0,          17,      -4.265279962,       -1.26358248,      -1.862856369,       1.195059019
          0,           0,          18,      -4.338152707,      -1.303482865,      -1.948651082,       1.121323683
          0,           0,          19,      -4.400944332,      -1.340825687,      -2.024288061,       1.058159138
          0,           0,          20,      -4.455185954,      -1.376552187,      -2.092002475,       1.003802216
          0,           0,          21,       -4.50373989,      -1.411526544,       -2.15444889,      0.9552370509
          0,           0,          22,      -4.549154575,       -1.44620219,      -2.213036797,      0.9099128145
          0,           0,          23,      -4.592788737,      -1.480609831,      -2.267750108,      0.8665510383
          0,           0,          24,      -4.634979449,      -1.514553422,      -2.318417401,      0.8248867186
          0,           0,          25,      -4.675560375,      -1.547806407,      -2.365728681,      0.7851078767
          0,           0,          26,      -4.714334625,       -1.58020795,      -2.411023982,      0.7473855128
          0,           0,          27,      -4.751328538,      -1.611663727,      -2.455453414,      0.7116432346
          0,           0,          28,      -4.786744314,      -1.642109034,       -2.49947006,       0.677619161
          0,           0,          29,      -4.820734569,      -1.671480591,      -2.542882004,      0.6450959036
          0,           0,          30,      -4.853269053,      -1.699719452,      -2.585196725,      0.6140370766
          0,           0,          31,       -4.88420362,      -1.726795262,      -2.625915841,      0.5845253981
          0,           0,          32,      -4.913440737,        -1.7527274,      -2.664639516,      0.5566131989
          0,           0,          33,      -4.941029319,      -1.777589665,      -2.701050489,      0.5302312707
          0,           0,          34,      -4.967160556,      -1.801495132,       -2.73491357,      0.5051961057
          0,           0,          35,      -4.992097441,      -1.824568807,      -2.766128028,      0.4812763893
          0,           0,          36,      -5.016096878,      -1.846927763,      -2.794793634,      0.4582588657
          0,           0,          37,      -5.039368884,      -1.868667877,      -2.821214031,      0.4359789401
