VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.563391791,      0.7617984672,      0.9010145388,       3.896236412
          0,           0,           1,      -2.022456524,      0.3588697906,      0.5367514476,        3.45609475
          0,           0,           2,      -2.264858061,      0.1491569224,      0.2910167316,       3.218375927
          0,           0,           3,       -2.42415089,   -0.001735220728,      0.1004693123,       3.058724562
          0,           0,           4,      -2.580830326,     -0.1392468873,    -0.07424912195,       2.901178621
          0,           0,           5,      -2.735750346,     -0.2696832742,     -0.2459591122,        2.74414846
          0,           0,           6,      -2.885373944,     -0.3875920709,     -0.4084967502,        2.59233853
          0,           0,           7,      -3.037846796,     -0.4950229689,     -0.5667962003,       2.438730098
          0,           0,           8,      -3.190427853,      -0.589982786,     -0.7206807802,        2.28556102
          0,           0,           9,      -3.338929858,     -0.6754602089,     -0.8701974948,       2.136804365
          0,           0,          10,      -3.479100315,     -0.7542035001,      -1.016951058,       1.996610163
          0,           0,          11,      -3.609170858,     -0.8262891329,      -1.161123889,        1.86657812
          0,           0,          12,      -3.731866286,     -0.8906613078,      -1.297414486,       1.744290967
          0,           0,          13,       -3.84761529,     -0.9471143753,      -1.419452767,       1.629756919
          0,           0,          14,      -3.952812184,       -0.99735906,      -1.528581558,        1.52662131
          0,           0,          15,       -4.04519482,      -1.043790108,      -1.631321427,       1.436912552
          0,           0,          16,       -4.12566262,      -1.087584461,      -1.729524659,        1.35967868
          0,           0,          17,       -4.19588334,      -1.128679675,      -1.817852003,       1.293362436
          0,           0,          18,      -4.257541633,      -1.167111601,      -1.890040209,       1.235923237
          0,           0,          19,      -4.312754252,      -1.203822865,      -1.946607885,       1.184331088
          0,           0,          20,      -4.363921677,      -1.240315661,      -1.994106289,        1.13548998
          0,           0,          21,      -4.413169088,      -1.277834226,      -2.038951713,        1.08737348
          0,           0,          22,      -4.461766929,      -1.316833926,      -2.084373672,       1.039411436
          0,           0,          23,      -4.510066746,       -1.35697103,      -2.131224323,      0.9920310635
          0,           0,          24,      -4.557941662,      -1.397448252,      -2.179553726,      0.9458097174
          0,           0,          25,      -4.605206667,      -1.437432764,      -2.229374939,      0.9009269932
          0,           0,          26,      -4.651723384,      -1.476334734,      -2.280670204,      0.8572173791
          0,           0,          27,      -4.697302099,      -1.513866121,      -2.333181534,      0.8145457099
          0,           0,          28,      -4.741606471,      -1.549942679,      -2.386290541,      0.7730931021
          0,           0,          29,      -4.784196223,      -1.584547909,       -2.43903417,      0.7333315416
          0,           0,          30,      -4.824670926,      -1.617651653,      -2.490206576,      0.6957711055
          0,           0,          31,      -4.862791611,      -1.649210822,      -2.538519621,      0.6606982345
          0,           0,          32,      -4.898506846,      -1.679218599,      -2.582831279,      0.6280669859
          0,           0,          33,      -4.931892877,      -1.707754627,      -2.622405705,       0.597573538
          0,           0,          34,       -4.96308178,      -1.734999506,      -2.657086288,      0.5688166048
          0,           0,          35,      -4.992236805,      -1.761206672,      -2.687292671,      0.5414288614
          0,           0,          36,      -5.019574636,       -1.78664893,      -2.713857309,      0.5151257755
          0,           0,          37,      -5.045388402,      -1.811564554,      -2.737813628,      0.4896945539
          0,           0,          38,      -5.070040814,      -1.836122808,      -2.760206389,      0.4649576907
          0,           0,          39,      -5.093915347,      -1.860411576,      -2.781978001,      0.4407536227
          0,           0,          40,      -5.117346172,      -1.884443296,      -2.803892665,      0.4169419958
          0,           0,          41,      -5.140563065,      -1.908175955,      -2.826502013,      0.3934191019
          0,           0,          42,       -5.16366546,      -1.931536365,      -2.850129002,      0.3701351578
          0,           0,          43,      -5.186634586,      -1.954444127,      -2.874880641,      0.3470957805
          0,           0,          44,      -5.209370084,      -1.976830504,      -2.900678214,      0.3243498653
          0,           0,          45,      -5.231736597,      -1.998651153,       -2.92729761,       0.301969204
          0,           0,          46,      -5.253609525,      -2.019891631,      -2.954415668,      0.2800241738
          0,           0,          47,      -5.274905101,      -2.040567831,      -2.981659259,       0.258564853
          0,           0,          48,       -5.29559506,      -2.060721479,      -3.008652233,      0.2376102378
          0,           0,          49,      -5.315705667,      -2.080413521,      -3.035057663,      0.2171454213
          0,           0,          50,      -5.335304588,      -2.099716898,      -3.060612654,      0.1971267026
          0,           0,          51,      -5.354486762,      -2.118709848,       -3.08514592,      0.1774883948
          0,           0,          52,      -5.373357077,      -2.137470628,       -3.10858757,      0.1581532058
          0,           0,          53,      -5.392017951,      -2.156073823,       -3.13095776,      0.1390408798
          0,           0,          54,      -5.410562837,      -2.174587567,      -3.152347433,      0.1200736358
          0,           0,          55,      -5.429072842,      -2.193072282,      -3.172895906,      0.1011802199
          0,           0,          56,      -5.447615066,      -2.211579965,      -3.192767864,     0.08229852096
          0,           0,          57,      -5.466243507,       -2.23015401,       -3.21213119,     0.06337619767
          0,           0,          58,      -5.484999045,      -2.248829573,      -3.231147548,      0.0443714459
          0,           0,          59,      -5.503912223,      -2.267634285,      -3.249960896,     0.02525161854
          0,           0,          60,      -5.523005476,      -2.286588907,       -3.26869293,    0.005991750371
          0,           0,          61,      -5.542295241,      -2.305708313,      -3.287442504,    -0.01342707652
          0,           0,          62,      -5.561789858,      -2.325002058,      -3.306288222,    -0.03301616931
          0,           0,          63,      -5.581494064,      -2.344475301,      -3.325285081,    -0.05278288256
          0,           0,          64,      -5.601408981,      -2.364130075,      -3.344476609,    -0.07273064622
          0,           0,          65,      -5.621532332,      -2.383965773,      -3.363891639,    -0.09285938847
          0,           0,          66,      -5.641861273,      -2.403979531,      -3.383546849,      -0.113167976
          0,           0,          67,       -5.66239082,      -2.424166983,      -3.403448742,     -0.1336530241
          0,           0,          68,      -5.683114949,      -2.444522607,      -3.423598023,     -0.1543098435
          0,           0,          69,      -5.704026462,      -2.465040331,      -3.443990789,     -0.1751325876
          0,           0,          70,       -5.72511773,      -2.485713486,      -3.464619223,     -0.1961148356
          0,           0,          71,      -5.746381297,      -2.506535207,      -3.485472876,      -0.217250074
          0,           0,          72,      -5.767810474,      -2.527498892,      -3.506539338,     -0.2385322452
          0,           0,          73,      -5.789398256,      -2.548598018,       -3.52780524,     -0.2599551763
          0,           0,          74,      -5.811137361,      -2.569826273,      -3.549255186,     -0.2815122882
          0,           0,          75,      -5.833021114,      -2.591177759,      -3.570876288,     -0.3031974465
          0,           0,          76,      -5.855042947,      -2.612646971,      -3.592661027,     -0.3250046536
          0,           0,          77,      -5.877196612,      -2.634228774,      -3.614595425,     -0.3469282844
          0,           0,          78,      -5.899476446,      -2.655918447,      -3.636667123,     -0.3689631099
          0,           0,          79,      -5.921877642,      -2.677711703,      -3.658865562,     -0.3911045991
          0,           0,          80,      -5.944395778,      -2.699604645,      -3.681181173,     -0.4133485416
          0,           0,          81,      -5.967026644,      -2.721593744,      -3.703605578,     -0.4356909616
          0,           0,          82,      -5.989766782,       -2.74367584,      -3.726131741,      -0.458128531
          0,           0,          83,      -6.012612336,      -2.765848005,      -3.748753184,      -0.480657595
          0,           0,          84,      -6.035560131,      -2.788107696,      -3.771465171,     -0.5032751196
          0,           0,          85,      -6.058608168,      -2.810452706,      -3.794262188,     -0.5259791456
          0,           0,          86,      -6.081754111,      -2.832881049,      -3.817140241,     -0.5487673994
          0,           0,          87,      -6.104995635,      -2.855390899,      -3.840097396,     -0.5716376488
          0,           0,          88,      -6.128331158,       -2.87798066,      -3.863130183,     -0.5945883223
          0,           0,          89,      -6.151758912,      -2.900649047,      -3.886234613,     -0.6176175305
          0,           0,          90,      -6.175277538,      -2.923394934,      -3.909410943,     -0.6407240837
          0,           0,          91,      -6.198885289,      -2.946217294,      -3.932658587,     -0.6639064107
          0,           0,          92,      -6.222580456,      -2.969115247,      -3.955976564,     -0.6871629952
          0,           0,          93,      -6.246362253,      -2.992088101,      -3.979362198,     -0.7104931386
          0,           0,          94,      -6.270229857,      -3.015135276,      -4.002814152,     -0.7338961026
          0,           0,          95,      -6.294182086,      -3.038256264,      -4.026335192,     -0.7573708501
          0,           0,          96,       -6.31821882,      -3.061450743,      -4.049924144,     -0.7809173677
          0,           0,          97,      -6.342339012,      -3.084718375,      -4.073580276,     -0.8045348222
          0,           0,          98,      -6.366542188,      -3.108058941,      -4.097302862,     -0.8282228813
          0,           0,          99,      -6.390827942,      -3.131472295,      -4.121091827,     -0.8519813239
          0,           0,         100,      -6.415195774,      -3.154958347,      -4.144947302,     -0.8758098965
          0,           0,         101,      -6.439644959,       -3.17851705,      -4.168870057,     -0.8997081497
          0,           0,         102,      -6.464175056,      -3.202148356,      -4.192858053,     -0.9236759969
          0,           0,         103,      -6.488785453,      -3.225852048,      -4.216909485,     -0.9477133005
          0,           0,         104,       -6.51347556,      -3.249628442,      -4.241027542,     -0.9718194778
          0,           0,         105,      -6.538245493,      -3.273477708,      -4.265211755,      -0.995995033
          0,           0,         106,      -6.563095232,       -3.29739996,      -4.289461981,      -1.020240277
