VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.490175058,      0.7642084529,       1.010163877,       3.969453145
          0,           0,           1,       -1.94978638,       0.426655326,      0.6034340334,       3.524500454
          0,           0,           2,      -2.204290324,      0.1984130037,      0.3669469553,       3.275383667
          0,           0,           3,      -2.369345495,     0.04124041804,        0.16980562,       3.110262257
          0,           0,           4,      -2.525043412,    -0.09772934201,   -0.009594170342,       2.953521748
          0,           0,           5,       -2.68214524,      -0.229701692,     -0.1789506436,       2.795003635
          0,           0,           6,      -2.833694153,     -0.3518976378,     -0.3410086333,       2.642131834
          0,           0,           7,      -2.982475234,     -0.4694286981,      -0.500566979,       2.492481026
          0,           0,           8,      -3.131253882,     -0.5775213071,     -0.6577380723,       2.343036903
          0,           0,           9,      -3.278995264,     -0.6737659786,     -0.8110132306,        2.19468775
          0,           0,          10,      -3.424740567,     -0.7602668915,     -0.9595264618,       2.048487956
          0,           0,          11,      -3.566207438,      -0.838358294,      -1.103427422,       1.906444545
          0,           0,          12,      -3.699442686,     -0.9078293452,      -1.242950365,       1.772111597
          0,           0,          13,       -3.82249892,     -0.9692621437,      -1.375988796,       1.647709865
          0,           0,          14,       -3.93516022,      -1.024088007,      -1.499343494,       1.534114189
          0,           0,          15,      -4.035952657,      -1.073468812,      -1.611955689,       1.433240298
          0,           0,          16,      -4.123035319,      -1.118095982,      -1.713791766,        1.34717327
          0,           0,          17,      -4.196968333,      -1.158676407,      -1.803724223,       1.275302585
          0,           0,          18,      -4.260778127,      -1.196287077,      -1.881062911,       1.214039516
          0,           0,          19,      -4.317543593,      -1.232204112,      -1.947240098,       1.159462497
          0,           0,          20,      -4.369194781,      -1.267504862,      -2.005172046,       1.109091339
          0,           0,          21,      -4.417045354,      -1.302798566,      -2.057996667,       1.061681392
          0,           0,          22,      -4.462210543,      -1.338179347,      -2.108015522,       1.016626435
          0,           0,          23,      -4.505493156,       -1.37338826,      -2.156205465,       0.973661405
          0,           0,          24,      -4.547351534,      -1.408080027,      -2.202649308,      0.9325873024
          0,           0,          25,      -4.587984213,       -1.44203478,      -2.247420953,      0.8931445825
          0,           0,          26,      -4.627418881,      -1.475209102,      -2.290978707,      0.8550950101
          0,           0,          27,       -4.66561013,      -1.507666342,      -2.333879508,      0.8183293865
          0,           0,          28,      -4.702566845,      -1.539470757,      -2.376399623,      0.7828311177
          0,           0,          29,      -4.738394819,      -1.570630854,      -2.418394035,      0.7485863781
          0,           0,          30,      -4.773241859,      -1.601096923,       -2.45944955,      0.7155350031
          0,           0,          31,      -4.807209777,      -1.630791479,       -2.49911651,      0.6835833948
          0,           0,          32,       -4.84028718,      -1.659644743,      -2.537089134,      0.6526595968
          0,           0,          33,      -4.872347788,      -1.687619391,      -2.573278673,      0.6227519731
          0,           0,          34,      -4.903221102,      -1.714717595,      -2.607769058,      0.5938955695
          0,           0,          35,      -4.932790726,      -1.740973947,      -2.640719991,      0.5661231945
          0,           0,          36,      -4.961065314,      -1.766441909,       -2.67228186,      0.5394191618
          0,           0,          37,      -4.988185135,        -1.7911815,      -2.702560787,      0.5137018857
